Provinsi/Kabupaten/Kota,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2022,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2023,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2024,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2022,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2023,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2024
ACEH,68.26,68.42,68.52,72.16,72.35,72.45
Simeulue,63.52,63.72,63.84,67.36,67.59,67.71
Aceh Singkil,65.56,65.84,65.94,69.54,69.82,69.93
Aceh Selatan,62.68,62.94,63.1,66.51,66.78,66.94
Aceh Tenggara,66.39,66.71,66.84,70.42,70.69,70.81
Aceh Timur,66.92,67.14,67.25,70.86,71.1,71.21
Aceh Tengah,66.95,67.25,67.36,70.98,71.21,71.32
Aceh Barat,66.13,66.4,66.54,70.14,70.38,70.52
Aceh Besar,67.96,68.22,68.37,71.9,72.16,72.31
Pidie,65.12,65.36,65.48,69.06,69.32,69.44
Bireuen,69.45,69.72,69.88,73.37,73.7,73.87
Aceh Utara,66.94,67.21,67.35,70.94,71.18,71.3
Aceh Barat Daya,63.31,63.6,63.76,67.18,67.46,67.63
Gayo Lues,63.76,64.02,64.13,67.65,67.91,68.02
Aceh Tamiang,67.78,68.12,68.29,71.79,72.06,72.22
Nagan Raya,67.43,67.68,67.82,71.39,71.63,71.77
Aceh Jaya,65.37,65.62,65.75,69.31,69.59,69.73
Bener Meriah,67.49,67.71,67.87,71.39,71.66,71.81
Pidie Jaya,68.43,68.68,68.85,72.31,72.61,72.79
Kota Banda Aceh,69.81,70.07,70.22,73.65,74.07,74.22
Kota Sabang,68.75,69.05,69.24,72.71,73,73.2
Kota Langsa,67.59,67.85,68,71.56,71.8,71.94
Kota Lhokseumawe,69.93,70.11,70.29,73.76,74.11,74.3
Kota Subulussalam,62.35,62.54,62.65,66.16,66.37,66.47
SUMATERA UTARA,67.66,68.06,68.36,71.6,72,72.3
Nias,68.01,68.42,68.6,72,72.35,72.53
Mandailing Natal,61.07,61.62,61.8,64.88,65.42,65.6
Tapanuli Selatan,63.3,63.67,63.85,67.13,67.54,67.72
Tapanuli Tengah,65.44,65.95,66.24,69.52,69.94,70.23
Tapanuli Utara,67.01,67.64,67.85,71.11,71.59,71.79
Toba Samosir / Toba,68.54,69.31,69.48,72.69,73.27,73.45
Labuhan Batu,68.32,68.85,69.06,72.35,72.79,73.01
Asahan,66.63,67.15,67.34,70.72,71.12,71.3
Simalungun,69.66,70.25,70.43,73.69,74.26,74.44
Dairi,67.58,68.18,68.35,71.53,72.12,72.29
Karo,69.85,70.32,70.48,73.91,74.33,74.49
Deli Serdang,70.17,70.35,70.52,73.96,74.36,74.54
Langkat,67.34,67.71,67.98,71.33,71.66,71.92
Nias Selatan,67.15,67.65,67.87,71.11,71.6,71.82
Humbang Hasundutan,67.83,68.35,68.58,71.94,72.29,72.51
Pakpak Bharat,64.27,64.98,65.31,68.34,68.91,69.26
Samosir,69.67,70.28,70.45,73.72,74.29,74.46
Serdang Bedagai,67.23,67.66,67.9,71.15,71.62,71.85
Batu Bara,65.44,65.94,66.17,69.45,69.93,70.16
Padang Lawas Utara,65.45,65.87,66.05,69.52,69.86,70.04
Padang Lawas,65.43,65.77,65.93,69.35,69.74,69.92
Labuhan Batu Selatan,66.97,67.61,67.8,71.06,71.57,71.75
