Provinsi/Kabupaten/Kota,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2022,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2023,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2024,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2022,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2023,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2024
Labuhan Batu Utara,67.89,68.33,68.56,71.85,72.27,72.49
Nias Utara,67.78,68.32,68.53,71.81,72.26,72.46
Nias Barat,67.34,68.03,68.28,71.35,71.98,72.21
Kota Sibolga,67.73,68.26,68.46,71.71,72.2,72.39
Kota Tanjung Balai,61.99,62.42,62.57,65.71,66.24,66.4
Kota Pematang Siantar,72.33,73,73.2,76.06,76.66,77.45
Kota Tebing Tinggi,69.32,69.69,69.83,73.2,73.67,73.82
Kota Medan,71.71,72.15,72.79,75.43,75.88,76.68
Kota Binjai,70.84,71.09,71.19,74.67,75.28,75.48
Kota Padangsidimpuan,67.66,68.28,68.51,71.79,72.22,72.45
Kota Gunungsitoli,69.64,70.13,70.3,73.59,74.14,74.31
SUMATERA BARAT,67.99,68.27,68.41,71.89,72.21,72.35
Kepulauan Mentawai,62.9,63.22,63.39,66.82,67.07,67.24
Pesisir Selatan,69.19,69.58,69.65,73.14,73.55,73.63
Solok,67.15,67.63,67.88,71.11,71.58,71.82
Sijunjung,64.7,65.09,65.39,68.59,69.04,69.34
Tanah Datar,68.48,68.92,69.04,72.42,72.86,72.99
Padang Pariaman,67.28,67.77,68.18,71.27,71.72,72.11
Agam,70.93,71.15,71.31,74.75,75.41,75.74
Lima Puluh Kota,68.07,68.38,68.55,72.01,72.31,72.48
Pasaman,65.86,66.34,66.67,69.95,70.33,70.64
Solok Selatan,66.26,66.77,67.05,70.39,70.74,71.02
Dharmasraya,69.91,70.29,70.63,73.78,74.3,74.66
Pasaman Barat,65.87,66.59,66.87,70.3,70.56,70.84
Kota Padang,72.08,72.39,72.68,75.7,76.09,76.37
Kota Solok,72.15,72.62,72.91,75.9,76.31,77.02
Kota Sawah Lunto,68.46,68.77,68.99,72.29,72.71,72.94
Kota Padang Panjang,71.04,71.16,71.4,74.84,75.41,75.92
Kota Bukittinggi,72.99,73.39,73.9,76.62,77.02,77.11
Kota Payakumbuh,72.25,72.67,73.18,75.95,76.35,77.06
Kota Pariaman,68.47,69.02,69.23,72.61,72.97,73.2
RIAU,70.03,70.28,70.56,73.9,74.29,74.58
Kuantan Singingi,66.57,67.19,67.51,70.81,71.16,71.47
Indragiri Hulu,68.38,68.77,68.94,72.39,72.71,72.88
Indragiri Hilir,66.19,66.68,66.77,70.3,70.65,70.74
Pelalawan,69.47,70.05,70.18,73.41,74.05,74.18
Siak,69.34,69.69,69.8,73.25,73.68,73.79
Kampar,69.02,69.49,69.62,73.04,73.46,73.6
Rokan Hulu,68.45,68.91,69.02,72.42,72.86,72.97
Bengkalis,69.48,69.84,69.97,73.37,73.83,73.97
Rokan Hilir,68.65,69.07,69.18,72.59,73.02,73.14
Kepulauan Meranti,66.01,66.47,66.54,70,70.45,70.52
Kota Pekanbaru,70.76,71.02,71.14,74.55,75.13,75.38
Kota Dumai,69.18,69.73,69.83,73.14,73.71,73.82
JAMBI,69.57,69.83,70.09,73.49,73.81,74.09
Kerinci,68.27,68.63,68.87,72.26,72.57,72.82
Merangin,69.63,69.81,70,73.43,73.8,73.99
Sarolangun,67.31,67.77,67.99,71.71,71.72,71.94
Batang Hari,68.97,69.29,69.61,72.87,73.25,73.59
Muaro Jambi,69.67,69.89,70.14,73.55,73.88,74.14
Tanjung Jabung Timur,64.72,65.05,65.34,68.56,68.99,69.29
Tanjung Jabung Barat,66.33,66.74,66.98,70.46,70.71,70.95
Tebo,68.13,68.57,68.77,72.25,72.5,72.71
Bungo,66.14,66.48,66.77,70.15,70.46,70.75
Kota Jambi,71.06,71.19,71.43,74.88,75.49,76
Kota Sungai Penuh,70.59,70.89,71.14,74.43,74.92,75.37
SUMATERA SELATAN,68.38,68.74,69,72.29,72.68,72.95
Ogan Komering Ulu,66.15,66.91,67.08,70.49,70.88,71.05
Ogan Komering Ilir,66.62,67.38,67.55,70.95,71.34,71.5
Muara Enim,67.64,67.79,68.01,71.33,71.74,71.95
Lahat,64.49,64.96,65.19,68.44,68.89,69.13
Musi Rawas,66.52,67.01,67.22,70.58,70.98,71.18
Musi Banyuasin,66.79,67.58,67.79,71.14,71.54,71.74
Banyu Asin,67.01,67.83,68.03,71.38,71.78,71.98
Ogan Komering Ulu Selatan,65.32,65.94,66.31,69.27,69.92,70.29
Ogan Komering Ulu Timur,67.45,67.85,68.07,71.44,71.8,72.01
Ogan Ilir,63.95,64.43,64.63,67.87,68.33,68.54
Empat Lawang,63.45,63.84,63.97,67.31,67.72,67.85
Penukal Abab Lematang Ilir,66.26,67.03,67.24,70.59,71,71.2
Musi Rawas Utara,64.09,64.46,64.65,67.96,68.37,68.56
Kota Palembang,69.45,70.04,70.4,73.41,74.04,74.41
Kota Prabumulih,68.84,69.33,69.65,72.78,73.3,73.62
Kota Pagar Alam,65.21,65.76,66.03,69.22,69.74,70.02
Kota Lubuklinggau,67.54,68.33,68.67,71.75,72.27,72.6
BENGKULU,67.74,67.99,68.21,71.68,71.94,72.15
Bengkulu Selatan,66.06,66.45,66.59,70.24,70.43,70.57
Rejang Lebong,67.09,67.29,67.49,71.01,71.25,71.44
Bengkulu Utara,66.36,66.83,67.05,70.5,70.81,71.02
Kaur,65.06,65.34,65.58,68.91,69.3,69.54
Seluma,66.21,66.4,66.59,70.13,70.38,70.57
Mukomuko,65.01,65.37,65.63,68.91,69.33,69.6
Lebong,61.42,62.07,62.27,65.72,65.88,66.09
Kepahiang,66.27,66.52,66.67,70.23,70.5,70.64
Bengkulu Tengah,66.31,66.58,66.7,70.49,70.56,70.68
Kota Bengkulu,68.48,68.81,69.1,72.36,72.76,73.06
LAMPUNG,69.07,69.31,69.56,72.97,73.28,73.54
Lampung Barat,65.76,66.19,66.46,69.86,70.17,70.44
Tanggamus,66.92,67.3,67.63,70.86,71.26,71.58
Lampung Selatan,67.62,68.05,68.41,71.62,71.99,72.34
Lampung Timur,68.95,69.31,69.59,72.93,73.28,73.56
Lampung Tengah,68,68.37,68.63,72.06,72.31,72.56
Lampung Utara,67.48,67.91,68.21,71.55,71.85,72.15
Way Kanan,67.58,67.99,68.24,71.64,71.93,72.18
Tulangbawang,68.14,68.5,68.64,72.18,72.44,72.57
Pesawaran,67.37,67.81,68.2,71.36,71.76,72.14
Pringsewu,68.58,69.12,69.27,72.55,73.07,73.24
Mesuji,66.36,66.81,67.11,70.49,70.78,71.07
Tulang Bawang Barat,68.18,68.5,68.72,72.19,72.44,72.65
Pesisir Barat,61.99,62.43,62.82,65.89,66.25,66.65
Kota Bandar Lampung,69.61,69.96,70.28,73.49,73.96,74.29
Kota Metro,69.88,70.17,70.48,73.8,74.17,74.5
KEP. BANGKA BELITUNG,69.06,69.3,69.55,72.97,73.26,73.52
Bangka,69.34,69.65,69.86,73.23,73.63,73.85
Belitung,69.24,69.6,69.81,73.23,73.57,73.79
Bangka Barat,68.19,68.51,68.67,72.24,72.44,72.6
Bangka Tengah,69.84,70.16,70.4,73.7,74.16,74.41
Bangka Selatan,66.51,67.05,67.31,70.72,71.02,71.27
Belitung Timur,70.35,70.62,70.88,74.26,74.65,74.92
Kota Pangkal Pinang,71.71,72.18,72.33,75.51,75.9,76.79
KEPULAUAN RIAU,68.58,68.99,69.3,72.47,72.94,73.27
Karimun,69.5,70.06,70.24,73.46,74.05,74.25
Bintan,68.66,69.16,69.28,72.75,73.12,73.24
Natuna,63.72,64.32,64.5,67.63,68.22,68.41
Lingga,60.95,61.65,61.88,64.78,65.44,65.68
Kepulauan Anambas,65.67,66.15,66.43,69.65,70.14,70.41
Kota Batam,71.63,72.16,72.2,75.49,75.89,76.09
Kota Tanjung Pinang,70.49,70.88,71.02,74.37,74.92,75.4
DKI JAKARTA,71.45,71.88,72.08,75.22,75.61,76.28
Kep. Seribu,67.02,67.68,67.85,71.27,71.63,71.8
Kota Jakarta Selatan,72.6,73.03,73.38,76.51,76.69,76.86
Kota Jakarta Timur,72.98,73.38,73.73,76.63,77.01,77.11
Kota Jakarta Pusat,72.55,73.06,73.65,76.39,76.71,76.94
Kota Jakarta Barat,71.97,72.39,72.55,75.65,76.09,76.28
Kota Jakarta Utara,71.58,71.8,71.97,75.41,75.55,76.04
JAWA BARAT,71.77,72.01,72.26,75.48,76.19,76.56
Bogor,69.72,69.97,70.2,73.54,73.96,74.21
Sukabumi,69.53,69.89,70.11,73.47,73.88,74.11
Cianjur,68.62,68.87,69.03,72.5,72.81,72.98
Bandung,72.14,72.5,72.73,75.81,76.2,76.44
Garut,69.74,70.12,70.32,73.74,74.12,74.33
Tasikmalaya,67.97,68.27,68.47,71.88,72.21,72.41
Ciamis,70.39,70.61,70.9,74.2,74.63,74.94
Kuningan,72.18,72.52,72.72,75.87,76.22,76.42
Cirebon,70.54,70.79,71.03,74.37,74.83,75.15
Majalengka,68.79,69.12,69.37,72.68,73.08,73.34
Sumedang,70.95,71.13,71.29,74.78,75.35,75.7
Indramayu,70.24,70.5,70.8,74.04,74.52,74.83
Subang,71.03,71.16,71.34,74.79,75.43,75.8
Purwakarta,69.5,69.79,70.04,73.37,73.78,74.04
Karawang,70.69,70.93,71.1,74.5,74.97,75.29
Bekasi,72.17,72.53,72.75,75.87,76.23,76.55
Bandung Barat,70.88,71.07,71.23,74.67,75.23,75.56
Pangandaran,69.94,70.22,70.45,73.77,74.22,74.46
Kota Bogor,72.25,72.69,72.89,75.96,76.37,76.69
Kota Sukabumi,70.92,71.08,71.23,74.72,75.25,75.57
Kota Bandung,72.92,73.3,73.5,76.46,76.93,77.24
Kota Cirebon,70.82,71.06,71.22,74.61,75.2,75.55
Kota Bekasi,73.7,74.1,74.29,77.18,77.45,77.75
Kota Depok,73.08,73.49,73.68,76.91,77.11,77.41
Kota Cimahi,72.66,73.05,73.23,76.26,76.7,77.01
Kota Tasikmalaya,70.73,70.95,71.11,74.51,74.99,75.32
Kota Banjar,69.53,69.85,70.08,73.39,73.84,74.08
JAWA TENGAH,72.71,72.95,73.21,76.53,76.62,76.99
Cilacap,72.25,72.48,72.79,75.94,76.2,76.58
Banyumas,72.06,72.2,72.56,75.86,75.94,76.32
Purbalingga,71.38,71.57,71.78,75.18,75.36,75.86
Banjarnegara,72.49,72.71,72.98,76.22,76.41,76.77
Kebumen,71.8,72.05,72.45,75.57,75.8,76.18
Purworejo,73.16,73.47,74.03,76.87,77.11,77.49
Wonosobo,70.12,70.21,70.44,73.95,74.19,74.45
Magelang,72.13,72.45,72.76,75.9,76.15,76.55
Boyolali,74.32,74.39,74.75,78.07,78.14,78.55
Klaten,75.18,75.22,75.58,78.91,78.99,79.33
Sukoharjo,76.09,76.14,76.37,79.83,79.88,80.38
Wonogiri,74.53,74.72,74.95,78.26,78.48,78.84
Karanganyar,75.89,75.94,76.25,79.54,79.72,80.07
Sragen,74.1,74.14,74.45,77.73,77.89,78.3
Grobogan,73.1,73.3,73.59,76.77,76.95,77.35
Blora,72.78,72.95,73.26,76.48,76.64,77.03
Rembang,72.79,73.02,73.29,76.51,76.69,77.1
Pati,74.34,74.55,74.84,78.18,78.31,78.69
Kudus,74.94,75.02,75.33,78.75,78.78,79.17
Jepara,74.18,74.24,74.54,77.96,77.99,78.39
Demak,73.69,73.77,74.07,77.45,77.48,77.88
Semarang,74.08,74.12,74.41,77.77,77.86,78.26
Temanggung,73.87,73.95,74.24,77.64,77.69,78.08
Kendal,72.7,72.84,73.14,76.41,76.51,76.9
Batang,72.93,73.12,73.42,76.7,76.77,77.17
Pekalongan,71.89,72.11,72.4,75.67,75.84,76.24
Pemalang,71.79,72.09,72.38,75.66,75.82,76.21
Tegal,69.98,70.05,70.2,73.74,74.05,74.21
Brebes,67.83,68.03,68.37,71.65,71.98,72.31
Kota Magelang,75.19,75.37,75.7,78.92,79.14,79.53
Kota Surakarta,75.66,75.77,76.1,79.35,79.55,79.94
Kota Salatiga,75.66,76.07,76.4,79.63,79.85,80.25
Kota Semarang,75.94,76.04,76.37,79.61,79.83,80.22
Kota Pekalongan,72.59,72.86,73.19,76.34,76.53,76.93
Kota Tegal,72.72,72.9,73.23,76.56,76.57,76.97
D I YOGYAKARTA,73.28,73.4,73.66,76.93,77.03,77.4
Kulon Progo,73.4,73.57,73.87,77.2,77.21,77.57
Bantul,71.98,72.13,72.43,75.73,75.9,76.28
Gunung Kidul,72.27,72.49,72.78,76.1,76.19,76.57
Sleman,73.1,73.35,73.64,76.77,76.99,77.25
Kota Yogyakarta,72.95,73.18,73.33,76.42,76.83,76.99
JAWA TIMUR,69.81,70.16,70.39,73.71,74.16,74.4
Pacitan,70.47,70.89,71.03,74.37,74.93,75.15
Ponorogo,71.2,71.36,71.52,75.05,75.84,76.11
Trenggalek,72.31,72.9,73.04,76.05,76.57,76.72
Tulungagung,72.61,73.18,73.34,76.34,76.83,77.03
Blitar,72.01,72.59,72.76,75.79,76.28,76.46
Kediri,70.93,71.18,71.31,74.79,75.47,75.74
Malang,70.92,71.18,71.3,74.8,75.45,75.71
Lumajang,68.54,69.03,69.21,72.56,72.98,73.17
Jember,67.58,68.11,68.28,71.62,72.05,72.22
Banyuwangi,68.94,69.44,69.63,73.04,73.41,73.6
Bondowoso,65.18,65.66,65.82,69.22,69.64,69.8
Situbondo,67.55,68.01,68.19,71.53,71.96,72.13
Probolinggo,65.7,66.18,66.34,69.76,70.16,70.32
Pasuruan,68.49,68.89,69.07,72.49,72.83,73.02
Sidoarjo,72.4,72.93,73.09,76.16,76.62,76.78
Mojokerto,70.9,71.17,71.29,74.78,75.44,75.7
Jombang,70.85,71.15,71.28,74.71,75.4,75.67
Nganjuk,69.9,70.33,70.51,73.84,74.34,74.53
Madiun,69.88,70.32,70.51,73.79,74.33,74.53
Magetan,70.95,71.19,71.32,74.86,75.49,75.76
Ngawi,70.82,71.14,71.26,74.65,75.37,75.63
Bojonegoro,70.15,70.61,70.79,74.04,74.63,74.82
Tuban,69.94,70.4,70.58,73.87,74.41,74.6
Lamongan,70.86,71.15,71.27,74.71,75.39,75.66
Gresik,70.95,71.2,71.33,74.86,75.5,75.78
Bangkalan,68.45,68.86,69.04,72.46,72.81,72.99
Sampang,66.26,66.7,66.88,70.35,70.67,70.85
Pamekasan,65.91,66.37,66.54,70.01,70.35,70.52
Sumenep,69.96,70.51,70.69,73.85,74.53,74.72
Kota Kediri,72.35,72.93,73.06,76.18,76.6,76.76
Kota Blitar,72.31,72.92,73.05,76.06,76.59,76.75
Kota Malang,71.72,72.36,72.48,75.61,76.07,76.19
Kota Probolinggo,68.56,69.06,69.24,72.61,73.01,73.21
Kota Pasuruan,69.91,70.35,70.54,73.83,74.36,74.56
Kota Mojokerto,71.72,72.32,72.45,75.58,76.04,76.17
Kota Madiun,71.15,71.29,71.43,75.02,75.69,75.98
Kota Surabaya,72.5,73.01,73.19,76.26,76.67,76.86
Kota Batu,70.95,71.19,71.32,74.86,75.49,75.76
BANTEN,68.46,68.85,69.09,72.36,72.79,73.04
Pandeglang,63.17,63.7,63.9,67.1,67.56,67.78
Lebak,65.69,66.19,66.4,69.66,70.17,70.38
Tangerang,68.25,68.73,68.95,72.19,72.67,72.9
Serang,63.2,63.72,64,67.03,67.58,67.89
Kota Tangerang,69.86,70.28,70.5,73.8,74.29,74.52
Kota Cilegon,64.95,65.46,65.72,68.95,69.42,69.7
Kota Serang,66.19,67.05,67.33,70.48,71.02,71.29
Kota Tangerang Selatan,70.85,71.07,71.21,74.62,75.24,75.52
BALI,70.69,70.99,71.19,74.53,75.07,75.49
Jembrana,70.79,71.14,71.34,74.68,75.37,75.79
Tabanan,72.13,72.71,72.89,75.88,76.38,76.75
Badung,73.63,74.02,74.21,77.1,77.78,78.18
Gianyar,72.16,72.75,72.94,75.91,76.42,76.82
Klungkung,69.81,70.32,70.54,73.7,74.33,74.56
Bangli,68.9,69.4,69.68,72.91,73.37,73.66
Karangasem,68.85,69.31,69.59,72.77,73.28,73.57
Buleleng,70.29,70.74,70.95,74.18,74.77,74.99
Kota Denpasar,73.39,73.91,74.16,77.05,77.5,77.76
NUSA TENGGARA BARAT,65.14,65.54,65.79,69.07,69.5,69.77
Lombok Barat,65.64,66.13,66.41,69.78,70.12,70.39
Lombok Tengah,64.75,65.2,65.39,68.77,69.14,69.35
Lombok Timur,64.53,65.03,65.27,68.58,68.97,69.22
Sumbawa,66.08,66.6,66.87,70.2,70.57,70.84
Dompu,65.38,65.82,66.05,69.4,69.8,70.04
Bima,64.9,65.34,65.59,68.92,69.3,69.55
Sumbawa Barat,66.7,67.26,67.61,70.88,71.22,71.56
Lombok Utara,65.74,66.23,66.49,69.82,70.21,70.47
Kota Mataram,70.25,70.59,70.79,74.19,74.61,74.82
Kota Bima,68.84,69.26,69.47,72.88,73.22,73.44
NUSA TENGGARA TIMUR,65.54,65.82,66.04,69.43,69.8,70.03
Sumba Barat,65.28,65.64,65.78,69.29,69.61,69.76
Sumba Timur,63.43,63.92,64.15,67.32,67.8,68.04
Kupang,63.35,63.75,64.06,67.06,67.62,67.94
Timor Tengah Selatan,64.67,64.97,65.11,68.67,68.9,69.05
Timor Tengah Utara,65.27,65.67,65.88,69.26,69.64,69.86
Belu,63.36,63.74,64.03,67.12,67.61,67.92
Alor,60.08,60.52,60.78,63.78,64.27,64.54
Lembata,65.49,65.93,66.18,69.38,69.91,70.16
Flores Timur,63.72,64.07,64.31,67.48,67.96,68.21
Sikka,65.87,66.35,66.58,69.75,70.34,70.56
Ende,63.89,64.22,64.39,67.57,68.11,68.3
Ngada,66.23,66.77,66.98,70.35,70.74,70.95
Manggarai,65.29,65.69,65.95,69.29,69.66,69.93
Rote Ndao,63.33,63.72,63.96,67.09,67.58,67.84
Manggarai Barat,65.58,66.05,66.35,69.68,70.04,70.34
Sumba Tengah,66.59,66.94,67.16,70.56,70.91,71.13
Sumba Barat Daya,66.74,67.06,67.27,70.76,71.03,71.23
Nagekeo,65.52,65.96,66.23,69.42,69.95,70.21
Manggarai Timur,66.25,66.55,66.76,70.26,70.53,70.73
Sabu Raijua,58.98,59.26,59.47,62.7,62.95,63.17
Malaka,63.34,63.78,64.09,67.2,67.65,67.98
Kota Kupang,68.1,68.6,68.91,71.98,72.54,72.86
KALIMANTAN BARAT,69.08,69.38,69.61,73,73.35,73.59
Sambas,67.34,67.83,68.19,71.27,71.78,72.13
Bengkayang,72.31,72.41,72.7,75.75,76.74,77.03
Landak,71.32,71.51,71.66,75.22,76.15,76.46
Mempawah,69.29,69.79,69.92,73.42,73.78,73.92
Sanggau,69.6,69.82,69.96,73.46,73.81,73.95
Ketapang,69.17,69.52,69.7,73.24,73.49,73.68
Sintang,70.1,70.45,70.75,74.02,74.47,74.78
Kapuas Hulu,70.79,70.91,71.03,74.5,74.94,75.16
Sekadau,70.26,70.77,70.98,74.27,74.8,75.04
Melawi,71.18,71.22,71.32,75,75.54,75.76
Kayong Utara,66.23,67.29,67.58,70.92,71.25,71.54
Kubu Raya,68.78,69.32,69.5,72.94,73.29,73.48
Kota Pontianak,71.41,71.57,71.76,75.24,76.28,76.67
Kota Singkawang,70.57,70.85,70.99,74.7,74.88,75.06
KALIMANTAN TENGAH,68.08,68.36,68.51,72.02,72.29,72.44
Kotawaringin Barat,68.91,69.34,69.44,72.94,73.31,73.41
Kotawaringin Timur,68.04,68.47,68.59,72.12,72.4,72.52
Kapuas,66.96,67.3,67.41,70.99,71.26,71.37
Barito Selatan,65.41,65.81,65.92,69.42,69.79,69.91
Barito Utara,69.47,69.73,69.85,73.44,73.72,73.84
Sukamara,69.73,70.07,70.2,73.75,74.07,74.2
Lamandau,67.49,67.92,68.05,71.57,71.86,72
Seruyan,67.62,67.71,67.79,71.43,71.66,71.74
Katingan,64.06,64.52,64.61,68.11,68.43,68.53
Pulang Pisau,66.28,66.66,66.8,70.34,70.64,70.78
Gunung Mas,68.56,69.03,69.17,72.68,72.98,73.13
Barito Timur,66.47,66.97,67.08,70.6,70.94,71.05
Murung Raya,67.65,68.01,68.12,71.74,71.96,72.06
Kota Palangka Raya,71.42,71.46,71.54,75.37,76.05,76.22
KALIMANTAN SELATAN,67.23,67.49,67.72,71.13,71.45,71.67
Tanah Laut,67.84,68.19,68.39,71.84,72.13,72.32
Kotabaru,67.56,67.84,68.01,71.5,71.79,71.95
Banjar,65.72,66.07,66.32,69.69,70.06,70.3
Barito Kuala,64.58,64.89,65.15,68.47,68.82,69.09
Tapin,68.88,69.23,69.42,72.82,73.19,73.39
Hulu Sungai Selatan,64.53,64.98,65.25,68.43,68.91,69.19
Hulu Sungai Tengah,64.56,64.94,65.19,68.45,68.87,69.14
Hulu Sungai Utara,62.6,63.09,63.38,66.41,66.94,67.23
Tabalong,68.85,69.34,69.52,72.81,73.31,73.5
Tanah Bumbu,68.74,69.01,69.18,72.64,72.96,73.14
Balangan,66.1,66.45,66.65,70.09,70.43,70.63
Kota Banjarmasin,69.69,69.95,70.15,73.55,73.94,74.15
Kota Banjar Baru,70.42,70.66,70.85,74.25,74.69,74.89
KALIMANTAN TIMUR,72.8,72.96,73.21,76.52,76.62,76.9
Paser,70.86,71,71.12,74.87,75.08,75.33
Kutai Barat,71.13,71.37,71.49,74.95,75.16,75.6
Kutai Kartanegara,70.69,70.78,70.96,74.51,74.81,75.01
Kutai Timur,71.52,71.77,71.95,75.33,75.52,76.13
Berau,70.34,70.45,70.62,74.13,74.47,74.65
Penajam Paser Utara,70.05,70.1,70.28,74.08,74.09,74.27
Mahakam Ulu,70.34,70.5,70.69,74.14,74.52,74.71
Kota Balikpapan,72.88,73.13,73.32,76.58,76.78,76.98
Kota Samarinda,72.64,72.93,73.12,76.23,76.6,76.8
Kota Bontang,72.64,72.92,73.11,76.28,76.59,76.79
KALIMANTAN UTARA,70.7,70.72,70.76,74.54,74.75,74.79
Malinau,71.3,71.3,71.32,71.73,71.75,71.76
Bulungan,71.71,71.72,71.75,73.7,73.74,73.75
Tana Tidung,70.75,70.77,70.78,71.66,71.7,71.72
Nunukan,70.63,70.65,70.66,72.23,72.24,72.25
Kota Tarakan,73.48,73.51,73.54,74.61,74.63,74.65
SULAWESI UTARA,70.16,70.44,70.73,74.04,74.46,74.76
Bolaang Mongondow,67.72,68.15,68.39,71.68,72.09,72.32
Minahasa,69.42,69.87,70.16,73.37,73.86,74.16
Kepulauan Sangihe,68.42,68.85,69.07,72.4,72.8,73.02
Kepulauan Talaud,68.5,68.98,69.28,72.46,72.93,73.24
Minahasa Selatan,68.22,68.79,69.02,72.27,72.73,72.97
Minahasa Utara,69.69,70.04,70.31,73.55,74.04,74.32
Bolaang Mongondow Utara,65.97,66.39,66.62,70,70.37,70.6
Siau Tagulandang Biaro,69.23,69.65,69.93,73.16,73.63,73.92
Minahasa Tenggara,68.42,68.94,69.23,72.4,72.88,73.2
Bolaang Mongondow Selatan,62.95,63.07,63.23,66.62,66.92,67.08
Bolaang Mongondow Timur,66.06,66.57,66.79,70.18,70.55,70.77
Kota Manado,70.16,70.54,70.81,74.05,74.56,74.84
Kota Bitung,69.34,69.73,70,73.26,73.72,73.99
Kota Tomohon,70.39,70.87,71.11,74.29,74.9,75.32
Kota Kotamobagu,68.91,69.41,69.69,72.86,73.37,73.67
SULAWESI TENGAH,66.98,67.24,67.49,70.95,71.2,71.44
Banggai Kepulauan,64.77,64.95,65.15,68.59,68.88,69.1
Banggai,68.9,69.09,69.16,72.76,73.04,73.12
Morowali,67.08,67.44,67.48,71.17,71.4,71.43
Poso,69.25,69.39,69.41,73.06,73.36,73.38
Donggala,65.63,65.91,66.07,69.49,69.9,70.06
Toli-Toli,64.4,64.86,65.11,68.27,68.79,69.05
