Provinsi/Kabupaten/Kota,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2016,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2017,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2018,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2016,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2017,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2018
Sragen,72.1,73.69,73.74,75.99,77.38,77.43
Grobogan,72.1,72.56,72.65,75.99,76.25,76.34
Blora,72.1,72.06,72.22,75.99,75.8,75.9
Rembang,72.1,72.41,72.5,75.99,76.12,76.17
Pati,72.1,73.95,74.08,75.99,77.68,77.81
Kudus,72.1,74.62,74.66,75.99,78.41,78.44
Jepara,72.1,73.83,73.86,75.99,77.67,77.7
Demak,72.1,73.41,73.45,75.99,77.16,77.18
Semarang,72.1,73.71,73.76,75.99,77.46,77.51
Temanggung,72.1,73.56,73.62,75.99,77.33,77.38
Kendal,72.1,72.33,72.4,75.99,76.1,76.16
Batang,72.1,72.6,72.66,75.99,76.41,76.47
Pekalongan,72.1,71.52,71.59,75.99,75.3,75.37
Pemalang,72.1,71.02,71.15,75.99,74.83,74.96
Tegal,72.1,69.14,69.24,75.99,73.04,73.22
Brebes,72.1,66.57,66.75,75.99,70.53,70.81
Kota Magelang,72.1,74.84,74.9,75.99,78.55,78.61
Kota Surakarta,72.1,75.26,75.31,75.99,78.96,79.01
Kota Salatiga,72.1,75.18,75.31,75.99,78.84,78.97
Kota Semarang,72.1,75.42,75.44,75.99,79.13,79.15
Kota Pekalongan,72.1,72.28,72.36,75.99,75.99,76.03
Kota Tegal,72.1,72.32,72.4,75.99,76.18,76.25
D I YOGYAKARTA,72.92,72.95,73.03,76.54,76.57,76.65
Kulon Progo,72.92,73.19,73.26,76.54,77,77.06
Bantul,72.92,71.62,71.72,76.54,75.39,75.49
Gunung Kidul,72.92,71.89,72.01,76.54,75.64,75.72
Sleman,72.92,72.74,72.8,76.54,76.53,76.59
Kota Yogyakarta,72.92,72.45,72.56,76.54,76.24,76.34
JAWA TIMUR,68.8,68.82,68.99,72.68,72.7,72.87
Pacitan,68.8,69.3,69.51,72.68,73.2,73.41
Ponorogo,68.8,70.29,70.45,72.68,74.14,74.3
Trenggalek,68.8,71.2,71.4,72.68,75,75.2
Tulungagung,68.8,71.59,71.8,72.68,75.36,75.56
Blitar,68.8,71.03,71.2,72.68,74.84,75.01
Kediri,68.8,70.27,70.39,72.68,74.12,74.25
Malang,68.8,70.14,70.28,72.68,73.99,74.13
Lumajang,68.8,67.47,67.67,72.68,71.41,71.6
Jember,68.8,66.5,66.7,72.68,70.46,70.66
Banyuwangi,68.8,68.17,68.33,72.68,72.1,72.24
Bondowoso,68.8,64.05,64.27,72.68,67.93,68.17
