Provinsi/Kabupaten/Kota,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2016,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2017,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2018,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2016,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2017,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2018
MALUKU UTARA,65.53,65.56,65.82,69.5,69.53,69.79
Halmahera Barat,65.53,63.56,63.79,69.5,67.42,67.65
Halmahera Tengah,65.53,60.87,61.21,69.5,64.63,65.01
Kepulauan Sula,65.53,60.67,60.9,69.5,64.42,64.65
Halmahera Selatan,65.53,63.22,63.44,69.5,67.06,67.28
Halmahera Utara,65.53,66.91,67.13,69.5,70.86,71.07
Halmahera Timur,65.53,65.81,66.14,69.5,69.77,70.11
Pulau Morotai,65.53,64.28,64.58,69.5,68.17,68.48
Pulau Taliabu,65.53,59.42,59.68,69.5,63.11,63.37
Kota Ternate,65.53,68.25,68.49,69.5,72.18,72.41
Kota Tidore Kepulauan,65.53,66.61,66.84,69.5,70.57,70.8
PAPUA BARAT,63.32,63.34,63.57,67.16,67.19,67.43
Fakfak,63.32,65.91,66.08,67.16,69.88,70.06
Kaimana,63.32,62.03,62.28,67.16,65.84,66.1
Teluk Wondama,63.32,57.41,57.67,67.16,61,61.28
Teluk Bintuni,63.32,57.96,58.26,67.16,61.59,61.93
Manokwari,63.32,65.96,66.18,67.16,69.92,70.14
Sorong Selatan,63.32,63.64,63.84,67.16,67.5,67.7
Sorong,63.32,63.53,63.72,67.16,67.39,67.58
Raja Ampat,63.32,62.3,62.46,67.16,66.11,66.27
Tambrauw,63.32,57.44,57.71,67.16,61.04,61.32
Maybrat,63.32,62.95,63.08,67.16,66.67,66.81
Manokwari Selatan,63.32,64.94,65.14,67.16,68.86,69.06
Pegunungan Arfak,63.32,64.71,64.87,67.16,68.62,68.8
Kota Sorong,63.32,67.64,67.98,67.16,71.58,71.91
PAPUA BARAT DAYA,-,-,-,-,-,-
Raja Ampat,-,-,-,-,-,-
Sorong,-,-,-,-,-,-
Sorong Selatan,-,-,-,-,-,-
Maybrat,-,-,-,-,-,-
Tambrauw,-,-,-,-,-,-
Kota Sorong,-,-,-,-,-,-
PAPUA,63.44,63.45,63.67,66.99,67,67.22
Merauke,63.44,64.8,64.95,66.99,68.46,68.62
Jayawijaya,63.44,56.84,57.15,66.99,60.4,60.72
Jayapura,63.44,64.61,64.8,66.99,68.36,68.55
Nabire,63.44,65.62,65.79,66.99,69.47,69.65
Kepulauan Yapen,63.44,66.78,66.92,66.99,70.63,70.77
Biak Numfor,63.44,65.93,66.06,66.99,69.8,69.94
Paniai,63.44,63.88,64.11,66.99,67.58,67.82
Puncak Jaya,63.44,62.44,62.67,66.99,66.26,66.5
Mimika,63.44,69.94,70.07,66.99,73.9,74.03
Boven Digoel,63.44,56.94,57.32,66.99,60.5,60.89
Mappi,63.44,62.34,62.58,66.99,66.15,66.43
Asmat,63.44,54.57,55.12,66.99,57.98,58.55
Yahukimo,63.44,63.34,63.54,66.99,67.19,67.39
Pegunungan Bintang,63.44,62.06,62.24,66.99,65.74,65.92
Tolikara,63.44,63.12,63.32,66.99,66.97,67.18
Sarmi,63.44,63.83,64,66.99,67.7,67.88
Keerom,63.44,64.4,64.57,66.99,68.06,68.23
Waropen,63.44,63.83,64,66.99,67.7,67.87
Supiori,63.44,63.35,63.55,66.99,67.2,67.4
Mamberamo Raya,63.44,55.13,55.4,66.99,58.58,58.86
Nduga,63.44,52.92,53.17,66.99,56.19,56.38
Lanny Jaya,63.44,63.78,63.9,66.99,67.52,67.68
Mamberamo Tengah,63.44,60.98,61.19,66.99,64.75,64.97
Yalimo,63.44,63.12,63.28,66.99,66.8,66.96
Puncak,63.44,63.5,63.7,66.99,66.99,67.19
Dogiyai,63.44,63.14,63.34,66.99,66.99,67.19
Intan Jaya,63.44,63.21,63.37,66.99,66.96,67.13
Deiyai,63.44,62.66,62.86,66.99,66.49,66.69
Kota Jayapura,63.44,68.05,68.2,66.99,71.89,72.04
PAPUA SELATAN,-,-,-,-,-,-
Merauke,-,-,-,-,-,-
Boven Digoel,-,-,-,-,-,-
Mappi,-,-,-,-,-,-
Asmat,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
Mimika,-,-,-,-,-,-
Dogiyai,-,-,-,-,-,-
Deiyai,-,-,-,-,-,-
Nabire,-,-,-,-,-,-
Paniai,-,-,-,-,-,-
Intan Jaya,-,-,-,-,-,-
Puncak,-,-,-,-,-,-
Puncak Jaya,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
Nduga,-,-,-,-,-,-
Jayawijaya,-,-,-,-,-,-
Lanny Jaya,-,-,-,-,-,-
Tolikara,-,-,-,-,-,-
Mamberamo Tengah,-,-,-,-,-,-
Yalimo,-,-,-,-,-,-
Yahukimo,-,-,-,-,-,-
Pegunungan Bintang,-,-,-,-,-,-
INDONESIA,69.09,69.16,69.3,72.8,73.06,73.19
