units,dropouts,learning_rate,f1_pos_label_1,f1_weighted,f1_macro
"[128, 16]","[0.2, 0.3]",0.001,0.985559104063965,0.9751297508801242,0.9498218753990976
"[64, 32]","[0.2, 0.3]",0.005,0.9858418832649886,0.9753272182114019,0.9498137508186438
"[128, 64]","[0.5, 0.5]",0.001,0.9858421834466936,0.9753240540392657,0.9498025211561486
"[128, 32]","[0.5, 0.3]",0.01,0.985561235602105,0.9751138184914581,0.9497617795059815
"[64, 16]","[0.3, 0.2]",0.005,0.9855655907507685,0.97511385672422,0.9497483964624185
"[64, 16]","[0.2, 0.2]",0.01,0.9855638409586036,0.9751061794154022,0.9497311078159872
"[64, 16]","[0.2, 0.2]",0.005,0.9855714701509758,0.9750675461780656,0.949580937059558
"[64, 32]","[0.3, 0.2]",0.001,0.9855756064678962,0.9750532088812992,0.9495218012496011
"[128, 64]","[0.3, 0.3]",0.005,0.9855835232342526,0.9750303400027082,0.949418221593889
"[128, 16]","[0.2, 0.2]",0.005,0.9853014220470812,0.9748167940047647,0.9493739861076328
"[64, 16]","[0.3, 0.3]",0.01,0.9853091218367286,0.9747655984433532,0.9491819845476656
"[128, 64]","[0.3, 0.5]",0.001,0.9853380740334154,0.974655130037961,0.9487324716419522
"[128, 32]","[0.3, 0.2]",0.01,0.9850618117681377,0.974420534284091,0.9485978514907635
"[128, 16]","[0.2, 0.3]",0.005,0.985354832952939,0.9745768661635706,0.9484209165042019
"[64, 16]","[0.2, 0.2]",0.001,0.9850752955991565,0.9743592995462574,0.9483568310150247
"[128, 64]","[0.3, 0.2]",0.01,0.9850746220787462,0.9743567310984586,0.9483517043072287
"[128, 32]","[0.5, 0.2]",0.005,0.9850776447751537,0.9743512274705664,0.9483226961101031
"[64, 32]","[0.2, 0.3]",0.01,0.9848111251356068,0.9740568609234487,0.9479617585488023
"[128, 16]","[0.2, 0.2]",0.01,0.9851060781519618,0.9742286509639388,0.9478319185035226
"[128, 32]","[0.5, 0.3]",0.001,0.9853923851072103,0.9744083482187236,0.9477531203544801
"[128, 64]","[0.5, 0.5]",0.01,0.9851066551296039,0.9741915572298172,0.9477015406962085
"[64, 32]","[0.3, 0.2]",0.01,0.9848360886033465,0.9739549204040991,0.9475509401659913
"[128, 32]","[0.2, 0.2]",0.01,0.9848432621202616,0.9739347412429872,0.9474619807992596
"[64, 16]","[0.2, 0.3]",0.005,0.984847428603339,0.9739003356078185,0.9473374108225698
"[128, 32]","[0.3, 0.2]",0.005,0.9848499133566663,0.9738972096123891,0.9473188958437747
"[64, 16]","[0.3, 0.2]",0.001,0.9851341580260325,0.9740960359837038,0.9473113537029278
"[128, 64]","[0.2, 0.2]",0.01,0.9845675912946641,0.9736831295175833,0.9472714314846261
[64],[0.2],0.01,0.9845703890032887,0.973685327258449,0.947268654049577
"[128, 64]","[0.2, 0.5]",0.005,0.9845892713122509,0.9735966063901814,0.9469222465992297
"[128, 32]","[0.5, 0.5]",0.005,0.9845919659218492,0.9735781567886109,0.946850897361574
"[128, 32]","[0.2, 0.5]",0.01,0.9848794880157374,0.9737731584815036,0.9468211352223997
[128],[0.2],0.001,0.9849026818495994,0.9736703169006073,0.9464132965817385
"[128, 32]","[0.2, 0.5]",0.005,0.984903745213994,0.9736652825988962,0.9463940550974669
"[64, 32]","[0.2, 0.2]",0.001,0.9846233644379282,0.973445606978277,0.94632100982106
"[64, 32]","[0.2, 0.3]",0.001,0.984625236481452,0.9734412567384517,0.9463025936806352
"[128, 64]","[0.2, 0.3]",0.001,0.9846275323372824,0.9734285011640438,0.9462535223114625
"[128, 64]","[0.2, 0.5]",0.001,0.9846352581539497,0.973395353276418,0.946121071767363
"[64, 32]","[0.3, 0.5]",0.001,0.9846470143765106,0.9733357965378836,0.94588715486955
"[128, 16]","[0.3, 0.5]",0.01,0.9846658038025394,0.9732368639948873,0.9455038777423531
"[128, 32]","[0.5, 0.5]",0.001,0.9846773501136784,0.9732042067111127,0.9453637510757654
"[128, 32]","[0.3, 0.5]",0.001,0.9846870427746758,0.97316415114773,0.9452015491612498
"[128, 32]","[0.2, 0.3]",0.005,0.9841450890221499,0.972658982177129,0.9447864007990191
"[128, 16]","[0.5, 0.2]",0.001,0.9841706482937104,0.972536323965136,0.944304352329073
"[128, 64]","[0.5, 0.5]",0.005,0.9838931571728601,0.9723053667716934,0.9441874628678238
"[128, 32]","[0.3, 0.3]",0.001,0.9838960905911461,0.9722974086563368,0.944154257702432
"[128, 16]","[0.5, 0.3]",0.001,0.9838966412184941,0.9722897621928835,0.9441230624128097
"[64, 32]","[0.3, 0.3]",0.01,0.984188445313308,0.9724640624729233,0.9440115631055969
[128],[0.3],0.001,0.9842194645656269,0.9723212211049225,0.9434466543815382
"[64, 16]","[0.2, 0.3]",0.001,0.9836679228551394,0.9718674002804768,0.9432290997707561
"[64, 32]","[0.3, 0.3]",0.001,0.9839487390081736,0.972065372305735,0.9432271113541738
"[128, 64]","[0.5, 0.3]",0.01,0.9833775095485834,0.9716580529946466,0.9432200319968133
"[128, 32]","[0.2, 0.3]",0.01,0.9837015804673043,0.9716996497690175,0.942577078414763
"[128, 64]","[0.2, 0.5]",0.01,0.983427298057553,0.9714703695058624,0.9424506104800235
"[64, 32]","[0.2, 0.5]",0.001,0.9837173702952393,0.9716430364980564,0.9423404152762518
"[128, 32]","[0.3, 0.2]",0.001,0.9837258197656024,0.9715904435891524,0.9421459320901491
"[128, 16]","[0.5, 0.5]",0.001,0.9834735745482229,0.9712544136207657,0.94160672410057
[16],[0.5],0.01,0.9835349073428478,0.9709694159331198,0.940472267046319
"[64, 16]","[0.3, 0.3]",0.001,0.983266306870306,0.9707129327365078,0.9402529175779212
"[128, 64]","[0.2, 0.2]",0.005,0.9827078328662416,0.9702852703934225,0.9401405511494142
"[128, 16]","[0.2, 0.3]",0.01,0.9827376149423362,0.9701432918304449,0.9395844733895945
"[128, 64]","[0.5, 0.2]",0.01,0.9827855093555325,0.9699271275097564,0.9387284041788161
"[64, 16]","[0.2, 0.5]",0.001,0.9822554703546994,0.9693818661109234,0.938140875197306
"[64, 32]","[0.5, 0.3]",0.001,0.9823493416189336,0.9689320693857567,0.9363751642344477
[128],[0.5],0.001,0.9823756700665248,0.9688181306483338,0.9359177428066484
"[64, 32]","[0.3, 0.5]",0.01,0.9818098024546321,0.9683889725159994,0.9358176276966046
[64],[0.3],0.001,0.9816468726532573,0.9676930053592168,0.9338305042212527
"[64, 16]","[0.3, 0.5]",0.001,0.9814064950836761,0.9672922229572544,0.9330465777331186
"[64, 32]","[0.5, 0.2]",0.001,0.9811410555591262,0.9670110726318266,0.9327227640494464
"[64, 16]","[0.5, 0.3]",0.001,0.9811909944301082,0.9667737226629182,0.9317891375872369
"[64, 16]","[0.5, 0.2]",0.001,0.9809673101880012,0.9663124793344267,0.9307520619340582
"[32, 16]","[0.2, 0.2]",0.001,0.980441135320886,0.9657560495759286,0.9301214850717119
"[64, 32]","[0.5, 0.5]",0.001,0.980482768306425,0.9655444041260609,0.9292966625311898
[64],[0.2],0.001,0.9802853695869905,0.9649414675124447,0.9277070350493558
[16],[0.5],0.005,0.9796336452243732,0.9634118902553895,0.924044495141399
[64],[0.5],0.001,0.975900461171313,0.9566411593939045,0.9099067665608841
"[64, 16]","[0.5, 0.5]",0.001,0.9746107442858808,0.9551020497857682,0.9077679161348962
[32],[0.2],0.001,0.9712900001424072,0.9478577122602885,0.8909969692233336
[32],[0.3],0.001,0.9682545822597327,0.9423406060408253,0.8794564013672335
[16],[0.2],0.001,0.9663101846971879,0.9376463274478848,0.8680909823420321
[32],[0.5],0.001,0.9655557155887052,0.9366953954787244,0.8666646001873959
[16],[0.3],0.001,0.9630535769056355,0.9316398529145345,0.8554143960977374
[16],[0.5],0.001,0.9623469623469624,0.9285319225190785,0.8464815876035638
