Kabupaten/Kota,Tahun,Indeks Pembangunan Manusia
Karo,2023,75.98
Karo,2024,76.55
Katingan,2018,67.91
Katingan,2019,68.55
Katingan,2020,68.68
Katingan,2021,68.89
Katingan,2022,69.74
Katingan,2023,70.28
Katingan,2024,70.7
Kaur,2018,66.2
Kaur,2019,66.78
Kaur,2020,66.99
Kaur,2021,67.17
Kaur,2022,67.77
Kaur,2023,68.38
Kaur,2024,68.98
Kayong Utara,2018,61.82
Kayong Utara,2019,62.66
Kayong Utara,2020,62.68
Kayong Utara,2021,62.9
Kayong Utara,2022,63.81
Kayong Utara,2023,64.79
Kayong Utara,2024,65.74
Kebumen,2018,68.8
Kebumen,2019,69.6
Kebumen,2020,69.81
Kebumen,2021,70.05
Kebumen,2022,70.79
Kebumen,2023,71.37
Kebumen,2024,71.93
Kediri,2018,71.07
Kediri,2019,71.85
Kediri,2020,72.05
Kediri,2021,72.56
Kediri,2022,73.46
Kediri,2023,73.96
Kediri,2024,74.44
Keerom,2018,65.75
Keerom,2019,66.59
Keerom,2020,66.4
Keerom,2021,66.49
Keerom,2022,67.24
Keerom,2023,68.08
Keerom,2024,68.68
Kendal,2018,71.28
Kendal,2019,71.97
Kendal,2020,72.29
Kendal,2021,72.5
Kendal,2022,73.19
Kendal,2023,73.86
Kendal,2024,74.34
Kep. Seribu,2018,70.91
Kep. Seribu,2019,71.4
Kep. Seribu,2020,71.63
Kep. Seribu,2021,72.1
Kep. Seribu,2022,72.79
Kep. Seribu,2023,73.39
Kep. Seribu,2024,74.17
Kepahiang,2018,67.14
Kepahiang,2019,67.67
Kepahiang,2020,68.17
Kepahiang,2021,68.62
Kepahiang,2022,69.09
Kepahiang,2023,69.6
Kepahiang,2024,70.27
Kepulauan Anambas,2018,67.53
Kepulauan Anambas,2019,68.48
Kepulauan Anambas,2020,68.8
Kepulauan Anambas,2021,69.23
Kepulauan Anambas,2022,69.61
Kepulauan Anambas,2023,70.26
Kepulauan Anambas,2024,70.93
Kepulauan Aru,2018,63.12
Kepulauan Aru,2019,63.64
Kepulauan Aru,2020,63.71
Kepulauan Aru,2021,63.83
Kepulauan Aru,2022,64.21
Kepulauan Aru,2023,65.01
Kepulauan Aru,2024,65.83
Kepulauan Mentawai,2018,60.28
Kepulauan Mentawai,2019,61.26
Kepulauan Mentawai,2020,61.09
Kepulauan Mentawai,2021,61.35
Kepulauan Mentawai,2022,62.19
Kepulauan Mentawai,2023,63.13
Kepulauan Mentawai,2024,63.99
Kepulauan Meranti,2018,65.23
Kepulauan Meranti,2019,65.93
Kepulauan Meranti,2020,65.5
Kepulauan Meranti,2021,65.7
Kepulauan Meranti,2022,66.52
Kepulauan Meranti,2023,67.28
Kepulauan Meranti,2024,67.92
Kepulauan Sangihe,2018,69.67
Kepulauan Sangihe,2019,70.53
Kepulauan Sangihe,2020,70.73
Kepulauan Sangihe,2021,71.07
Kepulauan Sangihe,2022,71.63
Kepulauan Sangihe,2023,72.22
Kepulauan Sangihe,2024,72.71
Kepulauan Selayar,2018,66.04
Kepulauan Selayar,2019,66.91
Kepulauan Selayar,2020,67.38
Kepulauan Selayar,2021,67.76
Kepulauan Selayar,2022,68.35
Kepulauan Selayar,2023,69.2
Kepulauan Selayar,2024,70.03
Kepulauan Sula,2018,62.96
Kepulauan Sula,2019,63.64
Kepulauan Sula,2020,63.53
Kepulauan Sula,2021,63.8
Kepulauan Sula,2022,64.7
Kepulauan Sula,2023,65.29
Kepulauan Sula,2024,65.99
Kepulauan Talaud,2018,68.32
Kepulauan Talaud,2019,68.97
Kepulauan Talaud,2020,69.4
Kepulauan Talaud,2021,69.83
Kepulauan Talaud,2022,70.43
Kepulauan Talaud,2023,71.14
Kepulauan Talaud,2024,71.77
Kepulauan Yapen,2018,67.0
Kepulauan Yapen,2019,67.76
Kepulauan Yapen,2020,67.66
Kepulauan Yapen,2021,67.72
Kepulauan Yapen,2022,68.41
Kepulauan Yapen,2023,69.11
Kepulauan Yapen,2024,69.65
Kerinci,2018,70.59
Kerinci,2019,70.95
Kerinci,2020,71.21
Kerinci,2021,71.45
Kerinci,2022,71.99
Kerinci,2023,72.54
Kerinci,2024,73.11
Ketapang,2018,66.41
Ketapang,2019,67.16
Ketapang,2020,67.17
Ketapang,2021,67.43
Ketapang,2022,67.92
Ketapang,2023,68.68
Ketapang,2024,69.42
Klaten,2018,74.79
Klaten,2019,75.29
Klaten,2020,75.56
Klaten,2021,76.12
Klaten,2022,76.95
Klaten,2023,77.59
Klaten,2024,78.16
Klungkung,2018,70.9
Klungkung,2019,71.71
Klungkung,2020,71.73
Klungkung,2021,71.75
Klungkung,2022,72.55
Klungkung,2023,73.11
Klungkung,2024,74.04
Kolaka,2018,72.07
Kolaka,2019,73.01
Kolaka,2020,73.45
Kolaka,2021,73.56
Kolaka,2022,73.98
Kolaka,2023,74.72
Kolaka,2024,75.18
Kolaka Timur,2018,65.53
Kolaka Timur,2019,66.49
Kolaka Timur,2020,67.02
Kolaka Timur,2021,67.76
Kolaka Timur,2022,68.73
Kolaka Timur,2023,69.57
Kolaka Timur,2024,70.27
Kolaka Utara,2018,68.44
Kolaka Utara,2019,68.91
Kolaka Utara,2020,69.31
Kolaka Utara,2021,69.5
Kolaka Utara,2022,70.39
Kolaka Utara,2023,71.04
Kolaka Utara,2024,71.7
Konawe,2018,70.72
Konawe,2019,71.29
Konawe,2020,71.35
Konawe,2021,71.48
Konawe,2022,72.04
Konawe,2023,72.77
Konawe,2024,73.39
Konawe Kepulauan,2018,64.36
Konawe Kepulauan,2019,65.05
Konawe Kepulauan,2020,65.41
Konawe Kepulauan,2021,65.73
Konawe Kepulauan,2022,66.69
Konawe Kepulauan,2023,67.32
Konawe Kepulauan,2024,67.99
Konawe Selatan,2018,67.51
Konawe Selatan,2019,67.88
Konawe Selatan,2020,68.2
Konawe Selatan,2021,68.58
Konawe Selatan,2022,69.36
Konawe Selatan,2023,70.32
Konawe Selatan,2024,71.19
Konawe Utara,2018,68.5
Konawe Utara,2019,69.22
Konawe Utara,2020,69.86
Konawe Utara,2021,70.23
Konawe Utara,2022,71.1
Konawe Utara,2023,71.71
Konawe Utara,2024,72.32
Kota Ambon,2018,80.24
Kota Ambon,2019,80.81
Kota Ambon,2020,80.84
Kota Ambon,2021,81.23
Kota Ambon,2022,81.63
Kota Ambon,2023,82.06
Kota Ambon,2024,82.56
Kota Balikpapan,2018,79.81
Kota Balikpapan,2019,80.11
Kota Balikpapan,2020,80.01
Kota Balikpapan,2021,80.71
Kota Balikpapan,2022,81.13
Kota Balikpapan,2023,81.66
Kota Balikpapan,2024,82.24
Kota Banda Aceh,2018,84.37
Kota Banda Aceh,2019,85.07
Kota Banda Aceh,2020,85.41
Kota Banda Aceh,2021,85.71
Kota Banda Aceh,2022,86.28
Kota Banda Aceh,2023,86.69
Kota Banda Aceh,2024,87.17
Kota Bandar Lampung,2018,76.63
Kota Bandar Lampung,2019,77.33
Kota Bandar Lampung,2020,77.44
Kota Bandar Lampung,2021,77.58
Kota Bandar Lampung,2022,78.01
Kota Bandar Lampung,2023,78.56
Kota Bandar Lampung,2024,79.19
Kota Bandung,2018,81.06
Kota Bandung,2019,81.62
Kota Bandung,2020,81.51
Kota Bandung,2021,81.96
Kota Bandung,2022,82.5
Kota Bandung,2023,83.04
Kota Bandung,2024,83.52
Kota Banjar,2018,71.25
Kota Banjar,2019,71.75
Kota Banjar,2020,71.7
Kota Banjar,2021,71.92
Kota Banjar,2022,72.55
Kota Banjar,2023,73.08
Kota Banjar,2024,73.64
Kota Banjar Baru,2018,78.83
Kota Banjar Baru,2019,79.22
Kota Banjar Baru,2020,79.1
Kota Banjar Baru,2021,79.26
Kota Banjar Baru,2022,79.68
Kota Banjar Baru,2023,80.11
Kota Banjar Baru,2024,80.51
Kota Banjarmasin,2018,76.83
Kota Banjarmasin,2019,77.16
Kota Banjarmasin,2020,77.1
Kota Banjarmasin,2021,77.57
Kota Banjarmasin,2022,77.97
Kota Banjarmasin,2023,78.5
Kota Banjarmasin,2024,79.05
Kota Batam,2018,80.54
Kota Batam,2019,81.09
Kota Batam,2020,81.11
Kota Batam,2021,81.12
Kota Batam,2022,81.67
Kota Batam,2023,82.11
Kota Batam,2024,82.86
Kota Batu,2018,75.04
Kota Batu,2019,75.88
Kota Batu,2020,75.9
Kota Batu,2021,76.28
Kota Batu,2022,77.22
Kota Batu,2023,78.18
Kota Batu,2024,78.79
Kota Baubau,2018,74.67
Kota Baubau,2019,75.21
Kota Baubau,2020,75.9
Kota Baubau,2021,76.26
Kota Baubau,2022,76.67
Kota Baubau,2023,77.52
Kota Baubau,2024,78.13
Kota Bekasi,2018,81.04
Kota Bekasi,2019,81.59
Kota Bekasi,2020,81.5
Kota Bekasi,2021,81.95
Kota Bekasi,2022,82.46
Kota Bekasi,2023,83.03
Kota Bekasi,2024,83.54
Kota Bengkulu,2018,79.67
Kota Bengkulu,2019,80.35
Kota Bengkulu,2020,80.36
Kota Bengkulu,2021,80.54
Kota Bengkulu,2022,80.99
Kota Bengkulu,2023,81.45
Kota Bengkulu,2024,82.04
Kota Bima,2018,75.04
Kota Bima,2019,75.8
Kota Bima,2020,75.81
Kota Bima,2021,76.11
Kota Bima,2022,76.84
Kota Bima,2023,77.36
Kota Bima,2024,78.04
Kota Binjai,2018,75.21
Kota Binjai,2019,75.89
Kota Binjai,2020,75.89
Kota Binjai,2021,76.01
Kota Binjai,2022,76.95
Kota Binjai,2023,77.6
Kota Binjai,2024,78.1
Kota Bitung,2018,73.27
Kota Bitung,2019,74.2
Kota Bitung,2020,74.1
Kota Bitung,2021,74.2
Kota Bitung,2022,74.7
Kota Bitung,2023,75.11
Kota Bitung,2024,75.71
Kota Blitar,2018,77.58
Kota Blitar,2019,78.56
Kota Blitar,2020,78.57
Kota Blitar,2021,78.98
Kota Blitar,2022,79.93
Kota Blitar,2023,80.63
Kota Blitar,2024,81.27
Kota Bogor,2018,75.66
Kota Bogor,2019,76.23
Kota Bogor,2020,76.11
Kota Bogor,2021,76.59
Kota Bogor,2022,77.17
Kota Bogor,2023,77.85
Kota Bogor,2024,78.52
Kota Bontang,2018,79.86
Kota Bontang,2019,80.09
Kota Bontang,2020,80.02
Kota Bontang,2021,80.59
Kota Bontang,2022,80.94
Kota Bontang,2023,81.56
Kota Bontang,2024,82.42
Kota Bukittinggi,2018,80.11
Kota Bukittinggi,2019,80.71
Kota Bukittinggi,2020,80.58
Kota Bukittinggi,2021,80.7
Kota Bukittinggi,2022,81.42
Kota Bukittinggi,2023,81.78
Kota Bukittinggi,2024,82.51
Kota Cilegon,2018,72.65
Kota Cilegon,2019,73.01
Kota Cilegon,2020,73.05
Kota Cilegon,2021,73.35
Kota Cilegon,2022,73.95
Kota Cilegon,2023,74.54
Kota Cilegon,2024,75.14
Kota Cimahi,2018,77.56
Kota Cimahi,2019,78.11
Kota Cimahi,2020,77.83
Kota Cimahi,2021,78.06
Kota Cimahi,2022,78.77
Kota Cimahi,2023,79.46
Kota Cimahi,2024,80.08
Kota Cirebon,2018,74.35
Kota Cirebon,2019,74.92
Kota Cirebon,2020,74.89
Kota Cirebon,2021,75.25
Kota Cirebon,2022,75.89
Kota Cirebon,2023,76.46
Kota Cirebon,2024,77.08
Kota Denpasar,2018,83.3
Kota Denpasar,2019,83.68
Kota Denpasar,2020,83.93
Kota Denpasar,2021,84.03
Kota Denpasar,2022,84.37
Kota Denpasar,2023,84.73
Kota Denpasar,2024,85.22
Kota Depok,2018,80.29
Kota Depok,2019,80.82
Kota Depok,2020,80.97
Kota Depok,2021,81.37
Kota Depok,2022,81.86
Kota Depok,2023,82.38
Kota Depok,2024,82.91
Kota Dumai,2018,74.06
Kota Dumai,2019,74.64
Kota Dumai,2020,74.4
Kota Dumai,2021,74.75
Kota Dumai,2022,75.26
Kota Dumai,2023,75.66
Kota Dumai,2024,76.19
Kota Gorontalo,2018,76.53
Kota Gorontalo,2019,77.08
Kota Gorontalo,2020,77.13
Kota Gorontalo,2021,77.41
Kota Gorontalo,2022,78.22
Kota Gorontalo,2023,78.64
Kota Gorontalo,2024,79.18
Kota Gunungsitoli,2018,68.33
Kota Gunungsitoli,2019,69.3
Kota Gunungsitoli,2020,69.31
Kota Gunungsitoli,2021,69.61
Kota Gunungsitoli,2022,70.23
Kota Gunungsitoli,2023,70.68
Kota Gunungsitoli,2024,71.41
Kota Jakarta Barat,2018,80.88
Kota Jakarta Barat,2019,81.21
Kota Jakarta Barat,2020,81.38
Kota Jakarta Barat,2021,81.76
Kota Jakarta Barat,2022,82.51
Kota Jakarta Barat,2023,83.02
Kota Jakarta Barat,2024,83.64
Kota Jakarta Pusat,2018,81.01
Kota Jakarta Pusat,2019,81.24
Kota Jakarta Pusat,2020,81.39
Kota Jakarta Pusat,2021,81.56
Kota Jakarta Pusat,2022,82.11
Kota Jakarta Pusat,2023,82.53
Kota Jakarta Pusat,2024,83.01
Kota Jakarta Selatan,2018,84.44
Kota Jakarta Selatan,2019,84.75
Kota Jakarta Selatan,2020,84.72
Kota Jakarta Selatan,2021,84.9
Kota Jakarta Selatan,2022,85.21
Kota Jakarta Selatan,2023,86.07
Kota Jakarta Selatan,2024,86.94
Kota Jakarta Timur,2018,82.06
Kota Jakarta Timur,2019,82.69
Kota Jakarta Timur,2020,82.66
Kota Jakarta Timur,2021,82.97
Kota Jakarta Timur,2022,83.45
Kota Jakarta Timur,2023,84.13
Kota Jakarta Timur,2024,84.65
Kota Jakarta Utara,2018,79.87
Kota Jakarta Utara,2019,80.17
Kota Jakarta Utara,2020,80.29
Kota Jakarta Utara,2021,80.51
Kota Jakarta Utara,2022,80.81
Kota Jakarta Utara,2023,81.11
Kota Jakarta Utara,2024,81.39
Kota Jambi,2018,77.41
Kota Jambi,2019,78.26
Kota Jambi,2020,78.37
Kota Jambi,2021,79.12
Kota Jambi,2022,79.58
Kota Jambi,2023,80.15
Kota Jambi,2024,81.04
Kota Jayapura,2018,79.58
Kota Jayapura,2019,80.16
Kota Jayapura,2020,79.94
Kota Jayapura,2021,80.11
Kota Jayapura,2022,80.61
Kota Jayapura,2023,81.14
Kota Jayapura,2024,81.67
Kota Kediri,2018,77.58
Kota Kediri,2019,78.08
Kota Kediri,2020,78.23
Kota Kediri,2021,78.6
Kota Kediri,2022,79.59
Kota Kediri,2023,80.44
Kota Kediri,2024,81.35
Kota Kendari,2018,82.22
Kota Kendari,2019,82.86
Kota Kendari,2020,83.53
Kota Kendari,2021,84.15
Kota Kendari,2022,84.51
Kota Kendari,2023,84.85
Kota Kendari,2024,85.33
Kota Kotamobagu,2018,72.55
Kota Kotamobagu,2019,73.22
Kota Kotamobagu,2020,72.97
Kota Kotamobagu,2021,73.47
Kota Kotamobagu,2022,73.96
Kota Kotamobagu,2023,74.43
Kota Kotamobagu,2024,75.27
Kota Kupang,2018,78.84
Kota Kupang,2019,79.55
Kota Kupang,2020,79.71
Kota Kupang,2021,79.74
Kota Kupang,2022,80.2
Kota Kupang,2023,80.62
Kota Kupang,2024,81.08
Kota Langsa,2018,76.34
Kota Langsa,2019,77.16
Kota Langsa,2020,77.17
Kota Langsa,2021,77.44
Kota Langsa,2022,77.82
Kota Langsa,2023,78.36
Kota Langsa,2024,78.81
Kota Lhokseumawe,2018,76.62
Kota Lhokseumawe,2019,77.3
Kota Lhokseumawe,2020,77.31
Kota Lhokseumawe,2021,77.57
Kota Lhokseumawe,2022,78.04
Kota Lhokseumawe,2023,78.92
Kota Lhokseumawe,2024,79.55
Kota Lubuklinggau,2018,74.09
Kota Lubuklinggau,2019,74.81
Kota Lubuklinggau,2020,74.78
Kota Lubuklinggau,2021,74.89
Kota Lubuklinggau,2022,75.53
Kota Lubuklinggau,2023,76.19
Kota Lubuklinggau,2024,76.82
Kota Madiun,2018,80.33
Kota Madiun,2019,80.88
Kota Madiun,2020,80.91
Kota Madiun,2021,81.25
Kota Madiun,2022,82.01
Kota Madiun,2023,82.71
Kota Madiun,2024,83.48
Kota Magelang,2018,78.31
Kota Magelang,2019,78.8
Kota Magelang,2020,78.99
Kota Magelang,2021,79.43
Kota Magelang,2022,80.39
Kota Magelang,2023,81.17
Kota Magelang,2024,82.15
Kota Makasar,2018,81.73
Kota Makasar,2019,82.25
Kota Makasar,2020,82.25
Kota Makasar,2021,82.66
Kota Makasar,2022,83.12
Kota Makasar,2023,83.52
Kota Makasar,2024,83.9
Kota Malang,2018,80.89
Kota Malang,2019,81.32
Kota Malang,2020,81.45
Kota Malang,2021,82.04
Kota Malang,2022,82.71
Kota Malang,2023,83.39
Kota Malang,2024,84.06
Kota Manado,2018,78.41
Kota Manado,2019,79.12
Kota Manado,2020,78.93
Kota Manado,2021,79.2
Kota Manado,2022,79.66
Kota Manado,2023,80.14
Kota Manado,2024,80.63
Kota Mataram,2018,78.43
Kota Mataram,2019,79.1
Kota Mataram,2020,78.91
Kota Mataram,2021,79.14
Kota Mataram,2022,79.59
Kota Mataram,2023,80.09
Kota Mataram,2024,80.6
Kota Medan,2018,80.65
Kota Medan,2019,80.97
Kota Medan,2020,80.98
Kota Medan,2021,81.21
Kota Medan,2022,81.76
Kota Medan,2023,82.19
Kota Medan,2024,82.76
Kota Metro,2018,76.22
Kota Metro,2019,76.77
Kota Metro,2020,77.19
Kota Metro,2021,77.49
Kota Metro,2022,77.89
Kota Metro,2023,78.36
Kota Metro,2024,78.93
Kota Mojokerto,2018,77.14
Kota Mojokerto,2019,77.96
Kota Mojokerto,2020,78.04
Kota Mojokerto,2021,78.43
Kota Mojokerto,2022,79.32
Kota Mojokerto,2023,80.07
Kota Mojokerto,2024,80.92
Kota Padang,2018,82.25
Kota Padang,2019,82.68
Kota Padang,2020,82.82
Kota Padang,2021,82.9
Kota Padang,2022,83.29
Kota Padang,2023,83.58
Kota Padang,2024,83.99
Kota Padang Panjang,2018,77.3
Kota Padang Panjang,2019,78.0
Kota Padang Panjang,2020,77.93
Kota Padang Panjang,2021,77.97
Kota Padang Panjang,2022,78.78
Kota Padang Panjang,2023,79.26
Kota Padang Panjang,2024,80.17
Kota Padangsidimpuan,2018,74.38
Kota Padangsidimpuan,2019,75.06
Kota Padangsidimpuan,2020,75.22
Kota Padangsidimpuan,2021,75.48
Kota Padangsidimpuan,2022,76.05
Kota Padangsidimpuan,2023,76.44
Kota Padangsidimpuan,2024,76.96
Kota Pagar Alam,2018,67.62
Kota Pagar Alam,2019,68.44
Kota Pagar Alam,2020,68.31
Kota Pagar Alam,2021,68.68
Kota Pagar Alam,2022,69.6
Kota Pagar Alam,2023,70.45
Kota Pagar Alam,2024,71.19
Kota Palangka Raya,2018,80.34
Kota Palangka Raya,2019,80.77
Kota Palangka Raya,2020,80.77
Kota Palangka Raya,2021,80.82
Kota Palangka Raya,2022,81.16
Kota Palangka Raya,2023,81.68
Kota Palangka Raya,2024,82.2
Kota Palembang,2018,77.89
Kota Palembang,2019,78.44
Kota Palembang,2020,78.33
Kota Palembang,2021,78.72
Kota Palembang,2022,79.47
Kota Palembang,2023,80.02
Kota Palembang,2024,80.57
Kota Palopo,2018,77.3
Kota Palopo,2019,77.98
Kota Palopo,2020,78.06
Kota Palopo,2021,78.38
Kota Palopo,2022,78.91
Kota Palopo,2023,79.45
Kota Palopo,2024,79.94
Kota Palu,2018,80.91
Kota Palu,2019,81.5
Kota Palu,2020,81.47
Kota Palu,2021,81.7
Kota Palu,2022,82.02
Kota Palu,2023,82.52
Kota Palu,2024,82.88
Kota Pangkal Pinang,2018,77.43
Kota Pangkal Pinang,2019,77.97
Kota Pangkal Pinang,2020,78.22
Kota Pangkal Pinang,2021,78.57
Kota Pangkal Pinang,2022,79.24
Kota Pangkal Pinang,2023,79.93
Kota Pangkal Pinang,2024,80.4
Kota Parepare,2018,77.19
Kota Parepare,2019,77.62
Kota Parepare,2020,77.86
Kota Parepare,2021,78.21
Kota Parepare,2022,78.54
Kota Parepare,2023,79.03
Kota Parepare,2024,79.64
Kota Pariaman,2018,76.26
Kota Pariaman,2019,76.7
Kota Pariaman,2020,76.9
Kota Pariaman,2021,77.07
Kota Pariaman,2022,77.65
Kota Pariaman,2023,78.13
Kota Pariaman,2024,78.88
Kota Pasuruan,2018,74.78
Kota Pasuruan,2019,75.25
Kota Pasuruan,2020,75.26
Kota Pasuruan,2021,75.62
Kota Pasuruan,2022,76.54
Kota Pasuruan,2023,77.17
Kota Pasuruan,2024,77.75
Kota Payakumbuh,2018,78.23
Kota Payakumbuh,2019,78.95
Kota Payakumbuh,2020,78.9
Kota Payakumbuh,2021,79.08
Kota Payakumbuh,2022,79.53
Kota Payakumbuh,2023,79.97
Kota Payakumbuh,2024,80.61
Kota Pekalongan,2018,74.24
Kota Pekalongan,2019,74.77
Kota Pekalongan,2020,74.98
Kota Pekalongan,2021,75.4
Kota Pekalongan,2022,75.9
Kota Pekalongan,2023,76.71
Kota Pekalongan,2024,77.22
Kota Pekanbaru,2018,80.66
Kota Pekanbaru,2019,81.35
Kota Pekanbaru,2020,81.32
Kota Pekanbaru,2021,81.58
Kota Pekanbaru,2022,82.06
Kota Pekanbaru,2023,82.38
Kota Pekanbaru,2024,82.89
Kota Pematang Siantar,2018,77.88
Kota Pematang Siantar,2019,78.57
Kota Pematang Siantar,2020,78.75
Kota Pematang Siantar,2021,79.17
Kota Pematang Siantar,2022,79.7
Kota Pematang Siantar,2023,80.46
Kota Pematang Siantar,2024,81.17
Kota Pontianak,2018,78.56
Kota Pontianak,2019,79.35
Kota Pontianak,2020,79.44
Kota Pontianak,2021,79.93
Kota Pontianak,2022,80.48
Kota Pontianak,2023,81.03
Kota Pontianak,2024,81.57
Kota Prabumulih,2018,74.04
Kota Prabumulih,2019,74.4
Kota Prabumulih,2020,74.55
Kota Prabumulih,2021,74.67
Kota Prabumulih,2022,75.52
Kota Prabumulih,2023,76.46
Kota Prabumulih,2024,77.08
Kota Probolinggo,2018,72.53
Kota Probolinggo,2019,73.27
Kota Probolinggo,2020,73.27
Kota Probolinggo,2021,73.66
Kota Probolinggo,2022,74.56
Kota Probolinggo,2023,75.43
Kota Probolinggo,2024,76.27
Kota Sabang,2018,74.82
Kota Sabang,2019,75.77
Kota Sabang,2020,75.78
Kota Sabang,2021,76.11
Kota Sabang,2022,76.85
Kota Sabang,2023,77.52
Kota Sabang,2024,78.32
Kota Salatiga,2018,82.41
Kota Salatiga,2019,83.12
Kota Salatiga,2020,83.14
Kota Salatiga,2021,83.6
Kota Salatiga,2022,84.35
Kota Salatiga,2023,84.99
Kota Salatiga,2024,85.72
Kota Samarinda,2018,79.93
Kota Samarinda,2019,80.2
Kota Samarinda,2020,80.11
Kota Samarinda,2021,80.76
Kota Samarinda,2022,81.43
Kota Samarinda,2023,82.32
Kota Samarinda,2024,82.81
Kota Sawah Lunto,2018,71.72
Kota Sawah Lunto,2019,72.39
Kota Sawah Lunto,2020,72.64
Kota Sawah Lunto,2021,72.88
Kota Sawah Lunto,2022,73.73
Kota Sawah Lunto,2023,74.42
Kota Sawah Lunto,2024,75.13
Kota Semarang,2018,82.72
Kota Semarang,2019,83.19
Kota Semarang,2020,83.05
Kota Semarang,2021,83.55
Kota Semarang,2022,84.08
Kota Semarang,2023,84.43
Kota Semarang,2024,85.25
Kota Serang,2018,71.68
Kota Serang,2019,72.1
Kota Serang,2020,72.16
Kota Serang,2021,72.44
Kota Serang,2022,72.98
Kota Serang,2023,73.48
Kota Serang,2024,73.99
Kota Sibolga,2018,72.65
Kota Sibolga,2019,73.41
Kota Sibolga,2020,73.63
Kota Sibolga,2021,73.94
Kota Sibolga,2022,74.74
Kota Sibolga,2023,75.2
Kota Sibolga,2024,75.66
Kota Singkawang,2018,71.08
Kota Singkawang,2019,71.72
Kota Singkawang,2020,71.94
Kota Singkawang,2021,72.11
Kota Singkawang,2022,72.89
Kota Singkawang,2023,73.39
Kota Singkawang,2024,73.87
Kota Solok,2018,77.89
Kota Solok,2019,78.38
Kota Solok,2020,78.29
Kota Solok,2021,78.41
Kota Solok,2022,79.23
Kota Solok,2023,79.58
Kota Solok,2024,80.0
Kota Sorong,2018,77.35
Kota Sorong,2019,77.98
Kota Sorong,2020,78.45
Kota Sorong,2021,78.49
Kota Sorong,2022,78.98
Kota Sorong,2023,79.65
Kota Sorong,2024,79.93
Kota Subulussalam,2018,63.48
Kota Subulussalam,2019,64.46
Kota Subulussalam,2020,64.93
Kota Subulussalam,2021,65.27
Kota Subulussalam,2022,66.2
Kota Subulussalam,2023,67.1
Kota Subulussalam,2024,68.04
Kota Sukabumi,2018,73.55
Kota Sukabumi,2019,74.31
Kota Sukabumi,2020,74.21
Kota Sukabumi,2021,74.6
Kota Sukabumi,2022,75.4
Kota Sukabumi,2023,76.32
Kota Sukabumi,2024,76.85
Kota Sungai Penuh,2018,74.67
Kota Sungai Penuh,2019,75.36
Kota Sungai Penuh,2020,75.42
Kota Sungai Penuh,2021,75.7
Kota Sungai Penuh,2022,76.17
Kota Sungai Penuh,2023,76.65
Kota Sungai Penuh,2024,77.4
Kota Surabaya,2018,81.74
Kota Surabaya,2019,82.22
Kota Surabaya,2020,82.23
Kota Surabaya,2021,82.31
Kota Surabaya,2022,82.74
Kota Surabaya,2023,83.45
Kota Surabaya,2024,84.14
Kota Surakarta,2018,81.46
Kota Surakarta,2019,81.86
Kota Surakarta,2020,82.21
Kota Surakarta,2021,82.62
Kota Surakarta,2022,83.08
Kota Surakarta,2023,83.54
Kota Surakarta,2024,84.4
Kota Tangerang,2018,77.92
Kota Tangerang,2019,78.43
Kota Tangerang,2020,78.25
Kota Tangerang,2021,78.5
Kota Tangerang,2022,78.9
Kota Tangerang,2023,79.46
Kota Tangerang,2024,80.02
Kota Tangerang Selatan,2018,81.17
Kota Tangerang Selatan,2019,81.48
Kota Tangerang Selatan,2020,81.36
Kota Tangerang Selatan,2021,81.6
Kota Tangerang Selatan,2022,81.95
Kota Tangerang Selatan,2023,82.28
Kota Tangerang Selatan,2024,82.89
Kota Tanjung Balai,2018,68.0
Kota Tanjung Balai,2019,68.51
Kota Tanjung Balai,2020,68.65
Kota Tanjung Balai,2021,68.94
Kota Tanjung Balai,2022,69.86
Kota Tanjung Balai,2023,70.59
Kota Tanjung Balai,2024,71.1
Kota Tanjung Pinang,2018,78.33
Kota Tanjung Pinang,2019,78.73
Kota Tanjung Pinang,2020,78.91
Kota Tanjung Pinang,2021,78.93
Kota Tanjung Pinang,2022,79.64
Kota Tanjung Pinang,2023,80.23
Kota Tanjung Pinang,2024,80.63
Kota Tarakan,2018,75.69
Kota Tarakan,2019,76.09
Kota Tarakan,2020,75.83
Kota Tarakan,2021,76.23
Kota Tarakan,2022,76.68
Kota Tarakan,2023,77.53
Kota Tarakan,2024,77.96
Kota Tasikmalaya,2018,72.03
Kota Tasikmalaya,2019,72.84
Kota Tasikmalaya,2020,73.04
Kota Tasikmalaya,2021,73.31
Kota Tasikmalaya,2022,73.83
Kota Tasikmalaya,2023,74.47
Kota Tasikmalaya,2024,75.04
Kota Tebing Tinggi,2018,74.5
Kota Tebing Tinggi,2019,75.08
Kota Tebing Tinggi,2020,75.17
Kota Tebing Tinggi,2021,75.42
Kota Tebing Tinggi,2022,76.17
Kota Tebing Tinggi,2023,76.98
Kota Tebing Tinggi,2024,77.45
Kota Tegal,2018,74.44
Kota Tegal,2019,74.93
Kota Tegal,2020,75.07
Kota Tegal,2021,75.52
Kota Tegal,2022,76.15
Kota Tegal,2023,77.02
Kota Tegal,2024,77.43
Kota Ternate,2018,79.13
Kota Ternate,2019,80.03
Kota Ternate,2020,79.82
Kota Ternate,2021,80.14
Kota Ternate,2022,80.81
Kota Ternate,2023,81.35
Kota Ternate,2024,82.12
Kota Tidore Kepulauan,2018,69.89
Kota Tidore Kepulauan,2019,70.83
