Kabupaten/Kota,Tahun,Indeks Pembangunan Manusia
Bantul,2023,81.39
Bantul,2024,81.74
Banyu Asin,2018,66.4
Banyu Asin,2019,66.9
Banyu Asin,2020,66.74
Banyu Asin,2021,67.13
Banyu Asin,2022,67.93
Banyu Asin,2023,68.65
Banyu Asin,2024,69.51
Banyumas,2018,71.3
Banyumas,2019,71.96
Banyumas,2020,71.98
Banyumas,2021,72.44
Banyumas,2022,73.17
Banyumas,2023,73.86
Banyumas,2024,74.52
Banyuwangi,2018,70.06
Banyuwangi,2019,70.6
Banyuwangi,2020,70.62
Banyuwangi,2021,71.38
Banyuwangi,2022,71.94
Banyuwangi,2023,72.61
Banyuwangi,2024,73.11
Barito Kuala,2018,65.91
Barito Kuala,2019,66.24
Barito Kuala,2020,66.22
Barito Kuala,2021,66.64
Barito Kuala,2022,67.37
Barito Kuala,2023,68.11
Barito Kuala,2024,68.84
Barito Selatan,2018,69.73
Barito Selatan,2019,70.1
Barito Selatan,2020,70.22
Barito Selatan,2021,70.54
Barito Selatan,2022,71.01
Barito Selatan,2023,71.65
Barito Selatan,2024,72.36
Barito Timur,2018,70.82
Barito Timur,2019,71.34
Barito Timur,2020,71.39
Barito Timur,2021,71.47
Barito Timur,2022,72.07
Barito Timur,2023,72.7
Barito Timur,2024,73.26
Barito Utara,2018,69.72
Barito Utara,2019,70.52
Barito Utara,2020,70.59
Barito Utara,2021,70.79
Barito Utara,2022,71.21
Barito Utara,2023,71.84
Barito Utara,2024,72.31
Barru,2018,70.05
Barru,2019,70.6
Barru,2020,71.0
Barru,2021,71.13
Barru,2022,71.53
Barru,2023,72.36
Barru,2024,73.06
Batang,2018,67.86
Batang,2019,68.42
Batang,2020,68.65
Batang,2021,68.92
Batang,2022,69.45
Batang,2023,70.2
Batang,2024,70.74
Batang Hari,2018,69.33
Batang Hari,2019,69.67
Batang Hari,2020,69.84
Batang Hari,2021,70.11
Batang Hari,2022,70.51
Batang Hari,2023,71.02
Batang Hari,2024,71.67
Batu Bara,2018,67.67
Batu Bara,2019,68.35
Batu Bara,2020,68.36
Batu Bara,2021,68.58
Batu Bara,2022,69.51
Batu Bara,2023,70.31
Batu Bara,2024,70.83
Bekasi,2018,73.49
Bekasi,2019,73.99
Bekasi,2020,74.07
Bekasi,2021,74.45
Bekasi,2022,75.22
Bekasi,2023,75.76
Bekasi,2024,76.44
Belitung,2018,71.7
Belitung,2019,72.46
Belitung,2020,72.51
Belitung,2021,72.57
Belitung,2022,73.38
Belitung,2023,74.02
Belitung,2024,74.47
Belitung Timur,2018,70.22
Belitung Timur,2019,70.84
Belitung Timur,2020,70.92
Belitung Timur,2021,71.42
Belitung Timur,2022,72.29
Belitung Timur,2023,72.86
Belitung Timur,2024,73.19
Belu,2018,61.86
Belu,2019,62.54
Belu,2020,62.68
Belu,2021,62.77
Belu,2022,63.22
Belu,2023,63.83
Belu,2024,64.43
Bener Meriah,2018,72.14
Bener Meriah,2019,72.97
Bener Meriah,2020,72.98
Bener Meriah,2021,73.27
Bener Meriah,2022,73.9
Bener Meriah,2023,74.49
Bener Meriah,2024,75.01
Bengkalis,2018,72.94
Bengkalis,2019,73.44
Bengkalis,2020,73.46
Bengkalis,2021,73.58
Bengkalis,2022,74.38
Bengkalis,2023,74.97
Bengkalis,2024,75.28
Bengkayang,2018,66.85
Bengkayang,2019,67.57
Bengkayang,2020,67.87
Bengkayang,2021,68.04
Bengkayang,2022,68.74
Bengkayang,2023,69.53
Bengkayang,2024,70.3
Bengkulu Selatan,2018,69.85
Bengkulu Selatan,2019,70.27
Bengkulu Selatan,2020,70.63
Bengkulu Selatan,2021,70.75
Bengkulu Selatan,2022,71.42
Bengkulu Selatan,2023,71.91
Bengkulu Selatan,2024,72.35
Bengkulu Tengah,2018,66.65
Bengkulu Tengah,2019,67.3
Bengkulu Tengah,2020,67.61
Bengkulu Tengah,2021,67.96
Bengkulu Tengah,2022,68.47
Bengkulu Tengah,2023,68.99
Bengkulu Tengah,2024,69.84
Bengkulu Utara,2018,68.36
Bengkulu Utara,2019,68.8
Bengkulu Utara,2020,68.82
Bengkulu Utara,2021,69.28
Bengkulu Utara,2022,69.77
Bengkulu Utara,2023,70.28
Bengkulu Utara,2024,71.11
Berau,2018,74.01
Berau,2019,74.88
Berau,2020,74.71
Berau,2021,75.2
Berau,2022,75.74
Berau,2023,76.21
Berau,2024,76.66
Biak Numfor,2018,71.96
Biak Numfor,2019,72.57
Biak Numfor,2020,72.19
Biak Numfor,2021,72.33
Biak Numfor,2022,72.85
Biak Numfor,2023,73.46
Biak Numfor,2024,73.98
Bima,2018,65.62
Bima,2019,66.37
Bima,2020,66.3
Bima,2021,66.66
Bima,2022,67.57
Bima,2023,68.28
Bima,2024,68.94
Bintan,2018,73.41
Bintan,2019,73.98
Bintan,2020,74.13
Bintan,2021,74.57
Bintan,2022,74.99
Bintan,2023,75.7
Bintan,2024,76.18
Bireuen,2018,71.37
Bireuen,2019,72.27
Bireuen,2020,72.28
Bireuen,2021,72.33
Bireuen,2022,73.16
Bireuen,2023,73.63
Bireuen,2024,74.45
Blitar,2018,69.93
Blitar,2019,70.57
Blitar,2020,70.58
Blitar,2021,71.05
Blitar,2022,71.86
Blitar,2023,72.49
Blitar,2024,73.09
Blora,2018,67.95
Blora,2019,68.65
Blora,2020,68.84
Blora,2021,69.37
Blora,2022,69.95
Blora,2023,70.63
Blora,2024,71.39
Boalemo,2018,64.99
Boalemo,2019,65.53
Boalemo,2020,65.91
Boalemo,2021,66.42
Boalemo,2022,67.27
Boalemo,2023,68.18
Boalemo,2024,68.74
Bogor,2018,69.69
Bogor,2019,70.65
Bogor,2020,70.4
Bogor,2021,70.6
Bogor,2022,71.2
Bogor,2023,71.78
Bogor,2024,72.39
Bojonegoro,2018,67.85
Bojonegoro,2019,68.75
Bojonegoro,2020,69.04
Bojonegoro,2021,69.59
Bojonegoro,2022,70.12
Bojonegoro,2023,70.85
Bojonegoro,2024,71.78
Bolaang Mongondow,2018,66.91
Bolaang Mongondow,2019,67.82
Bolaang Mongondow,2020,67.89
Bolaang Mongondow,2021,68.16
Bolaang Mongondow,2022,68.95
Bolaang Mongondow,2023,69.62
