Kabupaten/Kota,Tahun,Pengeluaran Perkapita Daging
Banjarnegara,2022,5457.15
Banjarnegara,2023,7560.27
Banjarnegara,2024,6066.0
Bantaeng,2018,1659.3
Bantaeng,2019,1890.81
Bantaeng,2020,3118.52
Bantaeng,2021,2464.89
Bantaeng,2022,2796.07
Bantaeng,2023,3107.34
Bantaeng,2024,4169.0
Bantul,2018,4970.32
Bantul,2019,5517.56
Bantul,2020,6486.8
Bantul,2021,7459.02
Bantul,2022,7906.32
Bantul,2023,9177.43
Bantul,2024,8440.0
Banyu Asin,2018,3595.46
Banyu Asin,2019,4630.22
Banyu Asin,2020,4677.42
Banyu Asin,2021,6753.88
Banyu Asin,2022,7532.58
Banyu Asin,2023,7403.28
Banyu Asin,2024,7484.0
Banyumas,2018,4590.47
Banyumas,2019,4457.0
Banyumas,2020,4556.51
Banyumas,2021,6962.02
Banyumas,2022,7076.15
Banyumas,2023,7799.15
Banyumas,2024,8099.0
Banyuwangi,2018,3369.18
Banyuwangi,2019,3097.32
Banyuwangi,2020,3655.17
Banyuwangi,2021,4623.5
Banyuwangi,2022,4731.48
Banyuwangi,2023,6065.35
Banyuwangi,2024,7514.0
Barito Kuala,2018,2955.64
Barito Kuala,2019,3492.09
Barito Kuala,2020,3597.65
Barito Kuala,2021,4417.71
Barito Kuala,2022,4871.73
Barito Kuala,2023,4581.8
Barito Kuala,2024,4892.0
Barito Selatan,2018,5225.62
Barito Selatan,2019,5748.74
Barito Selatan,2020,7289.44
Barito Selatan,2021,7676.13
Barito Selatan,2022,10261.01
Barito Selatan,2023,8069.61
Barito Selatan,2024,9612.0
Barito Timur,2018,6305.49
Barito Timur,2019,6858.86
Barito Timur,2020,8503.77
Barito Timur,2021,8814.6
Barito Timur,2022,10795.7
Barito Timur,2023,8563.23
Barito Timur,2024,10976.0
Barito Utara,2018,7928.82
Barito Utara,2019,7848.09
Barito Utara,2020,10458.54
Barito Utara,2021,9335.84
Barito Utara,2022,11014.66
Barito Utara,2023,10922.57
Barito Utara,2024,11504.0
Barru,2018,1015.17
Barru,2019,1415.91
Barru,2020,2113.17
Barru,2021,2627.84
Barru,2022,3793.37
Barru,2023,3563.47
Barru,2024,3042.0
Batang,2018,3576.45
Batang,2019,3793.56
Batang,2020,4919.94
Batang,2021,5248.31
Batang,2022,5258.83
Batang,2023,5288.63
Batang,2024,5321.0
Batang Hari,2018,4872.87
Batang Hari,2019,5463.89
Batang Hari,2020,6034.52
Batang Hari,2021,6388.19
Batang Hari,2022,7526.87
Batang Hari,2023,8055.32
Batang Hari,2024,8196.0
Batu Bara,2018,2595.48
Batu Bara,2019,2998.89
Batu Bara,2020,2581.84
Batu Bara,2021,2839.87
Batu Bara,2022,4269.11
Batu Bara,2023,4444.91
Batu Bara,2024,3809.0
Bekasi,2018,6149.22
Bekasi,2019,8157.26
Bekasi,2020,6807.72
Bekasi,2021,6970.79
Bekasi,2022,10304.05
Bekasi,2023,9699.67
Bekasi,2024,9293.0
Belitung,2018,7870.55
Belitung,2019,8502.23
Belitung,2020,8751.62
Belitung,2021,8226.08
Belitung,2022,12894.36
Belitung,2023,11971.49
Belitung,2024,11682.0
Belitung Timur,2018,7477.45
Belitung Timur,2019,7762.48
Belitung Timur,2020,8964.21
Belitung Timur,2021,9760.35
Belitung Timur,2022,15204.94
Belitung Timur,2023,11313.72
Belitung Timur,2024,12530.0
Belu,2018,5990.67
Belu,2019,6576.04
Belu,2020,10263.17
Belu,2021,10857.56
Belu,2022,10033.55
Belu,2023,12972.15
Belu,2024,10404.0
Bener Meriah,2018,3626.85
Bener Meriah,2019,3170.88
Bener Meriah,2020,4514.15
Bener Meriah,2021,3427.84
Bener Meriah,2022,4632.01
Bener Meriah,2023,4194.74
Bener Meriah,2024,8418.0
Bengkalis,2018,4673.44
Bengkalis,2019,5522.68
Bengkalis,2020,5465.03
Bengkalis,2021,6577.2
Bengkalis,2022,8743.2
Bengkalis,2023,9469.38
Bengkalis,2024,9713.0
Bengkayang,2018,6518.75
Bengkayang,2019,7040.17
Bengkayang,2020,7275.93
Bengkayang,2021,10779.28
Bengkayang,2022,11477.4
Bengkayang,2023,13271.14
Bengkayang,2024,12157.0
Bengkulu Selatan,2018,5210.02
Bengkulu Selatan,2019,6329.87
Bengkulu Selatan,2020,5867.47
Bengkulu Selatan,2021,7007.75
Bengkulu Selatan,2022,7483.07
Bengkulu Selatan,2023,5574.88
Bengkulu Selatan,2024,6169.0
Bengkulu Tengah,2018,4971.71
Bengkulu Tengah,2019,4067.49
Bengkulu Tengah,2020,4511.96
Bengkulu Tengah,2021,5480.67
Bengkulu Tengah,2022,6367.29
Bengkulu Tengah,2023,6693.5
Bengkulu Tengah,2024,7038.0
Bengkulu Utara,2018,5358.71
Bengkulu Utara,2019,6917.11
Bengkulu Utara,2020,5139.93
Bengkulu Utara,2021,5527.33
Bengkulu Utara,2022,7319.98
Bengkulu Utara,2023,6990.64
Bengkulu Utara,2024,8416.0
Berau,2018,7725.36
Berau,2019,9303.64
Berau,2020,7441.76
Berau,2021,9269.77
Berau,2022,14705.21
Berau,2023,12169.42
Berau,2024,11166.0
Biak Numfor,2018,2987.11
Biak Numfor,2019,4204.17
Biak Numfor,2020,6087.07
Biak Numfor,2021,5953.59
Biak Numfor,2022,2734.05
Biak Numfor,2023,3999.88
Biak Numfor,2024,6818.0
Bima,2018,3136.17
Bima,2019,3096.61
Bima,2020,3686.02
Bima,2021,3654.67
Bima,2022,4742.21
Bima,2023,5359.14
Bima,2024,3865.0
Bintan,2018,5405.97
Bintan,2019,6024.83
Bintan,2020,6058.91
Bintan,2021,7713.31
Bintan,2022,11180.45
Bintan,2023,9381.42
Bintan,2024,10663.0
Bireuen,2018,1731.04
Bireuen,2019,2096.09
Bireuen,2020,2570.82
Bireuen,2021,4475.1
Bireuen,2022,7113.25
Bireuen,2023,3352.01
Bireuen,2024,3979.0
Blitar,2018,2606.07
Blitar,2019,3371.05
Blitar,2020,2816.84
Blitar,2021,3476.33
Blitar,2022,3135.18
Blitar,2023,4168.45
Blitar,2024,4782.0
Blora,2018,2216.48
Blora,2019,4697.26
Blora,2020,3793.47
Blora,2021,4754.05
Blora,2022,4880.6
Blora,2023,4823.49
Blora,2024,5042.0
Boalemo,2018,3307.67
Boalemo,2019,2836.99
Boalemo,2020,4433.68
Boalemo,2021,3129.14
Boalemo,2022,4310.92
Boalemo,2023,4706.94
Boalemo,2024,3880.0
Bogor,2018,6836.41
Bogor,2019,6427.81
Bogor,2020,6221.53
Bogor,2021,6738.24
Bogor,2022,9166.35
Bogor,2023,8887.84
Bogor,2024,7875.0
Bojonegoro,2018,4272.46
Bojonegoro,2019,4653.37
Bojonegoro,2020,4443.5
Bojonegoro,2021,5061.11
Bojonegoro,2022,6062.72
Bojonegoro,2023,6050.85
Bojonegoro,2024,6554.0
Bolaang Mongondow,2018,2890.25
Bolaang Mongondow,2019,3790.07
Bolaang Mongondow,2020,4818.69
Bolaang Mongondow,2021,5039.2
Bolaang Mongondow,2022,5706.72
Bolaang Mongondow,2023,3919.24
Bolaang Mongondow,2024,7203.0
Bolaang Mongondow Selatan,2018,907.05
Bolaang Mongondow Selatan,2019,1775.94
Bolaang Mongondow Selatan,2020,852.43
Bolaang Mongondow Selatan,2021,1038.47
Bolaang Mongondow Selatan,2022,2990.05
Bolaang Mongondow Selatan,2023,1914.25
Bolaang Mongondow Selatan,2024,1240.0
Bolaang Mongondow Timur,2018,2282.84
Bolaang Mongondow Timur,2019,2864.42
Bolaang Mongondow Timur,2020,3072.72
