Kabupaten/Kota,Tahun,Pengeluaran Perkapita Daging
Jeneponto,2024,1970.0
Jepara,2018,2737.11
Jepara,2019,2995.54
Jepara,2020,2998.68
Jepara,2021,4252.54
Jepara,2022,5675.08
Jepara,2023,4614.84
Jepara,2024,5163.0
Jombang,2018,4321.88
Jombang,2019,4580.64
Jombang,2020,5621.88
Jombang,2021,5849.96
Jombang,2022,6780.9
Jombang,2023,6026.08
Jombang,2024,6275.0
Kaimana,2018,5900.23
Kaimana,2019,4978.25
Kaimana,2020,4204.08
Kaimana,2021,4857.48
Kaimana,2022,8305.05
Kaimana,2023,5734.13
Kaimana,2024,6023.0
Kampar,2018,5632.94
Kampar,2019,5305.46
Kampar,2020,6215.3
Kampar,2021,6915.06
Kampar,2022,8350.1
Kampar,2023,7635.18
Kampar,2024,7866.0
Kapuas,2018,4835.76
Kapuas,2019,5987.62
Kapuas,2020,5838.3
Kapuas,2021,5281.56
Kapuas,2022,8397.47
Kapuas,2023,8095.84
Kapuas,2024,7585.0
Kapuas Hulu,2018,8510.67
Kapuas Hulu,2019,8376.23
Kapuas Hulu,2020,8457.15
Kapuas Hulu,2021,8208.73
Kapuas Hulu,2022,11371.49
Kapuas Hulu,2023,13380.72
Kapuas Hulu,2024,13076.0
Karanganyar,2018,5157.81
Karanganyar,2019,5333.29
Karanganyar,2020,5034.69
Karanganyar,2021,5778.55
Karanganyar,2022,6577.15
Karanganyar,2023,6402.53
Karanganyar,2024,7207.0
Karangasem,2018,5396.66
Karangasem,2019,6130.25
Karangasem,2020,8262.83
Karangasem,2021,6815.26
Karangasem,2022,5727.04
Karangasem,2023,5323.5
Karangasem,2024,8517.0
Karawang,2018,4789.11
Karawang,2019,5179.55
Karawang,2020,5100.67
Karawang,2021,5230.54
Karawang,2022,5877.62
Karawang,2023,6521.9
Karawang,2024,6614.0
Karimun,2018,6725.28
Karimun,2019,7636.78
Karimun,2020,7815.88
Karimun,2021,8750.75
Karimun,2022,8198.15
Karimun,2023,10583.79
Karimun,2024,10701.0
Karo,2018,7998.57
Karo,2019,8122.92
Karo,2020,8982.41
Karo,2021,10634.78
Karo,2022,11708.24
Karo,2023,12636.25
Karo,2024,12310.0
Katingan,2018,8940.82
Katingan,2019,8228.94
Katingan,2020,11760.8
Katingan,2021,13326.33
Katingan,2022,11206.78
Katingan,2023,13811.43
Katingan,2024,13858.0
Kaur,2018,4657.35
Kaur,2019,4860.13
Kaur,2020,4231.51
Kaur,2021,6206.85
Kaur,2022,7521.21
Kaur,2023,6998.53
Kaur,2024,6607.0
Kayong Utara,2018,4562.4
Kayong Utara,2019,5159.5
Kayong Utara,2020,4672.63
Kayong Utara,2021,5459.4
Kayong Utara,2022,5916.27
Kayong Utara,2023,5958.24
Kayong Utara,2024,7410.0
Kebumen,2018,2838.02
Kebumen,2019,3674.49
Kebumen,2020,3983.52
Kebumen,2021,5449.39
Kebumen,2022,5655.88
Kebumen,2023,5455.93
Kebumen,2024,5920.0
Kediri,2018,3333.76
Kediri,2019,3737.21
Kediri,2020,4098.43
Kediri,2021,5359.31
Kediri,2022,6805.75
Kediri,2023,6171.61
Kediri,2024,5833.0
Keerom,2018,6718.52
Keerom,2019,8126.0
Keerom,2020,7458.76
Keerom,2021,9852.66
Keerom,2022,7464.99
Keerom,2023,7730.9
Keerom,2024,12368.0
Kendal,2018,4110.15
Kendal,2019,4825.14
Kendal,2020,5055.55
Kendal,2021,5277.39
Kendal,2022,5551.0
Kendal,2023,6496.96
Kendal,2024,6832.0
Kep. Seribu,2018,3811.83
Kep. Seribu,2019,6185.64
Kep. Seribu,2020,8446.0
Kep. Seribu,2021,6270.68
Kep. Seribu,2022,11727.44
Kep. Seribu,2023,10209.85
Kep. Seribu,2024,6025.0
Kepahiang,2018,3473.26
Kepahiang,2019,3190.81
Kepahiang,2020,4393.02
Kepahiang,2021,4082.53
Kepahiang,2022,5211.41
Kepahiang,2023,5138.65
Kepahiang,2024,6659.0
Kepulauan Anambas,2018,4474.38
Kepulauan Anambas,2019,8320.02
Kepulauan Anambas,2020,6081.93
Kepulauan Anambas,2021,5350.95
Kepulauan Anambas,2022,7590.14
Kepulauan Anambas,2023,7740.68
Kepulauan Anambas,2024,9666.0
Kepulauan Aru,2018,2314.55
Kepulauan Aru,2019,2601.61
Kepulauan Aru,2020,2450.25
Kepulauan Aru,2021,3413.0
Kepulauan Aru,2022,2509.21
Kepulauan Aru,2023,3818.75
Kepulauan Aru,2024,3107.0
Kepulauan Mentawai,2018,4924.89
Kepulauan Mentawai,2019,5067.04
Kepulauan Mentawai,2020,6002.87
Kepulauan Mentawai,2021,5764.13
Kepulauan Mentawai,2022,7545.87
Kepulauan Mentawai,2023,6690.57
Kepulauan Mentawai,2024,6320.0
Kepulauan Meranti,2018,4189.09
Kepulauan Meranti,2019,3896.0
Kepulauan Meranti,2020,5255.58
Kepulauan Meranti,2021,4325.03
Kepulauan Meranti,2022,5677.8
Kepulauan Meranti,2023,5620.9
Kepulauan Meranti,2024,5180.0
Kepulauan Sangihe,2018,2324.49
Kepulauan Sangihe,2019,1907.61
Kepulauan Sangihe,2020,1834.95
Kepulauan Sangihe,2021,2520.15
Kepulauan Sangihe,2022,2790.47
Kepulauan Sangihe,2023,2987.66
Kepulauan Sangihe,2024,2640.0
Kepulauan Selayar,2018,230.16
Kepulauan Selayar,2019,1949.5
Kepulauan Selayar,2020,1350.14
Kepulauan Selayar,2021,1081.95
Kepulauan Selayar,2022,1603.72
Kepulauan Selayar,2023,1996.83
Kepulauan Selayar,2024,3886.0
Kepulauan Sula,2018,535.05
Kepulauan Sula,2019,465.31
Kepulauan Sula,2020,889.15
Kepulauan Sula,2021,414.48
Kepulauan Sula,2022,798.28
Kepulauan Sula,2023,1597.63
Kepulauan Sula,2024,1525.0
Kepulauan Talaud,2018,3846.85
Kepulauan Talaud,2019,3435.59
Kepulauan Talaud,2020,3396.4
Kepulauan Talaud,2021,5966.99
Kepulauan Talaud,2022,8543.95
Kepulauan Talaud,2023,7303.98
Kepulauan Talaud,2024,4514.0
Kepulauan Yapen,2018,4597.49
Kepulauan Yapen,2019,5187.41
Kepulauan Yapen,2020,6940.29
Kepulauan Yapen,2021,4807.02
Kepulauan Yapen,2022,5679.63
Kepulauan Yapen,2023,5337.35
Kepulauan Yapen,2024,11709.0
Kerinci,2018,4521.96
Kerinci,2019,4250.25
Kerinci,2020,7276.54
Kerinci,2021,6992.03
Kerinci,2022,8227.49
Kerinci,2023,9396.44
Kerinci,2024,7354.0
Ketapang,2018,5314.32
Ketapang,2019,6304.12
Ketapang,2020,6188.5
Ketapang,2021,7847.18
Ketapang,2022,8434.01
Ketapang,2023,9640.13
Ketapang,2024,10823.0
Klaten,2018,4419.64
Klaten,2019,4847.39
Klaten,2020,4429.82
Klaten,2021,5624.29
Klaten,2022,6607.57
Klaten,2023,5844.03
Klaten,2024,6046.0
Klungkung,2018,9004.29
Klungkung,2019,8659.06
Klungkung,2020,12852.93
Klungkung,2021,8367.22
Klungkung,2022,7878.67
Klungkung,2023,8513.02
Klungkung,2024,9689.0
Kolaka,2018,1587.44
Kolaka,2019,3000.75
Kolaka,2020,2131.66
Kolaka,2021,3359.72
Kolaka,2022,2947.31
Kolaka,2023,3528.01
Kolaka,2024,2417.0
Kolaka Timur,2018,2177.95
Kolaka Timur,2019,3112.73
Kolaka Timur,2020,2055.97
Kolaka Timur,2021,3637.64
Kolaka Timur,2022,2298.19
Kolaka Timur,2023,2108.36
Kolaka Timur,2024,3370.0
Kolaka Utara,2018,2025.53
Kolaka Utara,2019,2462.18
Kolaka Utara,2020,2423.51
Kolaka Utara,2021,2849.88
Kolaka Utara,2022,2773.94
Kolaka Utara,2023,1743.37
Kolaka Utara,2024,2779.0
Konawe,2018,3281.11
Konawe,2019,4060.57
Konawe,2020,4909.57
Konawe,2021,5020.78
Konawe,2022,5761.7
Konawe,2023,4554.56
Konawe,2024,4736.0
Konawe Kepulauan,2018,1558.06
Konawe Kepulauan,2019,1536.46
Konawe Kepulauan,2020,955.92
Konawe Kepulauan,2021,788.52
Konawe Kepulauan,2022,2298.69
Konawe Kepulauan,2023,2681.34
Konawe Kepulauan,2024,1492.0
Konawe Selatan,2018,1760.63
Konawe Selatan,2019,2639.26
Konawe Selatan,2020,2429.92
Konawe Selatan,2021,2917.6
Konawe Selatan,2022,2266.26
Konawe Selatan,2023,2539.88
Konawe Selatan,2024,2549.0
Konawe Utara,2018,2199.13
Konawe Utara,2019,3136.08
Konawe Utara,2020,3745.24
Konawe Utara,2021,4285.62
Konawe Utara,2022,5269.57
Konawe Utara,2023,4586.34
Konawe Utara,2024,4489.0
Kota Ambon,2018,4068.17
Kota Ambon,2019,4723.39
Kota Ambon,2020,3429.08
Kota Ambon,2021,4128.13
Kota Ambon,2022,5152.61
Kota Ambon,2023,3818.38
Kota Ambon,2024,4889.0
Kota Balikpapan,2018,10169.92
Kota Balikpapan,2019,7985.14
Kota Balikpapan,2020,8580.0
Kota Balikpapan,2021,11537.93
Kota Balikpapan,2022,14594.01
Kota Balikpapan,2023,13678.35
Kota Balikpapan,2024,13913.0
Kota Banda Aceh,2018,7746.49
Kota Banda Aceh,2019,5045.43
Kota Banda Aceh,2020,5098.1
Kota Banda Aceh,2021,8789.51
Kota Banda Aceh,2022,11429.85
Kota Banda Aceh,2023,8106.57
Kota Banda Aceh,2024,10456.0
Kota Bandar Lampung,2018,5356.67
Kota Bandar Lampung,2019,6213.95
Kota Bandar Lampung,2020,6701.03
Kota Bandar Lampung,2021,9032.22
Kota Bandar Lampung,2022,10144.03
Kota Bandar Lampung,2023,9935.58
Kota Bandar Lampung,2024,8106.0
Kota Bandung,2018,10997.33
Kota Bandung,2019,11387.98
Kota Bandung,2020,12673.4
Kota Bandung,2021,14165.68
Kota Bandung,2022,16492.58
Kota Bandung,2023,17280.16
Kota Bandung,2024,15759.0
Kota Banjar,2018,6553.03
Kota Banjar,2019,4550.36
Kota Banjar,2020,6401.81
Kota Banjar,2021,6253.81
Kota Banjar,2022,8431.19
Kota Banjar,2023,8566.36
Kota Banjar,2024,8322.0
Kota Banjar Baru,2018,7419.24
Kota Banjar Baru,2019,8868.52
Kota Banjar Baru,2020,9140.02
Kota Banjar Baru,2021,10128.11
Kota Banjar Baru,2022,11836.85
Kota Banjar Baru,2023,11921.18
Kota Banjar Baru,2024,11448.0
Kota Banjarmasin,2018,7605.76
Kota Banjarmasin,2019,6450.48
Kota Banjarmasin,2020,7229.96
Kota Banjarmasin,2021,9501.07
Kota Banjarmasin,2022,9741.44
Kota Banjarmasin,2023,8604.23
Kota Banjarmasin,2024,10339.0
Kota Baru,2018,5180.32
Kota Baru,2019,4925.2
Kota Baru,2020,4831.64
Kota Baru,2021,4711.59
Kota Baru,2022,7608.69
Kota Baru,2023,8300.43
Kota Baru,2024,7397.0
Kota Batam,2018,8631.89
Kota Batam,2019,9953.97
Kota Batam,2020,9350.86
Kota Batam,2021,12521.86
Kota Batam,2022,13633.63
Kota Batam,2023,14894.65
Kota Batam,2024,16571.0
Kota Batu,2018,6626.88
Kota Batu,2019,5833.67
Kota Batu,2020,6510.75
Kota Batu,2021,7602.13
Kota Batu,2022,8170.46
Kota Batu,2023,7874.85
Kota Batu,2024,9805.0
Kota Baubau,2018,1154.25
Kota Baubau,2019,1580.78
Kota Baubau,2020,2527.09
Kota Baubau,2021,1882.28
Kota Baubau,2022,2408.89
Kota Baubau,2023,1683.38
Kota Baubau,2024,2029.0
Kota Bekasi,2018,10883.71
Kota Bekasi,2019,12032.37
Kota Bekasi,2020,12621.52
Kota Bekasi,2021,14455.53
Kota Bekasi,2022,20208.91
Kota Bekasi,2023,17987.9
Kota Bekasi,2024,19141.0
Kota Bengkulu,2018,7940.09
Kota Bengkulu,2019,7745.27
Kota Bengkulu,2020,8017.97
Kota Bengkulu,2021,7971.73
Kota Bengkulu,2022,10188.42
Kota Bengkulu,2023,8966.99
Kota Bengkulu,2024,9959.0
Kota Bima,2018,5529.06
Kota Bima,2019,6214.65
Kota Bima,2020,6471.59
Kota Bima,2021,7788.23
Kota Bima,2022,6781.19
Kota Bima,2023,6284.86
Kota Bima,2024,7366.0
Kota Binjai,2018,4724.67
Kota Binjai,2019,6032.57
Kota Binjai,2020,5618.28
Kota Binjai,2021,5322.34
Kota Binjai,2022,6783.47
Kota Binjai,2023,7294.94
Kota Binjai,2024,9677.0
Kota Bitung,2018,3614.93
Kota Bitung,2019,4110.96
Kota Bitung,2020,3226.0
Kota Bitung,2021,6077.78
Kota Bitung,2022,6024.73
Kota Bitung,2023,5911.81
Kota Bitung,2024,5365.0
Kota Blitar,2018,5631.17
Kota Blitar,2019,4871.48
Kota Blitar,2020,5427.44
Kota Blitar,2021,6657.31
Kota Blitar,2022,6662.17
Kota Blitar,2023,5129.21
Kota Blitar,2024,6153.0
Kota Bogor,2018,9901.56
Kota Bogor,2019,10382.56
Kota Bogor,2020,10983.74
Kota Bogor,2021,13443.97
Kota Bogor,2022,11389.24
Kota Bogor,2023,14019.63
Kota Bogor,2024,12579.0
Kota Bontang,2018,9231.74
Kota Bontang,2019,9221.77
Kota Bontang,2020,8942.64
Kota Bontang,2021,10652.95
Kota Bontang,2022,11914.23
Kota Bontang,2023,13590.34
Kota Bontang,2024,11523.0
Kota Bukittinggi,2018,7594.63
Kota Bukittinggi,2019,7490.05
Kota Bukittinggi,2020,8755.62
Kota Bukittinggi,2021,11308.27
Kota Bukittinggi,2022,11506.03
Kota Bukittinggi,2023,10033.11
Kota Bukittinggi,2024,11200.0
Kota Cilegon,2018,6278.06
Kota Cilegon,2019,7069.69
Kota Cilegon,2020,7713.88
Kota Cilegon,2021,10064.38
Kota Cilegon,2022,9083.75
Kota Cilegon,2023,10880.37
Kota Cilegon,2024,8054.0
Kota Cimahi,2018,9616.94
Kota Cimahi,2019,11381.59
Kota Cimahi,2020,11268.98
Kota Cimahi,2021,11447.07
Kota Cimahi,2022,13268.51
Kota Cimahi,2023,14017.16
Kota Cimahi,2024,14559.0
Kota Cirebon,2018,6096.05
Kota Cirebon,2019,7114.38
Kota Cirebon,2020,6906.29
Kota Cirebon,2021,8306.78
Kota Cirebon,2022,9216.95
Kota Cirebon,2023,10166.76
Kota Cirebon,2024,8743.0
Kota Denpasar,2018,9663.68
Kota Denpasar,2019,11153.9
Kota Denpasar,2020,12763.82
Kota Denpasar,2021,12500.62
Kota Denpasar,2022,13507.44
Kota Denpasar,2023,16038.47
Kota Denpasar,2024,18553.0
Kota Depok,2018,10415.98
Kota Depok,2019,10780.9
Kota Depok,2020,12614.84
Kota Depok,2021,13446.24
Kota Depok,2022,18234.11
Kota Depok,2023,18979.96
Kota Depok,2024,19669.0
Kota Dumai,2018,5369.42
Kota Dumai,2019,6139.56
Kota Dumai,2020,5532.25
Kota Dumai,2021,6015.22
Kota Dumai,2022,9524.18
Kota Dumai,2023,7781.12
Kota Dumai,2024,7907.0
Kota Gorontalo,2018,3535.67
Kota Gorontalo,2019,2792.07
Kota Gorontalo,2020,2509.94
Kota Gorontalo,2021,3472.07
Kota Gorontalo,2022,5607.42
Kota Gorontalo,2023,2989.42
Kota Gorontalo,2024,3925.0
Kota Gunungsitoli,2018,6069.76
Kota Gunungsitoli,2019,6855.4
Kota Gunungsitoli,2020,7542.37
Kota Gunungsitoli,2021,6569.88
Kota Gunungsitoli,2022,8466.05
Kota Gunungsitoli,2023,7434.86
Kota Gunungsitoli,2024,9233.0
Kota Jakarta Barat,2018,10177.61
Kota Jakarta Barat,2019,11226.91
Kota Jakarta Barat,2020,12007.4
Kota Jakarta Barat,2021,12225.27
Kota Jakarta Barat,2022,15297.0
Kota Jakarta Barat,2023,17106.28
Kota Jakarta Barat,2024,16183.0
Kota Jakarta Pusat,2018,8716.38
Kota Jakarta Pusat,2019,10732.28
Kota Jakarta Pusat,2020,13477.02
Kota Jakarta Pusat,2021,12816.74
Kota Jakarta Pusat,2022,13866.74
Kota Jakarta Pusat,2023,13430.2
Kota Jakarta Pusat,2024,16016.0
Kota Jakarta Selatan,2018,12555.83
Kota Jakarta Selatan,2019,13773.94
Kota Jakarta Selatan,2020,17534.22
Kota Jakarta Selatan,2021,15029.14
Kota Jakarta Selatan,2022,19197.31
Kota Jakarta Selatan,2023,19060.19
Kota Jakarta Selatan,2024,19189.0
Kota Jakarta Timur,2018,11266.54
Kota Jakarta Timur,2019,11162.18
Kota Jakarta Timur,2020,13080.35
Kota Jakarta Timur,2021,12714.32
Kota Jakarta Timur,2022,18386.4
Kota Jakarta Timur,2023,18599.98
Kota Jakarta Timur,2024,17639.0
Kota Jakarta Utara,2018,10008.57
Kota Jakarta Utara,2019,11775.38
Kota Jakarta Utara,2020,10498.25
Kota Jakarta Utara,2021,11374.02
Kota Jakarta Utara,2022,15019.31
Kota Jakarta Utara,2023,16830.46
Kota Jakarta Utara,2024,15339.0
Kota Jambi,2018,7551.6
Kota Jambi,2019,8169.94
Kota Jambi,2020,7353.39
Kota Jambi,2021,9272.9
Kota Jambi,2022,11546.28
Kota Jambi,2023,9603.7
Kota Jambi,2024,9876.0
Kota Jayapura,2018,7813.29
Kota Jayapura,2019,10091.69
Kota Jayapura,2020,8672.9
Kota Jayapura,2021,11325.61
Kota Jayapura,2022,13098.24
Kota Jayapura,2023,12671.28
Kota Jayapura,2024,52535.0
Kota Kediri,2018,4848.66
Kota Kediri,2019,5762.19
Kota Kediri,2020,6343.15
Kota Kediri,2021,7906.71
Kota Kediri,2022,7918.39
Kota Kediri,2023,8198.81
Kota Kediri,2024,8448.0
Kota Kendari,2018,3956.89
Kota Kendari,2019,3213.87
Kota Kendari,2020,3364.01
Kota Kendari,2021,5357.37
Kota Kendari,2022,5806.39
Kota Kendari,2023,5466.9
Kota Kendari,2024,4672.0
Kota Kotamobagu,2018,2216.47
Kota Kotamobagu,2019,2555.29
Kota Kotamobagu,2020,2259.74
Kota Kotamobagu,2021,2811.59
Kota Kotamobagu,2022,3233.09
Kota Kotamobagu,2023,2547.31
Kota Kotamobagu,2024,4067.0
Kota Kupang,2018,9170.76
Kota Kupang,2019,7727.64
Kota Kupang,2020,9879.48
Kota Kupang,2021,10880.93
Kota Kupang,2022,9351.96
Kota Kupang,2023,10446.9
Kota Kupang,2024,11438.0
Kota Langsa,2018,3376.27
Kota Langsa,2019,2874.45
Kota Langsa,2020,3787.16
Kota Langsa,2021,3364.81
Kota Langsa,2022,4521.68
Kota Langsa,2023,4503.84
Kota Langsa,2024,4521.0
Kota Lhokseumawe,2018,3809.61
Kota Lhokseumawe,2019,2753.69
Kota Lhokseumawe,2020,3408.66
Kota Lhokseumawe,2021,4906.02
Kota Lhokseumawe,2022,4267.03
Kota Lhokseumawe,2023,4281.97
Kota Lhokseumawe,2024,5865.0
Kota Lubuklinggau,2018,6895.49
Kota Lubuklinggau,2019,6296.4
Kota Lubuklinggau,2020,6178.48
Kota Lubuklinggau,2021,7135.78
Kota Lubuklinggau,2022,6834.46
Kota Lubuklinggau,2023,8050.95
Kota Lubuklinggau,2024,8513.0
Kota Madiun,2018,7519.55
Kota Madiun,2019,6027.25
Kota Madiun,2020,6664.88
Kota Madiun,2021,7880.66
Kota Madiun,2022,10561.8
Kota Madiun,2023,11146.56
Kota Madiun,2024,10353.0
Kota Magelang,2018,5338.84
Kota Magelang,2019,5225.97
Kota Magelang,2020,5698.25
Kota Magelang,2021,7833.09
Kota Magelang,2022,10523.73
Kota Magelang,2023,8654.85
Kota Magelang,2024,9795.0
Kota Makasar,2018,4391.4
Kota Makasar,2019,4558.16
Kota Makasar,2020,4514.57
Kota Makasar,2021,5568.24
Kota Makasar,2022,9753.59
Kota Makasar,2023,7488.02
Kota Makasar,2024,7637.0
Kota Malang,2018,6898.12
Kota Malang,2019,7476.09
Kota Malang,2020,7840.02
Kota Malang,2021,9217.71
Kota Malang,2022,13582.61
Kota Malang,2023,10890.49
Kota Malang,2024,12138.0
Kota Manado,2018,5418.77
Kota Manado,2019,4597.05
Kota Manado,2020,5550.77
Kota Manado,2021,6141.18
Kota Manado,2022,9283.57
Kota Manado,2023,6659.41
Kota Manado,2024,7612.0
Kota Mataram,2018,9004.22
Kota Mataram,2019,8858.99
Kota Mataram,2020,10451.83
Kota Mataram,2021,11018.25
Kota Mataram,2022,11962.44
Kota Mataram,2023,11742.92
Kota Mataram,2024,13088.0
Kota Medan,2018,6973.79
Kota Medan,2019,6876.21
Kota Medan,2020,6851.31
Kota Medan,2021,7958.58
Kota Medan,2022,10062.52
Kota Medan,2023,10006.23
Kota Medan,2024,8736.0
Kota Metro,2018,5007.65
Kota Metro,2019,6151.39
Kota Metro,2020,6748.04
Kota Metro,2021,7896.3
Kota Metro,2022,7976.4
Kota Metro,2023,6752.95
Kota Metro,2024,7282.0
Kota Mojokerto,2018,6615.86
Kota Mojokerto,2019,7315.5
Kota Mojokerto,2020,7637.3
Kota Mojokerto,2021,9482.9
Kota Mojokerto,2022,10003.86
Kota Mojokerto,2023,10111.97
Kota Mojokerto,2024,10859.0
Kota Padang,2018,6252.29
Kota Padang,2019,6490.55
Kota Padang,2020,6430.66
Kota Padang,2021,7233.03
Kota Padang,2022,9242.03
Kota Padang,2023,8399.38
Kota Padang,2024,7863.0
Kota Padang Panjang,2018,7656.36
Kota Padang Panjang,2019,9441.59
Kota Padang Panjang,2020,9851.86
Kota Padang Panjang,2021,9033.56
Kota Padang Panjang,2022,12467.6
Kota Padang Panjang,2023,11006.88
Kota Padang Panjang,2024,14392.0
Kota Padangsidimpuan,2018,3647.3
Kota Padangsidimpuan,2019,3429.51
Kota Padangsidimpuan,2020,4593.98
Kota Padangsidimpuan,2021,4728.41
Kota Padangsidimpuan,2022,4711.19
Kota Padangsidimpuan,2023,4818.23
Kota Padangsidimpuan,2024,5909.0
Kota Pagar Alam,2018,5207.99
Kota Pagar Alam,2019,5240.85
Kota Pagar Alam,2020,5822.27
Kota Pagar Alam,2021,6883.07
Kota Pagar Alam,2022,5941.53
Kota Pagar Alam,2023,5367.45
Kota Pagar Alam,2024,8110.0
Kota Palangka Raya,2018,10359.47
Kota Palangka Raya,2019,9920.7
Kota Palangka Raya,2020,10527.84
Kota Palangka Raya,2021,13254.97
Kota Palangka Raya,2022,12604.65
Kota Palangka Raya,2023,13568.84
Kota Palangka Raya,2024,12492.0
Kota Palembang,2018,6603.39
Kota Palembang,2019,5692.81
Kota Palembang,2020,6163.32
Kota Palembang,2021,7577.14
Kota Palembang,2022,8900.11
Kota Palembang,2023,9190.09
Kota Palembang,2024,10302.0
Kota Palopo,2018,3817.5
Kota Palopo,2019,2622.38
Kota Palopo,2020,3616.55
Kota Palopo,2021,2836.78
Kota Palopo,2022,4009.16
Kota Palopo,2023,4744.33
Kota Palopo,2024,4776.0
Kota Palu,2018,3640.73
Kota Palu,2019,3895.71
Kota Palu,2020,2854.52
Kota Palu,2021,3616.34
Kota Palu,2022,4900.28
Kota Palu,2023,5666.09
Kota Palu,2024,4465.0
Kota Pangkal Pinang,2018,9821.14
Kota Pangkal Pinang,2019,10141.83
Kota Pangkal Pinang,2020,11257.45
Kota Pangkal Pinang,2021,11826.45
Kota Pangkal Pinang,2022,16963.95
Kota Pangkal Pinang,2023,15224.59
Kota Pangkal Pinang,2024,16910.0
Kota Parepare,2018,2587.69
Kota Parepare,2019,2920.78
Kota Parepare,2020,2780.89
Kota Parepare,2021,3853.55
Kota Parepare,2022,3155.61
Kota Parepare,2023,3944.9
Kota Parepare,2024,3333.0
Kota Pariaman,2018,3685.54
Kota Pariaman,2019,4445.71
Kota Pariaman,2020,6090.7
Kota Pariaman,2021,5390.33
Kota Pariaman,2022,5731.69
Kota Pariaman,2023,5483.73
Kota Pariaman,2024,6321.0
Kota Pasuruan,2018,6181.56
Kota Pasuruan,2019,6107.76
Kota Pasuruan,2020,5657.07
Kota Pasuruan,2021,6571.14
Kota Pasuruan,2022,7397.17
Kota Pasuruan,2023,7717.27
Kota Pasuruan,2024,9360.0
Kota Payakumbuh,2018,5496.93
Kota Payakumbuh,2019,6915.42
Kota Payakumbuh,2020,5763.14
Kota Payakumbuh,2021,6285.71
Kota Payakumbuh,2022,6783.89
Kota Payakumbuh,2023,7785.78
Kota Payakumbuh,2024,7500.0
Kota Pekalongan,2018,4606.05
Kota Pekalongan,2019,5495.99
Kota Pekalongan,2020,6083.88
Kota Pekalongan,2021,7636.32
Kota Pekalongan,2022,7609.35
Kota Pekalongan,2023,6650.48
Kota Pekalongan,2024,7739.0
Kota Pekanbaru,2018,6658.93
Kota Pekanbaru,2019,6885.94
Kota Pekanbaru,2020,8491.59
Kota Pekanbaru,2021,8643.74
Kota Pekanbaru,2022,11716.4
Kota Pekanbaru,2023,10269.85
Kota Pekanbaru,2024,10723.0
Kota Pematang Siantar,2018,6271.0
Kota Pematang Siantar,2019,5397.88
Kota Pematang Siantar,2020,5535.93
Kota Pematang Siantar,2021,6450.15
Kota Pematang Siantar,2022,7141.47
Kota Pematang Siantar,2023,9150.91
Kota Pematang Siantar,2024,7360.0
Kota Pontianak,2018,8505.46
Kota Pontianak,2019,9050.5
Kota Pontianak,2020,8166.24
Kota Pontianak,2021,9798.53
Kota Pontianak,2022,10963.5
Kota Pontianak,2023,11296.43
Kota Pontianak,2024,13062.0
Kota Prabumulih,2018,5597.32
Kota Prabumulih,2019,3700.82
Kota Prabumulih,2020,4371.22
Kota Prabumulih,2021,5082.29
Kota Prabumulih,2022,6123.71
Kota Prabumulih,2023,6348.43
Kota Prabumulih,2024,7797.0
Kota Probolinggo,2018,4441.92
Kota Probolinggo,2019,4528.2
Kota Probolinggo,2020,5213.68
Kota Probolinggo,2021,5644.36
Kota Probolinggo,2022,5939.24
Kota Probolinggo,2023,5660.85
Kota Probolinggo,2024,6089.0
Kota Sabang,2018,2307.31
Kota Sabang,2019,3636.12
Kota Sabang,2020,4063.62
Kota Sabang,2021,3727.92
Kota Sabang,2022,7662.38
Kota Sabang,2023,5491.05
Kota Sabang,2024,5979.0
Kota Salatiga,2018,5452.15
Kota Salatiga,2019,7199.87
Kota Salatiga,2020,7325.36
Kota Salatiga,2021,10254.54
Kota Salatiga,2022,13631.93
Kota Salatiga,2023,12491.17
Kota Salatiga,2024,11160.0
Kota Samarinda,2018,7698.59
Kota Samarinda,2019,6851.1
Kota Samarinda,2020,9308.57
Kota Samarinda,2021,8820.63
Kota Samarinda,2022,11933.49
Kota Samarinda,2023,12212.16
Kota Samarinda,2024,11291.0
Kota Sawah Lunto,2018,8153.07
Kota Sawah Lunto,2019,7353.88
Kota Sawah Lunto,2020,8082.34
Kota Sawah Lunto,2021,9936.59
Kota Sawah Lunto,2022,11671.02
Kota Sawah Lunto,2023,10052.16
Kota Sawah Lunto,2024,11692.0
Kota Semarang,2018,8578.55
Kota Semarang,2019,7348.99
Kota Semarang,2020,8562.53
Kota Semarang,2021,9871.78
Kota Semarang,2022,11080.86
Kota Semarang,2023,9903.26
Kota Semarang,2024,12194.0
Kota Serang,2018,5231.31
Kota Serang,2019,6468.77
Kota Serang,2020,7452.92
Kota Serang,2021,7409.97
Kota Serang,2022,8744.8
Kota Serang,2023,8292.17
Kota Serang,2024,7346.0
Kota Sibolga,2018,2083.4
Kota Sibolga,2019,1855.46
Kota Sibolga,2020,2501.29
Kota Sibolga,2021,2455.52
Kota Sibolga,2022,2980.86
Kota Sibolga,2023,2859.33
Kota Sibolga,2024,3796.0
Kota Singkawang,2018,9446.14
Kota Singkawang,2019,9444.66
Kota Singkawang,2020,8478.81
Kota Singkawang,2021,9260.22
Kota Singkawang,2022,11172.09
Kota Singkawang,2023,10798.59
Kota Singkawang,2024,15379.0
Kota Solok,2018,7343.53
Kota Solok,2019,7730.76
Kota Solok,2020,7352.17
Kota Solok,2021,8034.24
