Tahun,Jumlah Penduduk Miskin,Kabupaten/Kota
2022,16.44,Karimun
2023,14.33,Karimun
2024,13.99,Karimun
2018,35.36,Karo
2019,34.08,Karo
2020,36.57,Karo
2021,38.01,Karo
2022,35.93,Karo
2023,35.65,Karo
2024,33.44,Karo
2018,8.73,Katingan
2019,8.51,Katingan
2020,8.23,Katingan
2021,9.15,Katingan
2022,9.71,Katingan
2023,8.95,Katingan
2024,9.55,Katingan
2018,23.2,Kaur
2019,22.84,Kaur
2020,22.57,Kaur
2021,22.99,Kaur
2022,22.57,Kaur
2023,22.45,Kaur
2024,21.75,Kaur
2018,11.13,Kayong Utara
2019,11.21,Kayong Utara
2020,10.9,Kayong Utara
2021,10.72,Kayong Utara
2022,10.52,Kayong Utara
2023,10.77,Kayong Utara
2024,10.56,Kayong Utara
2018,208.66,Kebumen
2019,201.34,Kebumen
2020,211.09,Kebumen
2021,212.92,Kebumen
2022,196.16,Kebumen
2023,195.45,Kebumen
2024,187.95,Kebumen
2018,177.2,Kediri
2019,163.95,Kediri
2020,179.93,Kediri
2021,184.49,Kediri
2022,169.46,Kediri
2023,171.18,Kediri
2024,159.27,Kediri
2018,9.4,Keerom
2019,9.55,Keerom
2020,9.42,Keerom
2021,9.3,Keerom
2022,9.27,Keerom
2023,9.32,Keerom
2024,9.52,Keerom
2018,94.7,Kendal
2019,91.2,Kendal
2020,97.49,Kendal
2021,100.0,Kendal
2022,93.03,Kendal
2023,92.64,Kendal
2024,92.71,Kendal
2018,19.58,Kepahiang
2019,20.18,Kepahiang
2020,20.27,Kepahiang
2021,20.94,Kepahiang
2022,20.73,Kepahiang
2023,20.32,Kepahiang
2024,18.73,Kepahiang
2018,2.9,Kepulauan Anambas
2019,2.72,Kepulauan Anambas
2020,2.8,Kepulauan Anambas
2021,3.08,Kepulauan Anambas
2022,3.29,Kepulauan Anambas
2023,3.08,Kepulauan Anambas
2024,2.98,Kepulauan Anambas
2018,25.68,Kepulauan Aru
2019,25.62,Kepulauan Aru
2020,25.45,Kepulauan Aru
2021,25.11,Kepulauan Aru
2022,22.36,Kepulauan Aru
2023,23.13,Kepulauan Aru
2024,22.45,Kepulauan Aru
2018,12.99,Kepulauan Mentawai
2019,13.22,Kepulauan Mentawai
2020,13.37,Kepulauan Mentawai
2021,14.31,Kepulauan Mentawai
2022,13.74,Kepulauan Mentawai
2023,13.76,Kepulauan Mentawai
2024,14.19,Kepulauan Mentawai
2018,51.17,Kepulauan Meranti
2019,49.89,Kepulauan Meranti
2020,47.1,Kepulauan Meranti
2021,48.5,Kepulauan Meranti
2022,45.25,Kepulauan Meranti
2023,43.82,Kepulauan Meranti
2024,44.34,Kepulauan Meranti
2018,15.46,Kepulauan Sangihe
2019,14.62,Kepulauan Sangihe
2020,14.64,Kepulauan Sangihe
2021,14.55,Kepulauan Sangihe
2022,13.89,Kepulauan Sangihe
2023,14.6,Kepulauan Sangihe
2024,14.38,Kepulauan Sangihe
2018,17.59,Kepulauan Selayar
2019,17.36,Kepulauan Selayar
2020,17.04,Kepulauan Selayar
2021,16.93,Kepulauan Selayar
2022,16.74,Kepulauan Selayar
2023,16.89,Kepulauan Selayar
2024,14.94,Kepulauan Selayar
2018,2.88,Kepulauan Seribu
2019,2.93,Kepulauan Seribu
2020,3.63,Kepulauan Seribu
2021,3.86,Kepulauan Seribu
2022,3.67,Kepulauan Seribu
2023,3.47,Kepulauan Seribu
2024,3.49,Kepulauan Seribu
2018,9.19,Kepulauan Sula
2019,9.29,Kepulauan Sula
2020,8.81,Kepulauan Sula
2021,8.36,Kepulauan Sula
2022,7.84,Kepulauan Sula
2023,8.45,Kepulauan Sula
2024,8.31,Kepulauan Sula
2018,8.68,Kepulauan Talaud
2019,9.1,Kepulauan Talaud
2020,8.84,Kepulauan Talaud
2021,8.37,Kepulauan Talaud
2022,7.72,Kepulauan Talaud
2023,7.97,Kepulauan Talaud
2024,7.74,Kepulauan Talaud
2018,26.3,Kepulauan Yapen
2019,27.19,Kepulauan Yapen
2020,27.04,Kepulauan Yapen
2021,25.67,Kepulauan Yapen
2022,26.01,Kepulauan Yapen
2023,26.03,Kepulauan Yapen
2024,26.09,Kepulauan Yapen
2018,16.79,Kerinci
2019,17.0,Kerinci
2020,17.48,Kerinci
2021,18.45,Kerinci
2022,18.2,Kerinci
2023,18.21,Kerinci
2024,16.83,Kerinci
2018,54.86,Ketapang
2019,53.84,Ketapang
2020,53.45,Ketapang
2021,53.04,Ketapang
2022,49.92,Ketapang
2023,49.95,Ketapang
2024,46.59,Ketapang
2018,151.73,Klaten
2019,144.14,Klaten
2020,151.83,Klaten
2021,158.23,Klaten
2022,144.87,Klaten
2023,144.43,Klaten
2024,141.84,Klaten
2018,10.43,Klungkung
2019,9.66,Klungkung
2020,8.76,Klungkung
2021,10.19,Klungkung
2022,10.89,Klungkung
2023,10.22,Klungkung
2024,9.68,Klungkung
2018,24.74,Kolaka
2019,24.0,Kolaka
2020,23.76,Kolaka
2021,33.45,Kolaka
2022,31.56,Kolaka
2023,32.96,Kolaka
2024,33.2,Kolaka
2018,25.97,Kolaka Timur
2019,26.29,Kolaka Timur
2020,26.38,Kolaka Timur
2021,20.03,Kolaka Timur
2022,19.33,Kolaka Timur
2023,20.41,Kolaka Timur
2024,20.33,Kolaka Timur
2018,21.03,Kolaka Utara
2019,19.8,Kolaka Utara
2020,19.83,Kolaka Utara
2021,21.36,Kolaka Utara
2022,20.63,Kolaka Utara
2023,21.79,Kolaka Utara
2024,22.07,Kolaka Utara
2018,33.4,Konawe
2019,31.25,Konawe
2020,31.63,Konawe
2021,32.46,Konawe
2022,32.09,Konawe
2023,33.09,Konawe
2024,33.99,Konawe
2018,5.87,Konawe Kepulauan
2019,5.86,Konawe Kepulauan
2020,5.88,Konawe Kepulauan
2021,5.98,Konawe Kepulauan
2022,5.47,Konawe Kepulauan
2023,5.44,Konawe Kepulauan
2024,5.36,Konawe Kepulauan
2018,33.73,Konawe Selatan
2019,33.89,Konawe Selatan
2020,34.22,Konawe Selatan
2021,36.17,Konawe Selatan
2022,35.79,Konawe Selatan
2023,36.84,Konawe Selatan
2024,37.09,Konawe Selatan
2018,8.82,Konawe Utara
2019,8.67,Konawe Utara
2020,8.78,Konawe Utara
2021,9.26,Konawe Utara
2022,9.02,Konawe Utara
2023,9.01,Konawe Utara
2024,8.94,Konawe Utara
2018,21.61,Kota Ambon
2019,21.66,Kota Ambon
2020,22.15,Kota Ambon
2021,23.67,Kota Ambon
2022,22.58,Kota Ambon
2023,25.87,Kota Ambon
2024,25.81,Kota Ambon
2018,17.01,Kota Balikpapan
2019,15.78,Kota Balikpapan
2020,17.02,Kota Balikpapan
2021,18.53,Kota Balikpapan
2022,15.83,Kota Balikpapan
2023,14.99,Kota Balikpapan
2024,14.53,Kota Balikpapan
2018,19.13,Kota Banda Aceh
2019,19.42,Kota Banda Aceh
2020,18.97,Kota Banda Aceh
2021,20.95,Kota Banda Aceh
2022,19.9,Kota Banda Aceh
2023,19.94,Kota Banda Aceh
2024,19.97,Kota Banda Aceh
2018,93.04,Kota Bandar Lampung
2019,91.24,Kota Bandar Lampung
2020,93.74,Kota Bandar Lampung
2021,98.76,Kota Bandar Lampung
2022,90.51,Kota Bandar Lampung
2023,87.08,Kota Bandar Lampung
2024,83.88,Kota Bandar Lampung
2018,89.38,Kota Bandung
2019,84.67,Kota Bandung
2020,100.02,Kota Bandung
2021,112.5,Kota Bandung
2022,109.82,Kota Bandung
2023,102.8,Kota Bandung
2024,101.1,Kota Bandung
2018,10.41,Kota Banjar
2019,10.07,Kota Banjar
2020,11.16,Kota Banjar
2021,13.37,Kota Banjar
2022,12.73,Kota Banjar
2023,11.66,Kota Banjar
2024,11.16,Kota Banjar
2018,10.64,Kota Banjar Baru
2019,11.22,Kota Banjar Baru
2020,10.75,Kota Banjar Baru
2021,11.95,Kota Banjar Baru
2022,11.61,Kota Banjar Baru
2023,11.18,Kota Banjar Baru
2024,11.07,Kota Banjar Baru
2018,29.24,Kota Banjarmasin
2019,29.65,Kota Banjarmasin
2020,31.31,Kota Banjarmasin
2021,34.84,Kota Banjarmasin
2022,34.01,Kota Banjarmasin
2023,33.47,Kota Banjarmasin
2024,33.38,Kota Banjarmasin
2018,15.17,Kota Baru
2019,15.29,Kota Baru
2020,14.6,Kota Baru
2021,16.83,Kota Baru
2022,15.07,Kota Baru
2023,15.32,Kota Baru
2024,15.98,Kota Baru
2018,67.41,Kota Batam
2019,66.21,Kota Batam
2020,67.06,Kota Batam
2021,77.17,Kota Batam
2022,82.59,Kota Batam
2023,83.09,Kota Batam
2024,83.57,Kota Batam
2018,7.98,Kota Batu
2019,7.89,Kota Batu
2020,8.12,Kota Batu
2021,8.63,Kota Batu
2022,8.05,Kota Batu
2023,7.1,Kota Batu
2024,6.59,Kota Batu
2018,12.59,Kota Baubau
2019,12.42,Kota Baubau
2020,12.53,Kota Baubau
2021,13.3,Kota Baubau
2022,12.69,Kota Baubau
2023,13.29,Kota Baubau
2024,13.25,Kota Baubau
2018,119.82,Kota Bekasi
2019,113.65,Kota Bekasi
2020,134.01,Kota Bekasi
2021,144.12,Kota Bekasi
2022,137.39,Kota Bekasi
2023,129.4,Kota Bekasi
2024,128.84,Kota Bekasi
2018,70.44,Kota Bengkulu
2019,69.26,Kota Bengkulu
2020,69.12,Kota Bengkulu
2021,66.94,Kota Bengkulu
2022,59.43,Kota Bengkulu
2023,56.1,Kota Bengkulu
2024,52.96,Kota Bengkulu
2018,14.84,Kota Bima
2019,14.8,Kota Bima
2020,14.66,Kota Bima
2021,16.22,Kota Bima
2022,16.44,Kota Bima
2023,16.53,Kota Bima
2024,15.81,Kota Bima
2018,16.07,Kota Binjai
2019,15.61,Kota Binjai
2020,15.91,Kota Binjai
2021,16.46,Kota Binjai
2022,14.61,Kota Binjai
2023,13.85,Kota Binjai
2024,13.86,Kota Binjai
2018,14.34,Kota Bitung
2019,14.1,Kota Bitung
2020,14.18,Kota Bitung
2021,14.33,Kota Bitung
2022,14.0,Kota Bitung
2023,15.0,Kota Bitung
2024,14.5,Kota Bitung
2018,10.47,Kota Blitar
2019,10.1,Kota Blitar
2020,11.1,Kota Blitar
2021,11.33,Kota Blitar
2022,10.65,Kota Blitar
2023,10.61,Kota Blitar
2024,9.86,Kota Blitar
2018,64.85,Kota Bogor
2019,63.97,Kota Bogor
2020,75.04,Kota Bogor
2021,80.09,Kota Bogor
2022,79.15,Kota Bogor
2023,74.95,Kota Bogor
2024,73.93,Kota Bogor
2018,8.1,Kota Bontang
2019,7.47,Kota Bontang
2020,7.91,Kota Bontang
2021,8.41,Kota Bontang
2022,8.39,Kota Bontang
2023,7.71,Kota Bontang
2024,7.11,Kota Bontang
2018,6.32,Kota Bukittinggi
2019,6.0,Kota Bukittinggi
2020,6.01,Kota Bukittinggi
2021,6.98,Kota Bukittinggi
2022,6.16,Kota Bukittinggi
2023,5.78,Kota Bukittinggi
2024,5.82,Kota Bukittinggi
2018,13.96,Kota Cilegon
2019,13.2,Kota Cilegon
2020,16.31,Kota Cilegon
2021,18.89,Kota Cilegon
2022,16.46,Kota Cilegon
2023,18.2,Kota Cilegon
2024,17.31,Kota Cilegon
2018,29.94,Kota Cimahi
2019,26.91,Kota Cimahi
2020,31.64,Kota Cimahi
2021,32.48,Kota Cimahi
2022,31.16,Kota Cimahi
2023,28.56,Kota Cimahi
2024,27.0,Kota Cimahi
2018,28.03,Kota Cirebon
2019,26.8,Kota Cirebon
2020,30.61,Kota Cirebon
2021,31.98,Kota Cirebon
2022,31.47,Kota Cirebon
2023,29.49,Kota Cirebon
2024,29.17,Kota Cirebon
2018,20.72,Kota Denpasar
2019,19.83,Kota Denpasar
2020,20.48,Kota Denpasar
2021,29.41,Kota Denpasar
2022,30.02,Kota Denpasar
2023,27.69,Kota Denpasar
2024,27.27,Kota Denpasar
2018,49.39,Kota Depok
2019,49.35,Kota Depok
2020,60.43,Kota Depok
2021,63.86,Kota Depok
2022,64.36,Kota Depok
2023,61.95,Kota Depok
2024,62.6,Kota Depok
2018,11.19,Kota Dumai
2019,10.95,Kota Dumai
2020,9.88,Kota Dumai
2021,10.57,Kota Dumai
2022,10.0,Kota Dumai
2023,10.15,Kota Dumai
2024,10.02,Kota Dumai
2018,11.91,Kota Gorontalo
2019,11.91,Kota Gorontalo
2020,12.46,Kota Gorontalo
2021,12.94,Kota Gorontalo
2022,12.67,Kota Gorontalo
2023,12.62,Kota Gorontalo
2024,12.97,Kota Gorontalo
2018,25.91,Kota Gunungsitoli
2019,23.06,Kota Gunungsitoli
2020,23.54,Kota Gunungsitoli
2021,24.02,Kota Gunungsitoli
2022,21.85,Kota Gunungsitoli
2023,22.03,Kota Gunungsitoli
2024,22.16,Kota Gunungsitoli
2018,86.42,Kota Jakarta Barat
2019,84.02,Kota Jakarta Barat
2020,110.9,Kota Jakarta Barat
2021,113.37,Kota Jakarta Barat
2022,112.18,Kota Jakarta Barat
2023,109.49,Kota Jakarta Barat
2024,106.48,Kota Jakarta Barat
2018,33.19,Kota Jakarta Pusat
2019,34.13,Kota Jakarta Pusat
2020,41.92,Kota Jakarta Pusat
2021,45.1,Kota Jakarta Pusat
2022,44.72,Kota Jakarta Pusat
2023,42.78,Kota Jakarta Pusat
2024,42.33,Kota Jakarta Pusat
2018,63.38,Kota Jakarta Selatan
2019,61.76,Kota Jakarta Selatan
2020,78.09,Kota Jakarta Selatan
2021,81.5,Kota Jakarta Selatan
2022,81.11,Kota Jakarta Selatan
2023,71.9,Kota Jakarta Selatan
2024,70.6,Kota Jakarta Selatan
2018,91.38,Kota Jakarta Timur
2019,91.61,Kota Jakarta Timur
2020,122.73,Kota Jakarta Timur
2021,125.37,Kota Jakarta Timur
2022,126.63,Kota Jakarta Timur
2023,124.22,Kota Jakarta Timur
2024,121.52,Kota Jakarta Timur
2018,95.86,Kota Jakarta Utara
2019,91.09,Kota Jakarta Utara
2020,123.59,Kota Jakarta Utara
2021,132.73,Kota Jakarta Utara
2022,133.73,Kota Jakarta Utara
2023,125.98,Kota Jakarta Utara
2024,120.51,Kota Jakarta Utara
2018,50.61,Kota Jambi
2019,48.95,Kota Jambi
2020,50.44,Kota Jambi
2021,54.23,Kota Jambi
2022,50.4,Kota Jambi
2023,50.09,Kota Jambi
2024,47.25,Kota Jambi
2018,33.74,Kota Jayapura
2019,34.42,Kota Jayapura
2020,33.8,Kota Jayapura
2021,34.79,Kota Jayapura
2022,34.36,Kota Jayapura
2023,32.79,Kota Jayapura
2024,33.84,Kota Jayapura
2018,21.9,Kota Kediri
2019,20.54,Kota Kediri
2020,22.19,Kota Kediri
2021,22.55,Kota Kediri
2022,21.15,Kota Kediri
2023,21.03,Kota Kediri
2024,19.24,Kota Kediri
2018,17.76,Kota Kendari
2019,17.3,Kota Kendari
2020,17.46,Kota Kendari
2021,19.46,Kota Kendari
2022,18.72,Kota Kendari
2023,19.24,Kota Kendari
2024,18.2,Kota Kendari
2018,7.49,Kota Kotamobagu
2019,7.31,Kota Kotamobagu
2020,7.06,Kota Kotamobagu
2021,7.56,Kota Kotamobagu
2022,6.94,Kota Kotamobagu
2023,6.82,Kota Kotamobagu
2024,7.05,Kota Kotamobagu
2018,40.44,Kota Kupang
2019,39.86,Kota Kupang
2020,39.72,Kota Kupang
2021,41.77,Kota Kupang
2022,40.2,Kota Kupang
2023,41.2,Kota Kupang
2024,40.38,Kota Kupang
2018,18.73,Kota Langsa
2019,18.62,Kota Langsa
2020,18.65,Kota Langsa
2021,19.78,Kota Langsa
2022,19.41,Kota Langsa
2023,19.5,Kota Langsa
2024,19.37,Kota Langsa
2018,23.88,Kota Lhokseumawe
2019,23.05,Kota Lhokseumawe
2020,22.69,Kota Lhokseumawe
2021,23.38,Kota Lhokseumawe
2022,23.03,Kota Lhokseumawe
2023,23.1,Kota Lhokseumawe
2024,22.77,Kota Lhokseumawe
2018,29.74,Kota Lubuklinggau
2019,29.98,Kota Lubuklinggau
2020,29.8,Kota Lubuklinggau
2021,31.61,Kota Lubuklinggau
2022,30.68,Kota Lubuklinggau
2023,31.02,Kota Lubuklinggau
2024,27.65,Kota Lubuklinggau
2018,7.92,Kota Madiun
2019,7.69,Kota Madiun
2020,8.83,Kota Madiun
2021,9.06,Kota Madiun
2022,8.49,Kota Madiun
2023,8.46,Kota Madiun
2024,7.84,Kota Madiun
2018,9.59,Kota Magelang
2019,9.1,Kota Magelang
2020,9.27,Kota Magelang
2021,9.44,Kota Magelang
2022,8.65,Kota Magelang
2023,7.45,Kota Magelang
2024,7.25,Kota Magelang
2018,66.22,Kota Makassar
2019,65.12,Kota Makassar
2020,69.98,Kota Makassar
2021,74.69,Kota Makassar
2022,71.83,Kota Makassar
2023,80.32,Kota Makassar
2024,79.53,Kota Makassar
2018,35.49,Kota Malang
2019,35.39,Kota Malang
2020,38.77,Kota Malang
2021,40.62,Kota Malang
2022,38.56,Kota Malang
2023,37.78,Kota Malang
2024,34.84,Kota Malang
2018,23.21,Kota Manado
2019,23.89,Kota Manado
2020,25.55,Kota Manado
2021,26.78,Kota Manado
2022,25.38,Kota Manado
2023,25.17,Kota Manado
2024,23.59,Kota Manado
2018,42.6,Kota Mataram
2019,43.19,Kota Mataram
2020,41.8,Kota Mataram
2021,44.45,Kota Mataram
2022,45.3,Kota Mataram
2023,46.21,Kota Mataram
2024,43.74,Kota Mataram
2018,186.45,Kota Medan
2019,183.79,Kota Medan
2020,183.54,Kota Medan
2021,193.03,Kota Medan
2022,187.74,Kota Medan
2023,187.28,Kota Medan
2024,187.04,Kota Medan
2018,15.06,Kota Metro
2019,14.49,Kota Metro
2020,14.31,Kota Metro
2021,15.32,Kota Metro
2022,13.68,Kota Metro
2023,12.8,Kota Metro
2024,12.07,Kota Metro
2018,7.04,Kota Mojokerto
2019,6.63,Kota Mojokerto
2020,8.09,Kota Mojokerto
2021,8.37,Kota Mojokerto
2022,7.88,Kota Mojokerto
2023,7.65,Kota Mojokerto
2024,7.43,Kota Mojokerto
2018,44.04,Kota Padang
2019,42.44,Kota Padang
2020,42.17,Kota Padang
2021,48.44,Kota Padang
2022,42.37,Kota Padang
2023,41.97,Kota Padang
2024,41.4,Kota Padang
2018,3.11,Kota Padang Panjang
2019,3.0,Kota Padang Panjang
2020,2.84,Kota Padang Panjang
2021,3.28,Kota Padang Panjang
2022,2.89,Kota Padang Panjang
2023,2.99,Kota Padang Panjang
2024,3.06,Kota Padang Panjang
2018,16.79,Kota Padangsidimpuan
2019,16.06,Kota Padangsidimpuan
2020,16.56,Kota Padangsidimpuan
2021,17.28,Kota Padangsidimpuan
2022,16.03,Kota Padangsidimpuan
2023,16.15,Kota Padangsidimpuan
2024,14.88,Kota Padangsidimpuan
2018,12.07,Kota Pagar Alam
2019,12.37,Kota Pagar Alam
2020,12.71,Kota Pagar Alam
2021,13.27,Kota Pagar Alam
2022,12.05,Kota Pagar Alam
2023,12.73,Kota Pagar Alam
2024,11.82,Kota Pagar Alam
2018,9.78,Kota Palangka Raya
2019,9.69,Kota Palangka Raya
2020,10.23,Kota Palangka Raya
2021,10.86,Kota Palangka Raya
2022,10.62,Kota Palangka Raya
2023,10.31,Kota Palangka Raya
2024,10.7,Kota Palangka Raya
2018,179.32,Kota Palembang
2019,180.67,Kota Palembang
2020,182.61,Kota Palembang
2021,194.12,Kota Palembang
2022,181.65,Kota Palembang
2023,179.45,Kota Palembang
2024,173.59,Kota Palembang
2018,14.27,Kota Palopo
2019,14.37,Kota Palopo
2020,14.71,Kota Palopo
2021,15.21,Kota Palopo
2022,14.78,Kota Palopo
2023,14.85,Kota Palopo
2024,14.43,Kota Palopo
2018,25.26,Kota Palu
2019,26.62,Kota Palu
2020,26.89,Kota Palu
2021,28.6,Kota Palu
2022,26.75,Kota Palu
2023,26.83,Kota Palu
2024,24.57,Kota Palu
2018,10.27,Kota Pangkal Pinang
2019,9.0,Kota Pangkal Pinang
2020,9.4,Kota Pangkal Pinang
2021,10.1,Kota Pangkal Pinang
2022,9.76,Kota Pangkal Pinang
2023,9.27,Kota Pangkal Pinang
2024,8.87,Kota Pangkal Pinang
2018,8.01,Kota Parepare
2019,7.62,Kota Parepare
2020,7.96,Kota Parepare
2021,7.93,Kota Parepare
2022,8.01,Kota Parepare
2023,7.98,Kota Parepare
2024,7.94,Kota Parepare
2018,4.4,Kota Pariaman
2019,4.2,Kota Pariaman
2020,3.66,Kota Pariaman
2021,3.99,Kota Pariaman
2022,3.8,Kota Pariaman
2023,3.91,Kota Pariaman
2024,4.01,Kota Pariaman
2018,13.45,Kota Pasuruan
2019,12.92,Kota Pasuruan
2020,13.4,Kota Pasuruan
2021,13.97,Kota Pasuruan
2022,13.02,Kota Pasuruan
2023,13.56,Kota Pasuruan
2024,13.07,Kota Pasuruan
2018,7.69,Kota Payakumbuh
2019,7.68,Kota Payakumbuh
2020,7.74,Kota Payakumbuh
2021,8.66,Kota Payakumbuh
2022,8.08,Kota Payakumbuh
2023,7.88,Kota Payakumbuh
2024,7.62,Kota Payakumbuh
2018,20.52,Kota Pekalongan
2019,20.21,Kota Pekalongan
2020,22.16,Kota Pekalongan
2021,23.49,Kota Pekalongan
2022,21.81,Kota Pekalongan
2023,21.36,Kota Pekalongan
2024,21.16,Kota Pekalongan
2018,31.62,Kota Pekanbaru
2019,28.6,Kota Pekanbaru
2020,30.4,Kota Pekanbaru
2021,32.73,Kota Pekanbaru
2022,35.96,Kota Pekanbaru
2023,37.67,Kota Pekanbaru
2024,38.17,Kota Pekanbaru
2018,22.01,Kota Pematang Siantar
2019,21.99,Kota Pematang Siantar
2020,21.23,Kota Pematang Siantar
2021,22.06,Kota Pematang Siantar
2022,20.53,Kota Pematang Siantar
2023,18.96,Kota Pematang Siantar
2024,18.97,Kota Pematang Siantar
2018,31.76,Kota Pontianak
2019,31.46,Kota Pontianak
2020,30.7,Kota Pontianak
2021,30.11,Kota Pontianak
2022,29.61,Kota Pontianak
2023,29.92,Kota Pontianak
2024,28.56,Kota Pontianak
2018,20.95,Kota Prabumulih
2019,21.62,Kota Prabumulih
2020,21.83,Kota Prabumulih
2021,23.6,Kota Prabumulih
2022,22.12,Kota Prabumulih
2023,22.33,Kota Prabumulih
2024,20.41,Kota Prabumulih
2018,16.9,Kota Probolinggo
2019,16.37,Kota Probolinggo
2020,17.72,Kota Probolinggo
2021,17.91,Kota Probolinggo
2022,16.16,Kota Probolinggo
2023,15.86,Kota Probolinggo
2024,15.24,Kota Probolinggo
2018,5.62,Kota Sabang
2019,5.43,Kota Sabang
2020,5.27,Kota Sabang
2021,5.33,Kota Sabang
2022,5.14,Kota Sabang
2023,5.14,Kota Sabang
2024,5.17,Kota Sabang
2018,9.24,Kota Salatiga
2019,9.21,Kota Salatiga
2020,9.69,Kota Salatiga
2021,10.14,Kota Salatiga
2022,9.45,Kota Salatiga
2023,9.41,Kota Salatiga
2024,9.33,Kota Salatiga
2018,39.23,Kota Samarinda
2019,39.8,Kota Samarinda
2020,41.92,Kota Samarinda
2021,42.84,Kota Samarinda
2022,41.95,Kota Samarinda
2023,41.89,Kota Samarinda
2024,37.8,Kota Samarinda
2018,1.48,Kota Sawah Lunto
2019,1.35,Kota Sawah Lunto
2020,1.36,Kota Sawah Lunto
2021,1.52,Kota Sawah Lunto
2022,1.47,Kota Sawah Lunto
2023,1.47,Kota Sawah Lunto
2024,1.52,Kota Sawah Lunto
2018,73.65,Kota Semarang
2019,71.97,Kota Semarang
2020,79.58,Kota Semarang
2021,84.45,Kota Semarang
2022,79.87,Kota Semarang
2023,80.53,Kota Semarang
2024,77.79,Kota Semarang
2018,36.21,Kota Serang
2019,36.21,Kota Serang
2020,42.24,Kota Serang
2021,47.91,Kota Serang
2022,42.56,Kota Serang
2023,44.99,Kota Serang
2024,41.62,Kota Serang
2018,10.81,Kota Sibolga
2019,10.82,Kota Sibolga
2020,10.49,Kota Sibolga
2021,10.8,Kota Sibolga
2022,10.05,Kota Sibolga
2023,10.02,Kota Sibolga
2024,9.99,Kota Sibolga
2018,11.17,Kota Singkawang
2019,10.9,Kota Singkawang
2020,10.23,Kota Singkawang
2021,11.03,Kota Singkawang
2022,10.82,Kota Singkawang
2023,11.06,Kota Singkawang
2024,10.82,Kota Singkawang
2018,2.29,Kota Solok
2019,2.29,Kota Solok
2020,1.99,Kota Solok
2021,2.31,Kota Solok
2022,2.28,Kota Solok
2023,2.35,Kota Solok
2024,2.4,Kota Solok
2018,38.88,Kota Sorong
2019,39.02,Kota Sorong
2020,38.91,Kota Sorong
2021,41.75,Kota Sorong
2022,41.93,Kota Sorong
2023,41.61,Kota Sorong
2024,40.68,Kota Sorong
2018,14.78,Kota Subulussalam
2019,14.56,Kota Subulussalam
2020,14.46,Kota Subulussalam
2021,14.46,Kota Subulussalam
2022,14.06,Kota Subulussalam
2023,13.8,Kota Subulussalam
2024,13.95,Kota Subulussalam
2018,23.2,Kota Sukabumi
2019,21.87,Kota Sukabumi
2020,25.42,Kota Sukabumi
2021,27.19,Kota Sukabumi
2022,26.59,Kota Sukabumi
2023,24.96,Kota Sukabumi
2024,24.1,Kota Sukabumi
2018,2.48,Kota Sungai Penuh
2019,2.55,Kota Sungai Penuh
2020,2.78,Kota Sungai Penuh
2021,3.03,Kota Sungai Penuh
2022,2.64,Kota Sungai Penuh
2023,2.66,Kota Sungai Penuh
2024,2.6,Kota Sungai Penuh
2018,140.81,Kota Surabaya
2019,130.55,Kota Surabaya
2020,145.67,Kota Surabaya
2021,152.49,Kota Surabaya
2022,138.21,Kota Surabaya
2023,136.37,Kota Surabaya
2024,116.62,Kota Surabaya
2018,46.99,Kota Surakarta
2019,45.18,Kota Surakarta
2020,47.03,Kota Surakarta
2021,48.79,Kota Surakarta
2022,45.94,Kota Surakarta
2023,43.89,Kota Surakarta
2024,43.28,Kota Surakarta
2018,103.49,Kota Tangerang
2019,98.37,Kota Tangerang
2020,118.22,Kota Tangerang
2021,134.24,Kota Tangerang
2022,132.88,Kota Tangerang
2023,137.7,Kota Tangerang
2024,128.91,Kota Tangerang
2018,28.21,Kota Tangerang Selatan
2019,29.16,Kota Tangerang Selatan
2020,40.99,Kota Tangerang Selatan
2021,44.57,Kota Tangerang Selatan
2022,44.29,Kota Tangerang Selatan
2023,46.31,Kota Tangerang Selatan
2024,43.33,Kota Tangerang Selatan
2018,25.3,Kota Tanjung Balai
2019,24.54,Kota Tanjung Balai
2020,23.54,Kota Tanjung Balai
2021,24.1,Kota Tanjung Balai
2022,22.65,Kota Tanjung Balai
2023,22.45,Kota Tanjung Balai
2024,22.25,Kota Tanjung Balai
2018,19.3,Kota Tanjung Pinang
2019,19.05,Kota Tanjung Pinang
2020,19.98,Kota Tanjung Pinang
2021,20.85,Kota Tanjung Pinang
2022,21.67,Kota Tanjung Pinang
2023,17.67,Kota Tanjung Pinang
2024,15.39,Kota Tanjung Pinang
2018,15.97,Kota Tarakan
2019,16.11,Kota Tarakan
2020,17.33,Kota Tarakan
2021,17.57,Kota Tarakan
2022,16.75,Kota Tarakan
2023,16.49,Kota Tarakan
2024,15.32,Kota Tarakan
2018,84.22,Kota Tasikmalaya
2019,76.98,Kota Tasikmalaya
2020,86.13,Kota Tasikmalaya
2021,89.46,Kota Tasikmalaya
2022,87.13,Kota Tasikmalaya
2023,79.37,Kota Tasikmalaya
2024,76.71,Kota Tasikmalaya
2018,16.64,Kota Tebing Tinggi
2019,16.3,Kota Tebing Tinggi
2020,16.32,Kota Tebing Tinggi
2021,17.37,Kota Tebing Tinggi
2022,16.34,Kota Tebing Tinggi
2023,16.36,Kota Tebing Tinggi
2024,15.31,Kota Tebing Tinggi
2018,19.44,Kota Tegal
2019,18.64,Kota Tegal
2020,19.55,Kota Tegal
2021,20.27,Kota Tegal
