Kabupaten/Kota,Tahun,Garis Kemiskinan,Indeks Pembangunan Manusia,Jumlah Penduduk Miskin,Indeks Kedalaman Kemiskinan,Indeks Keparahan Kemiskinan,Pengeluaran Perkapita Bahan Makanan Lainnya,Pengeluaran Perkapita Bahan Minuman,Pengeluaran Perkapita Buah-Buahan,Pengeluaran Perkapita Daging,Pengeluaran Perkapita Kacang-Kacangan,Pengeluaran Perkapita Bahan Minyak dan Kelapa,Pengeluaran Perkapita Padi-Padian,Pengeluaran Perkapita Rokok dan Tembakau,Pengeluaran Perkapita Telur dan Susu,Pengeluaran Perkapita Umbi-Umbian,Persentase Penduduk Miskin,Prevalensi Konsumsi Pangan Tidak Cukup,Rata-rata Lama Sekolah_Laki-laki,Rata-rata Lama Sekolah_Perempuan,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Rasio Tenaga Kesehatan,Angka Harapan Hidup,Stunting (%),Kelompok IKP
Buton,2021,270212.0,66.32,14.25,1.84,0.42,1470.31,3206.25,2873.0,1354.58,842.37,2322.26,18822.63,8735.67,4379.26,1734.06,13.92,13.16,9.35,7.19,1.47,13.21,42.72,0.85,14.96,2.74,68.25,0.0,5
Buton,2022,279627.0,67.23,13.61,1.25,0.24,1614.24,2658.97,4309.3,1654.57,790.25,3388.8,17077.65,7046.34,3734.38,1169.25,13.27,20.76,9.37,7.58,1.6,13.92,40.19,0.66,9.2,1.64,68.39,33.0,5
Buton,2023,302183.0,68.12,14.15,1.93,0.37,2285.07,3419.48,4282.52,701.41,1079.11,3086.6,19509.19,12831.51,5567.58,1607.5,13.77,15.7,9.38,7.82,2.34,13.27,31.29,1.05,20.93,0.02,68.46,15.4,5
Buton,2024,313831.0,68.88,14.41,1.68,0.35,1702.0,3280.0,7895.0,2385.0,1127.0,3062.0,24187.0,10780.0,5018.0,1063.0,13.99,12.43,9.58,7.94,1.85,13.77,26.83,0.23,17.89,1.64,68.56,37.2,5
Buton Selatan,2018,214859.0,63.47,11.86,3.32,1.31,1330.89,1980.43,1865.0,369.02,404.16,1237.26,15311.62,8206.51,1842.95,953.99,14.82,7.9,7.53,6.2,5.0,15.99,22.56,24.05,21.97,0.97,67.17,43.5,2
Buton Selatan,2019,235847.0,64.37,11.81,2.38,0.61,1225.3,2668.26,4167.0,369.02,740.63,1587.97,14571.2,11169.56,2934.63,1598.46,14.66,10.35,7.79,6.44,1.33,14.82,14.6,3.45,59.96,0.94,67.33,34.81,5
Buton Selatan,2020,248184.0,64.93,11.5,1.82,0.42,1212.66,3162.68,5446.0,910.64,732.75,2138.28,18108.22,9636.81,3950.23,1738.42,14.11,11.29,8.0,6.72,1.19,14.66,12.18,4.57,52.47,1.45,67.5,46.08,5
Buton Selatan,2021,253877.0,64.99,11.71,1.87,0.38,1201.08,3029.15,2088.0,913.35,806.27,2004.08,19990.48,7197.03,4971.2,1583.57,14.62,9.88,8.01,6.84,1.23,14.11,42.68,1.5,31.8,0.94,67.66,0.0,5
Buton Selatan,2022,264666.0,65.44,11.57,2.12,0.43,1111.09,2912.72,3048.79,637.83,608.71,2645.84,18855.08,10230.38,2985.12,2073.26,14.41,14.08,8.03,7.22,1.43,14.62,34.74,1.4,41.27,0.78,67.69,45.2,5
Buton Selatan,2023,290203.0,66.15,11.88,2.0,0.44,1643.88,3762.03,3147.49,452.65,678.51,2870.82,20917.42,11171.12,4220.58,2546.72,14.76,11.65,8.04,7.23,2.11,14.41,31.58,0.31,55.22,0.08,67.76,16.8,4
Buton Selatan,2024,300991.0,67.0,11.5,1.97,0.38,1379.0,3600.0,5527.0,1260.0,1041.0,2120.0,27303.0,8340.0,4576.0,2612.0,14.28,9.6,8.27,7.31,1.27,14.76,29.53,0.24,48.86,0.56,67.86,37.1,5
Buton Tengah,2018,231289.0,63.46,13.72,1.23,0.25,1642.33,3734.09,4480.0,1498.0,1086.34,1899.96,16114.35,10718.02,5946.04,425.08,14.88,11.3,7.67,5.05,5.0,18.35,23.64,2.88,5.94,1.69,67.17,48.8,2
Buton Tengah,2019,251702.0,64.06,14.64,1.64,0.34,1856.03,2163.72,4697.0,894.29,876.08,2202.45,13505.55,7886.25,3498.77,513.14,15.77,14.63,7.68,5.28,1.75,14.88,19.89,0.19,4.84,1.44,67.33,19.19,6
Buton Tengah,2020,264699.0,64.37,14.4,1.91,0.38,1484.81,2418.35,4234.0,106.69,908.23,1928.5,17374.44,4396.16,5716.77,226.9,15.32,17.09,7.69,5.48,1.91,15.77,9.4,0.21,13.25,1.34,67.5,0.0,5
Buton Tengah,2021,273354.0,64.55,14.73,2.14,0.38,1526.11,2674.27,2988.0,546.33,1497.28,2172.67,17561.85,4230.98,6566.88,740.42,15.8,17.56,7.7,5.73,1.36,15.32,44.79,0.33,7.39,1.5,67.66,0.0,5
Buton Tengah,2022,275058.0,65.29,13.92,1.81,0.34,1926.03,3024.8,4291.48,1705.29,1420.37,3445.48,19030.71,10468.98,4033.73,1573.34,14.9,15.78,7.72,6.08,2.69,15.8,44.69,0.22,12.15,1.46,67.69,42.7,4
Buton Tengah,2023,299593.0,65.83,14.46,1.72,0.34,1654.78,2907.8,4133.76,1110.95,1195.38,2603.47,18601.45,10768.43,3456.47,1299.39,15.43,17.56,7.73,6.09,2.73,14.9,20.28,0.24,10.2,0.08,67.78,18.4,4
Buton Tengah,2024,310721.0,66.47,13.52,1.82,0.32,1408.0,2671.0,5255.0,1277.0,1159.0,1966.0,18524.0,9701.0,2869.0,699.0,14.4,16.01,7.74,6.37,2.81,15.43,12.79,0.12,10.97,1.07,67.9,36.8,4
Buton Utara,2018,306437.0,67.13,9.38,1.95,0.37,2165.32,2673.53,4610.0,690.17,785.56,2254.9,18988.17,11080.6,5000.66,1089.77,14.93,7.2,9.22,7.88,0.58,15.58,26.16,15.17,42.79,3.38,70.38,44.5,5
Buton Utara,2019,331555.0,67.68,9.18,1.63,0.36,1922.48,2721.8,5214.0,1113.78,607.81,1991.92,17338.74,12742.39,4558.86,1381.3,14.38,8.67,9.44,8.06,2.27,14.93,20.41,2.53,19.98,2.78,70.56,37.12,5
Buton Utara,2020,345039.0,67.87,9.13,2.34,0.61,1968.27,3142.2,6786.0,2340.71,740.85,2826.32,19678.39,11960.14,5128.78,899.52,14.1,10.36,9.6,8.24,2.06,14.38,15.53,2.46,25.11,3.58,70.75,0.0,5
Buton Utara,2021,355288.0,68.08,9.45,2.46,0.61,2014.98,3338.23,3222.0,1850.15,974.77,3336.51,20073.04,11424.38,4920.51,1513.32,14.89,13.3,9.61,8.25,1.19,14.1,32.39,2.17,16.15,3.61,70.93,0.0,5
Buton Utara,2022,373792.0,69.0,9.13,2.66,0.72,2457.53,2957.82,5185.9,1447.93,817.72,3990.64,19153.54,15230.34,5141.39,1566.55,14.26,16.66,9.71,8.5,1.67,14.89,28.04,1.58,18.32,3.46,70.93,26.8,5
Buton Utara,2023,403834.0,69.7,9.09,2.13,0.48,2292.95,2951.3,4522.33,847.05,783.11,3686.62,22451.56,15891.06,4653.26,1319.31,14.06,11.7,9.72,8.51,1.19,14.26,17.35,0.99,12.41,0.49,70.96,13.7,6
Buton Utara,2024,422483.0,70.6,9.18,3.12,0.94,2499.0,2846.0,7081.0,2240.0,989.0,3222.0,25793.0,16582.0,6081.0,904.0,14.09,12.12,9.8,8.73,0.97,14.06,13.11,0.67,11.93,2.36,71.02,33.9,6
Ciamis,2018,357382.0,69.63,85.72,1.18,0.26,2435.65,3434.97,8967.0,5487.52,2660.18,2425.84,19138.28,16973.31,5812.97,1217.6,7.22,4.66,7.93,7.31,0.7,8.2,56.06,0.22,55.57,1.21,71.07,29.0,5
Ciamis,2019,363750.0,70.39,79.41,0.76,0.14,2307.87,3639.55,7677.0,5293.84,2678.03,2340.97,16532.11,19254.03,6416.97,1424.11,6.65,5.15,7.94,7.51,0.63,7.22,29.46,0.07,39.12,0.81,71.32,33.39,6
Ciamis,2020,378108.0,70.49,91.39,0.92,0.16,2468.03,3849.01,6991.0,5381.22,3072.93,2439.01,16315.18,20898.74,6271.67,1452.77,7.62,5.11,7.95,7.52,0.66,6.65,44.41,0.0,41.88,0.67,71.57,24.21,6
Ciamis,2021,389676.0,70.93,96.6,0.88,0.15,2864.97,4637.07,5517.0,5897.94,3462.89,2877.35,17901.83,19333.73,7017.18,1526.47,7.97,5.87,8.2,7.63,0.66,7.62,39.72,0.0,35.06,0.63,71.83,0.0,6
Ciamis,2022,405294.0,71.45,93.96,1.07,0.24,3331.48,4630.82,6569.29,7670.38,3509.61,4380.72,19067.72,24834.05,7984.67,2297.32,7.72,6.74,8.21,7.84,0.62,7.97,41.05,0.11,24.76,0.6,72.02,16.0,6
Ciamis,2023,442108.0,72.05,90.84,0.9,0.17,3546.1,5081.69,7067.85,7544.97,4103.95,3554.74,20944.46,25894.65,8043.34,2259.1,7.42,6.1,8.31,7.89,0.69,7.72,39.79,0.05,31.39,0.28,72.3,22.3,6
Ciamis,2024,467497.0,72.56,90.79,0.99,0.2,3418.0,5614.0,11979.0,8289.0,4420.0,3502.0,25096.0,27939.0,8068.0,2244.0,7.39,5.78,8.32,7.9,0.69,7.42,40.35,0.0,21.45,0.64,72.57,25.4,6
Cianjur,2018,340882.0,64.62,221.58,1.34,0.27,2633.72,3499.57,6873.0,5111.45,2075.85,2275.32,17907.53,15727.49,5096.17,948.3,9.81,5.81,7.2,6.48,0.64,11.41,50.0,0.18,64.24,0.86,69.49,35.7,5
Cianjur,2019,350760.0,65.38,207.07,0.74,0.11,2345.82,3651.78,4735.0,5035.07,2029.82,2188.14,14837.84,15471.21,5160.46,1067.17,9.15,6.02,7.27,6.52,0.56,9.81,46.85,0.09,46.04,1.37,69.7,33.51,6
Cianjur,2020,371699.0,65.36,234.47,1.38,0.27,2576.41,4070.9,5264.0,6250.64,2366.99,2372.22,15390.87,19358.43,5449.5,1271.12,10.36,4.75,7.49,6.71,0.59,9.15,48.22,0.12,46.98,1.04,69.91,27.52,6
Cianjur,2021,387631.0,65.56,260.02,1.83,0.46,2889.39,4394.35,5357.0,7609.67,2619.42,3053.41,16917.78,21012.79,5509.96,1820.0,11.18,6.2,7.5,6.72,0.63,10.36,37.64,0.45,40.56,0.95,70.13,0.0,6
Cianjur,2022,406829.0,65.94,246.81,1.35,0.27,2519.51,4294.06,4476.65,6107.47,2184.82,3313.02,16400.11,21376.38,5032.21,1433.72,10.55,9.54,7.51,6.73,0.67,11.18,45.06,0.29,36.3,0.93,70.32,33.7,6
Cianjur,2023,437327.0,66.55,240.06,1.29,0.26,3233.55,5109.67,5697.97,7022.78,2817.42,3221.33,18445.36,25559.27,6348.41,1486.62,10.22,7.02,7.53,6.75,0.71,10.55,40.06,0.11,40.47,0.35,70.58,17.5,6
Cianjur,2024,466509.0,67.24,239.3,1.58,0.41,3591.0,5413.0,9679.0,8143.0,3359.0,3373.0,24508.0,26964.0,6672.0,1572.0,10.14,5.37,7.54,6.93,0.67,10.22,42.96,0.09,32.56,0.84,70.79,11.4,6
Cilacap,2018,320106.0,69.56,193.18,1.87,0.44,1674.83,3912.21,5556.0,3924.86,2599.45,2994.61,12930.35,13260.14,6137.29,588.83,11.25,13.07,7.41,6.45,0.5,13.94,31.45,0.43,38.97,0.77,73.24,27.2,6
Cilacap,2019,337572.0,69.98,185.18,1.28,0.21,1601.94,3799.0,5182.0,4011.8,2517.62,2648.7,13659.88,14864.65,6340.78,755.47,10.73,12.76,7.42,6.47,0.38,11.25,26.59,0.2,27.72,0.77,73.39,32.1,6
Cilacap,2020,351735.0,69.95,198.6,0.95,0.13,1626.3,3689.91,4883.0,3840.15,2566.64,2701.82,14108.94,15287.14,5568.26,529.22,11.46,13.53,7.46,6.49,0.41,10.73,25.17,0.22,23.96,0.69,73.52,23.18,6
Cilacap,2021,363367.0,70.42,201.71,1.48,0.3,2052.68,4473.01,3887.0,4678.94,2713.52,3289.19,14913.09,15979.33,5700.16,757.11,11.67,15.15,7.47,6.76,0.4,11.46,19.67,0.0,22.62,0.61,73.73,0.0,6
Cilacap,2022,384955.0,70.99,190.96,1.47,0.33,2470.1,4458.15,4973.38,5327.01,2944.28,4753.7,14858.26,17511.26,5571.68,925.95,11.02,16.69,7.66,6.77,0.44,11.67,30.17,0.15,26.03,0.54,73.9,17.9,6
Cilacap,2023,419429.0,71.83,191.0,1.54,0.35,2524.49,4991.59,5842.99,5531.17,3635.38,4363.51,16969.71,18404.1,6777.05,1052.1,10.99,12.29,7.87,6.97,0.47,11.02,28.87,0.07,29.06,0.31,74.07,11.6,6
Cilacap,2024,441093.0,72.38,186.08,1.59,0.35,2592.0,4811.0,6445.0,5854.0,3874.0,3933.0,22327.0,20057.0,6896.0,938.0,10.68,10.9,7.88,6.98,0.45,10.99,26.68,0.0,27.64,0.54,74.25,18.5,6
Cirebon,2018,370747.0,68.05,232.37,2.04,0.55,2093.41,2758.98,4622.0,3310.0,2528.75,2356.21,13631.74,12997.15,5565.35,479.77,10.7,5.96,7.17,6.29,1.31,12.97,46.35,0.0,36.29,0.28,71.49,25.6,5
Cirebon,2019,381372.0,68.69,217.64,1.29,0.26,2374.83,3261.91,4551.0,3945.42,2659.7,2425.14,12256.48,14523.24,5389.02,545.03,9.94,5.77,7.26,6.36,0.7,10.7,47.64,0.15,22.98,0.3,71.66,33.7,6
Cirebon,2020,393452.0,68.75,247.94,1.3,0.24,2351.01,3520.67,5428.0,4976.37,2986.24,2407.38,14192.82,16088.41,6524.37,739.58,11.24,5.41,7.43,6.63,0.8,9.94,41.99,0.0,24.78,0.3,71.82,25.06,6
Cirebon,2021,404635.0,69.12,271.02,1.94,0.47,2649.0,3735.0,4064.0,5168.58,3178.47,2553.98,15246.0,17994.6,5997.81,732.18,12.3,6.19,7.62,6.66,0.82,11.24,40.29,0.26,25.94,0.2,71.99,0.0,6
Cirebon,2022,416914.0,70.06,266.1,2.27,0.59,2920.09,3767.11,6087.76,6483.98,3443.44,3709.7,15164.25,20104.94,7302.65,1098.82,12.01,9.04,7.81,6.97,0.89,12.3,32.81,0.0,21.56,0.18,72.18,26.5,6
Cirebon,2023,451853.0,70.95,249.18,1.98,0.53,3166.73,4138.05,6202.79,5685.8,3759.56,3379.27,17113.96,22736.5,8321.95,1110.65,11.2,7.28,8.06,7.21,0.87,12.01,34.26,0.0,18.07,0.34,72.47,15.8,6
Cirebon,2024,475046.0,71.44,245.92,1.69,0.36,3250.0,4131.0,6628.0,6840.0,3355.0,3300.0,18937.0,21488.0,7805.0,952.0,11.0,5.65,8.07,7.22,0.82,11.2,32.93,0.0,15.84,0.18,72.76,22.9,6
Dairi,2018,325176.0,70.89,23.19,1.77,0.54,1176.22,5367.62,4320.0,6800.72,1943.54,3736.77,25056.76,19832.31,7220.63,1137.66,8.2,4.64,9.67,8.88,0.35,8.87,60.18,2.01,54.06,2.33,68.13,29.6,6
Dairi,2019,341511.0,71.42,21.86,0.96,0.22,1097.93,5205.24,5200.0,7255.04,1770.98,3833.19,24447.26,22258.53,7747.09,1125.32,7.7,4.01,9.71,9.1,0.45,8.2,62.36,1.16,37.03,1.4,68.41,40.17,6
Dairi,2020,380275.0,71.57,22.93,1.09,0.2,944.92,5745.7,5454.0,7301.91,2078.29,3914.76,23396.42,20660.58,8249.41,927.62,8.04,6.42,9.82,9.34,0.33,7.7,55.91,2.22,42.81,2.2,68.79,39.27,6
Dairi,2021,408893.0,71.84,23.72,1.24,0.28,1058.73,5370.88,4528.0,7342.01,2286.8,4023.43,23370.36,21054.7,7038.32,967.96,8.31,6.01,9.83,9.39,0.3,8.04,40.84,1.38,31.91,2.26,69.0,0.0,6
Dairi,2022,436713.0,72.56,22.53,0.65,0.08,1435.84,5036.18,5718.48,7517.09,2037.53,4965.84,22559.0,23324.9,7425.82,974.96,7.88,6.66,9.91,9.66,0.3,8.31,38.01,0.32,39.12,1.98,69.19,34.2,6
Dairi,2023,463360.0,73.27,21.42,0.93,0.17,1756.4,5531.91,7204.92,7789.8,2283.03,4412.8,26471.73,28817.61,9007.72,1105.03,7.47,7.66,9.92,9.87,0.42,7.88,27.03,0.5,36.19,3.63,69.64,30.8,6
Dairi,2024,502924.0,73.92,20.4,0.79,0.15,1430.0,5735.0,6396.0,8292.0,2472.0,4321.0,28699.0,28684.0,8995.0,1169.0,7.1,6.72,9.93,9.88,0.34,7.47,33.79,0.38,36.67,2.02,70.11,32.6,6
Deiyai,2018,561857.0,49.55,31.5,6.92,1.54,2053.93,3746.99,2471.0,6868.25,3277.62,4080.16,7739.12,9984.37,3770.98,8351.96,43.49,55.99,3.94,1.71,5.0,43.63,55.44,55.35,59.74,12.45,64.63,37.7,1
Deiyai,2019,579263.0,50.11,31.87,7.79,2.34,954.69,2964.59,978.0,7114.09,2443.57,3212.93,6046.47,1668.05,4371.87,6777.94,43.65,76.85,3.95,1.72,5.0,43.49,24.37,6.0,99.73,12.37,64.83,23.46,1
Deiyai,2020,608868.0,49.46,30.98,11.44,3.9,4231.16,9028.58,673.0,15825.38,6385.48,7118.9,6695.96,7240.75,10050.63,5669.8,41.76,33.49,3.96,1.8,5.0,43.65,9.73,27.07,100.0,83.07,65.11,0.0,1
Deiyai,2021,627742.0,49.96,30.83,3.79,0.67,1516.25,7336.14,3604.0,11900.88,749.8,4634.17,11627.92,4893.3,6076.89,9302.59,40.59,63.65,4.21,1.81,5.0,41.76,6.39,53.55,99.24,100.0,65.24,0.0,1
Deiyai,2022,647902.0,50.42,31.04,6.99,1.62,2175.51,5965.04,4111.25,18308.91,596.68,5213.08,10036.22,320.68,5858.76,8174.07,40.31,70.33,4.22,1.82,5.0,40.59,12.42,17.43,100.0,19.19,65.36,28.4,1
Deiyai,2023,709749.0,51.18,30.18,6.43,1.44,2895.79,6439.37,6416.94,30467.82,2928.4,6609.51,9952.59,4173.2,5107.89,13968.02,38.66,66.76,4.4,1.83,5.0,40.31,77.43,23.48,99.34,0.18,65.66,13.7,1
Deiyai,2024,770492.0,52.07,30.85,4.76,1.01,3625.0,5869.0,10349.0,29196.0,1662.0,3273.0,13672.0,1190.0,2505.0,70819.0,39.01,57.91,4.41,1.85,5.0,38.66,52.5,27.85,92.0,20.93,65.93,50.2,1
Deli Serdang,2018,381173.0,74.92,88.52,0.6,0.14,1440.17,3468.19,6060.0,4559.51,2006.23,4118.66,15698.91,15675.32,8591.31,1310.25,4.13,6.95,10.43,9.71,0.9,4.62,40.27,0.53,20.36,0.6,71.11,33.3,6
Deli Serdang,2019,390440.0,75.43,84.94,0.47,0.11,1494.01,3754.57,6913.0,5342.24,2093.39,4412.91,16030.63,17808.84,7733.88,1503.96,3.89,4.47,10.6,9.73,1.18,4.13,23.72,0.11,18.31,0.61,71.31,25.68,6
Deli Serdang,2020,413202.0,75.44,86.26,0.55,0.16,1626.82,4142.02,7419.0,5459.06,2246.38,4503.29,15444.21,18523.34,9361.14,1596.35,3.88,6.73,10.61,9.74,1.03,3.89,29.06,0.06,12.34,0.69,71.61,30.97,6
Deli Serdang,2021,428123.0,75.53,92.52,0.56,0.13,1699.82,3709.23,6236.0,5647.69,2223.95,4603.04,16155.52,17284.12,8987.76,1560.0,4.01,6.54,10.62,9.77,0.76,3.88,22.57,0.23,15.71,0.65,71.73,0.0,6
Deli Serdang,2022,448489.0,76.19,85.28,0.62,0.2,2104.17,4578.62,7505.4,8150.26,2687.89,7136.95,18236.26,15593.69,9227.54,2095.5,3.62,10.32,10.64,10.02,0.85,4.01,21.84,0.0,14.7,0.5,71.77,12.5,6
Deli Serdang,2023,479509.0,76.52,82.75,0.34,0.07,2195.38,3814.92,7259.24,6625.43,2597.79,5604.53,19792.34,21023.48,7743.23,1839.91,3.44,9.7,10.65,10.14,0.9,3.62,27.6,0.34,20.06,0.53,72.07,13.9,6
Deli Serdang,2024,508139.0,76.92,84.24,0.41,0.12,1874.0,4143.0,7165.0,6785.0,2639.0,5471.0,22576.0,20631.0,9335.0,1811.0,3.44,7.46,10.66,10.28,0.86,3.44,22.82,0.17,14.42,0.51,72.31,33.8,6
Demak,2018,402211.0,71.26,144.12,2.09,0.55,2659.58,3574.44,5726.0,3591.04,2918.62,2994.19,13375.37,15242.38,6475.45,508.58,12.54,7.94,8.26,6.82,0.48,13.41,35.45,0.0,16.78,0.68,75.27,25.9,6
Demak,2019,411202.0,71.87,137.6,1.61,0.34,2739.58,3843.24,7170.0,4798.66,3395.43,3118.96,14648.66,16874.65,6259.24,772.93,11.86,8.0,8.27,6.91,0.29,12.54,27.41,0.0,16.46,0.56,75.29,26.11,6
Demak,2020,432533.0,72.22,146.87,1.97,0.5,2574.54,4278.4,7044.0,4615.1,3159.56,3216.4,14679.7,17188.31,6737.13,971.29,12.54,8.02,8.28,7.22,0.3,11.86,37.46,0.0,13.84,0.46,75.31,35.76,6
Demak,2021,445176.0,72.57,151.74,2.32,0.62,3114.81,4592.84,6936.0,5320.91,3348.95,3517.24,14668.28,19031.88,6185.3,1137.05,12.92,8.8,8.31,7.42,0.3,12.54,24.78,0.0,12.39,0.44,75.4,0.0,6
Demak,2022,471818.0,73.36,143.01,1.68,0.35,3542.55,4894.07,7860.33,6638.06,3611.78,4495.55,15716.28,23611.67,7237.63,1306.77,12.09,9.0,8.51,7.69,0.31,12.92,25.79,0.0,5.87,0.4,75.46,25.5,6
Demak,2023,511145.0,74.07,143.26,1.83,0.43,3481.81,4841.61,7813.25,6848.7,4223.83,4279.94,15839.1,23737.25,8138.89,1085.82,12.01,7.77,8.79,7.78,0.35,12.09,30.09,0.0,7.13,0.09,75.52,6.6,6
Demak,2024,535134.0,74.57,142.92,1.95,0.56,3031.0,4598.0,6398.0,5251.0,3783.0,3624.0,18255.0,21876.0,7401.0,814.0,11.89,7.59,8.82,7.79,0.38,12.01,25.22,0.0,4.64,0.38,75.6,9.5,6
Dharmas Raya,2018,414096.0,70.86,15.42,0.7,0.15,1797.58,3590.48,5477.0,6205.17,2235.62,4948.31,17580.92,21594.96,7334.7,1977.66,6.42,4.78,8.67,8.23,1.03,6.68,59.65,0.0,37.66,5.64,70.44,27.0,6
Dharmas Raya,2019,439117.0,71.52,15.49,0.89,0.2,2003.23,3458.91,5345.0,7411.88,2156.38,4700.81,17501.69,23353.16,6927.25,1786.65,6.29,4.47,8.82,8.44,1.13,6.42,25.13,0.79,38.51,5.54,70.73,30.34,6
Dharmas Raya,2020,477421.0,71.51,15.7,0.71,0.13,2173.69,4237.76,6633.0,6306.14,2424.71,5014.55,16842.7,23036.4,8044.85,1777.41,6.23,5.67,8.83,8.45,1.25,6.29,19.2,0.66,39.42,4.64,71.1,0.0,6
Dharmas Raya,2021,503183.0,71.76,17.6,0.75,0.12,2253.12,4260.89,5695.0,6910.78,2602.3,5562.49,17040.46,27499.25,8374.38,1893.6,6.67,6.03,8.93,8.5,1.02,6.23,21.74,0.36,29.86,3.74,71.33,0.0,6
Dharmas Raya,2022,530693.0,72.3,15.08,0.74,0.16,2269.09,3925.66,7029.7,6867.34,2417.75,7537.44,16129.08,28587.43,8026.97,1736.46,5.56,6.65,8.94,8.54,1.28,6.67,14.93,0.44,23.91,2.52,71.53,19.5,6
Dharmas Raya,2023,581058.0,73.04,15.49,0.42,0.06,2532.63,3998.33,6239.9,6878.69,2577.0,5938.82,20263.31,30516.96,9632.4,1968.29,5.56,6.25,8.95,8.7,0.89,5.56,11.73,0.18,26.04,3.25,71.9,24.2,6
Dharmas Raya,2024,622190.0,74.06,15.25,0.64,0.15,2644.0,4528.0,17839.0,7183.0,2774.0,6320.0,22291.0,33379.0,10230.0,1916.0,5.32,7.51,8.97,8.98,0.95,5.56,11.88,0.17,26.93,2.33,72.24,17.7,6
Dogiyai,2018,477674.0,54.44,29.32,5.75,1.53,672.96,3157.68,1572.0,17776.28,1061.18,3440.33,8599.58,4065.03,2096.48,12871.35,30.48,65.69,5.39,4.07,5.0,30.36,60.68,96.4,88.03,26.24,65.12,43.9,1
Dogiyai,2019,492905.0,55.41,30.37,6.3,1.82,607.07,2574.42,1227.0,13503.04,974.43,2910.25,5152.71,3317.13,1885.09,7123.22,31.12,83.57,5.4,4.08,5.0,30.48,26.48,72.6,92.3,26.18,65.32,57.48,1
Dogiyai,2020,512654.0,54.84,28.31,5.55,1.86,1059.0,2337.58,1306.0,16632.82,2104.15,2696.51,5536.38,1631.54,2274.21,8251.12,28.62,72.2,5.41,4.09,5.0,31.12,42.99,95.99,96.91,100.0,65.6,65.99,1
Dogiyai,2021,557009.0,55.0,28.38,3.68,0.78,1903.26,3378.48,1435.0,15665.63,1111.52,2881.34,6394.24,2006.85,2753.24,9070.22,28.81,79.67,5.42,4.1,5.0,28.62,26.26,87.02,98.7,66.71,65.73,0.0,1
Dogiyai,2022,592213.0,55.72,29.32,6.07,1.72,1846.35,3147.88,1726.54,14824.86,1756.75,3340.94,6804.76,295.52,3087.88,5185.25,29.48,80.32,5.44,4.12,5.0,28.81,23.59,74.8,93.51,45.56,65.85,42.9,1
Dogiyai,2023,653007.0,56.7,29.32,4.82,1.3,2741.16,3334.99,8310.24,25087.34,1578.34,6694.62,10490.71,6701.43,5208.66,8436.92,29.2,67.17,5.45,4.13,5.0,29.48,10.79,61.94,76.03,0.03,66.13,18.4,1
Dogiyai,2024,709423.0,57.68,30.42,6.1,1.59,3570.0,8956.0,17795.0,20490.0,342.0,5730.0,18232.0,13293.0,1447.0,79100.0,30.03,57.88,5.46,4.14,4.48,29.2,49.11,58.86,66.66,12.95,66.39,0.0,1
Dompu,2018,284188.0,66.97,30.74,1.59,0.34,1732.61,2626.58,5855.0,2632.4,1089.77,2017.71,22465.4,13784.98,3767.84,169.89,12.4,4.08,8.77,7.53,0.26,13.43,38.5,1.1,31.9,5.54,65.89,38.3,6
Dompu,2019,328740.0,67.83,30.81,1.62,0.35,2011.86,2527.2,4060.0,3118.05,1298.6,1678.81,16408.33,15269.82,3910.4,281.84,12.25,2.94,8.94,7.87,0.18,12.4,52.88,0.41,32.07,4.95,66.2,33.83,6
Dompu,2020,362142.0,67.84,30.97,1.65,0.34,2497.17,2732.76,5950.0,4396.84,2051.56,1970.8,18115.75,17475.98,5144.59,609.19,12.16,2.73,8.95,7.99,0.13,12.25,16.1,1.6,29.33,3.7,66.6,41.49,6
Dompu,2021,370120.0,68.45,33.26,1.33,0.25,2418.08,3267.79,5786.0,5078.87,1857.78,2458.19,16518.97,19203.59,5337.29,938.26,12.6,1.91,9.24,8.02,0.14,12.16,19.08,0.57,32.03,1.68,66.82,0.0,6
Dompu,2022,404413.0,69.15,33.27,1.49,0.32,2678.15,3556.13,5282.64,6578.23,1981.0,3294.39,20756.6,20388.12,4095.19,660.31,12.4,2.53,9.25,8.08,0.15,12.6,16.14,0.17,31.08,1.59,66.99,31.5,6
Dompu,2023,442451.0,69.98,34.38,1.84,0.39,2079.88,3395.15,6782.93,4899.79,1803.29,2895.98,20342.91,21416.9,4014.95,752.4,12.62,2.06,9.49,8.35,0.19,12.4,49.27,0.12,33.27,13.74,67.36,18.9,6
Dompu,2024,469647.0,70.78,32.08,1.62,0.32,2518.0,4027.0,7094.0,6692.0,1983.0,3411.0,32651.0,26334.0,5289.0,590.0,11.59,1.69,9.52,8.45,0.22,12.62,44.04,0.21,37.61,1.26,67.76,12.4,6
Donggala,2018,308212.0,65.14,54.28,3.04,0.86,1760.59,3485.72,3430.0,1098.16,1417.34,2784.93,18423.18,13824.08,3054.26,1071.53,18.03,9.31,8.47,7.17,0.81,18.17,39.24,8.42,50.43,7.3,65.89,39.5,5
Donggala,2019,336404.0,65.49,55.83,2.86,0.76,1575.08,3530.29,7784.0,1502.97,1662.63,2869.22,18747.31,15993.57,4041.15,1065.34,18.4,10.01,8.48,7.45,0.55,18.03,30.85,9.77,43.65,6.88,66.37,36.02,5
