Kabupaten/Kota,Tahun,Garis Kemiskinan,Indeks Pembangunan Manusia,Jumlah Penduduk Miskin,Indeks Kedalaman Kemiskinan,Indeks Keparahan Kemiskinan,Pengeluaran Perkapita Bahan Makanan Lainnya,Pengeluaran Perkapita Bahan Minuman,Pengeluaran Perkapita Buah-Buahan,Pengeluaran Perkapita Daging,Pengeluaran Perkapita Kacang-Kacangan,Pengeluaran Perkapita Bahan Minyak dan Kelapa,Pengeluaran Perkapita Padi-Padian,Pengeluaran Perkapita Rokok dan Tembakau,Pengeluaran Perkapita Telur dan Susu,Pengeluaran Perkapita Umbi-Umbian,Persentase Penduduk Miskin,Prevalensi Konsumsi Pangan Tidak Cukup,Rata-rata Lama Sekolah_Laki-laki,Rata-rata Lama Sekolah_Perempuan,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Rasio Tenaga Kesehatan,Angka Harapan Hidup,Stunting (%),Kelompok IKP
Aceh Besar,2024,586860.0,75.13,58.98,1.88,0.47,2427.0,3480.0,6689.0,5118.0,1791.0,4407.0,22097.0,20848.0,7148.0,1337.0,13.21,8.13,10.57,10.37,0.48,13.38,26.96,0.43,10.06,1.38,70.14,30.1,6
Aceh Jaya,2018,373690.0,68.83,12.85,2.4,0.73,1823.65,3935.58,5028.0,3060.15,1072.0,4184.32,17638.71,28189.83,4924.21,935.9,14.16,8.64,8.63,8.12,0.25,14.85,52.83,0.0,42.31,7.44,66.77,38.3,5
Aceh Jaya,2019,391677.0,69.74,12.35,2.49,0.65,1782.74,3895.91,5021.0,3637.93,1328.24,3820.0,19686.39,25480.31,5022.77,963.56,13.36,9.21,8.88,8.41,0.49,14.16,50.78,1.36,24.51,8.45,66.88,34.0,6
Aceh Jaya,2020,428094.0,69.75,12.11,2.19,0.54,1793.69,4400.38,4872.0,2903.65,1236.64,4121.23,18783.41,26205.53,4567.32,1286.26,12.87,8.97,8.89,8.59,0.3,13.36,41.55,0.94,28.09,7.09,67.11,0.0,6
Aceh Jaya,2021,441706.0,69.84,12.63,2.06,0.5,1974.46,4553.21,8049.0,4335.44,1694.25,4119.72,20291.87,30069.33,5183.12,1541.82,13.23,6.38,8.9,8.6,0.26,12.87,38.86,0.0,26.81,4.89,67.16,0.0,6
Aceh Jaya,2022,468854.0,70.36,12.13,1.61,0.3,2255.84,4054.46,8661.58,6255.52,1655.78,4491.41,20885.33,28988.15,6311.18,1342.58,12.51,9.33,8.92,8.61,0.31,13.23,45.81,0.56,29.9,4.56,67.19,33.7,6
Aceh Jaya,2023,515244.0,70.88,12.22,2.22,0.56,2104.99,4591.41,7321.97,4711.5,1668.21,4606.67,23458.94,29257.27,5939.36,1419.32,12.42,9.44,8.93,8.63,0.41,12.51,37.53,0.24,31.33,1.23,67.4,27.4,6
Aceh Jaya,2024,536092.0,71.83,12.24,1.39,0.28,2493.0,4875.0,8789.0,4743.0,1739.0,4775.0,25137.0,35104.0,6695.0,1532.0,12.25,8.43,9.25,8.64,0.33,12.42,40.9,0.14,26.92,4.54,67.55,34.0,6
Aceh Selatan,2018,351288.0,65.92,32.82,1.78,0.37,1497.36,3683.62,4089.0,875.94,919.46,4098.55,19300.85,15533.35,3969.17,519.96,14.01,11.76,8.89,7.89,0.69,14.07,69.08,0.5,53.23,5.49,63.89,44.9,4
Aceh Selatan,2019,369107.0,66.9,31.06,1.58,0.31,1434.41,3652.93,4852.0,1440.04,988.83,4070.11,18854.91,18129.78,4097.75,716.95,13.09,11.08,9.07,8.1,0.69,14.01,55.21,0.75,50.19,5.64,64.02,35.93,5
