Kabupaten/Kota,Tahun,Pengeluaran Perkapita Umbi-Umbian
Bantaeng,2018,1211.24
Bantaeng,2019,1182.49
Bantaeng,2020,1815.72
Bantaeng,2021,2345.57
Bantaeng,2022,2018.19
Bantaeng,2023,2009.97
Bantaeng,2024,1809.0
Bantul,2018,715.64
Bantul,2019,681.76
Bantul,2020,955.22
Bantul,2021,1225.64
Bantul,2022,1233.56
Bantul,2023,1557.17
Bantul,2024,1408.0
Banyu Asin,2018,1096.48
Banyu Asin,2019,1168.67
Banyu Asin,2020,1259.73
Banyu Asin,2021,1968.73
Banyu Asin,2022,2005.34
Banyu Asin,2023,2573.38
Banyu Asin,2024,2567.0
Banyumas,2018,1028.63
Banyumas,2019,1005.53
Banyumas,2020,1135.05
Banyumas,2021,1401.97
Banyumas,2022,1467.66
Banyumas,2023,1656.61
Banyumas,2024,1416.0
Banyuwangi,2018,545.34
Banyuwangi,2019,694.31
Banyuwangi,2020,628.99
Banyuwangi,2021,789.29
Banyuwangi,2022,954.18
Banyuwangi,2023,1126.42
Banyuwangi,2024,1560.0
Barito Kuala,2018,749.9
Barito Kuala,2019,688.61
Barito Kuala,2020,768.49
Barito Kuala,2021,1066.75
Barito Kuala,2022,981.89
Barito Kuala,2023,1022.45
Barito Kuala,2024,1150.0
Barito Selatan,2018,997.07
Barito Selatan,2019,803.9
Barito Selatan,2020,1139.05
Barito Selatan,2021,1649.53
Barito Selatan,2022,1848.17
Barito Selatan,2023,1390.07
Barito Selatan,2024,1075.0
Barito Timur,2018,757.49
Barito Timur,2019,604.11
Barito Timur,2020,1149.84
Barito Timur,2021,1528.47
Barito Timur,2022,1303.56
Barito Timur,2023,1141.33
Barito Timur,2024,1248.0
Barito Utara,2018,1011.7
Barito Utara,2019,791.58
Barito Utara,2020,1241.8
Barito Utara,2021,1469.43
Barito Utara,2022,1570.42
Barito Utara,2023,1226.58
Barito Utara,2024,752.0
Barru,2018,630.73
Barru,2019,445.77
Barru,2020,885.4
Barru,2021,722.41
Barru,2022,782.58
Barru,2023,1056.14
Barru,2024,834.0
Batang,2018,576.09
Batang,2019,621.99
Batang,2020,901.03
Batang,2021,986.68
Batang,2022,1013.16
Batang,2023,1264.25
Batang,2024,1170.0
