Kabupaten/Kota,Tahun,Pengeluaran Perkapita Umbi-Umbian
Kaimana,2023,6953.98
Kaimana,2024,6207.0
Kampar,2018,1695.75
Kampar,2019,1623.88
Kampar,2020,1586.87
Kampar,2021,2068.88
Kampar,2022,2312.26
Kampar,2023,2144.78
Kampar,2024,2255.0
Kapuas,2018,920.04
Kapuas,2019,1131.24
Kapuas,2020,1132.46
Kapuas,2021,1326.2
Kapuas,2022,1352.87
Kapuas,2023,1631.76
Kapuas,2024,1436.0
Kapuas Hulu,2018,1013.8
Kapuas Hulu,2019,1019.77
Kapuas Hulu,2020,1167.52
Kapuas Hulu,2021,1245.06
Kapuas Hulu,2022,2463.76
Kapuas Hulu,2023,1856.4
Kapuas Hulu,2024,1691.0
Karanganyar,2018,824.45
Karanganyar,2019,900.03
Karanganyar,2020,977.07
Karanganyar,2021,1063.68
Karanganyar,2022,1385.25
Karanganyar,2023,1742.42
Karanganyar,2024,1803.0
Karangasem,2018,563.49
Karangasem,2019,658.88
Karangasem,2020,517.49
Karangasem,2021,913.4
Karangasem,2022,978.95
Karangasem,2023,918.52
Karangasem,2024,635.0
Karawang,2018,585.7
Karawang,2019,593.93
Karawang,2020,711.98
Karawang,2021,766.57
Karawang,2022,878.2
Karawang,2023,1127.54
Karawang,2024,935.0
Karimun,2018,1200.84
Karimun,2019,1207.7
Karimun,2020,1597.97
Karimun,2021,1778.41
Karimun,2022,1493.77
Karimun,2023,2071.61
Karimun,2024,2209.0
Karo,2018,1380.45
Karo,2019,1069.03
Karo,2020,1610.63
Karo,2021,1613.8
Karo,2022,2046.31
Karo,2023,2288.19
Karo,2024,1574.0
Katingan,2018,1021.84
Katingan,2019,1262.3
Katingan,2020,1306.68
Katingan,2021,1444.38
Katingan,2022,1558.74
Katingan,2023,1956.7
Katingan,2024,1700.0
Kaur,2018,744.07
Kaur,2019,824.14
Kaur,2020,727.89
Kaur,2021,1197.13
Kaur,2022,1274.39
Kaur,2023,1394.84
Kaur,2024,914.0
Kayong Utara,2018,808.28
Kayong Utara,2019,724.89
Kayong Utara,2020,1087.79
Kayong Utara,2021,1203.8
Kayong Utara,2022,1317.11
Kayong Utara,2023,1296.29
Kayong Utara,2024,1089.0
Kebumen,2018,440.46
Kebumen,2019,783.61
Kebumen,2020,878.36
Kebumen,2021,1141.49
Kebumen,2022,960.68
Kebumen,2023,964.15
Kebumen,2024,828.0
Kediri,2018,973.9
Kediri,2019,1086.48
Kediri,2020,1086.25
Kediri,2021,1317.27
Kediri,2022,1674.67
Kediri,2023,1614.5
Kediri,2024,1630.0
Keerom,2018,2778.62
Keerom,2019,4059.76
Keerom,2020,3658.98
Keerom,2021,4584.42
Keerom,2022,3829.3
Keerom,2023,4154.44
Keerom,2024,4444.0
Kendal,2018,656.75
Kendal,2019,778.93
Kendal,2020,704.69
Kendal,2021,965.26
Kendal,2022,1119.49
Kendal,2023,1363.44
Kendal,2024,1142.0
Kep. Seribu,2018,797.48
Kep. Seribu,2019,1480.77
Kep. Seribu,2020,1084.59
Kep. Seribu,2021,1346.15
Kep. Seribu,2022,1550.67
Kep. Seribu,2023,1090.95
Kep. Seribu,2024,854.0
Kepahiang,2018,1154.63
Kepahiang,2019,962.82
Kepahiang,2020,974.93
Kepahiang,2021,1335.51
Kepahiang,2022,1137.29
Kepahiang,2023,1399.78
Kepahiang,2024,1152.0
Kepulauan Anambas,2018,1069.33
Kepulauan Anambas,2019,1141.49
Kepulauan Anambas,2020,1258.95
Kepulauan Anambas,2021,1404.57
Kepulauan Anambas,2022,2170.14
Kepulauan Anambas,2023,1806.54
Kepulauan Anambas,2024,1706.0
Kepulauan Aru,2018,6098.63
Kepulauan Aru,2019,5918.4
Kepulauan Aru,2020,6410.56
Kepulauan Aru,2021,7000.63
Kepulauan Aru,2022,7807.52
Kepulauan Aru,2023,7114.33
Kepulauan Aru,2024,6150.0
Kepulauan Mentawai,2018,5222.96
Kepulauan Mentawai,2019,5578.12
Kepulauan Mentawai,2020,6967.35
Kepulauan Mentawai,2021,6761.96
Kepulauan Mentawai,2022,6997.72
Kepulauan Mentawai,2023,6350.75
Kepulauan Mentawai,2024,5909.0
Kepulauan Meranti,2018,1430.33
Kepulauan Meranti,2019,1407.48
Kepulauan Meranti,2020,1536.23
Kepulauan Meranti,2021,1926.15
Kepulauan Meranti,2022,1967.81
Kepulauan Meranti,2023,2336.87
Kepulauan Meranti,2024,2182.0
Kepulauan Sangihe,2018,5910.99
Kepulauan Sangihe,2019,5528.45
Kepulauan Sangihe,2020,3964.58
Kepulauan Sangihe,2021,4186.54
Kepulauan Sangihe,2022,5599.76
Kepulauan Sangihe,2023,3913.37
Kepulauan Sangihe,2024,4424.0
Kepulauan Selayar,2018,1049.99
Kepulauan Selayar,2019,1426.58
Kepulauan Selayar,2020,1241.06
Kepulauan Selayar,2021,1765.33
Kepulauan Selayar,2022,1693.91
Kepulauan Selayar,2023,1307.45
Kepulauan Selayar,2024,890.0
Kepulauan Sula,2018,3363.36
Kepulauan Sula,2019,2794.2
Kepulauan Sula,2020,3424.68
Kepulauan Sula,2021,3343.59
Kepulauan Sula,2022,3309.14
Kepulauan Sula,2023,3307.24
Kepulauan Sula,2024,4077.0
Kepulauan Talaud,2018,3189.45
Kepulauan Talaud,2019,3412.63
Kepulauan Talaud,2020,3115.71
Kepulauan Talaud,2021,3434.71
Kepulauan Talaud,2022,3537.38
Kepulauan Talaud,2023,4358.67
Kepulauan Talaud,2024,4468.0
Kepulauan Yapen,2018,5885.97
Kepulauan Yapen,2019,7675.21
Kepulauan Yapen,2020,8874.94
Kepulauan Yapen,2021,9074.65
Kepulauan Yapen,2022,7220.33
Kepulauan Yapen,2023,7529.71
Kepulauan Yapen,2024,6017.0
Kerinci,2018,2699.67
Kerinci,2019,2064.65
Kerinci,2020,3335.76
Kerinci,2021,3153.8
Kerinci,2022,3218.4
Kerinci,2023,4054.3
Kerinci,2024,3051.0
Ketapang,2018,774.75
Ketapang,2019,768.31
Ketapang,2020,843.71
Ketapang,2021,1386.37
Ketapang,2022,1297.94
Ketapang,2023,1669.75
Ketapang,2024,1320.0
Klaten,2018,781.27
Klaten,2019,844.72
Klaten,2020,890.39
Klaten,2021,1179.38
Klaten,2022,1066.4
Klaten,2023,1221.47
Klaten,2024,1061.0
Klungkung,2018,903.62
Klungkung,2019,649.1
Klungkung,2020,918.0
Klungkung,2021,1423.17
Klungkung,2022,1332.27
Klungkung,2023,1916.0
Klungkung,2024,1068.0
Kolaka,2018,1082.25
Kolaka,2019,1057.53
Kolaka,2020,1191.24
Kolaka,2021,1301.66
Kolaka,2022,1435.84
Kolaka,2023,1463.61
Kolaka,2024,1404.0
Kolaka Timur,2018,1955.02
Kolaka Timur,2019,1542.0
Kolaka Timur,2020,1601.58
Kolaka Timur,2021,1561.37
Kolaka Timur,2022,1176.02
Kolaka Timur,2023,1255.4
Kolaka Timur,2024,1259.0
Kolaka Utara,2018,1302.88
Kolaka Utara,2019,1335.46
Kolaka Utara,2020,965.71
Kolaka Utara,2021,1308.51
Kolaka Utara,2022,1004.94
Kolaka Utara,2023,1301.54
Kolaka Utara,2024,875.0
Konawe,2018,1479.78
Konawe,2019,1562.99
Konawe,2020,1646.23
Konawe,2021,1850.8
Konawe,2022,1719.01
Konawe,2023,1728.29
Konawe,2024,1660.0
Konawe Kepulauan,2018,2198.02
Konawe Kepulauan,2019,1636.95
Konawe Kepulauan,2020,2138.25
Konawe Kepulauan,2021,2319.48
Konawe Kepulauan,2022,2651.34
Konawe Kepulauan,2023,2785.8
Konawe Kepulauan,2024,2138.0
Konawe Selatan,2018,1286.23
Konawe Selatan,2019,1263.74
Konawe Selatan,2020,1606.11
Konawe Selatan,2021,1710.32
Konawe Selatan,2022,1826.93
Konawe Selatan,2023,1547.87
Konawe Selatan,2024,1393.0
Konawe Utara,2018,1954.91
Konawe Utara,2019,1862.83
Konawe Utara,2020,2235.97
Konawe Utara,2021,2675.51
Konawe Utara,2022,2803.75
Konawe Utara,2023,2649.76
Konawe Utara,2024,2756.0
Kota Ambon,2018,2456.81
Kota Ambon,2019,2117.94
Kota Ambon,2020,2053.6
Kota Ambon,2021,3704.35
Kota Ambon,2022,3182.89
Kota Ambon,2023,2313.7
Kota Ambon,2024,2905.0
Kota Balikpapan,2018,2054.4
Kota Balikpapan,2019,1425.83
Kota Balikpapan,2020,1403.76
Kota Balikpapan,2021,2001.38
Kota Balikpapan,2022,2023.81
Kota Balikpapan,2023,2083.77
Kota Balikpapan,2024,1864.0
Kota Banda Aceh,2018,1178.3
Kota Banda Aceh,2019,775.46
Kota Banda Aceh,2020,1219.08
Kota Banda Aceh,2021,1172.05
Kota Banda Aceh,2022,1862.02
Kota Banda Aceh,2023,1622.4
Kota Banda Aceh,2024,1592.0
Kota Bandar Lampung,2018,788.18
Kota Bandar Lampung,2019,836.28
Kota Bandar Lampung,2020,1306.33
Kota Bandar Lampung,2021,1586.45
Kota Bandar Lampung,2022,1618.49
Kota Bandar Lampung,2023,1643.18
Kota Bandar Lampung,2024,1502.0
Kota Bandung,2018,1466.86
Kota Bandung,2019,1819.11
Kota Bandung,2020,1765.17
Kota Bandung,2021,2014.28
Kota Bandung,2022,2243.17
Kota Bandung,2023,2234.27
Kota Bandung,2024,2034.0
Kota Banjar,2018,1617.46
Kota Banjar,2019,1957.66
Kota Banjar,2020,2606.39
Kota Banjar,2021,2309.51
Kota Banjar,2022,2648.22
Kota Banjar,2023,2962.09
Kota Banjar,2024,2580.0
Kota Banjar Baru,2018,1008.36
Kota Banjar Baru,2019,1075.51
Kota Banjar Baru,2020,1486.35
Kota Banjar Baru,2021,1799.57
Kota Banjar Baru,2022,2273.46
Kota Banjar Baru,2023,1703.62
Kota Banjar Baru,2024,1700.0
Kota Banjarmasin,2018,872.68
Kota Banjarmasin,2019,638.25
Kota Banjarmasin,2020,786.37
Kota Banjarmasin,2021,1226.51
Kota Banjarmasin,2022,1157.97
Kota Banjarmasin,2023,1228.54
Kota Banjarmasin,2024,1206.0
Kota Baru,2018,1032.34
Kota Baru,2019,699.85
Kota Baru,2020,719.84
Kota Baru,2021,1233.01
Kota Baru,2022,1365.15
Kota Baru,2023,1180.81
Kota Baru,2024,997.0
Kota Batam,2018,1717.41
Kota Batam,2019,1789.99
Kota Batam,2020,2036.25
Kota Batam,2021,2381.46
Kota Batam,2022,2220.92
Kota Batam,2023,2335.51
Kota Batam,2024,2084.0
Kota Batu,2018,1674.84
Kota Batu,2019,1594.63
Kota Batu,2020,1731.88
Kota Batu,2021,1809.11
Kota Batu,2022,2084.46
Kota Batu,2023,2422.56
Kota Batu,2024,1812.0
Kota Baubau,2018,859.2
Kota Baubau,2019,460.74
Kota Baubau,2020,641.91
Kota Baubau,2021,877.25
Kota Baubau,2022,1006.89
Kota Baubau,2023,773.67
Kota Baubau,2024,711.0
Kota Bekasi,2018,2074.83
Kota Bekasi,2019,2195.97
Kota Bekasi,2020,2449.96
Kota Bekasi,2021,2456.27
Kota Bekasi,2022,2996.08
Kota Bekasi,2023,2523.97
Kota Bekasi,2024,2537.0
Kota Bengkulu,2018,1542.22
Kota Bengkulu,2019,1285.9
Kota Bengkulu,2020,1109.3
Kota Bengkulu,2021,1352.33
Kota Bengkulu,2022,1472.66
Kota Bengkulu,2023,1569.59
Kota Bengkulu,2024,1424.0
Kota Bima,2018,500.05
Kota Bima,2019,603.93
Kota Bima,2020,520.88
Kota Bima,2021,796.3
Kota Bima,2022,1128.37
Kota Bima,2023,893.84
Kota Bima,2024,710.0
Kota Binjai,2018,1134.41
Kota Binjai,2019,1347.73
Kota Binjai,2020,1569.97
Kota Binjai,2021,1476.31
Kota Binjai,2022,2061.35
Kota Binjai,2023,1781.53
Kota Binjai,2024,2421.0
Kota Bitung,2018,1673.13
Kota Bitung,2019,1656.8
Kota Bitung,2020,1491.68
Kota Bitung,2021,2263.77
Kota Bitung,2022,1715.8
Kota Bitung,2023,1841.6
Kota Bitung,2024,1820.0
Kota Blitar,2018,753.43
Kota Blitar,2019,871.49
Kota Blitar,2020,842.26
Kota Blitar,2021,1097.55
Kota Blitar,2022,917.46
Kota Blitar,2023,1238.54
Kota Blitar,2024,1032.0
Kota Bogor,2018,1616.06
Kota Bogor,2019,1494.15
Kota Bogor,2020,1762.18
Kota Bogor,2021,1886.28
Kota Bogor,2022,1985.15
Kota Bogor,2023,2008.46
Kota Bogor,2024,1663.0
Kota Bontang,2018,1103.77
Kota Bontang,2019,1126.71
Kota Bontang,2020,1304.99
Kota Bontang,2021,1972.69
Kota Bontang,2022,1970.99
Kota Bontang,2023,1925.07
Kota Bontang,2024,1698.0
Kota Bukittinggi,2018,1991.01
Kota Bukittinggi,2019,1723.7
Kota Bukittinggi,2020,2047.9
Kota Bukittinggi,2021,2228.14
Kota Bukittinggi,2022,2340.89
Kota Bukittinggi,2023,2320.7
Kota Bukittinggi,2024,2466.0
Kota Cilegon,2018,1087.36
Kota Cilegon,2019,1110.89
Kota Cilegon,2020,1264.33
Kota Cilegon,2021,2232.28
Kota Cilegon,2022,1334.13
Kota Cilegon,2023,1520.95
Kota Cilegon,2024,1541.0
Kota Cimahi,2018,1360.0
Kota Cimahi,2019,1612.86
Kota Cimahi,2020,1519.06
Kota Cimahi,2021,1882.24
Kota Cimahi,2022,1815.32
Kota Cimahi,2023,2129.3
Kota Cimahi,2024,1925.0
Kota Cirebon,2018,858.45
Kota Cirebon,2019,1040.06
Kota Cirebon,2020,907.26
Kota Cirebon,2021,1207.21
Kota Cirebon,2022,1528.45
Kota Cirebon,2023,1364.91
Kota Cirebon,2024,1384.0
Kota Denpasar,2018,1052.43
Kota Denpasar,2019,1440.18
Kota Denpasar,2020,1580.76
Kota Denpasar,2021,1797.5
Kota Denpasar,2022,1871.77
Kota Denpasar,2023,2070.9
Kota Denpasar,2024,1999.0
Kota Depok,2018,1743.15
Kota Depok,2019,1989.07
Kota Depok,2020,1994.24
Kota Depok,2021,2395.81
Kota Depok,2022,2983.97
Kota Depok,2023,3291.68
Kota Depok,2024,3145.0
Kota Dumai,2018,1366.7
Kota Dumai,2019,1232.39
Kota Dumai,2020,1505.4
Kota Dumai,2021,1572.93
Kota Dumai,2022,2172.26
Kota Dumai,2023,2300.11
Kota Dumai,2024,2285.0
Kota Gorontalo,2018,864.51
Kota Gorontalo,2019,791.4
Kota Gorontalo,2020,761.97
Kota Gorontalo,2021,1060.97
Kota Gorontalo,2022,1134.59
Kota Gorontalo,2023,1193.14
Kota Gorontalo,2024,943.0
Kota Gunungsitoli,2018,1043.29
Kota Gunungsitoli,2019,1097.3
Kota Gunungsitoli,2020,1285.15
Kota Gunungsitoli,2021,1096.96
Kota Gunungsitoli,2022,1296.03
Kota Gunungsitoli,2023,990.98
Kota Gunungsitoli,2024,1184.0
Kota Jakarta Barat,2018,1446.49
Kota Jakarta Barat,2019,1561.19
Kota Jakarta Barat,2020,1659.08
Kota Jakarta Barat,2021,2053.7
Kota Jakarta Barat,2022,1872.23
Kota Jakarta Barat,2023,2182.55
Kota Jakarta Barat,2024,2058.0
Kota Jakarta Pusat,2018,1279.89
Kota Jakarta Pusat,2019,1220.75
Kota Jakarta Pusat,2020,1813.71
Kota Jakarta Pusat,2021,1651.05
Kota Jakarta Pusat,2022,1807.45
Kota Jakarta Pusat,2023,1719.08
Kota Jakarta Pusat,2024,1706.0
Kota Jakarta Selatan,2018,1847.42
Kota Jakarta Selatan,2019,1554.93
Kota Jakarta Selatan,2020,2367.74
Kota Jakarta Selatan,2021,2356.41
Kota Jakarta Selatan,2022,2965.32
Kota Jakarta Selatan,2023,2654.41
Kota Jakarta Selatan,2024,3211.0
Kota Jakarta Timur,2018,1777.01
Kota Jakarta Timur,2019,1630.53
Kota Jakarta Timur,2020,1954.81
Kota Jakarta Timur,2021,2281.3
Kota Jakarta Timur,2022,2603.47
Kota Jakarta Timur,2023,2747.52
Kota Jakarta Timur,2024,2581.0
Kota Jakarta Utara,2018,1707.81
Kota Jakarta Utara,2019,1801.69
Kota Jakarta Utara,2020,1616.77
Kota Jakarta Utara,2021,1850.43
Kota Jakarta Utara,2022,2024.78
Kota Jakarta Utara,2023,2526.07
Kota Jakarta Utara,2024,2524.0
Kota Jambi,2018,2122.31
Kota Jambi,2019,1741.15
Kota Jambi,2020,1838.9
Kota Jambi,2021,2065.6
Kota Jambi,2022,2523.82
Kota Jambi,2023,2416.04
Kota Jambi,2024,2081.0
Kota Jayapura,2018,4010.73
Kota Jayapura,2019,3488.0
Kota Jayapura,2020,4047.82
Kota Jayapura,2021,3561.46
Kota Jayapura,2022,4714.83
Kota Jayapura,2023,4380.3
Kota Jayapura,2024,59957.0
Kota Kediri,2018,821.94
Kota Kediri,2019,793.28
Kota Kediri,2020,899.64
Kota Kediri,2021,1047.23
Kota Kediri,2022,1662.34
Kota Kediri,2023,1526.8
Kota Kediri,2024,1349.0
Kota Kendari,2018,1504.73
Kota Kendari,2019,1315.48
Kota Kendari,2020,1248.34
Kota Kendari,2021,1333.66
Kota Kendari,2022,1855.72
Kota Kendari,2023,1688.6
Kota Kendari,2024,1554.0
Kota Kotamobagu,2018,1203.42
Kota Kotamobagu,2019,1476.03
Kota Kotamobagu,2020,1242.83
Kota Kotamobagu,2021,1757.71
Kota Kotamobagu,2022,1622.68
Kota Kotamobagu,2023,1852.05
Kota Kotamobagu,2024,1672.0
Kota Kupang,2018,1012.68
Kota Kupang,2019,679.49
Kota Kupang,2020,867.09
Kota Kupang,2021,1486.55
Kota Kupang,2022,1236.96
Kota Kupang,2023,1222.3
Kota Kupang,2024,1144.0
Kota Langsa,2018,792.32
Kota Langsa,2019,726.68
Kota Langsa,2020,855.83
Kota Langsa,2021,832.31
Kota Langsa,2022,1061.54
Kota Langsa,2023,823.46
Kota Langsa,2024,1165.0
Kota Lhokseumawe,2018,951.51
Kota Lhokseumawe,2019,659.87
Kota Lhokseumawe,2020,979.51
Kota Lhokseumawe,2021,1323.96
Kota Lhokseumawe,2022,1225.97
Kota Lhokseumawe,2023,1028.86
Kota Lhokseumawe,2024,1174.0
Kota Lubuklinggau,2018,1411.01
Kota Lubuklinggau,2019,1367.58
Kota Lubuklinggau,2020,1327.66
Kota Lubuklinggau,2021,1604.42
Kota Lubuklinggau,2022,1506.83
Kota Lubuklinggau,2023,1574.66
Kota Lubuklinggau,2024,1495.0
Kota Madiun,2018,1341.92
Kota Madiun,2019,1071.65
Kota Madiun,2020,1383.42
Kota Madiun,2021,1828.75
Kota Madiun,2022,1811.55
Kota Madiun,2023,1883.32
Kota Madiun,2024,2191.0
Kota Magelang,2018,1140.86
Kota Magelang,2019,1080.01
Kota Magelang,2020,922.03
Kota Magelang,2021,1729.46
Kota Magelang,2022,1476.57
Kota Magelang,2023,1350.22
Kota Magelang,2024,1237.0
Kota Makasar,2018,1203.08
Kota Makasar,2019,802.62
Kota Makasar,2020,1185.89
Kota Makasar,2021,1420.64
Kota Makasar,2022,1578.91
Kota Makasar,2023,1390.13
Kota Makasar,2024,1368.0
Kota Malang,2018,1308.43
Kota Malang,2019,1418.39
Kota Malang,2020,1495.32
Kota Malang,2021,1409.73
Kota Malang,2022,2482.94
Kota Malang,2023,1887.74
Kota Malang,2024,1680.0
Kota Manado,2018,1618.07
Kota Manado,2019,1086.45
Kota Manado,2020,1049.97
Kota Manado,2021,1617.36
Kota Manado,2022,1830.3
Kota Manado,2023,1413.82
Kota Manado,2024,1361.0
Kota Mataram,2018,895.29
Kota Mataram,2019,1053.17
Kota Mataram,2020,1235.98
Kota Mataram,2021,1421.86
Kota Mataram,2022,1531.73
Kota Mataram,2023,1514.86
Kota Mataram,2024,1233.0
Kota Medan,2018,1588.13
Kota Medan,2019,1559.7
Kota Medan,2020,1654.84
Kota Medan,2021,1728.09
Kota Medan,2022,1893.73
Kota Medan,2023,2410.67
Kota Medan,2024,2341.0
Kota Metro,2018,780.38
Kota Metro,2019,733.86
Kota Metro,2020,904.02
Kota Metro,2021,861.47
Kota Metro,2022,925.01
Kota Metro,2023,1001.34
Kota Metro,2024,1216.0
Kota Mojokerto,2018,723.96
Kota Mojokerto,2019,1077.11
Kota Mojokerto,2020,1015.78
Kota Mojokerto,2021,1394.72
Kota Mojokerto,2022,1394.51
Kota Mojokerto,2023,1603.27
Kota Mojokerto,2024,1539.0
Kota Padang,2018,1949.83
Kota Padang,2019,1643.71
Kota Padang,2020,1871.3
Kota Padang,2021,1994.53
Kota Padang,2022,2397.03
Kota Padang,2023,2557.68
Kota Padang,2024,2337.0
Kota Padang Panjang,2018,1533.24
Kota Padang Panjang,2019,1536.21
Kota Padang Panjang,2020,1675.62
Kota Padang Panjang,2021,1907.77
Kota Padang Panjang,2022,1731.59
Kota Padang Panjang,2023,2353.31
Kota Padang Panjang,2024,1950.0
Kota Padangsidimpuan,2018,1160.6
Kota Padangsidimpuan,2019,1010.28
Kota Padangsidimpuan,2020,1365.98
Kota Padangsidimpuan,2021,1327.47
Kota Padangsidimpuan,2022,1522.87
Kota Padangsidimpuan,2023,1688.29
Kota Padangsidimpuan,2024,1940.0
Kota Pagar Alam,2018,814.96
Kota Pagar Alam,2019,1174.25
Kota Pagar Alam,2020,747.54
Kota Pagar Alam,2021,1159.13
Kota Pagar Alam,2022,1236.96
Kota Pagar Alam,2023,976.6
Kota Pagar Alam,2024,1343.0
Kota Palangka Raya,2018,1233.45
Kota Palangka Raya,2019,1228.93
Kota Palangka Raya,2020,1619.63
Kota Palangka Raya,2021,1973.57
Kota Palangka Raya,2022,1980.57
Kota Palangka Raya,2023,2314.24
Kota Palangka Raya,2024,1521.0
Kota Palembang,2018,1180.39
Kota Palembang,2019,1324.23
Kota Palembang,2020,1437.54
Kota Palembang,2021,1743.13
Kota Palembang,2022,2145.87
Kota Palembang,2023,2161.68
Kota Palembang,2024,1867.0
Kota Palopo,2018,1344.61
Kota Palopo,2019,568.65
Kota Palopo,2020,694.42
Kota Palopo,2021,1075.94
Kota Palopo,2022,1209.85
Kota Palopo,2023,1030.02
Kota Palopo,2024,1209.0
Kota Palu,2018,744.19
Kota Palu,2019,917.8
Kota Palu,2020,713.59
Kota Palu,2021,692.32
Kota Palu,2022,1025.31
Kota Palu,2023,1114.4
Kota Palu,2024,1386.0
Kota Pangkal Pinang,2018,1370.8
Kota Pangkal Pinang,2019,1430.43
Kota Pangkal Pinang,2020,1559.17
Kota Pangkal Pinang,2021,1888.87
Kota Pangkal Pinang,2022,2065.79
Kota Pangkal Pinang,2023,1952.72
Kota Pangkal Pinang,2024,2319.0
Kota Parepare,2018,545.57
Kota Parepare,2019,682.25
Kota Parepare,2020,635.34
Kota Parepare,2021,801.5
Kota Parepare,2022,702.03
Kota Parepare,2023,540.65
Kota Parepare,2024,561.0
Kota Pariaman,2018,1046.32
Kota Pariaman,2019,1103.93
Kota Pariaman,2020,1110.58
Kota Pariaman,2021,1493.29
Kota Pariaman,2022,1305.01
Kota Pariaman,2023,1450.36
Kota Pariaman,2024,1362.0
Kota Pasuruan,2018,953.17
Kota Pasuruan,2019,943.46
Kota Pasuruan,2020,1067.26
Kota Pasuruan,2021,1143.59
Kota Pasuruan,2022,1006.37
Kota Pasuruan,2023,1400.12
Kota Pasuruan,2024,1486.0
Kota Payakumbuh,2018,1373.92
Kota Payakumbuh,2019,1444.48
Kota Payakumbuh,2020,1328.76
Kota Payakumbuh,2021,1620.69
Kota Payakumbuh,2022,1568.92
Kota Payakumbuh,2023,2055.79
Kota Payakumbuh,2024,2022.0
Kota Pekalongan,2018,549.22
Kota Pekalongan,2019,561.59
Kota Pekalongan,2020,880.56
Kota Pekalongan,2021,864.43
Kota Pekalongan,2022,564.21
Kota Pekalongan,2023,536.51
Kota Pekalongan,2024,669.0
Kota Pekanbaru,2018,1544.55
Kota Pekanbaru,2019,1498.95
Kota Pekanbaru,2020,1706.53
Kota Pekanbaru,2021,1706.7
Kota Pekanbaru,2022,2256.6
Kota Pekanbaru,2023,2151.91
Kota Pekanbaru,2024,2201.0
Kota Pematang Siantar,2018,1629.63
Kota Pematang Siantar,2019,1096.59
Kota Pematang Siantar,2020,1448.79
Kota Pematang Siantar,2021,1669.43
Kota Pematang Siantar,2022,1756.4
Kota Pematang Siantar,2023,2382.87
Kota Pematang Siantar,2024,2060.0
Kota Pontianak,2018,1654.85
Kota Pontianak,2019,1411.04
Kota Pontianak,2020,1458.36
Kota Pontianak,2021,1580.1
Kota Pontianak,2022,1836.24
Kota Pontianak,2023,1672.93
Kota Pontianak,2024,1672.0
Kota Prabumulih,2018,986.4
Kota Prabumulih,2019,813.84
Kota Prabumulih,2020,969.17
Kota Prabumulih,2021,999.65
Kota Prabumulih,2022,1256.16
Kota Prabumulih,2023,1689.31
Kota Prabumulih,2024,1438.0
Kota Probolinggo,2018,1220.81
Kota Probolinggo,2019,1240.97
Kota Probolinggo,2020,1201.36
Kota Probolinggo,2021,1480.89
Kota Probolinggo,2022,1267.72
Kota Probolinggo,2023,1292.77
Kota Probolinggo,2024,1158.0
Kota Sabang,2018,965.61
Kota Sabang,2019,1134.52
Kota Sabang,2020,1195.55
Kota Sabang,2021,1112.66
Kota Sabang,2022,1574.17
Kota Sabang,2023,1556.37
Kota Sabang,2024,1447.0
Kota Salatiga,2018,806.59
Kota Salatiga,2019,1011.82
Kota Salatiga,2020,947.32
Kota Salatiga,2021,1676.87
Kota Salatiga,2022,1598.31
Kota Salatiga,2023,1508.1
Kota Salatiga,2024,1435.0
Kota Samarinda,2018,1372.83
Kota Samarinda,2019,1134.71
Kota Samarinda,2020,1792.29
Kota Samarinda,2021,1309.46
Kota Samarinda,2022,1820.28
Kota Samarinda,2023,1775.22
Kota Samarinda,2024,2022.0
Kota Sawah Lunto,2018,1913.15
Kota Sawah Lunto,2019,1773.87
Kota Sawah Lunto,2020,1730.88
Kota Sawah Lunto,2021,2270.73
Kota Sawah Lunto,2022,2227.37
Kota Sawah Lunto,2023,2705.08
Kota Sawah Lunto,2024,2538.0
Kota Semarang,2018,1105.58
Kota Semarang,2019,971.1
Kota Semarang,2020,1382.79
Kota Semarang,2021,1471.31
Kota Semarang,2022,1741.09
Kota Semarang,2023,1433.96
Kota Semarang,2024,1514.0
Kota Serang,2018,738.53
Kota Serang,2019,810.36
Kota Serang,2020,1133.03
Kota Serang,2021,1336.0
Kota Serang,2022,1213.45
Kota Serang,2023,1475.33
Kota Serang,2024,1300.0
Kota Sibolga,2018,711.21
Kota Sibolga,2019,609.65
Kota Sibolga,2020,578.94
Kota Sibolga,2021,582.47
Kota Sibolga,2022,860.17
Kota Sibolga,2023,849.81
Kota Sibolga,2024,754.0
Kota Singkawang,2018,960.83
Kota Singkawang,2019,1064.65
Kota Singkawang,2020,1246.43
Kota Singkawang,2021,1505.5
Kota Singkawang,2022,1610.61
Kota Singkawang,2023,1441.63
Kota Singkawang,2024,1273.0
Kota Solok,2018,1487.07
Kota Solok,2019,1456.89
Kota Solok,2020,1547.64
Kota Solok,2021,1726.29
Kota Solok,2022,1905.3
Kota Solok,2023,1978.11
Kota Solok,2024,2276.0
Kota Sorong,2018,3183.12
Kota Sorong,2019,2450.01
Kota Sorong,2020,2848.46
Kota Sorong,2021,3369.91
Kota Sorong,2022,2394.54
Kota Sorong,2023,3074.39
Kota Sorong,2024,3189.0
Kota Subulussalam,2018,681.89
Kota Subulussalam,2019,779.82
Kota Subulussalam,2020,842.3
Kota Subulussalam,2021,1148.47
Kota Subulussalam,2022,1329.14
Kota Subulussalam,2023,1291.86
Kota Subulussalam,2024,1218.0
Kota Sukabumi,2018,972.18
Kota Sukabumi,2019,1140.92
Kota Sukabumi,2020,1312.58
Kota Sukabumi,2021,1294.46
Kota Sukabumi,2022,1413.09
Kota Sukabumi,2023,1335.92
Kota Sukabumi,2024,1712.0
