Kabupaten/Kota,Tahun,Pengeluaran Perkapita Telur dan Susu
Banjarnegara,2021,6838.64
Banjarnegara,2022,5688.06
Banjarnegara,2023,6903.26
Banjarnegara,2024,6121.0
Bantaeng,2018,4093.49
Bantaeng,2019,4603.23
Bantaeng,2020,5930.05
Bantaeng,2021,6105.26
Bantaeng,2022,4114.69
Bantaeng,2023,4860.6
Bantaeng,2024,6243.0
Bantul,2018,8809.3
Bantul,2019,9499.7
Bantul,2020,10914.74
Bantul,2021,11613.4
Bantul,2022,11925.06
Bantul,2023,11976.36
Bantul,2024,13059.0
Banyu Asin,2018,6518.79
Banyu Asin,2019,7364.49
Banyu Asin,2020,8364.1
Banyu Asin,2021,8561.9
Banyu Asin,2022,8993.61
Banyu Asin,2023,8332.88
Banyu Asin,2024,9484.0
Banyumas,2018,6523.93
Banyumas,2019,6822.38
Banyumas,2020,7784.61
Banyumas,2021,6743.17
Banyumas,2022,6750.77
Banyumas,2023,7799.61
Banyumas,2024,7739.0
Banyuwangi,2018,5106.48
Banyuwangi,2019,5688.26
Banyuwangi,2020,5701.88
Banyuwangi,2021,6352.66
Banyuwangi,2022,6303.0
Banyuwangi,2023,6546.66
Banyuwangi,2024,8056.0
Barito Kuala,2018,6910.87
Barito Kuala,2019,6845.86
Barito Kuala,2020,7004.49
Barito Kuala,2021,8460.84
Barito Kuala,2022,6926.89
Barito Kuala,2023,7960.62
Barito Kuala,2024,8214.0
Barito Selatan,2018,7144.36
Barito Selatan,2019,8149.93
Barito Selatan,2020,9209.12
Barito Selatan,2021,8730.72
Barito Selatan,2022,9153.47
Barito Selatan,2023,8560.58
Barito Selatan,2024,10361.0
Barito Timur,2018,7645.88
Barito Timur,2019,9468.44
Barito Timur,2020,9530.85
Barito Timur,2021,10012.19
Barito Timur,2022,10085.02
Barito Timur,2023,9059.97
Barito Timur,2024,9840.0
Barito Utara,2018,7814.72
Barito Utara,2019,8276.68
Barito Utara,2020,11962.51
Barito Utara,2021,9996.99
Barito Utara,2022,9773.63
Barito Utara,2023,11279.55
Barito Utara,2024,8200.0
Barru,2018,5222.22
Barru,2019,4547.72
Barru,2020,6428.13
Barru,2021,6729.99
Barru,2022,6087.55
Barru,2023,7155.04
Barru,2024,6619.0
Batang,2018,5153.91
Batang,2019,4550.4
Batang,2020,6072.46
Batang,2021,5522.22
Batang,2022,5317.46
Batang,2023,6317.41
Batang,2024,7192.0
Batang Hari,2018,6116.45
Batang Hari,2019,6012.28
Batang Hari,2020,6392.89
Batang Hari,2021,6081.92
Batang Hari,2022,5639.1
Batang Hari,2023,7784.27
Batang Hari,2024,7171.0
Batu Bara,2018,6035.63
Batu Bara,2019,5973.49
Batu Bara,2020,5912.62
Batu Bara,2021,6314.22
Batu Bara,2022,6669.63
Batu Bara,2023,7018.17
Batu Bara,2024,7400.0
Bekasi,2018,8548.79
Bekasi,2019,12014.82
Bekasi,2020,12083.87
Bekasi,2021,11009.72
Bekasi,2022,10404.49
