Kabupaten/Kota,Tahun,Pengeluaran Perkapita Telur dan Susu
Jepara,2018,4904.27
Jepara,2019,5192.47
Jepara,2020,4780.14
Jepara,2021,6216.38
Jepara,2022,6497.66
Jepara,2023,6746.75
Jepara,2024,5907.0
Jombang,2018,6748.63
Jombang,2019,7030.21
Jombang,2020,7276.36
Jombang,2021,8034.18
Jombang,2022,8096.79
Jombang,2023,7921.53
Jombang,2024,7852.0
Kaimana,2018,9794.1
Kaimana,2019,7721.92
Kaimana,2020,10334.32
Kaimana,2021,8568.3
Kaimana,2022,10827.81
Kaimana,2023,8468.33
Kaimana,2024,9583.0
Kampar,2018,8041.67
Kampar,2019,7091.04
Kampar,2020,7896.97
Kampar,2021,8361.57
Kampar,2022,7936.8
Kampar,2023,8804.48
Kampar,2024,8301.0
Kapuas,2018,6171.32
Kapuas,2019,7036.69
Kapuas,2020,7036.36
Kapuas,2021,6828.44
Kapuas,2022,6896.36
Kapuas,2023,7895.98
Kapuas,2024,7496.0
Kapuas Hulu,2018,7372.08
Kapuas Hulu,2019,7423.04
Kapuas Hulu,2020,5959.3
Kapuas Hulu,2021,6253.12
Kapuas Hulu,2022,7382.27
Kapuas Hulu,2023,8818.79
Kapuas Hulu,2024,8280.0
Karanganyar,2018,8147.29
Karanganyar,2019,8301.9
Karanganyar,2020,8987.72
Karanganyar,2021,7880.23
Karanganyar,2022,7765.31
Karanganyar,2023,8248.07
Karanganyar,2024,8500.0
Karangasem,2018,4084.55
Karangasem,2019,4286.85
Karangasem,2020,4493.28
Karangasem,2021,4369.43
Karangasem,2022,4571.51
Karangasem,2023,5251.4
Karangasem,2024,6254.0
Karawang,2018,7844.81
Karawang,2019,7453.73
Karawang,2020,6632.85
Karawang,2021,7499.64
Karawang,2022,7114.91
Karawang,2023,8314.44
Karawang,2024,8522.0
Karimun,2018,9888.11
Karimun,2019,9676.03
Karimun,2020,8818.3
Karimun,2021,11344.53
Karimun,2022,9021.89
Karimun,2023,9167.89
Karimun,2024,10288.0
Karo,2018,8849.25
Karo,2019,9233.01
Karo,2020,9804.99
Karo,2021,10048.05
Karo,2022,9132.52
Karo,2023,10849.45
Karo,2024,10462.0
Katingan,2018,8241.55
Katingan,2019,9342.29
Katingan,2020,9453.44
Katingan,2021,10654.26
Katingan,2022,9306.23
Katingan,2023,10555.59
Katingan,2024,8259.0
Kaur,2018,6643.17
Kaur,2019,6079.06
Kaur,2020,5124.1
Kaur,2021,5540.22
Kaur,2022,5287.05
Kaur,2023,6090.97
Kaur,2024,6409.0
Kayong Utara,2018,8388.66
Kayong Utara,2019,8751.55
Kayong Utara,2020,8355.6
Kayong Utara,2021,10058.02
Kayong Utara,2022,8079.52
Kayong Utara,2023,8989.65
Kayong Utara,2024,9554.0
Kebumen,2018,5142.69
Kebumen,2019,6101.2
Kebumen,2020,6708.64
Kebumen,2021,6413.51
Kebumen,2022,6928.79
Kebumen,2023,6764.27
Kebumen,2024,7223.0
Kediri,2018,5716.32
Kediri,2019,5499.88
Kediri,2020,6995.98
Kediri,2021,6681.42
Kediri,2022,8043.41
Kediri,2023,7445.94
Kediri,2024,7817.0
Keerom,2018,5986.12
Keerom,2019,7451.2
Keerom,2020,5868.99
Keerom,2021,6620.83
Keerom,2022,6982.35
Keerom,2023,5493.5
Keerom,2024,8512.0
Kendal,2018,7417.33
Kendal,2019,6714.84
Kendal,2020,8050.14
Kendal,2021,6989.35
Kendal,2022,7804.64
Kendal,2023,7997.4
Kendal,2024,8260.0
Kep. Seribu,2018,11379.99
Kep. Seribu,2019,9517.28
Kep. Seribu,2020,10574.5
Kep. Seribu,2021,10294.59
Kep. Seribu,2022,8986.22
Kep. Seribu,2023,9878.27
Kep. Seribu,2024,8409.0
Kepahiang,2018,5175.72
Kepahiang,2019,4648.47
Kepahiang,2020,7238.09
Kepahiang,2021,6084.39
Kepahiang,2022,5842.14
Kepahiang,2023,6279.59
Kepahiang,2024,6164.0
Kepulauan Anambas,2018,10903.96
Kepulauan Anambas,2019,15170.5
Kepulauan Anambas,2020,13155.3
Kepulauan Anambas,2021,11144.98
Kepulauan Anambas,2022,12941.86
Kepulauan Anambas,2023,12264.54
Kepulauan Anambas,2024,13730.0
Kepulauan Aru,2018,5586.44
Kepulauan Aru,2019,5527.11
Kepulauan Aru,2020,4489.57
Kepulauan Aru,2021,6158.55
Kepulauan Aru,2022,4289.14
Kepulauan Aru,2023,5840.84
Kepulauan Aru,2024,4823.0
Kepulauan Mentawai,2018,6914.15
Kepulauan Mentawai,2019,5829.62
Kepulauan Mentawai,2020,5583.8
Kepulauan Mentawai,2021,6917.35
Kepulauan Mentawai,2022,5476.39
Kepulauan Mentawai,2023,7899.32
Kepulauan Mentawai,2024,6032.0
Kepulauan Meranti,2018,6891.17
Kepulauan Meranti,2019,6736.95
Kepulauan Meranti,2020,9541.02
Kepulauan Meranti,2021,7463.78
Kepulauan Meranti,2022,7624.15
Kepulauan Meranti,2023,8458.33
Kepulauan Meranti,2024,7776.0
Kepulauan Sangihe,2018,6131.37
Kepulauan Sangihe,2019,5531.35
Kepulauan Sangihe,2020,5467.34
Kepulauan Sangihe,2021,6552.31
Kepulauan Sangihe,2022,6841.28
Kepulauan Sangihe,2023,5099.23
Kepulauan Sangihe,2024,6245.0
Kepulauan Selayar,2018,5677.62
Kepulauan Selayar,2019,5737.45
Kepulauan Selayar,2020,5982.79
Kepulauan Selayar,2021,5833.25
Kepulauan Selayar,2022,4951.98
Kepulauan Selayar,2023,5912.97
Kepulauan Selayar,2024,5398.0
Kepulauan Sula,2018,4014.51
Kepulauan Sula,2019,3257.7
Kepulauan Sula,2020,3451.34
Kepulauan Sula,2021,2536.73
Kepulauan Sula,2022,3724.27
Kepulauan Sula,2023,3957.41
Kepulauan Sula,2024,3672.0
Kepulauan Talaud,2018,5184.38
Kepulauan Talaud,2019,6570.15
Kepulauan Talaud,2020,6135.38
Kepulauan Talaud,2021,8187.37
Kepulauan Talaud,2022,6698.33
Kepulauan Talaud,2023,9291.73
Kepulauan Talaud,2024,6019.0
Kepulauan Yapen,2018,4818.33
Kepulauan Yapen,2019,5221.01
Kepulauan Yapen,2020,5552.57
Kepulauan Yapen,2021,7756.72
Kepulauan Yapen,2022,6901.22
Kepulauan Yapen,2023,5317.29
Kepulauan Yapen,2024,6634.0
Kerinci,2018,4974.17
Kerinci,2019,4832.79
Kerinci,2020,6156.67
Kerinci,2021,6444.78
Kerinci,2022,6647.48
Kerinci,2023,6356.84
Kerinci,2024,6298.0
Ketapang,2018,7550.08
Ketapang,2019,8675.78
Ketapang,2020,8668.95
Ketapang,2021,9554.88
Ketapang,2022,7383.77
Ketapang,2023,9540.68
Ketapang,2024,9387.0
Klaten,2018,6968.42
Klaten,2019,6668.38
Klaten,2020,7668.12
Klaten,2021,7783.02
Klaten,2022,8111.86
Klaten,2023,7876.81
Klaten,2024,8789.0
Klungkung,2018,7875.12
Klungkung,2019,6881.73
Klungkung,2020,7609.56
Klungkung,2021,5376.92
Klungkung,2022,8348.36
Klungkung,2023,8181.24
Klungkung,2024,7707.0
Kolaka,2018,6049.84
Kolaka,2019,7336.31
Kolaka,2020,8848.31
Kolaka,2021,8052.81
Kolaka,2022,7159.57
Kolaka,2023,7306.63
Kolaka,2024,6683.0
Kolaka Timur,2018,6583.76
Kolaka Timur,2019,4283.4
Kolaka Timur,2020,6744.32
Kolaka Timur,2021,6283.47
Kolaka Timur,2022,6129.49
Kolaka Timur,2023,8355.68
Kolaka Timur,2024,7777.0
Kolaka Utara,2018,5267.63
Kolaka Utara,2019,6679.96
Kolaka Utara,2020,6901.79
Kolaka Utara,2021,8177.18
Kolaka Utara,2022,8091.64
Kolaka Utara,2023,6776.82
Kolaka Utara,2024,7227.0
Konawe,2018,6348.97
Konawe,2019,5917.84
Konawe,2020,6156.37
Konawe,2021,6028.45
Konawe,2022,6775.53
Konawe,2023,7200.38
Konawe,2024,7991.0
Konawe Kepulauan,2018,4690.24
Konawe Kepulauan,2019,5365.38
Konawe Kepulauan,2020,3826.47
Konawe Kepulauan,2021,4485.0
Konawe Kepulauan,2022,4678.7
Konawe Kepulauan,2023,5450.47
Konawe Kepulauan,2024,4399.0
Konawe Selatan,2018,4429.48
Konawe Selatan,2019,4935.17
Konawe Selatan,2020,6246.88
Konawe Selatan,2021,5570.43
Konawe Selatan,2022,5532.42
Konawe Selatan,2023,5526.87
Konawe Selatan,2024,6474.0
Konawe Utara,2018,6193.47
Konawe Utara,2019,7632.63
Konawe Utara,2020,8771.36
Konawe Utara,2021,7960.64
Konawe Utara,2022,8278.72
Konawe Utara,2023,9218.72
Konawe Utara,2024,9140.0
Kota Ambon,2018,10602.84
Kota Ambon,2019,11816.48
Kota Ambon,2020,12193.25
Kota Ambon,2021,11058.62
Kota Ambon,2022,9642.69
Kota Ambon,2023,9654.3
Kota Ambon,2024,11685.0
Kota Balikpapan,2018,14363.14
Kota Balikpapan,2019,12177.16
Kota Balikpapan,2020,12159.6
Kota Balikpapan,2021,13946.04
Kota Balikpapan,2022,13736.18
Kota Balikpapan,2023,13173.52
Kota Balikpapan,2024,14990.0
Kota Banda Aceh,2018,12381.14
Kota Banda Aceh,2019,9297.4
Kota Banda Aceh,2020,11124.7
Kota Banda Aceh,2021,12742.42
Kota Banda Aceh,2022,11270.4
Kota Banda Aceh,2023,10535.67
Kota Banda Aceh,2024,11565.0
Kota Bandar Lampung,2018,11203.87
Kota Bandar Lampung,2019,10688.12
Kota Bandar Lampung,2020,10589.07
Kota Bandar Lampung,2021,11894.65
Kota Bandar Lampung,2022,10928.45
Kota Bandar Lampung,2023,12050.77
Kota Bandar Lampung,2024,10545.0
Kota Bandung,2018,10990.27
Kota Bandung,2019,11138.01
Kota Bandung,2020,12681.31
Kota Bandung,2021,12951.92
Kota Bandung,2022,12878.11
Kota Bandung,2023,15747.22
Kota Bandung,2024,12203.0
Kota Banjar,2018,8026.05
Kota Banjar,2019,7984.19
Kota Banjar,2020,8966.52
Kota Banjar,2021,8653.97
Kota Banjar,2022,8076.71
Kota Banjar,2023,10284.5
Kota Banjar,2024,9130.0
Kota Banjar Baru,2018,11903.14
Kota Banjar Baru,2019,13078.66
Kota Banjar Baru,2020,14235.64
Kota Banjar Baru,2021,13502.62
Kota Banjar Baru,2022,13797.06
Kota Banjar Baru,2023,13891.42
Kota Banjar Baru,2024,12327.0
Kota Banjarmasin,2018,14285.23
Kota Banjarmasin,2019,10782.02
Kota Banjarmasin,2020,12885.85
Kota Banjarmasin,2021,13691.88
Kota Banjarmasin,2022,11958.66
Kota Banjarmasin,2023,14327.57
Kota Banjarmasin,2024,12751.0
Kota Baru,2018,9735.98
Kota Baru,2019,10924.52
Kota Baru,2020,10292.25
Kota Baru,2021,10921.56
Kota Baru,2022,10863.48
Kota Baru,2023,10906.2
Kota Baru,2024,11141.0
Kota Batam,2018,12647.39
Kota Batam,2019,12689.83
Kota Batam,2020,14355.28
Kota Batam,2021,15356.92
Kota Batam,2022,14309.85
Kota Batam,2023,14264.45
Kota Batam,2024,14881.0
Kota Batu,2018,8754.82
Kota Batu,2019,8439.61
Kota Batu,2020,9426.46
Kota Batu,2021,8627.7
Kota Batu,2022,9204.3
Kota Batu,2023,8177.5
Kota Batu,2024,8854.0
Kota Baubau,2018,7462.98
Kota Baubau,2019,7662.28
Kota Baubau,2020,8430.5
Kota Baubau,2021,7177.91
Kota Baubau,2022,7096.89
Kota Baubau,2023,6203.58
Kota Baubau,2024,7492.0
Kota Bekasi,2018,13515.15
Kota Bekasi,2019,13975.57
Kota Bekasi,2020,15016.3
Kota Bekasi,2021,14985.84
Kota Bekasi,2022,16626.25
Kota Bekasi,2023,15649.96
Kota Bekasi,2024,18397.0
Kota Bengkulu,2018,11750.85
Kota Bengkulu,2019,10866.0
Kota Bengkulu,2020,12215.67
Kota Bengkulu,2021,10866.7
Kota Bengkulu,2022,10358.15
Kota Bengkulu,2023,10096.78
Kota Bengkulu,2024,10707.0
Kota Bima,2018,7166.51
Kota Bima,2019,8700.48
Kota Bima,2020,9638.05
Kota Bima,2021,9146.37
Kota Bima,2022,8674.78
Kota Bima,2023,7553.23
Kota Bima,2024,6910.0
Kota Binjai,2018,9967.23
Kota Binjai,2019,9644.76
Kota Binjai,2020,9561.7
Kota Binjai,2021,10344.68
Kota Binjai,2022,9758.66
Kota Binjai,2023,10341.47
Kota Binjai,2024,13422.0
Kota Bitung,2018,7728.63
Kota Bitung,2019,7743.15
Kota Bitung,2020,7550.62
Kota Bitung,2021,9192.76
Kota Bitung,2022,8342.1
Kota Bitung,2023,9300.42
Kota Bitung,2024,9136.0
Kota Blitar,2018,9560.85
Kota Blitar,2019,9520.26
Kota Blitar,2020,9024.48
Kota Blitar,2021,10961.09
Kota Blitar,2022,9799.86
Kota Blitar,2023,10188.92
Kota Blitar,2024,9483.0
Kota Bogor,2018,10662.95
Kota Bogor,2019,11768.62
Kota Bogor,2020,11996.0
Kota Bogor,2021,13603.65
Kota Bogor,2022,11565.61
Kota Bogor,2023,12925.67
Kota Bogor,2024,12348.0
Kota Bontang,2018,12475.74
Kota Bontang,2019,12766.76
Kota Bontang,2020,13325.54
Kota Bontang,2021,11779.97
Kota Bontang,2022,12851.11
Kota Bontang,2023,10590.55
Kota Bontang,2024,13083.0
Kota Bukittinggi,2018,9160.73
Kota Bukittinggi,2019,9709.85
Kota Bukittinggi,2020,11006.69
Kota Bukittinggi,2021,11938.06
Kota Bukittinggi,2022,10081.57
Kota Bukittinggi,2023,9179.47
Kota Bukittinggi,2024,10652.0
Kota Cilegon,2018,9830.8
Kota Cilegon,2019,9327.94
Kota Cilegon,2020,9460.74
Kota Cilegon,2021,10141.48
Kota Cilegon,2022,8823.74
Kota Cilegon,2023,9027.76
Kota Cilegon,2024,8270.0
Kota Cimahi,2018,10278.81
Kota Cimahi,2019,10096.69
Kota Cimahi,2020,12368.53
Kota Cimahi,2021,12271.29
Kota Cimahi,2022,12420.68
Kota Cimahi,2023,13917.53
Kota Cimahi,2024,14630.0
Kota Cirebon,2018,8002.31
Kota Cirebon,2019,9130.86
Kota Cirebon,2020,8973.07
Kota Cirebon,2021,10072.03
Kota Cirebon,2022,8302.19
Kota Cirebon,2023,10939.79
Kota Cirebon,2024,9509.0
Kota Denpasar,2018,11180.87
Kota Denpasar,2019,10674.32
Kota Denpasar,2020,13525.13
Kota Denpasar,2021,11499.1
Kota Denpasar,2022,9893.85
Kota Denpasar,2023,12088.03
Kota Denpasar,2024,11087.0
Kota Depok,2018,13265.02
Kota Depok,2019,12941.49
Kota Depok,2020,14686.63
Kota Depok,2021,15447.14
Kota Depok,2022,16825.54
Kota Depok,2023,16538.0
Kota Depok,2024,16475.0
Kota Dumai,2018,10569.62
Kota Dumai,2019,10530.87
Kota Dumai,2020,9905.22
Kota Dumai,2021,11011.6
Kota Dumai,2022,11410.22
Kota Dumai,2023,11177.12
Kota Dumai,2024,11909.0
Kota Gorontalo,2018,7407.1
Kota Gorontalo,2019,8177.85
Kota Gorontalo,2020,8110.15
Kota Gorontalo,2021,10324.99
Kota Gorontalo,2022,7586.87
Kota Gorontalo,2023,5700.0
Kota Gorontalo,2024,8417.0
Kota Gunungsitoli,2018,6938.88
Kota Gunungsitoli,2019,7270.39
Kota Gunungsitoli,2020,8242.09
Kota Gunungsitoli,2021,8192.87
Kota Gunungsitoli,2022,6571.97
Kota Gunungsitoli,2023,7694.75
Kota Gunungsitoli,2024,7964.0
Kota Jakarta Barat,2018,10067.62
Kota Jakarta Barat,2019,11998.57
Kota Jakarta Barat,2020,12917.05
Kota Jakarta Barat,2021,13923.17
Kota Jakarta Barat,2022,12229.68
Kota Jakarta Barat,2023,14634.02
Kota Jakarta Barat,2024,13780.0
Kota Jakarta Pusat,2018,14019.48
Kota Jakarta Pusat,2019,13987.75
Kota Jakarta Pusat,2020,15676.36
Kota Jakarta Pusat,2021,12924.35
Kota Jakarta Pusat,2022,10227.67
Kota Jakarta Pusat,2023,13379.52
Kota Jakarta Pusat,2024,12733.0
Kota Jakarta Selatan,2018,13769.07
Kota Jakarta Selatan,2019,13447.83
Kota Jakarta Selatan,2020,16903.02
Kota Jakarta Selatan,2021,14769.72
Kota Jakarta Selatan,2022,15068.58
Kota Jakarta Selatan,2023,16378.34
Kota Jakarta Selatan,2024,17040.0
Kota Jakarta Timur,2018,14373.77
Kota Jakarta Timur,2019,12877.7
Kota Jakarta Timur,2020,15458.09
Kota Jakarta Timur,2021,14794.67
Kota Jakarta Timur,2022,15724.95
Kota Jakarta Timur,2023,16127.98
Kota Jakarta Timur,2024,14283.0
Kota Jakarta Utara,2018,11699.3
Kota Jakarta Utara,2019,11749.5
Kota Jakarta Utara,2020,13218.42
Kota Jakarta Utara,2021,14349.43
Kota Jakarta Utara,2022,14153.48
Kota Jakarta Utara,2023,14258.77
Kota Jakarta Utara,2024,14810.0
Kota Jambi,2018,10962.08
Kota Jambi,2019,8391.56
Kota Jambi,2020,8925.45
Kota Jambi,2021,11681.38
Kota Jambi,2022,10609.01
Kota Jambi,2023,11246.75
Kota Jambi,2024,11288.0
Kota Jayapura,2018,11188.27
Kota Jayapura,2019,15061.78
Kota Jayapura,2020,11866.64
Kota Jayapura,2021,11134.72
Kota Jayapura,2022,12473.27
Kota Jayapura,2023,14484.88
Kota Jayapura,2024,8256.0
Kota Kediri,2018,8122.24
Kota Kediri,2019,7925.89
Kota Kediri,2020,9649.3
Kota Kediri,2021,9121.89
Kota Kediri,2022,8987.0
Kota Kediri,2023,9512.28
Kota Kediri,2024,10517.0
Kota Kendari,2018,10203.28
Kota Kendari,2019,10217.54
Kota Kendari,2020,11484.35
Kota Kendari,2021,12234.28
Kota Kendari,2022,11687.6
Kota Kendari,2023,9979.53
Kota Kendari,2024,9666.0
Kota Kotamobagu,2018,7397.28
Kota Kotamobagu,2019,9125.96
Kota Kotamobagu,2020,6979.07
Kota Kotamobagu,2021,9256.26
Kota Kotamobagu,2022,7850.31
Kota Kotamobagu,2023,6911.23
Kota Kotamobagu,2024,7530.0
Kota Kupang,2018,10085.49
Kota Kupang,2019,8220.03
Kota Kupang,2020,10079.17
Kota Kupang,2021,11624.59
Kota Kupang,2022,8464.02
Kota Kupang,2023,7387.43
Kota Kupang,2024,8806.0
Kota Langsa,2018,9270.99
Kota Langsa,2019,7787.81
Kota Langsa,2020,8101.54
Kota Langsa,2021,9332.37
Kota Langsa,2022,8427.62
Kota Langsa,2023,7856.68
Kota Langsa,2024,8221.0
Kota Lhokseumawe,2018,9262.88
Kota Lhokseumawe,2019,8090.34
Kota Lhokseumawe,2020,9120.81
Kota Lhokseumawe,2021,7953.52
Kota Lhokseumawe,2022,6196.59
Kota Lhokseumawe,2023,7089.05
Kota Lhokseumawe,2024,7701.0
Kota Lubuklinggau,2018,7226.78
Kota Lubuklinggau,2019,8443.4
Kota Lubuklinggau,2020,8849.67
Kota Lubuklinggau,2021,8621.23
Kota Lubuklinggau,2022,8888.33
Kota Lubuklinggau,2023,8406.64
Kota Lubuklinggau,2024,8788.0
Kota Madiun,2018,12026.69
Kota Madiun,2019,11482.53
Kota Madiun,2020,9753.49
Kota Madiun,2021,11598.21
Kota Madiun,2022,15683.43
Kota Madiun,2023,15266.14
Kota Madiun,2024,14095.0
Kota Magelang,2018,7906.02
Kota Magelang,2019,9746.05
Kota Magelang,2020,9556.28
Kota Magelang,2021,10881.72
Kota Magelang,2022,12145.99
Kota Magelang,2023,12223.29
Kota Magelang,2024,11096.0
Kota Makasar,2018,11744.38
Kota Makasar,2019,9261.61
Kota Makasar,2020,9727.39
Kota Makasar,2021,10632.95
Kota Makasar,2022,10896.53
Kota Makasar,2023,9610.69
Kota Makasar,2024,10929.0
Kota Malang,2018,10138.53
Kota Malang,2019,9382.55
Kota Malang,2020,10546.51
Kota Malang,2021,12599.27
Kota Malang,2022,10873.67
Kota Malang,2023,12655.64
Kota Malang,2024,10603.0
Kota Manado,2018,8879.5
Kota Manado,2019,8870.83
Kota Manado,2020,9451.19
Kota Manado,2021,9850.93
Kota Manado,2022,9114.1
Kota Manado,2023,8669.39
Kota Manado,2024,9524.0
Kota Mataram,2018,8650.75
Kota Mataram,2019,9269.32
Kota Mataram,2020,10748.75
Kota Mataram,2021,10760.52
Kota Mataram,2022,9136.92
Kota Mataram,2023,10651.09
Kota Mataram,2024,10340.0
Kota Medan,2018,10415.86
Kota Medan,2019,11241.55
Kota Medan,2020,12333.7
Kota Medan,2021,11974.89
Kota Medan,2022,12178.34
Kota Medan,2023,12338.27
Kota Medan,2024,11739.0
Kota Metro,2018,11258.37
Kota Metro,2019,9973.51
Kota Metro,2020,10893.26
Kota Metro,2021,9560.44
Kota Metro,2022,11030.45
Kota Metro,2023,9644.55
Kota Metro,2024,10404.0
Kota Mojokerto,2018,8765.44
Kota Mojokerto,2019,8314.45
Kota Mojokerto,2020,9959.04
Kota Mojokerto,2021,11051.41
Kota Mojokerto,2022,10773.76
Kota Mojokerto,2023,10937.55
Kota Mojokerto,2024,11037.0
Kota Padang,2018,9072.43
Kota Padang,2019,9539.54
Kota Padang,2020,9647.82
Kota Padang,2021,11158.59
Kota Padang,2022,12207.92
Kota Padang,2023,10317.77
Kota Padang,2024,10800.0
Kota Padang Panjang,2018,8956.89
Kota Padang Panjang,2019,8626.29
Kota Padang Panjang,2020,9230.41
Kota Padang Panjang,2021,8789.01
Kota Padang Panjang,2022,10148.69
Kota Padang Panjang,2023,10591.95
Kota Padang Panjang,2024,11906.0
Kota Padangsidimpuan,2018,6409.54
Kota Padangsidimpuan,2019,7476.72
Kota Padangsidimpuan,2020,7648.68
Kota Padangsidimpuan,2021,7553.65
Kota Padangsidimpuan,2022,6507.84
Kota Padangsidimpuan,2023,7122.82
Kota Padangsidimpuan,2024,8047.0
Kota Pagar Alam,2018,5157.73
Kota Pagar Alam,2019,6583.96
Kota Pagar Alam,2020,5791.1
Kota Pagar Alam,2021,6640.89
Kota Pagar Alam,2022,6078.82
Kota Pagar Alam,2023,6179.97
Kota Pagar Alam,2024,7940.0
Kota Palangka Raya,2018,12046.45
Kota Palangka Raya,2019,12371.09
Kota Palangka Raya,2020,12448.97
Kota Palangka Raya,2021,12842.01
Kota Palangka Raya,2022,12622.04
Kota Palangka Raya,2023,10858.02
Kota Palangka Raya,2024,10640.0
Kota Palembang,2018,10414.9
Kota Palembang,2019,9351.76
Kota Palembang,2020,11219.93
Kota Palembang,2021,12659.47
Kota Palembang,2022,14621.42
Kota Palembang,2023,13761.95
Kota Palembang,2024,14146.0
Kota Palopo,2018,8859.56
Kota Palopo,2019,8034.16
Kota Palopo,2020,7582.86
Kota Palopo,2021,8330.78
Kota Palopo,2022,7884.38
Kota Palopo,2023,9393.64
Kota Palopo,2024,8057.0
Kota Palu,2018,9505.69
Kota Palu,2019,9054.58
Kota Palu,2020,9444.13
Kota Palu,2021,9384.35
Kota Palu,2022,8856.6
Kota Palu,2023,9514.11
Kota Palu,2024,9024.0
Kota Pangkal Pinang,2018,15558.16
Kota Pangkal Pinang,2019,13316.48
Kota Pangkal Pinang,2020,14655.73
Kota Pangkal Pinang,2021,14740.32
Kota Pangkal Pinang,2022,15902.74
Kota Pangkal Pinang,2023,16807.62
Kota Pangkal Pinang,2024,15308.0
Kota Parepare,2018,8004.14
Kota Parepare,2019,5879.08
Kota Parepare,2020,7747.18
Kota Parepare,2021,10519.43
Kota Parepare,2022,8024.86
Kota Parepare,2023,8441.21
Kota Parepare,2024,7963.0
Kota Pariaman,2018,7847.35
Kota Pariaman,2019,8622.46
Kota Pariaman,2020,8995.54
Kota Pariaman,2021,8673.11
Kota Pariaman,2022,8336.09
Kota Pariaman,2023,9146.49
Kota Pariaman,2024,9133.0
Kota Pasuruan,2018,8542.62
Kota Pasuruan,2019,7625.46
Kota Pasuruan,2020,8672.2
Kota Pasuruan,2021,10912.66
Kota Pasuruan,2022,11509.31
Kota Pasuruan,2023,10369.02
Kota Pasuruan,2024,10771.0
Kota Payakumbuh,2018,7728.47
Kota Payakumbuh,2019,9377.35
Kota Payakumbuh,2020,7747.26
Kota Payakumbuh,2021,7441.41
Kota Payakumbuh,2022,8930.75
Kota Payakumbuh,2023,10056.8
Kota Payakumbuh,2024,8576.0
Kota Pekalongan,2018,7324.11
Kota Pekalongan,2019,6041.46
Kota Pekalongan,2020,7189.07
Kota Pekalongan,2021,8470.56
Kota Pekalongan,2022,8396.06
Kota Pekalongan,2023,7015.61
Kota Pekalongan,2024,8221.0
Kota Pekanbaru,2018,10620.35
Kota Pekanbaru,2019,10148.09
Kota Pekanbaru,2020,11952.5
Kota Pekanbaru,2021,12499.22
Kota Pekanbaru,2022,12229.19
Kota Pekanbaru,2023,11333.07
Kota Pekanbaru,2024,12417.0
Kota Pematang Siantar,2018,11109.61
Kota Pematang Siantar,2019,10217.74
Kota Pematang Siantar,2020,12609.5
Kota Pematang Siantar,2021,11782.29
Kota Pematang Siantar,2022,11806.66
Kota Pematang Siantar,2023,13443.41
Kota Pematang Siantar,2024,12696.0
Kota Pontianak,2018,13133.97
Kota Pontianak,2019,11792.07
Kota Pontianak,2020,12212.21
Kota Pontianak,2021,12556.94
Kota Pontianak,2022,11772.52
Kota Pontianak,2023,13014.03
Kota Pontianak,2024,13870.0
Kota Prabumulih,2018,9840.52
Kota Prabumulih,2019,8817.45
Kota Prabumulih,2020,10151.03
Kota Prabumulih,2021,10217.63
Kota Prabumulih,2022,10605.01
Kota Prabumulih,2023,10672.21
Kota Prabumulih,2024,10344.0
Kota Probolinggo,2018,9058.84
Kota Probolinggo,2019,6837.95
Kota Probolinggo,2020,7988.0
Kota Probolinggo,2021,9065.17
Kota Probolinggo,2022,7937.97
Kota Probolinggo,2023,7643.99
Kota Probolinggo,2024,9145.0
Kota Sabang,2018,10395.81
Kota Sabang,2019,10670.31
Kota Sabang,2020,9062.51
Kota Sabang,2021,9199.48
Kota Sabang,2022,8972.01
Kota Sabang,2023,9919.38
Kota Sabang,2024,8976.0
Kota Salatiga,2018,10302.74
Kota Salatiga,2019,10726.74
Kota Salatiga,2020,9350.92
Kota Salatiga,2021,12888.31
Kota Salatiga,2022,15361.48
Kota Salatiga,2023,15782.84
Kota Salatiga,2024,13159.0
Kota Samarinda,2018,11643.56
Kota Samarinda,2019,10678.21
Kota Samarinda,2020,12043.95
Kota Samarinda,2021,9805.16
Kota Samarinda,2022,12874.74
Kota Samarinda,2023,13271.59
Kota Samarinda,2024,11713.0
Kota Sawah Lunto,2018,8168.03
Kota Sawah Lunto,2019,8439.75
Kota Sawah Lunto,2020,8611.49
Kota Sawah Lunto,2021,11309.66
Kota Sawah Lunto,2022,10015.7
Kota Sawah Lunto,2023,10880.27
Kota Sawah Lunto,2024,11740.0
Kota Semarang,2018,11284.96
Kota Semarang,2019,10415.28
Kota Semarang,2020,12586.21
Kota Semarang,2021,12406.46
Kota Semarang,2022,12756.27
Kota Semarang,2023,10401.31
Kota Semarang,2024,12999.0
Kota Serang,2018,6862.23
Kota Serang,2019,8766.08
Kota Serang,2020,10941.86
Kota Serang,2021,9895.65
Kota Serang,2022,7429.25
Kota Serang,2023,8057.86
Kota Serang,2024,7662.0
Kota Sibolga,2018,5397.93
Kota Sibolga,2019,7629.7
Kota Sibolga,2020,7377.91
Kota Sibolga,2021,7839.25
Kota Sibolga,2022,8074.12
Kota Sibolga,2023,8440.33
Kota Sibolga,2024,8354.0
Kota Singkawang,2018,9934.91
Kota Singkawang,2019,10415.1
Kota Singkawang,2020,11527.23
Kota Singkawang,2021,10710.25
Kota Singkawang,2022,10316.66
Kota Singkawang,2023,10264.18
Kota Singkawang,2024,11260.0
Kota Solok,2018,10038.55
Kota Solok,2019,9186.3
Kota Solok,2020,10367.71
Kota Solok,2021,9133.15
Kota Solok,2022,10853.66
