Kabupaten/Kota,Tahun,Rata-rata Lama Sekolah_Laki-laki,Rata-rata Lama Sekolah_Perempuan
Grobogan,2018,7.19,6.14
Grobogan,2019,7.35,6.34
Grobogan,2020,7.36,6.5
Grobogan,2021,7.64,6.51
Grobogan,2022,7.78,6.76
Grobogan,2023,7.88,6.77
Grobogan,2024,7.89,6.78
Gunung Kidul,2018,7.75,6.42
Gunung Kidul,2019,7.88,6.46
Gunung Kidul,2020,7.89,6.62
Gunung Kidul,2021,7.9,6.88
Gunung Kidul,2022,7.92,6.89
Gunung Kidul,2023,7.93,6.9
Gunung Kidul,2024,7.94,7.0
Gunung Mas,2018,9.05,8.78
Gunung Mas,2019,9.1,8.89
Gunung Mas,2020,9.22,9.0
Gunung Mas,2021,9.25,9.08
Gunung Mas,2022,9.29,9.17
Gunung Mas,2023,9.31,9.18
Gunung Mas,2024,9.43,9.28
Halmahera Barat,2018,8.62,7.5
Halmahera Barat,2019,8.86,7.83
Halmahera Barat,2020,9.05,8.09
Halmahera Barat,2021,9.06,8.12
Halmahera Barat,2022,9.07,8.4
Halmahera Barat,2023,9.09,8.41
Halmahera Barat,2024,9.1,8.42
Halmahera Selatan,2018,8.2,7.01
Halmahera Selatan,2019,8.49,7.34
Halmahera Selatan,2020,8.5,7.35
Halmahera Selatan,2021,8.51,7.59
Halmahera Selatan,2022,8.53,7.79
Halmahera Selatan,2023,8.54,7.82
Halmahera Selatan,2024,8.79,8.08
Halmahera Tengah,2018,9.29,8.44
Halmahera Tengah,2019,9.3,8.58
Halmahera Tengah,2020,9.51,8.7
Halmahera Tengah,2021,9.52,8.71
Halmahera Tengah,2022,9.53,8.8
Halmahera Tengah,2023,9.55,9.02
Halmahera Tengah,2024,9.56,9.03
Halmahera Timur,2018,8.56,7.52
Halmahera Timur,2019,8.65,7.61
Halmahera Timur,2020,8.78,7.94
Halmahera Timur,2021,8.79,7.95
Halmahera Timur,2022,9.0,8.2
Halmahera Timur,2023,9.09,8.42
Halmahera Timur,2024,9.34,8.62
Halmahera Utara,2018,8.95,7.89
Halmahera Utara,2019,8.96,7.9
Halmahera Utara,2020,9.09,8.0
Halmahera Utara,2021,9.2,8.03
Halmahera Utara,2022,9.21,8.05
Halmahera Utara,2023,9.22,8.25
Halmahera Utara,2024,9.24,8.36
Hulu Sungai Selatan,2018,8.06,7.47
Hulu Sungai Selatan,2019,8.09,7.48
Hulu Sungai Selatan,2020,8.1,7.53
Hulu Sungai Selatan,2021,8.11,7.54
Hulu Sungai Selatan,2022,8.13,7.73
Hulu Sungai Selatan,2023,8.35,7.8
Hulu Sungai Selatan,2024,8.36,8.03
Hulu Sungai Tengah,2018,8.28,7.46
Hulu Sungai Tengah,2019,8.47,7.69
Hulu Sungai Tengah,2020,8.48,7.7
Hulu Sungai Tengah,2021,8.49,7.71
Hulu Sungai Tengah,2022,8.72,8.0
Hulu Sungai Tengah,2023,8.73,8.01
Hulu Sungai Tengah,2024,8.74,8.11
Hulu Sungai Utara,2018,8.14,7.1
Hulu Sungai Utara,2019,8.15,7.11
Hulu Sungai Utara,2020,8.16,7.27
Hulu Sungai Utara,2021,8.38,7.44
Hulu Sungai Utara,2022,8.39,7.5
Hulu Sungai Utara,2023,8.4,7.51
Hulu Sungai Utara,2024,8.41,7.52
Humbang Hasundutan,2018,9.88,8.89
Humbang Hasundutan,2019,10.08,9.19
Humbang Hasundutan,2020,10.09,9.37
Humbang Hasundutan,2021,10.28,9.49
Humbang Hasundutan,2022,10.44,9.79
Humbang Hasundutan,2023,10.45,9.8
Humbang Hasundutan,2024,10.57,9.98
Indragiri Hilir,2018,7.49,6.87
Indragiri Hilir,2019,7.5,6.94
Indragiri Hilir,2020,7.51,6.95
Indragiri Hilir,2021,7.52,6.96
Indragiri Hilir,2022,7.54,6.98
Indragiri Hilir,2023,7.55,7.23
Indragiri Hilir,2024,7.56,7.32
Indragiri Hulu,2018,8.33,7.89
Indragiri Hulu,2019,8.34,7.9
Indragiri Hulu,2020,8.6,7.94
Indragiri Hulu,2021,8.61,7.95
Indragiri Hulu,2022,8.62,7.99
Indragiri Hulu,2023,8.64,8.19
Indragiri Hulu,2024,8.65,8.37
Indramayu,2018,6.68,5.27
Indramayu,2019,6.69,5.28
Indramayu,2020,7.01,5.53
Indramayu,2021,7.2,5.77
Indramayu,2022,7.49,6.12
Indramayu,2023,7.5,6.36
Indramayu,2024,7.51,6.37
Intan Jaya,2018,4.18,1.36
Intan Jaya,2019,4.19,1.5
Intan Jaya,2020,4.49,1.51
Intan Jaya,2021,4.74,1.76
Intan Jaya,2022,4.75,2.05
Intan Jaya,2023,4.76,2.06
Intan Jaya,2024,4.78,2.07
Jayapura,2018,10.03,8.7
Jayapura,2019,10.19,8.91
Jayapura,2020,10.47,9.09
Jayapura,2021,10.5,9.1
Jayapura,2022,10.57,9.39
Jayapura,2023,10.61,9.55
Jayapura,2024,10.85,9.84
Jayawijaya,2018,6.87,4.37
Jayawijaya,2019,6.88,4.55
Jayawijaya,2020,7.0,4.78
Jayawijaya,2021,7.09,4.87
Jayawijaya,2022,7.14,5.07
Jayawijaya,2023,7.15,5.32
Jayawijaya,2024,7.16,5.33
Jember,2018,6.86,5.43
Jember,2019,6.87,5.61
Jember,2020,7.17,5.97
Jember,2021,7.18,5.98
Jember,2022,7.19,5.99
Jember,2023,7.21,6.01
Jember,2024,7.23,6.03
Jembrana,2018,9.03,7.11
Jembrana,2019,9.24,7.38
Jembrana,2020,9.25,7.39
Jembrana,2021,9.26,7.53
Jembrana,2022,9.37,7.9
Jembrana,2023,9.4,7.91
Jembrana,2024,9.41,8.11
Jeneponto,2018,6.47,6.21
Jeneponto,2019,6.61,6.48
Jeneponto,2020,6.75,6.49
Jeneponto,2021,6.76,6.5
Jeneponto,2022,6.77,6.66
Jeneponto,2023,6.97,7.0
Jeneponto,2024,6.98,7.01
Jepara,2018,7.81,6.8
Jepara,2019,7.89,6.81
Jepara,2020,8.08,7.12
Jepara,2021,8.18,7.37
Jepara,2022,8.47,7.69
Jepara,2023,8.68,7.86
Jepara,2024,8.69,7.87
Jombang,2018,8.83,7.68
Jombang,2019,9.0,8.08
Jombang,2020,9.01,8.09
Jombang,2021,9.02,8.1
Jombang,2022,9.25,8.22
Jombang,2023,9.29,8.23
Jombang,2024,9.3,8.24
Kaimana,2018,9.94,6.86
Kaimana,2019,10.0,7.08
Kaimana,2020,10.01,7.28
Kaimana,2021,10.15,7.54
Kaimana,2022,10.18,7.77
Kaimana,2023,10.24,7.97
Kaimana,2024,10.25,8.2
Kampar,2018,9.41,8.78
Kampar,2019,9.54,8.96
Kampar,2020,9.55,8.97
Kampar,2021,9.56,9.0
Kampar,2022,9.68,9.1
Kampar,2023,9.69,9.11
Kampar,2024,9.81,9.36
Kapuas,2018,7.82,7.38
Kapuas,2019,7.83,7.39
Kapuas,2020,7.9,7.44
Kapuas,2021,7.91,7.45
Kapuas,2022,7.95,7.49
Kapuas,2023,8.09,7.78
Kapuas,2024,8.2,7.79
Kapuas Hulu,2018,7.72,6.58
Kapuas Hulu,2019,7.95,6.78
Kapuas Hulu,2020,7.96,6.94
Kapuas Hulu,2021,7.97,6.95
Kapuas Hulu,2022,7.99,7.33
Kapuas Hulu,2023,8.22,7.52
Kapuas Hulu,2024,8.42,7.76
Karanganyar,2018,9.31,7.91
Karanganyar,2019,9.32,7.93
Karanganyar,2020,9.33,8.02
Karanganyar,2021,9.34,8.07
Karanganyar,2022,9.36,8.36
Karanganyar,2023,9.46,8.6
Karanganyar,2024,9.73,8.74
Karangasem,2018,6.98,5.18
Karangasem,2019,7.34,5.24
Karangasem,2020,7.35,5.28
Karangasem,2021,7.36,5.29
Karangasem,2022,7.44,5.65
Karangasem,2023,7.45,5.66
Karangasem,2024,7.47,5.68
Karawang,2018,7.93,6.73
Karawang,2019,8.29,6.77
Karawang,2020,8.41,6.96
Karawang,2021,8.42,6.97
Karawang,2022,8.43,7.22
Karawang,2023,8.48,7.48
Karawang,2024,8.49,7.49
Karimun,2018,8.15,7.51
Karimun,2019,8.36,7.52
Karimun,2020,8.48,7.81
Karimun,2021,8.49,7.82
Karimun,2022,8.73,8.14
Karimun,2023,8.9,8.43
Karimun,2024,9.09,8.72
Karo,2018,9.59,9.48
Karo,2019,9.61,9.62
Karo,2020,9.81,9.78
Karo,2021,10.03,9.85
Karo,2022,10.04,9.96
Karo,2023,10.05,10.03
Karo,2024,10.11,10.12
Katingan,2018,8.96,8.2
Katingan,2019,8.97,8.21
Katingan,2020,8.98,8.22
Katingan,2021,9.0,8.23
Katingan,2022,9.01,8.52
Katingan,2023,9.02,8.7
Katingan,2024,9.03,8.93
Kaur,2018,8.84,8.02
Kaur,2019,8.85,8.03
Kaur,2020,8.95,8.15
Kaur,2021,8.96,8.16
Kaur,2022,8.97,8.17
Kaur,2023,8.99,8.19
Kaur,2024,9.11,8.21
Kayong Utara,2018,6.47,5.15
Kayong Utara,2019,6.59,5.34
Kayong Utara,2020,6.6,5.38
Kayong Utara,2021,6.69,5.39
Kayong Utara,2022,6.71,5.69
Kayong Utara,2023,6.83,5.86
Kayong Utara,2024,7.05,6.01
Kebumen,2018,7.94,6.87
Kebumen,2019,7.97,7.09
Kebumen,2020,7.98,7.1
Kebumen,2021,7.99,7.11
Kebumen,2022,8.22,7.42
Kebumen,2023,8.23,7.43
Kebumen,2024,8.24,7.44
Kediri,2018,8.12,7.26
Kediri,2019,8.37,7.6
Kediri,2020,8.38,7.65
Kediri,2021,8.43,7.73
Kediri,2022,8.61,7.84
Kediri,2023,8.62,7.87
Kediri,2024,8.64,7.89
Keerom,2018,8.93,6.7
Keerom,2019,8.94,7.11
Keerom,2020,8.95,7.22
Keerom,2021,8.96,7.23
Keerom,2022,9.05,7.65
Keerom,2023,9.06,7.93
Keerom,2024,9.07,8.01
Kendal,2018,7.64,6.47
Kendal,2019,7.91,6.63
Kendal,2020,8.1,6.84
Kendal,2021,8.11,6.89
Kendal,2022,8.12,7.16
Kendal,2023,8.14,7.34
Kendal,2024,8.15,7.36
Kep. Seribu,2018,8.72,8.34
Kep. Seribu,2019,8.73,8.38
Kep. Seribu,2020,8.94,8.46
Kep. Seribu,2021,9.17,8.47
Kep. Seribu,2022,9.3,8.73
Kep. Seribu,2023,9.31,8.74
Kep. Seribu,2024,9.57,8.96
Kepahiang,2018,8.54,7.71
Kepahiang,2019,8.55,7.72
Kepahiang,2020,8.56,8.05
Kepahiang,2021,8.59,8.1
Kepahiang,2022,8.61,8.11
Kepahiang,2023,8.71,8.12
Kepahiang,2024,8.73,8.13
Kepulauan Anambas,2018,7.27,6.12
Kepulauan Anambas,2019,7.3,6.39
Kepulauan Anambas,2020,7.44,6.72
Kepulauan Anambas,2021,7.65,6.85
Kepulauan Anambas,2022,7.68,7.1
Kepulauan Anambas,2023,7.7,7.21
Kepulauan Anambas,2024,7.83,7.49
Kepulauan Aru,2018,8.88,8.46
Kepulauan Aru,2019,8.89,8.47
Kepulauan Aru,2020,8.9,8.61
Kepulauan Aru,2021,8.91,8.62
Kepulauan Aru,2022,9.02,8.66
Kepulauan Aru,2023,9.1,8.83
Kepulauan Aru,2024,9.24,9.12
Kepulauan Mentawai,2018,7.41,6.78
Kepulauan Mentawai,2019,7.56,6.79
Kepulauan Mentawai,2020,7.57,6.8
Kepulauan Mentawai,2021,7.7,6.9
Kepulauan Mentawai,2022,8.02,7.16
Kepulauan Mentawai,2023,8.36,7.29
Kepulauan Mentawai,2024,8.46,7.57
Kepulauan Meranti,2018,8.06,7.03
Kepulauan Meranti,2019,8.09,7.04
Kepulauan Meranti,2020,8.1,7.32
Kepulauan Meranti,2021,8.11,7.48
Kepulauan Meranti,2022,8.13,7.71
Kepulauan Meranti,2023,8.14,7.87
Kepulauan Meranti,2024,8.32,7.92
Kepulauan Sangihe,2018,7.56,8.13
Kepulauan Sangihe,2019,7.75,8.14
Kepulauan Sangihe,2020,8.0,8.34
Kepulauan Sangihe,2021,8.01,8.6
Kepulauan Sangihe,2022,8.14,8.8
Kepulauan Sangihe,2023,8.43,8.81
Kepulauan Sangihe,2024,8.44,8.88
Kepulauan Selayar,2018,7.67,7.23
Kepulauan Selayar,2019,7.94,7.43
Kepulauan Selayar,2020,8.22,7.66
Kepulauan Selayar,2021,8.51,7.85
Kepulauan Selayar,2022,8.52,7.86
Kepulauan Selayar,2023,8.71,8.13
Kepulauan Selayar,2024,8.84,8.36
Kepulauan Sula,2018,8.97,8.43
Kepulauan Sula,2019,9.13,8.44
Kepulauan Sula,2020,9.35,8.61
Kepulauan Sula,2021,9.36,8.74
Kepulauan Sula,2022,9.37,8.82
Kepulauan Sula,2023,9.39,8.89
Kepulauan Sula,2024,9.51,9.16
Kepulauan Talaud,2018,9.11,8.95
Kepulauan Talaud,2019,9.42,9.2
Kepulauan Talaud,2020,9.59,9.47
Kepulauan Talaud,2021,9.87,9.64
Kepulauan Talaud,2022,9.88,9.7
Kepulauan Talaud,2023,10.06,9.85
Kepulauan Talaud,2024,10.08,9.94
Kepulauan Yapen,2018,9.85,7.99
Kepulauan Yapen,2019,9.93,8.14
Kepulauan Yapen,2020,10.05,8.43
Kepulauan Yapen,2021,10.06,8.54
Kepulauan Yapen,2022,10.15,8.84
Kepulauan Yapen,2023,10.35,8.85
Kepulauan Yapen,2024,10.36,8.86
Kerinci,2018,8.96,7.65
Kerinci,2019,8.97,7.66
Kerinci,2020,9.24,8.03
Kerinci,2021,9.25,8.04
Kerinci,2022,9.26,8.05
Kerinci,2023,9.28,8.07
Kerinci,2024,9.29,8.08
Ketapang,2018,7.5,6.57
Ketapang,2019,7.73,6.74
Ketapang,2020,7.89,6.75
Ketapang,2021,7.97,6.92
Ketapang,2022,7.98,7.22
Ketapang,2023,7.99,7.5
Ketapang,2024,8.12,7.63
Klaten,2018,8.93,7.65
Klaten,2019,8.94,7.77
Klaten,2020,9.17,8.07
Klaten,2021,9.35,8.33
Klaten,2022,9.6,8.62
Klaten,2023,9.89,8.68
Klaten,2024,9.91,8.69
Klungkung,2018,8.82,6.78
Klungkung,2019,9.21,7.12
Klungkung,2020,9.22,7.13
Klungkung,2021,9.23,7.14
Klungkung,2022,9.5,7.5
Klungkung,2023,9.51,7.63
Klungkung,2024,9.61,7.89
Kolaka,2018,8.94,8.33
Kolaka,2019,8.99,8.68
Kolaka,2020,9.26,8.85
Kolaka,2021,9.27,8.86
Kolaka,2022,9.28,8.93
Kolaka,2023,9.58,9.21
Kolaka,2024,9.59,9.33
Kolaka Timur,2018,7.32,6.51
Kolaka Timur,2019,7.49,6.72
Kolaka Timur,2020,7.7,6.99
Kolaka Timur,2021,7.94,7.28
Kolaka Timur,2022,8.2,7.59
Kolaka Timur,2023,8.44,7.94
Kolaka Timur,2024,8.47,8.04
Kolaka Utara,2018,7.93,7.62
Kolaka Utara,2019,8.2,7.8
Kolaka Utara,2020,8.47,8.05
Kolaka Utara,2021,8.48,8.16
Kolaka Utara,2022,8.52,8.55
Kolaka Utara,2023,8.8,8.81
Kolaka Utara,2024,8.81,8.95
Konawe,2018,9.52,8.52
Konawe,2019,9.76,8.53
Konawe,2020,9.77,8.54
Konawe,2021,9.78,8.79
Konawe,2022,9.8,9.01
Konawe,2023,9.98,9.3
Konawe,2024,9.99,9.43
Konawe Kepulauan,2018,9.77,8.67
Konawe Kepulauan,2019,9.78,8.68
Konawe Kepulauan,2020,9.79,8.91
Konawe Kepulauan,2021,9.8,8.92
Konawe Kepulauan,2022,9.82,8.93
Konawe Kepulauan,2023,9.89,8.95
Konawe Kepulauan,2024,10.04,8.96
Konawe Selatan,2018,8.27,7.18
Konawe Selatan,2019,8.28,7.22
Konawe Selatan,2020,8.37,7.34
Konawe Selatan,2021,8.57,7.62
Konawe Selatan,2022,8.58,7.95
Konawe Selatan,2023,8.87,8.14
Konawe Selatan,2024,9.19,8.33
Konawe Utara,2018,9.31,8.32
Konawe Utara,2019,9.6,8.45
Konawe Utara,2020,9.78,8.73
Konawe Utara,2021,9.79,8.99
Konawe Utara,2022,10.02,9.09
Konawe Utara,2023,10.03,9.17
Konawe Utara,2024,10.04,9.18
Kota Ambon,2018,11.74,11.59
Kota Ambon,2019,11.99,11.84
Kota Ambon,2020,12.0,11.85
Kota Ambon,2021,12.22,12.14
Kota Ambon,2022,12.24,12.15
Kota Ambon,2023,12.25,12.16
Kota Ambon,2024,12.26,12.24
Kota Balikpapan,2018,11.17,10.32
Kota Balikpapan,2019,11.18,10.34
Kota Balikpapan,2020,11.19,10.35
Kota Balikpapan,2021,11.36,10.69
Kota Balikpapan,2022,11.37,10.7
Kota Balikpapan,2023,11.38,10.71
Kota Balikpapan,2024,11.44,10.77
Kota Banda Aceh,2018,12.91,12.35
Kota Banda Aceh,2019,13.09,12.36
Kota Banda Aceh,2020,13.1,12.37
Kota Banda Aceh,2021,13.11,12.59
Kota Banda Aceh,2022,13.13,12.86
Kota Banda Aceh,2023,13.14,12.87
Kota Banda Aceh,2024,13.2,12.95
Kota Bandar Lampung,2018,11.34,10.56
Kota Bandar Lampung,2019,11.36,10.58
Kota Bandar Lampung,2020,11.37,10.59
Kota Bandar Lampung,2021,11.39,10.61
Kota Bandar Lampung,2022,11.4,10.62
Kota Bandar Lampung,2023,11.41,10.68
Kota Bandar Lampung,2024,11.43,10.77
Kota Bandung,2018,10.91,10.34
Kota Bandung,2019,11.09,10.39
Kota Bandung,2020,11.1,10.4
Kota Bandung,2021,11.3,10.65
Kota Bandung,2022,11.31,10.66
Kota Bandung,2023,11.42,10.71
Kota Bandung,2024,11.43,10.78
Kota Banjar,2018,8.84,8.17
Kota Banjar,2019,8.95,8.18
Kota Banjar,2020,8.96,8.23
Kota Banjar,2021,9.21,8.34
Kota Banjar,2022,9.22,8.51
Kota Banjar,2023,9.23,8.52
Kota Banjar,2024,9.25,8.58
Kota Banjar Baru,2018,11.37,10.47
Kota Banjar Baru,2019,11.38,10.48
Kota Banjar Baru,2020,11.39,10.58
Kota Banjar Baru,2021,11.4,10.59
Kota Banjar Baru,2022,11.42,10.77
Kota Banjar Baru,2023,11.43,10.79
Kota Banjar Baru,2024,11.44,10.8
Kota Banjarmasin,2018,11.07,9.27
Kota Banjarmasin,2019,11.08,9.36
Kota Banjarmasin,2020,11.09,9.41
Kota Banjarmasin,2021,11.1,9.67
Kota Banjarmasin,2022,11.12,9.68
Kota Banjarmasin,2023,11.13,9.71
Kota Banjarmasin,2024,11.14,9.97
Kota Batam,2018,11.31,10.91
Kota Batam,2019,11.32,10.96
Kota Batam,2020,11.33,10.97
Kota Batam,2021,11.34,11.04
Kota Batam,2022,11.36,11.05
Kota Batam,2023,11.37,11.07
Kota Batam,2024,11.39,11.08
Kota Batu,2018,9.13,8.51
Kota Batu,2019,9.42,8.79
Kota Batu,2020,9.43,8.8
Kota Batu,2021,9.63,9.06
Kota Batu,2022,9.91,9.41
Kota Batu,2023,10.12,9.63
Kota Batu,2024,10.13,9.69
Kota Baubau,2018,10.74,9.74
Kota Baubau,2019,11.01,9.97
Kota Baubau,2020,11.02,10.27
Kota Baubau,2021,11.29,10.51
Kota Baubau,2022,11.3,10.75
Kota Baubau,2023,11.32,10.85
Kota Baubau,2024,11.33,10.88
Kota Bekasi,2018,11.77,10.86
Kota Bekasi,2019,11.85,10.86
Kota Bekasi,2020,11.86,10.92
Kota Bekasi,2021,11.98,11.11
Kota Bekasi,2022,12.06,11.43
Kota Bekasi,2023,12.15,11.66
Kota Bekasi,2024,12.29,11.79
Kota Bengkulu,2018,11.81,11.49
Kota Bengkulu,2019,12.07,11.5
Kota Bengkulu,2020,12.08,11.51
Kota Bengkulu,2021,12.09,11.56
Kota Bengkulu,2022,12.11,11.77
Kota Bengkulu,2023,12.12,11.82
Kota Bengkulu,2024,12.13,11.84
Kota Bima,2018,10.79,9.92
Kota Bima,2019,10.89,9.93
Kota Bima,2020,11.0,10.06
Kota Bima,2021,11.16,10.2
Kota Bima,2022,11.26,10.64
Kota Bima,2023,11.27,10.65
Kota Bima,2024,11.28,10.66
Kota Binjai,2018,10.79,10.22
Kota Binjai,2019,10.95,10.23
Kota Binjai,2020,11.11,10.45
Kota Binjai,2021,11.12,10.46
Kota Binjai,2022,11.37,10.69
Kota Binjai,2023,11.38,10.84
Kota Binjai,2024,11.39,11.05
Kota Bitung,2018,9.61,9.72
Kota Bitung,2019,9.87,9.74
Kota Bitung,2020,9.91,9.75
Kota Bitung,2021,9.95,9.76
Kota Bitung,2022,9.97,9.83
Kota Bitung,2023,9.98,9.91
Kota Bitung,2024,9.99,9.94
Kota Blitar,2018,10.15,9.68
Kota Blitar,2019,10.34,9.91
Kota Blitar,2020,10.51,9.92
Kota Blitar,2021,10.7,10.18
Kota Blitar,2022,10.98,10.55
Kota Blitar,2023,10.99,10.7
Kota Blitar,2024,11.0,10.74
Kota Bogor,2018,10.69,9.9
Kota Bogor,2019,10.72,9.92
Kota Bogor,2020,10.73,9.93
Kota Bogor,2021,10.96,10.12
Kota Bogor,2022,11.03,10.23
Kota Bogor,2023,11.04,10.24
Kota Bogor,2024,11.06,10.36
Kota Bontang,2018,11.06,10.41
Kota Bontang,2019,11.07,10.42
Kota Bontang,2020,11.1,10.53
Kota Bontang,2021,11.11,10.54
Kota Bontang,2022,11.12,10.71
Kota Bontang,2023,11.14,10.92
Kota Bontang,2024,11.19,10.93
Kota Bukittinggi,2018,11.4,11.12
Kota Bukittinggi,2019,11.41,11.13
Kota Bukittinggi,2020,11.42,11.24
Kota Bukittinggi,2021,11.43,11.32
Kota Bukittinggi,2022,11.45,11.63
Kota Bukittinggi,2023,11.46,11.64
Kota Bukittinggi,2024,11.47,11.81
Kota Cilegon,2018,10.35,8.67
Kota Cilegon,2019,10.36,8.94
Kota Cilegon,2020,10.37,9.23
Kota Cilegon,2021,10.55,9.47
Kota Cilegon,2022,10.67,9.77
Kota Cilegon,2023,10.68,10.05
Kota Cilegon,2024,10.69,10.06
Kota Cimahi,2018,11.02,10.62
Kota Cimahi,2019,11.03,10.62
Kota Cimahi,2020,11.04,10.63
Kota Cimahi,2021,11.21,10.71
Kota Cimahi,2022,11.4,10.83
Kota Cimahi,2023,11.65,10.98
Kota Cimahi,2024,11.78,11.22
Kota Cirebon,2018,10.43,9.31
Kota Cirebon,2019,10.47,9.31
Kota Cirebon,2020,10.48,9.33
Kota Cirebon,2021,10.65,9.58
Kota Cirebon,2022,10.66,9.84
Kota Cirebon,2023,10.67,10.12
Kota Cirebon,2024,10.83,10.39
Kota Denpasar,2018,11.61,10.83
Kota Denpasar,2019,11.62,10.9
Kota Denpasar,2020,11.87,11.13
Kota Denpasar,2021,11.88,11.14
Kota Denpasar,2022,11.9,11.15
Kota Denpasar,2023,11.91,11.17
Kota Denpasar,2024,11.92,11.2
Kota Depok,2018,11.31,10.39
Kota Depok,2019,11.59,10.39
Kota Depok,2020,11.6,10.7
Kota Depok,2021,11.81,10.84
Kota Depok,2022,11.82,11.15
Kota Depok,2023,11.89,11.28
Kota Depok,2024,11.94,11.29
Kota Dumai,2018,10.05,9.61
Kota Dumai,2019,10.06,9.62
Kota Dumai,2020,10.35,9.78
Kota Dumai,2021,10.36,10.0
Kota Dumai,2022,10.37,10.03
Kota Dumai,2023,10.38,10.12
Kota Dumai,2024,10.4,10.28
Kota Gorontalo,2018,10.29,10.4
Kota Gorontalo,2019,10.3,10.41
Kota Gorontalo,2020,10.31,10.42
Kota Gorontalo,2021,10.32,10.43
Kota Gorontalo,2022,10.34,10.59
Kota Gorontalo,2023,10.35,10.6
Kota Gorontalo,2024,10.36,10.84
Kota Gunungsitoli,2018,9.63,7.47
Kota Gunungsitoli,2019,9.91,7.59
Kota Gunungsitoli,2020,9.92,7.66
Kota Gunungsitoli,2021,9.93,7.7
Kota Gunungsitoli,2022,9.95,7.71
Kota Gunungsitoli,2023,9.96,7.72
Kota Gunungsitoli,2024,9.97,7.98
Kota Jakarta Barat,2018,10.81,9.98
Kota Jakarta Barat,2019,10.88,10.0
Kota Jakarta Barat,2020,11.11,10.23
Kota Jakarta Barat,2021,11.16,10.39
Kota Jakarta Barat,2022,11.51,10.72
Kota Jakarta Barat,2023,11.64,10.82
Kota Jakarta Barat,2024,11.65,10.83
Kota Jakarta Pusat,2018,11.76,10.71
Kota Jakarta Pusat,2019,11.77,10.78
Kota Jakarta Pusat,2020,11.78,11.04
Kota Jakarta Pusat,2021,11.79,11.13
Kota Jakarta Pusat,2022,11.81,11.3
Kota Jakarta Pusat,2023,11.82,11.31
Kota Jakarta Pusat,2024,11.83,11.4
Kota Jakarta Selatan,2018,11.98,11.26
Kota Jakarta Selatan,2019,12.03,11.29
Kota Jakarta Selatan,2020,12.04,11.3
Kota Jakarta Selatan,2021,12.05,11.31
Kota Jakarta Selatan,2022,12.07,11.33
Kota Jakarta Selatan,2023,12.09,11.54
Kota Jakarta Selatan,2024,12.38,11.7
Kota Jakarta Timur,2018,12.18,11.3
Kota Jakarta Timur,2019,12.19,11.31
Kota Jakarta Timur,2020,12.2,11.32
Kota Jakarta Timur,2021,12.21,11.33
Kota Jakarta Timur,2022,12.23,11.53
Kota Jakarta Timur,2023,12.24,11.72
Kota Jakarta Timur,2024,12.3,11.83
Kota Jakarta Utara,2018,11.15,10.24
Kota Jakarta Utara,2019,11.16,10.25
Kota Jakarta Utara,2020,11.28,10.34
Kota Jakarta Utara,2021,11.29,10.35
Kota Jakarta Utara,2022,11.3,10.36
Kota Jakarta Utara,2023,11.32,10.42
Kota Jakarta Utara,2024,11.34,10.43
Kota Jambi,2018,11.06,10.28
Kota Jambi,2019,11.21,10.58
Kota Jambi,2020,11.27,10.59
Kota Jambi,2021,11.5,10.91
Kota Jambi,2022,11.51,10.92
Kota Jambi,2023,11.53,11.12
Kota Jambi,2024,11.73,11.29
Kota Jayapura,2018,11.5,11.12
Kota Jayapura,2019,11.75,11.3
Kota Jayapura,2020,11.76,11.31
Kota Jayapura,2021,11.77,11.32
Kota Jayapura,2022,11.91,11.57
Kota Jayapura,2023,12.17,11.67
Kota Jayapura,2024,12.39,11.9
Kota Kediri,2018,10.78,9.35
Kota Kediri,2019,10.79,9.36
Kota Kediri,2020,10.8,9.37
Kota Kediri,2021,10.99,9.59
Kota Kediri,2022,11.15,9.9
Kota Kediri,2023,11.37,10.2
Kota Kediri,2024,11.47,10.5
Kota Kendari,2018,12.13,11.23
Kota Kendari,2019,12.41,11.47
Kota Kendari,2020,12.63,11.77
Kota Kendari,2021,12.9,12.09
Kota Kendari,2022,12.91,12.1
Kota Kendari,2023,12.92,12.11
Kota Kendari,2024,12.93,12.13
Kota Kotamobagu,2018,10.15,9.63
Kota Kotamobagu,2019,10.16,9.88
Kota Kotamobagu,2020,10.17,9.89
Kota Kotamobagu,2021,10.33,10.2
Kota Kotamobagu,2022,10.34,10.21
Kota Kotamobagu,2023,10.35,10.22
Kota Kotamobagu,2024,10.36,10.29
Kota Kupang,2018,11.98,11.06
Kota Kupang,2019,11.99,11.07
Kota Kupang,2020,12.0,11.25
Kota Kupang,2021,12.01,11.47
Kota Kupang,2022,12.03,11.48
Kota Kupang,2023,12.04,11.49
Kota Kupang,2024,12.05,11.51
Kota Langsa,2018,11.16,10.84
Kota Langsa,2019,11.35,10.85
Kota Langsa,2020,11.36,10.86
Kota Langsa,2021,11.37,10.97
Kota Langsa,2022,11.39,10.98
Kota Langsa,2023,11.54,11.01
Kota Langsa,2024,11.55,11.02
Kota Lhokseumawe,2018,11.31,10.78
Kota Lhokseumawe,2019,11.32,10.79
Kota Lhokseumawe,2020,11.33,10.8
Kota Lhokseumawe,2021,11.44,11.02
Kota Lhokseumawe,2022,11.45,11.03
Kota Lhokseumawe,2023,11.46,11.19
Kota Lhokseumawe,2024,11.5,11.2
