Kabupaten/Kota,Tahun,Rata-rata Lama Sekolah_Laki-laki,Rata-rata Lama Sekolah_Perempuan
Bangka Selatan,2021,7.2,6.46
Bangka Selatan,2022,7.21,6.64
Bangka Selatan,2023,7.23,6.72
Bangka Selatan,2024,7.25,6.74
Bangka Tengah,2018,7.29,6.38
Bangka Tengah,2019,7.61,6.73
Bangka Tengah,2020,7.62,6.9
Bangka Tengah,2021,7.63,6.91
Bangka Tengah,2022,7.65,6.93
Bangka Tengah,2023,7.66,6.94
Bangka Tengah,2024,7.67,6.96
Bangkalan,2018,6.16,4.64
Bangkalan,2019,6.4,4.97
Bangkalan,2020,6.71,5.25
Bangkalan,2021,6.72,5.35
Bangkalan,2022,6.73,5.36
Bangkalan,2023,6.75,5.37
Bangkalan,2024,6.76,5.41
Bangli,2018,8.06,6.28
Bangli,2019,8.09,6.31
Bangli,2020,8.1,6.47
Bangli,2021,8.11,6.48
Bangli,2022,8.22,6.87
Bangli,2023,8.23,7.15
Bangli,2024,8.24,7.16
Banjar,2018,7.78,6.8
Banjar,2019,8.02,6.81
Banjar,2020,8.05,6.82
Banjar,2021,8.06,7.08
Banjar,2022,8.08,7.33
Banjar,2023,8.28,7.58
Banjar,2024,8.29,7.59
Banjarnegara,2018,6.58,6.09
Banjarnegara,2019,6.66,6.32
Banjarnegara,2020,6.9,6.57
Banjarnegara,2021,6.93,6.58
Banjarnegara,2022,7.12,6.59
Banjarnegara,2023,7.16,6.61
Banjarnegara,2024,7.2,6.62
Bantaeng,2018,7.16,6.4
Bantaeng,2019,7.17,6.41
Bantaeng,2020,7.18,6.69
Bantaeng,2021,7.23,6.74
Bantaeng,2022,7.27,6.75
Bantaeng,2023,7.5,7.03
Bantaeng,2024,7.62,7.26
Bantul,2018,9.95,8.8
Bantul,2019,10.07,9.04
Bantul,2020,10.08,9.05
Bantul,2021,10.09,9.28
Bantul,2022,10.11,9.35
Bantul,2023,10.12,9.58
Bantul,2024,10.13,9.64
Banyu Asin,2018,7.52,6.86
Banyu Asin,2019,7.63,6.87
Banyu Asin,2020,7.64,6.88
Banyu Asin,2021,7.89,7.09
Banyu Asin,2022,7.9,7.1
Banyu Asin,2023,7.91,7.11
Banyu Asin,2024,7.93,7.13
Banyumas,2018,7.94,7.12
Banyumas,2019,7.95,7.14
Banyumas,2020,7.97,7.24
Banyumas,2021,7.98,7.35
Banyumas,2022,8.03,7.53
Banyumas,2023,8.19,7.54
Banyumas,2024,8.27,7.58
Banyuwangi,2018,7.53,6.36
Banyuwangi,2019,7.54,6.54
Banyuwangi,2020,7.65,6.55
Banyuwangi,2021,7.92,6.79
Banyuwangi,2022,8.09,7.08
Banyuwangi,2023,8.19,7.21
Banyuwangi,2024,8.25,7.22
Barito Kuala,2018,7.67,6.7
Barito Kuala,2019,7.68,6.72
Barito Kuala,2020,7.69,6.73
Barito Kuala,2021,7.88,6.99
