Kabupaten/Kota,Tahun,Garis Kemiskinan
Banjarnegara,2022,351333.0
Banjarnegara,2023,380046.0
Banjarnegara,2024,398344.0
Bantaeng,2018,260263.0
Bantaeng,2019,309357.0
Bantaeng,2020,340890.0
Bantaeng,2021,363342.0
Bantaeng,2022,394116.0
Bantaeng,2023,419677.0
Bantaeng,2024,434664.0
Bantul,2018,369480.0
Bantul,2019,381538.0
Bantul,2020,405613.0
Bantul,2021,418265.0
Bantul,2022,445511.0
Bantul,2023,488340.0
Bantul,2024,510740.0
Banyu Asin,2018,381437.0
Banyu Asin,2019,397496.0
Banyu Asin,2020,429816.0
Banyu Asin,2021,445089.0
Banyu Asin,2022,477393.0
Banyu Asin,2023,509264.0
Banyu Asin,2024,539283.0
Banyumas,2018,366442.0
Banyumas,2019,385140.0
Banyumas,2020,406250.0
Banyumas,2021,417086.0
Banyumas,2022,441520.0
Banyumas,2023,479027.0
Banyumas,2024,500861.0
Banyuwangi,2018,339891.0
Banyuwangi,2019,353873.0
Banyuwangi,2020,373679.0
Banyuwangi,2021,387084.0
Banyuwangi,2022,414879.0
Banyuwangi,2023,448928.0
Banyuwangi,2024,470713.0
Barito Kuala,2018,297199.0
Barito Kuala,2019,318995.0
Barito Kuala,2020,340526.0
Barito Kuala,2021,355160.0
Barito Kuala,2022,375707.0
Barito Kuala,2023,417110.0
Barito Kuala,2024,437579.0
Barito Selatan,2018,389405.0
Barito Selatan,2019,408072.0
Barito Selatan,2020,433787.0
Barito Selatan,2021,450706.0
Barito Selatan,2022,481352.0
Barito Selatan,2023,512492.0
Barito Selatan,2024,542075.0
Barito Timur,2018,478510.0
Barito Timur,2019,487185.0
Barito Timur,2020,517183.0
Barito Timur,2021,534896.0
Barito Timur,2022,571786.0
Barito Timur,2023,623053.0
Barito Timur,2024,663119.0
Barito Utara,2018,450936.0
Barito Utara,2019,472552.0
Barito Utara,2020,504430.0
Barito Utara,2021,525236.0
Barito Utara,2022,563393.0
Barito Utara,2023,590832.0
Barito Utara,2024,628429.0
Barru,2018,307904.0
Barru,2019,322248.0
Barru,2020,337047.0
Barru,2021,351924.0
Barru,2022,368150.0
Barru,2023,400702.0
Barru,2024,417396.0
Batang,2018,256549.0
Batang,2019,286116.0
Batang,2020,309202.0
Batang,2021,318330.0
Batang,2022,341252.0
Batang,2023,378858.0
Batang,2024,412196.0
Batang Hari,2018,394438.0
Batang Hari,2019,420227.0
Batang Hari,2020,450233.0
Batang Hari,2021,462468.0
Batang Hari,2022,497857.0
Batang Hari,2023,540168.0
Batang Hari,2024,613093.0
Batu Bara,2018,381651.0
Batu Bara,2019,408417.0
Batu Bara,2020,452393.0
Batu Bara,2021,477564.0
Batu Bara,2022,508524.0
Batu Bara,2023,556529.0
Batu Bara,2024,591201.0
Bekasi,2018,463507.0
Bekasi,2019,481732.0
Bekasi,2020,518667.0
Bekasi,2021,549875.0
Bekasi,2022,579221.0
Bekasi,2023,632811.0
Bekasi,2024,674924.0
Belitung,2018,704855.0
Belitung,2019,766276.0
Belitung,2020,812321.0
Belitung,2021,830484.0
Belitung,2022,860629.0
Belitung,2023,896948.0
Belitung,2024,919372.0
Belitung Timur,2018,622396.0
Belitung Timur,2019,684277.0
Belitung Timur,2020,725395.0
Belitung Timur,2021,798017.0
Belitung Timur,2022,854534.0
Belitung Timur,2023,899482.0
Belitung Timur,2024,907577.0
Belu,2018,330944.0
Belu,2019,349414.0
Belu,2020,372087.0
Belu,2021,379280.0
Belu,2022,416519.0
Belu,2023,459111.0
Belu,2024,476703.0
Bener Meriah,2018,413208.0
Bener Meriah,2019,431643.0
Bener Meriah,2020,457916.0
Bener Meriah,2021,476074.0
Bener Meriah,2022,512111.0
Bener Meriah,2023,551868.0
Bener Meriah,2024,591421.0
Bengkalis,2018,508633.0
Bengkalis,2019,533123.0
Bengkalis,2020,581416.0
Bengkalis,2021,604925.0
Bengkalis,2022,648933.0
Bengkalis,2023,713826.0
Bengkalis,2024,755572.0
Bengkayang,2018,339891.0
Bengkayang,2019,357112.0
Bengkayang,2020,365755.0
Bengkayang,2021,372793.0
Bengkayang,2022,396037.0
Bengkayang,2023,416148.0
Bengkayang,2024,440390.0
Bengkulu Selatan,2018,364888.0
Bengkulu Selatan,2019,377823.0
Bengkulu Selatan,2020,394513.0
Bengkulu Selatan,2021,408904.0
Bengkulu Selatan,2022,435955.0
Bengkulu Selatan,2023,467762.0
Bengkulu Selatan,2024,492627.0
Bengkulu Tengah,2018,389821.0
Bengkulu Tengah,2019,406137.0
Bengkulu Tengah,2020,431688.0
Bengkulu Tengah,2021,447435.0
Bengkulu Tengah,2022,512084.0
Bengkulu Tengah,2023,549468.0
Bengkulu Tengah,2024,582468.0
Bengkulu Utara,2018,359264.0
Bengkulu Utara,2019,369367.0
Bengkulu Utara,2020,387881.0
Bengkulu Utara,2021,398746.0
Bengkulu Utara,2022,423857.0
Bengkulu Utara,2023,459171.0
Bengkulu Utara,2024,484432.0
Berau,2018,502564.0
Berau,2019,526615.0
Berau,2020,568500.0
Berau,2021,595550.0
Berau,2022,624948.0
Berau,2023,677819.0
Berau,2024,731250.0
Biak Numfor,2018,528498.0
Biak Numfor,2019,543971.0
Biak Numfor,2020,574402.0
Biak Numfor,2021,602931.0
Biak Numfor,2022,627921.0
Biak Numfor,2023,657182.0
Biak Numfor,2024,677659.0
Bima,2018,308695.0
Bima,2019,327602.0
Bima,2020,356352.0
Bima,2021,363228.0
Bima,2022,395040.0
Bima,2023,429327.0
Bima,2024,451386.0
Bintan,2018,367294.0
Bintan,2019,384396.0
Bintan,2020,417654.0
Bintan,2021,424426.0
Bintan,2022,447933.0
Bintan,2023,474674.0
Bintan,2024,496764.0
Bireuen,2018,358399.0
Bireuen,2019,393198.0
Bireuen,2020,410203.0
Bireuen,2021,422685.0
Bireuen,2022,451163.0
Bireuen,2023,486667.0
Bireuen,2024,494866.0
Blitar,2018,305440.0
Blitar,2019,318534.0
Blitar,2020,325675.0
Blitar,2021,335573.0
Blitar,2022,355511.0
Blitar,2023,387733.0
Blitar,2024,408399.0
Blora,2018,308520.0
Blora,2019,335837.0
Blora,2020,353259.0
Blora,2021,363649.0
Blora,2022,390478.0
Blora,2023,425135.0
Blora,2024,464959.0
Boalemo,2018,368860.0
Boalemo,2019,385122.0
Boalemo,2020,426961.0
Boalemo,2021,450724.0
Boalemo,2022,472906.0
Boalemo,2023,525007.0
Boalemo,2024,551189.0
Bogor,2018,359787.0
Bogor,2019,373799.0
Bogor,2020,402877.0
Bogor,2021,418483.0
Bogor,2022,443787.0
Bogor,2023,482174.0
Bogor,2024,513512.0
Bojonegoro,2018,330544.0
Bojonegoro,2019,347786.0
Bojonegoro,2020,362383.0
Bojonegoro,2021,380653.0
Bojonegoro,2022,403403.0
Bojonegoro,2023,435936.0
Bojonegoro,2024,471457.0
Bolaang Mongondow,2018,295834.0
Bolaang Mongondow,2019,315400.0
Bolaang Mongondow,2020,325227.0
Bolaang Mongondow,2021,343302.0
