Kabupaten/Kota,Tahun,Pengeluaran Perkapita Buah-Buahan
Banjarnegara,2021,5730.0
Banjarnegara,2022,5388.48
Banjarnegara,2023,6686.72
Banjarnegara,2024,7271.0
Bantaeng,2018,8150.0
Bantaeng,2019,7776.0
Bantaeng,2020,9833.0
Bantaeng,2021,6696.0
Bantaeng,2022,7460.11
Bantaeng,2023,9860.17
Bantaeng,2024,15117.0
Bantul,2018,7105.0
Bantul,2019,7877.0
Bantul,2020,8088.0
Bantul,2021,7617.0
Bantul,2022,8587.54
Bantul,2023,10867.69
Bantul,2024,10598.0
Banyu Asin,2018,4649.0
Banyu Asin,2019,4193.0
Banyu Asin,2020,4947.0
Banyu Asin,2021,6011.0
Banyu Asin,2022,6666.38
Banyu Asin,2023,6854.12
Banyu Asin,2024,10575.0
Banyumas,2018,8634.0
Banyumas,2019,6561.0
Banyumas,2020,6264.0
Banyumas,2021,6295.0
Banyumas,2022,6746.15
Banyumas,2023,8446.59
Banyumas,2024,10910.0
Banyuwangi,2018,6297.0
Banyuwangi,2019,4630.0
Banyuwangi,2020,6333.0
Banyuwangi,2021,4899.0
Banyuwangi,2022,5427.17
Banyuwangi,2023,6588.77
Banyuwangi,2024,9730.0
Barito Kuala,2018,4914.0
Barito Kuala,2019,4859.0
Barito Kuala,2020,5189.0
Barito Kuala,2021,4093.0
Barito Kuala,2022,4844.63
Barito Kuala,2023,4974.53
Barito Kuala,2024,7734.0
Barito Selatan,2018,7785.0
Barito Selatan,2019,5636.0
Barito Selatan,2020,5490.0
Barito Selatan,2021,4796.0
Barito Selatan,2022,6170.23
Barito Selatan,2023,3950.68
Barito Selatan,2024,8160.0
Barito Timur,2018,6694.0
Barito Timur,2019,6588.0
Barito Timur,2020,6834.0
Barito Timur,2021,4264.0
Barito Timur,2022,5448.36
Barito Timur,2023,6928.08
Barito Timur,2024,11120.0
Barito Utara,2018,12017.0
Barito Utara,2019,6607.0
Barito Utara,2020,6039.0
Barito Utara,2021,6631.0
Barito Utara,2022,6031.56
Barito Utara,2023,10779.66
Barito Utara,2024,10416.0
Barru,2018,4975.0
Barru,2019,5013.0
Barru,2020,6643.0
Barru,2021,2577.0
Barru,2022,3976.07
Barru,2023,5447.83
Barru,2024,7198.0
Batang,2018,5496.0
Batang,2019,5488.0
Batang,2020,5345.0
Batang,2021,4964.0
Batang,2022,5273.59
Batang,2023,6283.79
Batang,2024,6936.0
Batang Hari,2018,4442.0
Batang Hari,2019,4736.0
Batang Hari,2020,6999.0
Batang Hari,2021,4568.0
Batang Hari,2022,6508.53
Batang Hari,2023,7177.31
Batang Hari,2024,10398.0
Batu Bara,2018,3887.0
Batu Bara,2019,4885.0
Batu Bara,2020,5009.0
Batu Bara,2021,4872.0
Batu Bara,2022,6530.82
Batu Bara,2023,6094.6
Batu Bara,2024,6388.0
Bekasi,2018,7652.0
Bekasi,2019,7966.0
Bekasi,2020,8258.0
Bekasi,2021,7380.0
Bekasi,2022,8854.01
Bekasi,2023,8760.28
Bekasi,2024,9843.0
Belitung,2018,7499.0
Belitung,2019,9506.0
Belitung,2020,9598.0
Belitung,2021,8920.0
Belitung,2022,11061.57
Belitung,2023,8329.71
Belitung,2024,14625.0
Belitung Timur,2018,5917.0
Belitung Timur,2019,10347.0
Belitung Timur,2020,9362.0
Belitung Timur,2021,7564.0
Belitung Timur,2022,10518.95
Belitung Timur,2023,8523.18
Belitung Timur,2024,13277.0
Belu,2018,1770.0
Belu,2019,1881.0
Belu,2020,1915.0
Belu,2021,1780.0
Belu,2022,2704.0
Belu,2023,3055.93
Belu,2024,3092.0
Bener Meriah,2018,6771.0
Bener Meriah,2019,10513.0
Bener Meriah,2020,10793.0
Bener Meriah,2021,8506.0
Bener Meriah,2022,12317.88
Bener Meriah,2023,16050.01
Bener Meriah,2024,16958.0
Bengkalis,2018,4596.0
Bengkalis,2019,4598.0
Bengkalis,2020,6758.0
Bengkalis,2021,5311.0
Bengkalis,2022,6770.62
Bengkalis,2023,7987.02
Bengkalis,2024,7844.0
Bengkayang,2018,3288.0
Bengkayang,2019,4233.0
Bengkayang,2020,4125.0
Bengkayang,2021,3751.0
Bengkayang,2022,6033.69
Bengkayang,2023,6241.3
Bengkayang,2024,6467.0
Bengkulu Selatan,2018,5417.0
Bengkulu Selatan,2019,4183.0
Bengkulu Selatan,2020,6491.0
Bengkulu Selatan,2021,4484.0
Bengkulu Selatan,2022,6462.02
Bengkulu Selatan,2023,4392.24
Bengkulu Selatan,2024,9894.0
Bengkulu Tengah,2018,5136.0
Bengkulu Tengah,2019,3962.0
Bengkulu Tengah,2020,5076.0
Bengkulu Tengah,2021,5198.0
