Kabupaten/Kota,Kelompok IKP,Tahun,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%)
Agam,6,2018,0.3,7.59,43.73,2.08,42.24,8.94,2.93,71.57,31.3
Lima Puluh Kota,6,2018,0.36,7.15,63.56,3.58,42.59,8.14,4.53,69.31,27.0
Pasaman,5,2018,0.37,7.41,60.99,3.49,47.77,7.68,6.69,66.54,40.6
Kepulauan Mentawai,2,2018,3.3,14.67,68.4,27.4,58.0,7.33,9.43,64.37,25.7
Dharmasraya,6,2018,1.03,6.68,59.65,0.0,37.66,8.16,5.64,70.44,27.0
Solok Selatan,6,2018,0.32,7.21,49.82,2.31,46.14,8.37,4.28,66.92,36.2
Pasaman Barat,5,2018,0.55,7.26,53.13,1.47,49.45,8.04,4.07,67.15,32.1
Kota Padang,6,2018,50.0,4.74,47.54,0.32,12.41,11.29,0.17,73.2,22.6
Kota Solok,6,2018,50.0,3.66,51.97,0.74,2.46,11.17,0.1,72.92,31.9
Kota Sawahlunto,5,2018,0.96,2.01,54.25,1.08,19.17,10.22,0.75,69.39,26.3
Kota Padang Panjang,6,2018,50.0,6.17,51.22,0.28,8.83,11.21,0.06,72.46,29.6
Kota Bukittinggi,6,2018,50.0,5.35,46.61,0.0,7.33,11.65,0.02,73.69,24.5
Kota Payakumbuh,6,2018,0.92,5.88,50.81,1.1,8.17,10.55,0.15,73.13,28.0
Kota Pariaman,5,2018,0.79,5.2,55.47,1.15,24.21,10.47,0.13,69.67,25.9
Kampar,3,2018,5.0,8.02,40.53,0.27,38.37,8.88,6.43,70.16,27.0
Indragiri Hulu,3,2018,5.0,6.94,29.07,3.44,30.32,8.16,5.87,69.83,33.7
Bengkalis,3,2018,4.72,6.85,27.2,2.29,25.82,9.04,6.0,70.69,26.5
Indragiri Hilir,4,2018,1.91,7.7,46.91,14.73,43.89,7.44,8.12,67.07,34.3
Pelalawan,4,2018,2.99,10.25,34.55,5.35,22.18,7.98,9.95,70.54,22.3
Rokan Hulu,3,2018,3.65,10.91,34.61,2.52,44.13,8.67,6.53,69.31,37.2
Rokan Hilir,4,2018,3.73,7.88,40.99,1.06,33.31,8.29,5.85,69.66,35.9
Siak,5,2018,2.79,5.8,53.97,0.79,12.7,9.5,8.84,70.64,23.0
Kuantan Singingi,5,2018,1.68,9.97,56.72,0.54,35.41,8.07,4.3,67.99,27.5
Kepulauan Meranti,2,2018,3.7,28.99,39.54,15.68,46.42,7.58,7.07,66.99,24.6
Kota Pekanbaru,6,2018,50.0,3.05,46.2,0.0,7.37,10.94,0.14,71.75,27.7
Kota Dumai,5,2018,50.0,4.57,50.64,0.16,16.65,9.75,1.0,70.37,30.1
Kerinci,6,2018,0.29,7.45,46.97,2.89,29.36,8.18,3.94,69.52,35.0
Merangin,6,2018,0.64,9.43,42.26,2.83,48.16,7.78,7.74,70.94,25.4
