Kabupaten/Kota,Kelompok IKP,Tahun,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%)
Kolaka,6,2019,0.79,12.51,13.41,2.94,19.77,8.84,5.41,70.38,28.73
Konawe,6,2019,0.27,13.48,18.59,0.89,22.68,8.86,6.12,69.76,29.42
Muna,6,2019,1.44,13.19,18.8,2.03,22.62,8.12,3.29,69.97,26.84
Buton,6,2019,0.8,13.67,22.35,0.9,21.48,8.23,2.18,67.6,34.91
Konawe Selatan,6,2019,0.51,10.95,19.89,0.39,26.38,7.69,8.29,70.24,28.02
Bombana,6,2019,0.47,11.05,16.59,2.52,22.85,7.49,5.58,68.17,33.87
Wakatobi,6,2019,0.44,14.85,16.56,1.59,32.91,7.57,0.92,69.85,29.07
Kolaka Utara,5,2019,1.68,14.3,17.47,3.07,27.24,8.1,7.04,69.94,30.62
Konawe Utara,5,2019,0.84,14.22,17.64,3.87,39.25,8.86,21.12,68.95,37.69
Buton Utara,5,2019,2.27,14.93,20.41,2.53,19.98,8.68,2.78,70.56,37.12
Kolaka Timur,6,2019,0.27,13.82,9.02,3.92,16.78,8.81,4.41,71.99,17.58
Konawe Kepulauan,3,2019,3.73,17.48,7.9,1.42,41.88,9.47,7.9,68.06,38.89
Muna Barat,6,2019,0.73,14.17,16.15,0.0,23.15,6.62,1.81,69.97,31.3
Buton Tengah,6,2019,1.75,14.88,19.89,0.19,4.84,9.0,1.44,67.33,19.19
Buton Selatan,5,2019,1.33,14.82,14.6,3.45,59.96,6.59,0.94,67.33,34.81
Kota Kendari,6,2019,14.68,4.69,6.57,0.18,6.5,11.01,0.12,73.26,22.66
Kota Bau Bau,6,2019,3.33,7.57,11.61,0.3,7.26,10.21,0.43,70.72,37.21
Gorontalo,6,2019,0.29,16.81,14.01,4.75,28.64,7.26,1.38,67.45,34.59
Boalemo,6,2019,0.25,20.33,21.31,6.23,30.02,7.37,3.57,68.25,44.82
Bone Bolango,6,2019,0.9,17.4,15.49,0.67,22.37,8.93,2.57,67.95,29.11
Pahuwato,6,2019,0.19,19.4,17.64,1.51,8.14,7.64,6.62,63.25,23.62
Gorontalo Utara,6,2019,0.24,18.54,20.86,3.03,25.45,7.3,3.77,65.36,33.34
Kota Gorontalo,6,2019,4.78,5.57,5.51,0.0,6.22,10.45,0.08,72.02,27.41
Mamuju Utara,6,2019,0.41,4.53,19.64,6.48,18.92,7.91,8.75,65.62,34.8
Mamuju,6,2019,0.42,7.18,31.07,3.45,37.15,7.74,3.61,66.94,46.46
Mamasa,5,2019,0.39,13.38,38.09,1.77,76.1,7.99,7.51,70.62,43.16
Polewali Mandar,5,2019,0.41,15.97,39.59,4.17,34.0,7.66,2.79,61.97,38.23
Majene,3,2019,3.01,13.79,39.2,0.53,31.59,8.52,3.21,61.05,45.89
Mamuju Tengah,6,2019,0.29,7.14,14.34,4.11,48.21,7.43,3.74,67.79,41.59
Maluku Tengah,4,2019,1.96,20.11,24.59,2.83,36.61,9.36,10.09,66.19,42.79
Maluku Tenggara,4,2019,2.64,23.27,8.01,9.13,32.14,9.68,8.76,64.77,31.06
Maluku Tenggara Barat,3,2019,3.45,28.08,39.39,10.53,24.46,9.71,21.01,63.19,28.8
Buru,6,2019,0.43,17.03,18.49,3.9,23.14,8.89,11.5,66.16,27.05
Seram Bagian Timur,3,2019,2.78,23.62,36.69,16.88,43.98,8.14,6.12,58.84,40.56
Seram Bagian Barat,4,2019,2.06,25.62,22.21,10.04,38.3,9.14,6.67,61.2,33.6
Kepulauan Aru,1,2019,5.0,27.12,16.64,41.51,35.96,8.7,17.08,62.52,36.02
Maluku Barat Daya,3,2019,1.55,30.2,28.79,14.46,48.75,8.19,12.42,61.87,31.09
Buru Selatan,3,2019,3.04,16.31,27.49,16.15,34.44,7.88,11.83,65.92,26.8
Kota Ambon,6,2019,32.07,4.72,8.63,0.85,11.41,11.22,0.25,70.12,31.25
Kota Tual,3,2019,17.05,23.42,6.22,1.75,15.66,10.21,0.63,64.89,30.98
Halmahera Barat,5,2019,1.79,8.74,19.29,2.2,47.36,8.03,3.84,65.78,35.26
Halmahera Tengah,5,2019,1.36,13.94,15.38,6.21,25.42,8.54,9.49,63.16,41.37
Halmahera Utara,6,2019,0.67,4.51,23.12,0.63,29.37,8.41,6.61,69.15,25.09
Halmahera Selatan,5,2019,1.72,4.8,22.66,7.96,47.6,7.72,9.64,65.42,34.54
Kepulauan Sula,3,2019,3.61,8.89,27.74,11.29,49.65,8.94,7.95,62.83,38.61
Halmahera Timur,5,2019,0.47,15.02,19.99,2.48,47.32,7.85,16.85,68.19,38.41
Pulau Morotai,6,2019,0.31,7.16,30.5,1.15,42.32,7.24,9.57,66.58,36.84
Pulau Taliabu,2,2019,5.0,7.35,20.18,34.48,51.62,7.57,13.63,61.58,36.98
Kota Ternate,6,2019,50.0,3.0,3.31,0.26,8.05,11.02,0.12,70.5,19.64
Kota Tidore Kepulauan,4,2019,17.72,5.95,6.53,0.21,36.84,9.75,1.0,68.87,28.19
Merauke,6,2019,0.35,10.54,19.49,4.46,29.99,8.56,66.56,66.71,22.8
Jayawijaya,3,2019,1.16,38.66,23.56,20.85,75.98,5.03,3.04,58.99,31.62
Jayapura,2,2019,4.95,13.44,29.43,2.01,36.54,9.25,8.99,66.66,24.57
Nabire,4,2019,2.86,25.17,27.26,10.22,22.57,9.03,6.38,67.72,27.36
Kepulauan Yapen,2,2019,4.47,27.17,24.02,23.01,27.35,8.47,9.98,68.85,46.22
Biak Numfor,2,2019,5.0,25.72,17.69,1.13,35.56,9.68,37.89,68.0,43.7
Puncak Jaya,1,2019,5.0,36.27,67.18,82.42,62.05,2.54,10.88,64.65,35.4
Paniai,3,2019,0.34,37.35,26.27,55.96,78.58,4.34,83.78,65.94,42.36
Mimika,3,2019,5.0,14.55,9.77,0.18,7.28,9.73,2.36,72.06,27.99
Sarmi,1,2019,5.0,14.51,35.45,14.79,55.9,8.36,100.0,66.0,19.03
Keerom,3,2019,3.77,16.9,15.08,2.47,39.31,7.88,26.58,66.35,38.21
Pegunungan Bintang,1,2019,2.19,30.75,72.0,47.15,74.49,3.87,52.16,64.08,37.99
Yahukimo,1,2019,5.0,39.25,68.2,94.51,87.22,3.16,42.56,65.52,34.23
Tolikara,1,2019,5.0,33.14,65.63,25.01,95.98,2.77,23.35,65.3,21.31
Waropen,1,2019,5.0,30.53,44.11,6.18,59.41,8.95,28.95,65.99,52.59
Boven Digoel,2,2019,4.14,20.35,31.19,13.96,39.04,7.68,52.15,59.16,39.7
Mappi,1,2019,5.0,25.64,63.56,51.05,78.62,5.75,40.35,64.56,33.06
Asmat,1,2019,5.0,27.41,39.74,20.18,96.57,4.08,75.63,56.88,32.6
Supiori,1,2019,5.0,39.22,33.22,3.42,68.57,8.06,3.36,65.53,35.05
Mamberamo Raya,1,2019,5.0,30.1,80.95,35.19,93.14,4.95,100.0,57.18,19.37
Mamberamo Tengah,1,2019,5.0,37.02,41.66,95.92,100.0,1.81,36.42,63.14,34.77
Yalimo,1,2019,5.0,35.45,51.81,25.43,85.71,3.18,23.19,65.1,0.0
Lanny Jaya,1,2019,5.0,40.06,32.81,55.89,98.12,2.49,18.98,65.79,47.08
Nduga,1,2019,5.0,38.13,39.35,88.92,99.74,2.15,64.97,54.82,49.79
Puncak,1,2019,5.0,38.15,96.42,100.0,100.0,1.2,42.8,65.33,26.48
Dogiyai,1,2019,5.0,30.48,26.48,72.6,92.3,2.07,26.18,65.32,57.48
Intan Jaya,1,2019,5.0,42.71,29.33,69.64,86.65,1.42,79.81,65.26,49.64
Deiyai,1,2019,5.0,43.49,24.37,6.0,99.73,1.49,12.37,64.83,23.46
Kota Jayapura,5,2019,6.55,11.37,5.22,0.72,7.53,10.9,0.72,70.15,22.81
Sorong,4,2019,1.67,30.19,27.2,3.76,50.06,8.3,16.41,65.71,32.31
Manokwari,5,2019,1.81,22.21,23.39,0.3,26.47,9.43,11.52,68.22,32.14
Fakfak,2,2019,5.0,24.31,32.73,1.87,30.05,10.02,29.36,68.12,18.01
Sorong Selatan,2,2019,5.0,19.14,32.24,13.09,54.3,8.06,16.63,65.83,39.61
Raja Ampat,2,2019,5.0,17.8,38.48,13.14,36.93,8.5,39.13,64.42,27.55
Teluk Bintuni,1,2019,5.0,31.3,24.57,4.33,32.14,8.93,8.09,60.15,28.54
Teluk Wondama,1,2019,5.0,33.32,57.46,20.28,68.75,8.88,86.68,59.53,25.27
Kaimana,2,2019,5.0,16.65,26.83,22.9,43.5,9.51,10.64,64.25,16.75
Tambrauw,1,2019,3.54,34.59,62.87,11.01,70.95,8.62,68.53,59.56,41.5
Maybrat,2,2019,3.14,32.89,28.44,11.4,58.54,9.54,19.21,64.93,42.02
Manokwari Selatan,1,2019,5.0,30.87,43.0,11.96,57.58,8.56,33.78,67.16,40.26
Pegunungan Arfak,1,2019,5.0,35.72,64.81,68.7,74.21,5.49,59.7,66.89,35.0
Kota Sorong,5,2019,40.17,15.85,7.34,0.17,6.27,10.56,0.91,70.0,20.61
Aceh Selatan,5,2020,0.8,13.09,54.14,0.77,42.92,9.01,5.08,64.27,0.0
Aceh Tenggara,5,2020,0.26,13.43,58.42,0.4,49.34,8.71,6.14,68.04,42.83
Aceh Timur,5,2020,0.55,14.47,58.23,0.87,44.3,8.16,3.09,68.67,25.5
Aceh Tengah,5,2020,1.54,15.5,27.05,0.08,36.6,9.79,3.35,68.82,42.87
Aceh Barat,6,2020,0.71,18.79,20.21,0.48,20.25,8.92,2.73,67.93,0.0
Aceh Besar,6,2020,0.4,13.92,37.93,0.84,7.72,10.55,1.96,69.77,0.0
Pidie,5,2020,0.33,19.46,55.08,0.32,35.15,8.28,1.54,66.89,0.0
Aceh Utara,6,2020,0.28,17.39,54.59,0.0,41.08,8.93,1.07,68.79,0.0
Simeulue,5,2020,1.19,18.99,36.31,0.21,22.18,8.84,2.75,65.22,28.21
Aceh Singkil,3,2020,3.97,20.78,39.47,0.0,42.4,8.76,2.79,67.36,0.0
Bireuen,6,2020,0.48,13.56,43.11,0.84,32.4,9.85,0.81,71.16,32.88
Aceh Barat Daya,6,2020,0.37,16.26,42.51,0.41,31.27,8.96,2.23,64.91,0.0
Gayo Lues,5,2020,0.52,19.87,36.15,0.7,28.07,8.25,8.25,65.38,29.16
Aceh Jaya,6,2020,0.3,13.36,41.55,0.94,28.09,9.06,7.09,67.11,0.0
Nagan Raya,5,2020,0.78,17.97,36.74,0.0,36.54,9.13,4.93,69.14,26.46
Aceh Tamiang,6,2020,0.74,13.38,43.4,0.57,22.02,9.26,2.52,69.52,0.0
Bener Meriah,2,2020,5.0,19.3,37.74,1.89,33.82,10.05,1.69,69.19,28.15
Pidie Jaya,6,2020,0.3,19.31,49.05,0.18,32.44,9.36,1.32,70.06,27.87
Kota Banda Aceh,6,2020,50.0,7.22,5.45,0.0,0.0,12.39,0.03,71.36,0.0
Kota Sabang,5,2020,36.23,15.6,19.15,0.57,1.63,11.01,0.4,70.45,0.0
Kota Lhokseumawe,5,2020,3.12,11.18,20.92,0.21,1.93,10.49,1.0,71.52,0.0
Kota Langsa,6,2020,5.13,10.57,13.92,0.0,8.72,11.24,0.29,69.37,0.0
Kota Subulussalam,1,2020,2.08,17.95,32.13,0.0,54.91,8.85,1.0,63.94,41.81
Tapanuli Tengah,5,2020,1.31,12.53,44.66,3.69,42.18,8.63,1.66,67.08,36.32
Tapanuli Utara,6,2020,0.34,9.48,60.34,1.45,37.19,9.59,2.8,68.46,0.0
Tapanuli Selatan,5,2020,0.47,8.6,56.65,2.85,46.51,9.22,6.97,64.82,0.0
Nias,4,2020,0.77,15.94,43.17,22.39,81.81,5.57,2.38,69.68,56.21
Langkat,6,2020,1.03,9.91,39.18,0.12,23.33,8.51,1.97,68.59,18.21
Karo,6,2020,0.18,8.23,58.59,2.15,24.41,9.89,1.86,71.27,0.0
Deli Serdang,6,2020,1.03,3.89,29.06,0.06,12.34,10.11,0.69,71.61,30.97
Simalungun,6,2020,0.43,8.81,40.79,0.88,39.75,9.64,2.33,71.07,32.38
Asahan,5,2020,1.93,9.68,30.07,0.42,24.34,8.77,2.01,68.11,0.0
Labuhanbatu,6,2020,1.17,8.44,28.11,0.11,28.72,9.09,1.93,69.86,0.0
Dairi,6,2020,0.33,7.7,55.91,2.22,42.81,9.45,2.2,68.79,39.27
Toba Samosir,6,2020,0.22,8.6,50.46,1.48,40.7,10.23,2.39,69.93,0.0
Mandailing Natal,5,2020,0.81,9.11,59.87,5.56,52.43,8.85,3.06,62.51,49.91
Nias Selatan,4,2020,0.69,16.45,36.87,24.78,66.15,6.05,1.49,68.58,57.0
Pakpak Bharat,5,2020,0.8,9.27,42.69,2.09,56.28,8.76,4.15,65.59,39.04
Humbang Hasundutan,6,2020,0.31,8.75,56.03,0.65,46.21,9.49,3.45,69.06,0.0
Samosir,6,2020,0.3,12.52,54.42,1.07,58.74,8.6,3.73,71.16,0.0
Serdang Bedagai,6,2020,0.17,7.9,30.32,0.28,28.25,8.53,1.46,68.46,0.0
Batu Bara,6,2020,0.95,12.14,33.92,0.16,28.38,8.42,1.67,66.75,0.0
Padang Lawas Utara,5,2020,1.51,9.6,48.71,1.54,47.76,9.12,5.89,67.06,49.28
Padang Lawas,5,2020,1.32,8.28,44.48,2.61,51.81,8.98,3.62,66.98,41.95
Labuhanbatu Selatan,3,2020,5.0,8.94,23.26,0.29,24.46,9.0,3.53,68.64,0.0
Labuhanbatu Utara,5,2020,1.35,9.57,42.8,0.8,39.13,8.36,4.5,69.37,0.0
Nias Utara,5,2020,0.46,24.99,37.14,17.44,61.04,6.32,1.8,69.29,26.57
Nias Barat,3,2020,1.43,25.51,54.56,11.25,81.37,6.42,1.09,68.82,43.95
Kota Medan,6,2020,50.0,8.08,17.05,0.11,2.0,11.5,0.04,72.98,11.69
Kota Pematangsiantar,6,2020,3.04,8.63,20.57,0.34,7.64,10.99,0.04,73.33,0.0
Kota Sibolga,5,2020,50.0,12.36,34.41,0.0,4.9,10.41,0.06,68.77,0.0
Kota Tanjung Balai,4,2020,44.1,14.04,51.74,0.0,3.42,9.7,0.17,63.02,0.0
Kota Binjai,6,2020,4.33,5.66,23.53,0.0,10.36,10.55,0.03,72.25,0.0
Kota Tebing Tinggi,5,2020,4.36,9.94,20.39,0.0,26.68,10.27,0.02,70.76,0.0
Kota Padang Sidimpuan,5,2020,1.72,7.26,24.99,0.37,38.88,10.94,0.1,69.15,0.0
Kota Gunungsitoli,3,2020,2.03,16.23,18.41,1.86,19.09,8.47,0.45,71.02,25.91
Pesisir Selatan,6,2020,0.35,7.88,30.48,0.7,22.69,8.82,5.38,70.73,0.0
Solok,6,2020,0.37,7.98,43.96,1.11,31.94,8.05,3.55,68.34,35.45
Sijunjung,6,2020,0.83,7.04,29.45,0.87,32.3,8.51,5.44,66.02,0.0
Tanah Datar,6,2020,0.27,4.66,38.34,1.65,26.26,8.99,1.48,69.73,0.0
Padang Pariaman,6,2020,0.43,7.1,36.57,0.69,35.29,8.15,1.18,68.58,0.0
Agam,6,2020,0.38,6.75,31.96,0.95,32.28,9.26,2.1,72.17,0.0
Lima Puluh Kota,6,2020,0.39,6.97,41.28,1.11,36.68,8.14,4.9,69.7,28.94
Pasaman,6,2020,0.26,7.21,44.98,1.5,34.13,8.61,4.69,67.18,35.67
Kepulauan Mentawai,2,2020,3.72,14.43,54.99,25.81,68.08,7.18,13.48,64.68,0.0
Dharmasraya,6,2020,1.25,6.29,19.2,0.66,39.42,8.86,4.64,71.1,0.0
Solok Selatan,6,2020,0.29,7.33,32.25,2.15,37.51,8.42,5.56,67.58,0.0
Pasaman Barat,6,2020,0.45,7.14,45.51,0.9,40.76,8.89,3.53,67.67,31.66
Kota Padang,6,2020,2.77,4.48,11.93,0.0,9.87,11.09,0.16,73.57,0.0
Kota Solok,6,2020,0.9,3.24,23.94,0.0,1.71,10.54,0.1,73.45,0.0
Kota Sawahlunto,5,2020,1.17,2.17,21.24,1.27,15.22,10.13,0.67,69.87,0.0
Kota Padang Panjang,6,2020,2.19,5.6,8.38,0.03,5.23,11.08,0.05,72.77,0.0
Kota Bukittinggi,6,2020,4.13,4.6,6.45,0.0,2.88,11.3,0.02,74.22,0.0
Kota Payakumbuh,6,2020,1.08,5.68,19.87,0.0,2.61,10.91,0.13,73.61,0.0
Kota Pariaman,6,2020,1.04,4.76,23.86,0.28,17.51,10.59,0.12,70.15,0.0
Kampar,3,2020,5.0,7.71,25.7,0.14,32.49,9.24,5.84,70.64,23.07
Indragiri Hulu,4,2020,3.51,6.06,16.03,2.84,21.61,8.54,5.76,70.2,0.0
Bengkalis,4,2020,3.27,6.27,20.92,0.58,38.65,9.26,4.78,71.11,0.0
Indragiri Hilir,4,2020,1.42,6.54,33.23,8.7,74.85,7.66,6.95,67.66,0.0
Pelalawan,4,2020,4.39,9.62,28.85,3.17,13.37,8.65,11.63,71.03,22.97
Rokan Hulu,3,2020,5.0,10.53,28.41,2.0,33.41,8.74,7.02,69.89,24.37
Rokan Hilir,4,2020,2.87,7.01,25.8,2.09,38.9,8.6,5.24,70.17,28.87
Siak,6,2020,2.36,5.03,12.28,0.81,14.05,9.54,6.82,71.03,0.0
Kuantan Singingi,5,2020,2.78,9.56,24.86,1.69,28.66,8.82,6.34,68.44,0.0
Kepulauan Meranti,1,2020,5.0,26.93,15.87,5.25,92.21,7.58,6.26,67.53,25.1
Kota Pekanbaru,6,2020,10.53,2.52,12.68,1.2,3.52,11.25,0.15,72.22,0.0
Kota Dumai,5,2020,16.65,3.56,17.61,0.87,12.1,9.96,1.0,70.82,0.0
Kerinci,6,2020,0.36,7.13,31.7,0.0,33.76,8.08,5.38,69.82,33.85
Merangin,5,2020,1.5,8.48,33.3,0.45,53.94,7.9,4.94,71.18,15.38
Sarolangun,5,2020,2.31,8.45,34.82,1.44,46.17,7.94,5.66,69.09,0.0
Batanghari,4,2020,2.79,9.75,37.32,1.05,42.03,8.3,6.69,70.44,0.0
Muaro Jambi,4,2020,4.46,3.83,37.01,0.58,29.7,8.63,5.43,71.18,0.0
Tanjung Jabung Barat,4,2020,1.69,10.56,45.34,3.95,59.33,7.79,4.13,68.03,21.81
Tanjung Jabung Timur,5,2020,0.89,11.54,34.63,2.68,67.22,6.76,7.23,66.08,20.05
Bungo,5,2020,2.84,5.6,24.98,1.8,28.81,8.2,3.15,67.61,0.0
Tebo,5,2020,2.46,6.47,31.85,1.26,42.67,7.74,9.5,69.91,0.0
Kota Jambi,6,2020,22.47,8.12,21.41,0.0,8.57,10.89,0.05,72.57,0.0
Kota Sungai Penuh,5,2020,0.44,2.81,26.79,0.21,10.56,10.24,0.73,72.01,0.0
Ogan Komering Ulu,5,2020,1.33,12.77,27.74,0.38,30.65,8.9,2.59,68.01,0.0
Ogan Komering Ilir,6,2020,0.31,15.01,30.95,0.37,42.24,7.16,7.53,68.41,38.06
Muara Enim,5,2020,1.22,12.41,30.39,0.0,39.74,8.0,3.56,68.63,38.62
Lahat,5,2020,0.98,15.92,32.18,0.0,51.16,8.52,6.38,65.76,29.53
Musi Rawas,6,2020,0.57,13.37,24.93,1.57,33.12,7.71,4.39,67.86,0.0
Musi Banyuasin,5,2020,0.74,16.41,21.83,1.1,40.09,7.66,7.47,68.54,0.0
Banyuasin,6,2020,0.16,11.33,31.45,2.76,51.19,7.51,6.97,68.76,28.28
Ogan Komering Ulu Timur,6,2020,0.18,10.43,15.36,0.21,44.69,7.68,1.4,68.87,0.0
Ogan Komering Ulu Selatan,5,2020,0.3,10.53,53.68,1.78,59.57,7.72,5.19,66.76,0.0
Ogan Ilir,5,2020,1.04,13.31,27.9,1.05,30.7,8.21,1.78,65.21,35.56
Empat Lawang,4,2020,0.72,12.3,52.37,5.1,80.42,7.48,2.8,64.81,0.0
Penukal Abab Lematang Ilir,5,2020,1.63,13.47,26.74,0.0,35.08,7.0,2.05,68.07,0.0
Musi Rawas Utara,2,2020,3.91,19.12,38.96,2.9,49.8,6.68,7.23,65.43,0.0
Kota Palembang,6,2020,22.75,10.9,16.56,0.15,3.44,10.37,0.06,70.54,22.91
Kota Pagar Alam,3,2020,1.73,8.9,32.17,0.0,49.78,9.4,1.0,66.41,0.0
Kota Lubuklinggau,4,2020,4.17,12.95,15.84,0.13,38.3,10.14,0.44,69.04,0.0
Kota Prabumulih,5,2020,14.09,11.61,16.68,0.0,29.88,9.62,0.15,70.09,0.0
Bengkulu Selatan,5,2020,0.3,18.54,42.35,0.38,51.84,9.03,1.1,67.79,25.22
Rejang Lebong,5,2020,1.05,15.95,28.07,1.58,62.78,9.04,1.62,68.37,0.0
Bengkulu Utara,5,2020,1.49,11.65,27.66,0.78,64.65,7.82,4.59,68.04,27.62
Kaur,5,2020,0.72,18.89,32.49,2.01,54.2,8.31,4.25,66.5,30.53
Seluma,4,2020,0.67,19.1,31.27,2.62,72.4,7.77,2.83,67.56,40.13
Mukomuko,5,2020,1.16,11.7,21.64,0.67,53.68,8.11,4.46,66.51,0.0
Lebong,6,2020,0.35,11.77,49.37,0.81,33.83,8.01,4.07,63.12,0.0
Kepahiang,5,2020,1.03,14.74,28.24,2.38,67.08,8.16,0.94,67.78,0.0
Bengkulu Tengah,4,2020,2.05,8.8,30.81,2.31,54.75,7.32,2.15,68.12,0.0
Kota Bengkulu,5,2020,10.23,18.09,6.82,0.34,14.39,11.64,0.07,70.04,0.0
Lampung Selatan,6,2020,0.29,14.31,34.32,0.08,32.59,7.6,0.43,69.2,30.39
Lampung Tengah,6,2020,0.16,12.03,31.46,0.22,47.76,7.83,1.41,69.75,21.41
Lampung Utara,5,2020,0.16,19.9,42.37,0.89,67.45,8.09,1.62,69.05,38.56
Lampung Barat,5,2020,0.86,12.92,25.98,1.07,44.7,7.94,2.9,67.43,0.0
Tulang Bawang,6,2020,0.17,9.35,20.26,0.96,31.44,7.52,3.71,69.88,0.0
Tanggamus,5,2020,0.84,12.05,38.4,0.3,41.89,7.46,2.35,68.4,27.39
Lampung Timur,6,2020,0.13,15.24,22.7,0.15,46.53,7.59,3.78,70.61,26.12
Way Kanan,5,2020,0.35,13.07,35.47,0.12,65.47,7.15,2.93,69.27,0.0
Pesawaran,6,2020,0.29,15.19,28.01,0.17,29.15,7.75,2.6,68.88,25.84
Pringsewu,6,2020,0.5,10.15,29.0,0.0,16.14,8.23,0.43,69.85,0.0
Mesuji,6,2020,0.14,7.47,18.16,1.05,26.81,6.64,3.38,68.04,0.0
Tulang Bawang Barat,6,2020,0.15,7.75,22.95,0.0,72.18,7.24,1.57,69.88,0.0
Pesisir Barat,5,2020,0.41,14.48,44.77,4.02,47.01,8.11,4.83,63.27,0.0
Kota Bandar Lampung,6,2020,50.0,8.71,16.62,0.09,15.57,10.58,0.06,71.28,0.0
Kota Metro,6,2020,1.94,8.68,9.24,0.0,15.81,10.68,0.06,71.55,0.0
Bangka,6,2020,1.76,4.92,20.61,0.37,15.2,8.34,1.84,70.99,20.86
Belitung,4,2020,5.0,6.29,6.63,0.46,12.42,8.59,2.88,70.94,0.0
Bangka Selatan,6,2020,0.92,3.36,26.86,0.18,22.61,6.79,5.75,67.9,21.59
Bangka Tengah,4,2020,5.0,5.02,17.62,0.0,13.65,7.77,3.51,71.16,0.0
Bangka Barat,5,2020,2.6,2.67,17.69,0.36,24.75,7.31,3.85,69.99,23.3
Belitung Timur,4,2020,5.0,6.6,11.37,0.75,13.26,8.14,4.36,71.9,0.0
Kota Pangkalpinang,6,2020,50.0,4.25,7.54,0.0,9.14,9.81,0.1,73.17,0.0
Bintan,3,2020,5.0,6.37,7.67,1.35,33.85,8.04,1.67,70.3,0.0
Karimun,3,2020,5.0,6.61,16.5,0.31,22.74,7.78,1.04,70.71,15.08
Natuna,3,2020,5.0,4.42,22.53,0.52,24.3,8.39,3.49,64.81,17.36
Lingga,2,2020,5.0,12.88,26.77,0.78,23.34,7.11,3.97,61.75,16.49
Kepulauan Anambas,3,2020,5.0,6.44,17.62,0.42,40.74,7.07,1.51,67.06,0.0
Kota Batam,6,2020,50.0,4.85,3.72,0.28,0.83,11.03,0.35,73.29,0.0
Kota Tanjungpinang,6,2020,50.0,9.03,5.57,0.0,6.24,10.16,0.12,72.02,0.0
Kepulauan Seribu,3,2020,5.0,12.09,74.94,0.0,9.43,8.52,0.05,68.51,29.16
Jakarta Pusat,6,2020,50.0,3.68,21.08,0.0,1.67,10.92,0.0,74.02,0.0
Jakarta Utara,6,2020,50.0,5.04,24.86,0.0,0.35,10.45,0.02,73.18,0.0
Jakarta Barat,6,2020,50.0,3.25,16.16,0.0,4.54,10.25,0.01,73.54,0.0
Jakarta Selatan,6,2020,50.0,2.73,8.84,0.0,22.82,11.37,0.01,74.03,0.0
Jakarta Timur,6,2020,50.0,3.12,15.98,0.0,19.73,11.25,0.01,74.37,18.43
Bogor,4,2020,2.84,6.66,30.35,0.0,39.88,8.49,0.68,71.01,34.96
Sukabumi,6,2020,0.73,6.22,52.42,0.09,45.7,7.3,1.17,70.73,21.93
Cianjur,6,2020,0.59,9.15,48.22,0.12,46.98,7.06,1.04,69.91,27.52
Bandung,6,2020,1.58,5.94,38.11,0.0,17.59,8.83,0.59,73.4,27.87
Garut,6,2020,0.48,8.98,59.66,0.0,49.33,7.74,0.81,71.22,27.03
Tasikmalaya,5,2020,0.64,9.12,63.34,0.0,51.75,7.6,1.08,69.21,34.97
Ciamis,6,2020,0.66,6.65,44.41,0.0,41.88,7.95,0.67,71.57,24.21
Kuningan,6,2020,0.61,11.41,46.37,0.0,33.64,7.54,0.46,73.35,18.06
Cirebon,6,2020,0.8,9.94,41.99,0.0,24.78,7.22,0.3,71.82,25.06
Majalengka,6,2020,0.35,10.06,48.77,0.09,22.84,7.22,0.44,69.97,28.53
Sumedang,6,2020,0.42,9.05,45.12,0.0,34.68,8.51,0.81,72.29,24.43
Indramayu,6,2020,0.23,11.11,55.09,0.08,13.41,6.02,0.89,71.37,29.19
Subang,6,2020,0.31,8.12,39.44,0.13,29.48,6.83,0.69,72.13,25.73
Purwakarta,6,2020,1.09,7.48,30.66,0.0,31.88,7.87,0.75,70.8,23.42
Karawang,6,2020,0.39,7.39,34.87,0.0,22.03,7.75,0.35,71.98,24.01
Bekasi,6,2020,1.27,4.01,29.51,0.25,11.06,8.66,0.48,73.56,20.93
Bandung Barat,6,2020,1.42,9.38,45.41,0.0,26.57,8.38,0.66,72.18,32.12
Pangandaran,6,2020,0.42,7.71,42.88,0.2,28.65,7.74,1.17,71.12,0.0
Kota Bogor,6,2020,34.15,5.77,24.53,0.0,17.12,10.21,0.03,73.41,0.0
Kota Sukabumi,5,2020,3.91,6.67,31.02,0.4,18.6,9.63,0.02,72.26,0.0
Kota Bandung,6,2020,50.0,3.38,19.89,0.0,5.11,10.77,0.03,74.14,28.12
Kota Cirebon,6,2020,50.0,8.41,22.72,0.0,2.84,9.3,0.01,72.13,0.0
Kota Bekasi,6,2020,50.0,3.81,11.04,0.0,15.01,10.82,0.05,74.89,20.03
Kota Depok,6,2020,50.0,2.07,8.85,0.0,21.53,10.57,0.05,74.31,16.09
Kota Cimahi,6,2020,50.0,4.39,21.79,0.0,9.32,10.19,0.03,73.89,0.0
Kota Tasikmalaya,4,2020,3.03,11.6,33.95,0.0,24.6,9.32,0.13,71.93,0.0
Kota Banjar,4,2020,1.02,5.5,48.84,0.0,20.37,8.48,0.3,70.79,0.0
Cilacap,6,2020,0.41,10.73,25.17,0.22,23.96,7.03,0.69,73.52,23.18
Banyumas,6,2020,1.05,12.53,18.66,0.26,21.91,7.69,0.27,73.55,26.4
