Kabupaten/Kota,Tahun,Pengeluaran Perkapita Kacang-Kacangan
Banjarnegara,2023,3906.73
Banjarnegara,2024,3574.0
Bantaeng,2018,1276.12
Bantaeng,2019,1157.73
Bantaeng,2020,2101.14
Bantaeng,2021,1702.56
Bantaeng,2022,1668.81
Bantaeng,2023,2140.46
Bantaeng,2024,2363.0
Bantul,2018,2488.45
Bantul,2019,2364.66
Bantul,2020,2969.42
Bantul,2021,3580.53
Bantul,2022,3438.33
Bantul,2023,3898.05
Bantul,2024,4088.0
Banyu Asin,2018,2303.97
Banyu Asin,2019,2367.28
Banyu Asin,2020,2550.06
Banyu Asin,2021,3032.23
Banyu Asin,2022,2990.03
Banyu Asin,2023,2818.3
Banyu Asin,2024,3259.0
Banyumas,2018,2829.96
Banyumas,2019,2847.02
Banyumas,2020,2953.41
Banyumas,2021,2933.08
Banyumas,2022,3354.85
Banyumas,2023,3759.6
Banyumas,2024,4219.0
Banyuwangi,2018,3751.79
Banyuwangi,2019,3659.91
Banyuwangi,2020,3213.74
Banyuwangi,2021,3714.99
Banyuwangi,2022,3607.05
Banyuwangi,2023,4268.78
Banyuwangi,2024,4884.0
Barito Kuala,2018,1667.11
Barito Kuala,2019,1798.33
Barito Kuala,2020,1734.2
Barito Kuala,2021,2046.73
Barito Kuala,2022,2167.9
Barito Kuala,2023,2104.43
Barito Kuala,2024,1997.0
Barito Selatan,2018,1790.15
Barito Selatan,2019,1685.68
Barito Selatan,2020,1849.29
Barito Selatan,2021,2123.4
Barito Selatan,2022,2230.96
Barito Selatan,2023,1816.47
Barito Selatan,2024,1966.0
Barito Timur,2018,1779.91
Barito Timur,2019,1524.57
Barito Timur,2020,1762.18
Barito Timur,2021,2280.92
Barito Timur,2022,2071.68
Barito Timur,2023,2319.4
Barito Timur,2024,2357.0
Barito Utara,2018,2022.41
Barito Utara,2019,1916.73
Barito Utara,2020,2369.61
Barito Utara,2021,2358.24
Barito Utara,2022,2826.39
Barito Utara,2023,2859.01
Barito Utara,2024,2252.0
Barru,2018,1442.92
Barru,2019,1211.84
Barru,2020,1731.37
Barru,2021,1701.73
Barru,2022,1908.93
Barru,2023,2622.4
Barru,2024,1960.0
Batang,2018,2710.81
Batang,2019,2556.72
Batang,2020,3104.71
Batang,2021,3303.4
Batang,2022,3295.48
Batang,2023,3879.06
Batang,2024,4471.0
Batang Hari,2018,1936.93
Batang Hari,2019,1932.52
Batang Hari,2020,2135.39
Batang Hari,2021,2375.13
Batang Hari,2022,2165.0
Batang Hari,2023,3024.54
Batang Hari,2024,2897.0
Batu Bara,2018,1398.37
Batu Bara,2019,1428.9
Batu Bara,2020,1423.05
Batu Bara,2021,1434.14
Batu Bara,2022,1813.91
Batu Bara,2023,1905.21
Batu Bara,2024,1901.0
Bekasi,2018,3108.58
Bekasi,2019,3181.47
Bekasi,2020,2964.59
Bekasi,2021,3655.16
Bekasi,2022,3820.51
Bekasi,2023,3951.3
Bekasi,2024,3554.0
Belitung,2018,1938.68
Belitung,2019,1921.1
Belitung,2020,1891.14
Belitung,2021,2435.52
Belitung,2022,2331.15
Belitung,2023,2390.45
Belitung,2024,2598.0
Belitung Timur,2018,2009.08
Belitung Timur,2019,2303.68
Belitung Timur,2020,2598.87
Belitung Timur,2021,2584.12
Belitung Timur,2022,2472.16
Belitung Timur,2023,2749.11
Belitung Timur,2024,3049.0
Belu,2018,2164.21
Belu,2019,2153.11
Belu,2020,2536.14
Belu,2021,2835.24
Belu,2022,2819.27
Belu,2023,2513.97
Belu,2024,3023.0
Bener Meriah,2018,2312.59
Bener Meriah,2019,2678.99
Bener Meriah,2020,2995.0
Bener Meriah,2021,2496.53
Bener Meriah,2022,2847.19
Bener Meriah,2023,2733.21
Bener Meriah,2024,2830.0
Bengkalis,2018,1806.18
Bengkalis,2019,2085.43
Bengkalis,2020,2205.1
Bengkalis,2021,2318.04
Bengkalis,2022,2577.44
Bengkalis,2023,2771.8
Bengkalis,2024,2901.0
Bengkayang,2018,2107.98
Bengkayang,2019,2214.79
Bengkayang,2020,2406.71
Bengkayang,2021,2474.68
Bengkayang,2022,2638.08
Bengkayang,2023,2627.83
Bengkayang,2024,2368.0
Bengkulu Selatan,2018,1763.87
Bengkulu Selatan,2019,1699.17
Bengkulu Selatan,2020,2008.65
Bengkulu Selatan,2021,2028.87
Bengkulu Selatan,2022,2347.64
Bengkulu Selatan,2023,2542.55
Bengkulu Selatan,2024,2701.0
Bengkulu Tengah,2018,2106.5
Bengkulu Tengah,2019,2088.22
Bengkulu Tengah,2020,1872.09
