Kabupaten/Kota,Tahun,Pengeluaran Perkapita Padi-Padian
Banjarnegara,2021,12314.16
Banjarnegara,2022,11308.6
Banjarnegara,2023,14595.85
Banjarnegara,2024,16970.0
Bantaeng,2018,14355.37
Bantaeng,2019,14596.3
Bantaeng,2020,18139.96
Bantaeng,2021,18708.21
Bantaeng,2022,16863.14
Bantaeng,2023,19859.19
Bantaeng,2024,26659.0
Bantul,2018,10220.44
Bantul,2019,9466.65
Bantul,2020,10697.38
Bantul,2021,12078.4
Bantul,2022,12466.42
Bantul,2023,14511.21
Bantul,2024,16898.0
Banyu Asin,2018,13856.48
Banyu Asin,2019,13840.09
Banyu Asin,2020,13825.92
Banyu Asin,2021,15487.15
Banyu Asin,2022,17092.91
Banyu Asin,2023,18179.33
Banyu Asin,2024,21607.0
Banyumas,2018,12876.3
Banyumas,2019,11461.75
Banyumas,2020,12051.07
Banyumas,2021,12869.22
Banyumas,2022,12165.73
Banyumas,2023,15471.75
Banyumas,2024,20963.0
Banyuwangi,2018,16447.57
Banyuwangi,2019,14098.51
Banyuwangi,2020,15545.46
Banyuwangi,2021,16689.13
Banyuwangi,2022,16108.78
Banyuwangi,2023,18709.46
Banyuwangi,2024,23278.0
Barito Kuala,2018,16957.67
Barito Kuala,2019,16226.09
Barito Kuala,2020,17650.22
Barito Kuala,2021,19516.55
Barito Kuala,2022,19842.3
Barito Kuala,2023,26820.97
Barito Kuala,2024,26255.0
Barito Selatan,2018,19036.44
Barito Selatan,2019,19141.27
Barito Selatan,2020,19971.94
Barito Selatan,2021,24018.8
Barito Selatan,2022,23684.56
Barito Selatan,2023,29167.0
Barito Selatan,2024,26404.0
Barito Timur,2018,16669.6
Barito Timur,2019,14754.36
Barito Timur,2020,17360.06
Barito Timur,2021,17188.35
Barito Timur,2022,21753.69
Barito Timur,2023,23132.68
Barito Timur,2024,22935.0
Barito Utara,2018,16918.43
Barito Utara,2019,15349.8
Barito Utara,2020,18326.1
Barito Utara,2021,18368.54
Barito Utara,2022,17689.79
Barito Utara,2023,20876.97
Barito Utara,2024,20657.0
Barru,2018,14189.91
Barru,2019,13400.77
Barru,2020,17420.85
Barru,2021,17926.82
Barru,2022,18268.53
Barru,2023,19241.05
Barru,2024,21700.0
Batang,2018,12999.28
Batang,2019,11849.84
Batang,2020,12785.35
Batang,2021,12894.02
Batang,2022,13136.21
Batang,2023,15510.98
Batang,2024,19433.0
Batang Hari,2018,16987.01
Batang Hari,2019,16746.61
Batang Hari,2020,17989.36
Batang Hari,2021,18080.51
Batang Hari,2022,17175.69
Batang Hari,2023,18578.09
Batang Hari,2024,19773.0
