Kabupaten/Kota,Tahun,Pengeluaran Perkapita Bahan Makanan Lainnya
Banjarnegara,2021,2439.01
Banjarnegara,2022,2264.32
Banjarnegara,2023,2633.42
Banjarnegara,2024,2585.0
Bantaeng,2018,2255.44
Bantaeng,2019,2139.53
Bantaeng,2020,2096.43
Bantaeng,2021,2291.28
Bantaeng,2022,2193.21
Bantaeng,2023,2534.06
Bantaeng,2024,3087.0
Bantul,2018,2036.96
Bantul,2019,2189.05
Bantul,2020,2556.58
Bantul,2021,3046.92
Bantul,2022,3346.31
Bantul,2023,3122.2
Bantul,2024,3234.0
Banyu Asin,2018,3148.02
Banyu Asin,2019,2955.94
Banyu Asin,2020,3752.9
Banyu Asin,2021,4983.96
Banyu Asin,2022,4713.46
Banyu Asin,2023,4923.1
Banyu Asin,2024,4566.0
Banyumas,2018,2192.4
Banyumas,2019,2145.69
Banyumas,2020,2156.79
Banyumas,2021,2480.5
Banyumas,2022,2677.44
Banyumas,2023,2941.64
Banyumas,2024,2724.0
Banyuwangi,2018,2115.6
Banyuwangi,2019,2057.75
Banyuwangi,2020,2016.66
Banyuwangi,2021,2665.92
Banyuwangi,2022,2893.43
Banyuwangi,2023,2964.73
Banyuwangi,2024,3536.0
Barito Kuala,2018,3117.34
Barito Kuala,2019,3166.25
Barito Kuala,2020,3507.64
Barito Kuala,2021,3716.7
Barito Kuala,2022,3611.98
Barito Kuala,2023,3313.81
Barito Kuala,2024,3258.0
Barito Selatan,2018,3548.54
Barito Selatan,2019,4282.17
Barito Selatan,2020,4090.42
Barito Selatan,2021,4963.55
Barito Selatan,2022,4783.36
Barito Selatan,2023,3679.8
Barito Selatan,2024,4998.0
Barito Timur,2018,3964.44
Barito Timur,2019,3421.85
Barito Timur,2020,3947.63
Barito Timur,2021,4424.96
Barito Timur,2022,4632.32
Barito Timur,2023,4082.46
Barito Timur,2024,4502.0
Barito Utara,2018,3667.17
Barito Utara,2019,3612.75
Barito Utara,2020,4004.57
Barito Utara,2021,4977.63
Barito Utara,2022,4315.5
Barito Utara,2023,4819.31
Barito Utara,2024,4166.0
Barru,2018,2125.27
Barru,2019,1760.77
Barru,2020,2159.53
Barru,2021,2556.39
Barru,2022,2548.81
Barru,2023,2723.71
Barru,2024,2332.0
Batang,2018,1637.49
Batang,2019,1640.72
Batang,2020,1974.06
