Kabupaten/Kota,Tahun,Pengeluaran Perkapita Bahan Minyak dan Kelapa
Banjarnegara,2021,4046.64
Banjarnegara,2022,4975.29
Banjarnegara,2023,4417.01
Banjarnegara,2024,3906.0
Bantaeng,2018,2675.99
Bantaeng,2019,2457.93
Bantaeng,2020,3003.89
Bantaeng,2021,3326.53
Bantaeng,2022,5721.27
Bantaeng,2023,3831.08
Bantaeng,2024,3768.0
Bantul,2018,2340.64
Bantul,2019,2443.14
Bantul,2020,2678.89
Bantul,2021,3488.24
Bantul,2022,3938.53
Bantul,2023,4224.93
Bantul,2024,4166.0
Banyu Asin,2018,2801.37
Banyu Asin,2019,2840.04
Banyu Asin,2020,3102.52
Banyu Asin,2021,3721.93
Banyu Asin,2022,5363.77
Banyu Asin,2023,4295.1
Banyu Asin,2024,4225.0
Banyumas,2018,2909.59
Banyumas,2019,2627.03
Banyumas,2020,3099.24
Banyumas,2021,3436.3
Banyumas,2022,4803.88
Banyumas,2023,4224.86
Banyumas,2024,4403.0
Banyuwangi,2018,3750.94
Banyuwangi,2019,3436.0
Banyuwangi,2020,3741.67
Banyuwangi,2021,4196.58
Banyuwangi,2022,4518.65
Banyuwangi,2023,4698.27
Banyuwangi,2024,4830.0
Barito Kuala,2018,3105.0
Barito Kuala,2019,3108.06
Barito Kuala,2020,3457.16
Barito Kuala,2021,3815.29
Barito Kuala,2022,5331.87
Barito Kuala,2023,3827.78
Barito Kuala,2024,3997.0
Barito Selatan,2018,3456.82
Barito Selatan,2019,3587.85
Barito Selatan,2020,3510.81
Barito Selatan,2021,4033.17
Barito Selatan,2022,6678.67
Barito Selatan,2023,4457.2
Barito Selatan,2024,4619.0
Barito Timur,2018,3621.47
Barito Timur,2019,3465.87
Barito Timur,2020,3623.62
Barito Timur,2021,3978.82
Barito Timur,2022,6373.74
Barito Timur,2023,4391.38
Barito Timur,2024,4512.0
Barito Utara,2018,3252.16
Barito Utara,2019,2956.27
Barito Utara,2020,3640.41
Barito Utara,2021,3833.13
Barito Utara,2022,4879.29
Barito Utara,2023,4816.8
Barito Utara,2024,3941.0
Barru,2018,2780.87
Barru,2019,2096.7
Barru,2020,2811.38
Barru,2021,2990.05
Barru,2022,3803.96
Barru,2023,3382.1
Barru,2024,3372.0
Batang,2018,2563.22
Batang,2019,2514.3
Batang,2020,3023.49
Batang,2021,3251.85
Batang,2022,4152.42
Batang,2023,3473.34
Batang,2024,3404.0
Batang Hari,2018,3859.5
Batang Hari,2019,3772.91
Batang Hari,2020,4071.78
Batang Hari,2021,4043.12
Batang Hari,2022,6007.89
Batang Hari,2023,5237.76
Batang Hari,2024,4859.0
Batu Bara,2018,3828.73
Batu Bara,2019,3468.12
Batu Bara,2020,4210.53
Batu Bara,2021,4692.95
Batu Bara,2022,6452.37
Batu Bara,2023,5451.88
Batu Bara,2024,5156.0
Bekasi,2018,2760.32
Bekasi,2019,3257.54
Bekasi,2020,3082.41
Bekasi,2021,3904.74
Bekasi,2022,5048.38
Bekasi,2023,4067.48
Bekasi,2024,3951.0
Belitung,2018,3500.22
Belitung,2019,3284.41
Belitung,2020,4091.77
Belitung,2021,4763.08
Belitung,2022,5907.0
Belitung,2023,4750.55
Belitung,2024,4017.0
Belitung Timur,2018,3778.73
Belitung Timur,2019,3719.28
Belitung Timur,2020,4275.05
Belitung Timur,2021,4344.02
Belitung Timur,2022,5893.61
Belitung Timur,2023,5233.23
Belitung Timur,2024,4820.0
Belu,2018,2376.14
Belu,2019,2186.12
Belu,2020,2334.87
Belu,2021,2602.33
Belu,2022,3642.12
Belu,2023,3461.64
Belu,2024,3206.0
Bener Meriah,2018,3746.29
Bener Meriah,2019,3411.49
Bener Meriah,2020,4230.99
Bener Meriah,2021,4201.25
Bener Meriah,2022,5594.17
Bener Meriah,2023,4681.91
Bener Meriah,2024,5076.0
Bengkalis,2018,4211.02
Bengkalis,2019,4315.2
Bengkalis,2020,4874.07
Bengkalis,2021,5327.55
Bengkalis,2022,7529.03
Bengkalis,2023,6551.73
Bengkalis,2024,6878.0
Bengkayang,2018,2774.2
Bengkayang,2019,2532.03
Bengkayang,2020,2828.13
Bengkayang,2021,3259.74
Bengkayang,2022,4936.43
Bengkayang,2023,3592.34
Bengkayang,2024,3702.0
Bengkulu Selatan,2018,3934.63
Bengkulu Selatan,2019,3695.05
Bengkulu Selatan,2020,4477.75
Bengkulu Selatan,2021,4658.22
Bengkulu Selatan,2022,5843.89
Bengkulu Selatan,2023,4733.43
Bengkulu Selatan,2024,5218.0
Bengkulu Tengah,2018,4171.73
Bengkulu Tengah,2019,3996.07
Bengkulu Tengah,2020,4177.28
Bengkulu Tengah,2021,4234.41
Bengkulu Tengah,2022,5626.19
Bengkulu Tengah,2023,5617.03
Bengkulu Tengah,2024,5121.0
Bengkulu Utara,2018,4043.14
Bengkulu Utara,2019,3955.7
Bengkulu Utara,2020,3787.48
Bengkulu Utara,2021,4464.42
Bengkulu Utara,2022,5644.81
Bengkulu Utara,2023,5094.27
Bengkulu Utara,2024,4785.0
Berau,2018,3926.04
Berau,2019,3992.84
Berau,2020,4104.13
Berau,2021,4242.11
Berau,2022,6751.43
Berau,2023,5029.93
Berau,2024,4713.0
Biak Numfor,2018,3297.04
Biak Numfor,2019,3764.36
Biak Numfor,2020,4733.65
Biak Numfor,2021,4189.65
Biak Numfor,2022,4738.81
Biak Numfor,2023,3966.51
Biak Numfor,2024,6171.0
Bima,2018,2379.85
Bima,2019,2283.12
Bima,2020,2140.39
Bima,2021,2294.71
Bima,2022,2966.35
Bima,2023,3064.13
Bima,2024,2736.0
Bintan,2018,4039.21
Bintan,2019,3520.92
Bintan,2020,3442.88
Bintan,2021,4043.62
Bintan,2022,6323.41
Bintan,2023,4740.84
Bintan,2024,5051.0
Bireuen,2018,2629.28
Bireuen,2019,2602.01
Bireuen,2020,2694.07
Bireuen,2021,3528.16
Bireuen,2022,4426.94
Bireuen,2023,3700.32
Bireuen,2024,3826.0
Blitar,2018,3376.15
Blitar,2019,3659.93
Blitar,2020,3705.93
Blitar,2021,4683.23
Blitar,2022,4981.38
Blitar,2023,5030.78
Blitar,2024,4850.0
Blora,2018,3147.88
Blora,2019,3283.32
Blora,2020,3165.96
Blora,2021,3568.88
Blora,2022,4485.67
Blora,2023,3681.61
Blora,2024,3475.0
Boalemo,2018,2862.33
Boalemo,2019,2623.13
Boalemo,2020,3297.28
Boalemo,2021,4058.49
Boalemo,2022,5611.34
Boalemo,2023,4981.67
Boalemo,2024,5757.0
Bogor,2018,3325.51
Bogor,2019,3545.72
Bogor,2020,3240.69
Bogor,2021,3854.19
Bogor,2022,4896.33
Bogor,2023,3511.38
Bogor,2024,3387.0
Bojonegoro,2018,3272.92
Bojonegoro,2019,3744.59
Bojonegoro,2020,3761.46
Bojonegoro,2021,4493.17
Bojonegoro,2022,5545.71
Bojonegoro,2023,5068.15
Bojonegoro,2024,4521.0
Bolaang Mongondow,2018,2924.69
Bolaang Mongondow,2019,3005.82
Bolaang Mongondow,2020,3116.95
Bolaang Mongondow,2021,4158.17
Bolaang Mongondow,2022,5932.35
Bolaang Mongondow,2023,5334.23
Bolaang Mongondow,2024,5096.0
Bolaang Mongondow Selatan,2018,3024.96
Bolaang Mongondow Selatan,2019,2847.4
Bolaang Mongondow Selatan,2020,3066.39
Bolaang Mongondow Selatan,2021,3920.9
Bolaang Mongondow Selatan,2022,5873.45
Bolaang Mongondow Selatan,2023,5241.17
Bolaang Mongondow Selatan,2024,5232.0
