Kabupaten/Kota,Tahun,Persentase Penduduk Miskin
Bantul,2023,11.96
Bantul,2024,11.66
Banyu Asin,2018,11.32
Banyu Asin,2019,11.33
Banyu Asin,2020,11.17
Banyu Asin,2021,10.75
Banyu Asin,2022,10.0
Banyu Asin,2023,9.58
Banyu Asin,2024,9.31
Banyumas,2018,13.5
Banyumas,2019,12.53
Banyumas,2020,13.26
Banyumas,2021,13.66
Banyumas,2022,12.84
Banyumas,2023,12.53
Banyumas,2024,11.95
Banyuwangi,2018,7.8
Banyuwangi,2019,7.52
Banyuwangi,2020,8.06
Banyuwangi,2021,8.07
Banyuwangi,2022,7.51
Banyuwangi,2023,7.34
Banyuwangi,2024,6.54
Barito Kuala,2018,4.56
Barito Kuala,2019,4.63
Barito Kuala,2020,4.51
Barito Kuala,2021,5.11
Barito Kuala,2022,4.75
Barito Kuala,2023,4.6
Barito Kuala,2024,4.36
Barito Selatan,2018,4.55
Barito Selatan,2019,4.39
Barito Selatan,2020,4.45
Barito Selatan,2021,4.62
Barito Selatan,2022,4.88
Barito Selatan,2023,4.72
Barito Selatan,2024,4.83
Barito Timur,2018,6.56
Barito Timur,2019,6.32
Barito Timur,2020,6.09
Barito Timur,2021,6.38
Barito Timur,2022,6.59
Barito Timur,2023,6.63
Barito Timur,2024,6.66
Barito Utara,2018,5.0
Barito Utara,2019,4.95
Barito Utara,2020,5.17
Barito Utara,2021,5.61
Barito Utara,2022,5.8
Barito Utara,2023,5.35
Barito Utara,2024,5.67
Barru,2018,9.04
Barru,2019,8.57
Barru,2020,8.26
Barru,2021,8.68
Barru,2022,8.4
Barru,2023,8.46
Barru,2024,8.31
Batang,2018,8.69
Batang,2019,8.35
Batang,2020,9.13
Batang,2021,9.68
Batang,2022,8.98
Batang,2023,8.92
Batang,2024,8.73
Batang Hari,2018,10.23
Batang Hari,2019,9.75
Batang Hari,2020,9.65
Batang Hari,2021,10.05
Batang Hari,2022,9.63
Batang Hari,2023,9.45
Batang Hari,2024,8.63
Batu Bara,2018,12.57
Batu Bara,2019,12.14
Batu Bara,2020,11.88
Batu Bara,2021,12.38
Batu Bara,2022,11.53
Batu Bara,2023,11.38
Batu Bara,2024,10.94
Bekasi,2018,4.37
Bekasi,2019,4.01
Bekasi,2020,4.82
Bekasi,2021,5.21
Bekasi,2022,5.01
Bekasi,2023,4.93
Bekasi,2024,4.8
Belitung,2018,7.56
Belitung,2019,6.29
Belitung,2020,6.27
Belitung,2021,7.15
Belitung,2022,6.45
Belitung,2023,6.46
Belitung,2024,6.11
Belitung Timur,2018,7.06
Belitung Timur,2019,6.6
Belitung Timur,2020,6.52
Belitung Timur,2021,7.2
Belitung Timur,2022,6.49
Belitung Timur,2023,6.73
Belitung Timur,2024,6.36
Belu,2018,15.7
Belu,2019,15.54
Belu,2020,15.37
Belu,2021,15.68
Belu,2022,14.84
Belu,2023,14.3
Belu,2024,13.86
