Kabupaten/Kota,Tahun,Persentase Penduduk Miskin
Karo,2020,8.7
Karo,2021,8.79
Karo,2022,8.17
Karo,2023,7.98
Karo,2024,7.37
Katingan,2018,5.22
Katingan,2019,5.02
Katingan,2020,4.79
Katingan,2021,5.25
Katingan,2022,5.5
Katingan,2023,4.99
Katingan,2024,5.26
Kaur,2018,19.4
Kaur,2019,18.89
Kaur,2020,18.47
Kaur,2021,18.62
Kaur,2022,18.1
Kaur,2023,17.83
Kaur,2024,17.12
Kayong Utara,2018,10.08
Kayong Utara,2019,9.98
Kayong Utara,2020,9.56
Kayong Utara,2021,9.33
Kayong Utara,2022,9.04
Kayong Utara,2023,9.13
Kayong Utara,2024,8.84
Kebumen,2018,17.47
Kebumen,2019,16.82
Kebumen,2020,17.59
Kebumen,2021,17.83
Kebumen,2022,16.41
Kebumen,2023,16.34
Kebumen,2024,15.71
Kediri,2018,11.31
Kediri,2019,10.42
Kediri,2020,11.4
Kediri,2021,11.64
Kediri,2022,10.65
Kediri,2023,10.72
Kediri,2024,9.95
Keerom,2018,16.9
Keerom,2019,16.83
Keerom,2020,16.32
Keerom,2021,16.0
Keerom,2022,15.77
Keerom,2023,15.68
Keerom,2024,15.84
Kendal,2018,9.84
Kendal,2019,9.41
Kendal,2020,9.99
Kendal,2021,10.24
Kendal,2022,9.48
Kendal,2023,9.39
Kendal,2024,9.35
Kepahiang,2018,14.42
Kepahiang,2019,14.74
Kepahiang,2020,14.69
Kepahiang,2021,14.83
Kepahiang,2022,14.53
Kepahiang,2023,14.12
Kepahiang,2024,12.9
Kepulauan Anambas,2018,6.93
Kepulauan Anambas,2019,6.44
Kepulauan Anambas,2020,6.56
Kepulauan Anambas,2021,7.09
Kepulauan Anambas,2022,7.51
Kepulauan Anambas,2023,6.95
Kepulauan Anambas,2024,6.67
Kepulauan Aru,2018,27.12
Kepulauan Aru,2019,26.73
Kepulauan Aru,2020,26.26
Kepulauan Aru,2021,26.53
Kepulauan Aru,2022,23.51
Kepulauan Aru,2023,24.21
Kepulauan Aru,2024,23.39
Kepulauan Mentawai,2018,14.44
Kepulauan Mentawai,2019,14.43
Kepulauan Mentawai,2020,14.35
Kepulauan Mentawai,2021,14.84
Kepulauan Mentawai,2022,13.97
Kepulauan Mentawai,2023,13.72
Kepulauan Mentawai,2024,13.89
Kepulauan Meranti,2018,27.79
Kepulauan Meranti,2019,26.93
Kepulauan Meranti,2020,25.28
Kepulauan Meranti,2021,25.68
Kepulauan Meranti,2022,23.84
Kepulauan Meranti,2023,22.98
Kepulauan Meranti,2024,23.15
Kepulauan Sangihe,2018,11.82
Kepulauan Sangihe,2019,11.15
Kepulauan Sangihe,2020,11.14
Kepulauan Sangihe,2021,11.02
Kepulauan Sangihe,2022,10.5
Kepulauan Sangihe,2023,11.01
Kepulauan Sangihe,2024,10.84
Kepulauan Selayar,2018,13.13
Kepulauan Selayar,2019,12.83
Kepulauan Selayar,2020,12.48
Kepulauan Selayar,2021,12.45
Kepulauan Selayar,2022,12.24
Kepulauan Selayar,2023,12.27
Kepulauan Selayar,2024,10.79
Kepulauan Seribu,2018,11.98
Kepulauan Seribu,2019,12.09
Kepulauan Seribu,2020,14.87
Kepulauan Seribu,2021,15.06
Kepulauan Seribu,2022,14.11
Kepulauan Seribu,2023,13.13
Kepulauan Seribu,2024,13.03
Kepulauan Sula,2018,8.89
Kepulauan Sula,2019,8.98
Kepulauan Sula,2020,8.35
Kepulauan Sula,2021,8.23
Kepulauan Sula,2022,7.64
Kepulauan Sula,2023,8.17
Kepulauan Sula,2024,7.96
Kepulauan Talaud,2018,9.5
Kepulauan Talaud,2019,9.86
Kepulauan Talaud,2020,9.49
Kepulauan Talaud,2021,9.0
Kepulauan Talaud,2022,8.25
Kepulauan Talaud,2023,8.46
Kepulauan Talaud,2024,8.17
Kepulauan Yapen,2018,27.17
Kepulauan Yapen,2019,27.13
Kepulauan Yapen,2020,26.3
Kepulauan Yapen,2021,26.09
Kepulauan Yapen,2022,26.15
Kepulauan Yapen,2023,25.89
Kepulauan Yapen,2024,25.69
Kerinci,2018,7.07
Kerinci,2019,7.13
Kerinci,2020,7.3
Kerinci,2021,7.71
Kerinci,2022,7.57
Kerinci,2023,7.54
Kerinci,2024,6.93
Ketapang,2018,10.93
Ketapang,2019,10.54
Ketapang,2020,10.29
Ketapang,2021,10.13
Ketapang,2022,9.39
Ketapang,2023,9.25
Ketapang,2024,8.5
Klaten,2018,12.96
Klaten,2019,12.28
Klaten,2020,12.89
Klaten,2021,13.49
Klaten,2022,12.33
Klaten,2023,12.28
Klaten,2024,12.04
Klungkung,2018,5.86
Klungkung,2019,5.4
Klungkung,2020,4.87
Klungkung,2021,5.64
Klungkung,2022,6.07
Klungkung,2023,5.61
Klungkung,2024,5.3
Kolaka,2018,12.51
Kolaka,2019,11.92
Kolaka,2020,11.63
Kolaka,2021,12.43
Kolaka,2022,11.51
Kolaka,2023,11.8
Kolaka,2024,11.67
Kolaka Timur,2018,13.82
Kolaka Timur,2019,13.71
Kolaka Timur,2020,13.47
Kolaka Timur,2021,14.35
Kolaka Timur,2022,13.57
Kolaka Timur,2023,14.04
Kolaka Timur,2024,13.71
Kolaka Utara,2018,14.3
Kolaka Utara,2019,13.19
Kolaka Utara,2020,12.96
Kolaka Utara,2021,13.79
Kolaka Utara,2022,13.08
Kolaka Utara,2023,13.57
Kolaka Utara,2024,13.51
Konawe,2018,13.48
Konawe,2019,12.34
Konawe,2020,12.2
Konawe,2021,13.03
Konawe,2022,12.75
Konawe,2023,13.02
Konawe,2024,13.25
Konawe Kepulauan,2018,17.48
Konawe Kepulauan,2019,17.18
Konawe Kepulauan,2020,17.01
Konawe Kepulauan,2021,17.81
Konawe Kepulauan,2022,16.15
Konawe Kepulauan,2023,15.9
Konawe Kepulauan,2024,15.54
Konawe Selatan,2018,10.95
Konawe Selatan,2019,10.81
Konawe Selatan,2020,10.74
Konawe Selatan,2021,11.34
Konawe Selatan,2022,11.08
Konawe Selatan,2023,11.26
Konawe Selatan,2024,11.2
Konawe Utara,2018,14.22
Konawe Utara,2019,13.66
Konawe Utara,2020,13.53
Konawe Utara,2021,14.32
Konawe Utara,2022,13.72
Konawe Utara,2023,13.48
Konawe Utara,2024,13.17
Kota Ambon,2018,4.72
Kota Ambon,2019,4.57
Kota Ambon,2020,4.51
Kota Ambon,2021,5.02
Kota Ambon,2022,4.68
Kota Ambon,2023,5.25
Kota Ambon,2024,5.13
Kota Balikpapan,2018,2.64
Kota Balikpapan,2019,2.42
Kota Balikpapan,2020,2.57
Kota Balikpapan,2021,2.89
Kota Balikpapan,2022,2.45
Kota Balikpapan,2023,2.31
Kota Balikpapan,2024,2.23
Kota Banda Aceh,2018,7.25
Kota Banda Aceh,2019,7.22
Kota Banda Aceh,2020,6.9
Kota Banda Aceh,2021,7.61
Kota Banda Aceh,2022,7.13
Kota Banda Aceh,2023,7.04
Kota Banda Aceh,2024,6.95
Kota Bandar Lampung,2018,9.04
Kota Bandar Lampung,2019,8.71
Kota Bandar Lampung,2020,8.81
Kota Bandar Lampung,2021,9.11
Kota Bandar Lampung,2022,8.21
Kota Bandar Lampung,2023,7.77
Kota Bandar Lampung,2024,7.37
Kota Bandung,2018,3.57
Kota Bandung,2019,3.38
Kota Bandung,2020,3.99
Kota Bandung,2021,4.37
Kota Bandung,2022,4.25
Kota Bandung,2023,3.96
Kota Bandung,2024,3.87
Kota Banjar,2018,5.7
Kota Banjar,2019,5.5
Kota Banjar,2020,6.09
Kota Banjar,2021,7.11
Kota Banjar,2022,6.73
Kota Banjar,2023,6.14
Kota Banjar,2024,5.85
Kota Banjar Baru,2018,4.19
Kota Banjar Baru,2019,4.3
Kota Banjar Baru,2020,4.01
Kota Banjar Baru,2021,4.4
Kota Banjar Baru,2022,4.17
Kota Banjar Baru,2023,3.92
Kota Banjar Baru,2024,3.79
Kota Banjarmasin,2018,4.18
Kota Banjarmasin,2019,4.2
Kota Banjarmasin,2020,4.39
Kota Banjarmasin,2021,4.89
Kota Banjarmasin,2022,4.74
Kota Banjarmasin,2023,4.63
Kota Banjarmasin,2024,4.58
Kota Baru,2018,4.52
Kota Baru,2019,4.49
Kota Baru,2020,4.22
Kota Baru,2021,4.86
Kota Baru,2022,4.3
Kota Baru,2023,4.32
Kota Baru,2024,4.45
Kota Batam,2018,5.11
Kota Batam,2019,4.85
Kota Batam,2020,4.75
Kota Batam,2021,5.05
Kota Batam,2022,5.19
Kota Batam,2023,5.02
Kota Batam,2024,4.85
Kota Batu,2018,3.89
Kota Batu,2019,3.81
Kota Batu,2020,3.89
Kota Batu,2021,4.09
Kota Batu,2022,3.79
Kota Batu,2023,3.31
Kota Batu,2024,3.06
Kota Baubau,2018,7.57
Kota Baubau,2019,7.27
Kota Baubau,2020,7.15
Kota Baubau,2021,7.78
Kota Baubau,2022,7.31
Kota Baubau,2023,7.53
Kota Baubau,2024,7.4
Kota Bekasi,2018,4.11
Kota Bekasi,2019,3.81
Kota Bekasi,2020,4.38
Kota Bekasi,2021,4.74
Kota Bekasi,2022,4.43
Kota Bekasi,2023,4.1
Kota Bekasi,2024,4.01
Kota Bengkulu,2018,18.82
Kota Bengkulu,2019,18.09
Kota Bengkulu,2020,17.65
Kota Bengkulu,2021,17.89
Kota Bengkulu,2022,15.73
Kota Bengkulu,2023,14.71
Kota Bengkulu,2024,13.76
Kota Bima,2018,8.79
Kota Bima,2019,8.6
Kota Bima,2020,8.35
Kota Bima,2021,8.88
Kota Bima,2022,8.8
Kota Bima,2023,8.67
Kota Bima,2024,8.12
Kota Binjai,2018,5.88
Kota Binjai,2019,5.66
Kota Binjai,2020,5.71
Kota Binjai,2021,5.81
Kota Binjai,2022,5.1
Kota Binjai,2023,4.79
Kota Binjai,2024,4.75
Kota Bitung,2018,6.67
Kota Bitung,2019,6.49
Kota Bitung,2020,6.41
Kota Bitung,2021,6.43
Kota Bitung,2022,6.2
Kota Bitung,2023,6.56
Kota Bitung,2024,6.27
Kota Blitar,2018,7.44
Kota Blitar,2019,7.13
Kota Blitar,2020,7.78
Kota Blitar,2021,7.89
Kota Blitar,2022,7.37
Kota Blitar,2023,7.3
Kota Blitar,2024,6.75
Kota Bogor,2018,5.93
Kota Bogor,2019,5.77
Kota Bogor,2020,6.68
Kota Bogor,2021,7.24
Kota Bogor,2022,7.1
Kota Bogor,2023,6.67
Kota Bogor,2024,6.53
Kota Bontang,2018,4.67
Kota Bontang,2019,4.22
Kota Bontang,2020,4.38
Kota Bontang,2021,4.62
Kota Bontang,2022,4.54
Kota Bontang,2023,4.11
Kota Bontang,2024,3.74
Kota Bukittinggi,2018,4.92
Kota Bukittinggi,2019,4.6
Kota Bukittinggi,2020,4.54
Kota Bukittinggi,2021,5.14
Kota Bukittinggi,2022,4.46
Kota Bukittinggi,2023,4.11
Kota Bukittinggi,2024,4.08
Kota Cilegon,2018,3.25
Kota Cilegon,2019,3.03
Kota Cilegon,2020,3.69
Kota Cilegon,2021,4.24
Kota Cilegon,2022,3.64
Kota Cilegon,2023,3.98
Kota Cilegon,2024,3.75
Kota Cimahi,2018,4.94
Kota Cimahi,2019,4.39
Kota Cimahi,2020,5.11
Kota Cimahi,2021,5.35
Kota Cimahi,2022,5.11
Kota Cimahi,2023,4.66
Kota Cimahi,2024,4.39
Kota Cirebon,2018,8.88
Kota Cirebon,2019,8.41
Kota Cirebon,2020,9.52
Kota Cirebon,2021,10.03
Kota Cirebon,2022,9.82
Kota Cirebon,2023,9.16
Kota Cirebon,2024,9.02
Kota Denpasar,2018,2.24
Kota Denpasar,2019,2.1
Kota Denpasar,2020,2.14
Kota Denpasar,2021,2.96
Kota Denpasar,2022,2.97
Kota Denpasar,2023,2.68
Kota Denpasar,2024,2.59
Kota Depok,2018,2.14
Kota Depok,2019,2.07
Kota Depok,2020,2.45
Kota Depok,2021,2.58
Kota Depok,2022,2.53
Kota Depok,2023,2.38
Kota Depok,2024,2.34
Kota Dumai,2018,3.71
Kota Dumai,2019,3.56
Kota Dumai,2020,3.16
Kota Dumai,2021,3.42
Kota Dumai,2022,3.2
Kota Dumai,2023,3.21
Kota Dumai,2024,3.14
Kota Gorontalo,2018,5.57
Kota Gorontalo,2019,5.45
Kota Gorontalo,2020,5.59
Kota Gorontalo,2021,5.93
Kota Gorontalo,2022,5.73
Kota Gorontalo,2023,5.64
Kota Gorontalo,2024,5.74
Kota Gunungsitoli,2018,18.44
Kota Gunungsitoli,2019,16.23
Kota Gunungsitoli,2020,16.41
Kota Gunungsitoli,2021,16.45
Kota Gunungsitoli,2022,14.81
Kota Gunungsitoli,2023,14.78
Kota Gunungsitoli,2024,14.72
Kota Jakarta Barat,2018,3.39
Kota Jakarta Barat,2019,3.25
Kota Jakarta Barat,2020,4.25
Kota Jakarta Barat,2021,4.31
Kota Jakarta Barat,2022,4.22
Kota Jakarta Barat,2023,4.09
Kota Jakarta Barat,2024,3.94
Kota Jakarta Pusat,2018,3.59
Kota Jakarta Pusat,2019,3.68
Kota Jakarta Pusat,2020,4.51
Kota Jakarta Pusat,2021,4.94
Kota Jakarta Pusat,2022,4.9
Kota Jakarta Pusat,2023,4.68
Kota Jakarta Pusat,2024,4.63
Kota Jakarta Selatan,2018,2.83
Kota Jakarta Selatan,2019,2.73
Kota Jakarta Selatan,2020,3.43
Kota Jakarta Selatan,2021,3.56
Kota Jakarta Selatan,2022,3.52
Kota Jakarta Selatan,2023,3.1
Kota Jakarta Selatan,2024,3.03
Kota Jakarta Timur,2018,3.14
Kota Jakarta Timur,2019,3.12
Kota Jakarta Timur,2020,4.16
Kota Jakarta Timur,2021,4.28
Kota Jakarta Timur,2022,4.3
Kota Jakarta Timur,2023,4.2
Kota Jakarta Timur,2024,4.09
Kota Jakarta Utara,2018,5.35
Kota Jakarta Utara,2019,5.04
Kota Jakarta Utara,2020,6.78
Kota Jakarta Utara,2021,7.24
Kota Jakarta Utara,2022,7.24
Kota Jakarta Utara,2023,6.78
Kota Jakarta Utara,2024,6.44
Kota Jambi,2018,8.49
Kota Jambi,2019,8.12
Kota Jambi,2020,8.27
Kota Jambi,2021,9.02
Kota Jambi,2022,8.33
Kota Jambi,2023,8.24
Kota Jambi,2024,7.73
Kota Jayapura,2018,11.37
Kota Jayapura,2019,11.49
Kota Jayapura,2020,11.16
Kota Jayapura,2021,11.39
Kota Jayapura,2022,11.12
Kota Jayapura,2023,10.5
Kota Jayapura,2024,10.72
Kota Kediri,2018,7.68
Kota Kediri,2019,7.16
Kota Kediri,2020,7.69
Kota Kediri,2021,7.75
Kota Kediri,2022,7.23
Kota Kediri,2023,7.15
Kota Kediri,2024,6.51
Kota Kendari,2018,4.69
Kota Kendari,2019,4.44
Kota Kendari,2020,4.34
Kota Kendari,2021,4.87
Kota Kendari,2022,4.57
Kota Kendari,2023,4.59
Kota Kendari,2024,4.23
Kota Kotamobagu,2018,5.96
Kota Kotamobagu,2019,5.71
Kota Kotamobagu,2020,5.42
Kota Kotamobagu,2021,5.74
Kota Kotamobagu,2022,5.19
Kota Kotamobagu,2023,5.03
Kota Kotamobagu,2024,5.12
Kota Kupang,2018,9.61
Kota Kupang,2019,9.22
Kota Kupang,2020,8.96
Kota Kupang,2021,9.17
Kota Kupang,2022,8.61
Kota Kupang,2023,8.61
Kota Kupang,2024,8.24
Kota Langsa,2018,10.79
Kota Langsa,2019,10.57
Kota Langsa,2020,10.44
Kota Langsa,2021,10.96
Kota Langsa,2022,10.62
Kota Langsa,2023,10.53
Kota Langsa,2024,10.33
Kota Lhokseumawe,2018,11.81
Kota Lhokseumawe,2019,11.18
Kota Lhokseumawe,2020,10.8
Kota Lhokseumawe,2021,11.16
Kota Lhokseumawe,2022,10.84
Kota Lhokseumawe,2023,10.73
Kota Lhokseumawe,2024,10.44
Kota Lubuklinggau,2018,13.02
Kota Lubuklinggau,2019,12.95
Kota Lubuklinggau,2020,12.71
Kota Lubuklinggau,2021,13.23
Kota Lubuklinggau,2022,12.68
Kota Lubuklinggau,2023,12.65
Kota Lubuklinggau,2024,11.14
Kota Madiun,2018,4.49
Kota Madiun,2019,4.35
Kota Madiun,2020,4.98
Kota Madiun,2021,5.09
Kota Madiun,2022,4.76
Kota Madiun,2023,4.74
Kota Madiun,2024,4.38
Kota Magelang,2018,7.87
Kota Magelang,2019,7.46
Kota Magelang,2020,7.58
Kota Magelang,2021,7.75
Kota Magelang,2022,7.1
Kota Magelang,2023,6.11
Kota Magelang,2024,5.94
Kota Makassar,2018,4.41
Kota Makassar,2019,4.28
Kota Makassar,2020,4.54
Kota Makassar,2021,4.82
Kota Makassar,2022,4.58
Kota Makassar,2023,5.07
Kota Makassar,2024,4.97
Kota Malang,2018,4.1
Kota Malang,2019,4.07
Kota Malang,2020,4.44
Kota Malang,2021,4.62
Kota Malang,2022,4.37
Kota Malang,2023,4.26
Kota Malang,2024,3.91
Kota Manado,2018,5.38
Kota Manado,2019,5.51
Kota Manado,2020,5.86
Kota Manado,2021,6.19
Kota Manado,2022,5.85
Kota Manado,2023,5.79
Kota Manado,2024,5.43
Kota Mataram,2018,8.96
Kota Mataram,2019,8.92
Kota Mataram,2020,8.47
Kota Mataram,2021,8.65
Kota Mataram,2022,8.63
Kota Mataram,2023,8.62
Kota Mataram,2024,8.0
Kota Medan,2018,8.25
Kota Medan,2019,8.08
Kota Medan,2020,8.01
Kota Medan,2021,8.34
Kota Medan,2022,8.07
Kota Medan,2023,8.0
Kota Medan,2024,7.94
Kota Metro,2018,9.14
Kota Metro,2019,8.68
Kota Metro,2020,8.47
Kota Metro,2021,8.93
Kota Metro,2022,7.87
Kota Metro,2023,7.28
Kota Metro,2024,6.78
Kota Mojokerto,2018,5.5
Kota Mojokerto,2019,5.15
Kota Mojokerto,2020,6.24
Kota Mojokerto,2021,6.39
Kota Mojokerto,2022,5.98
Kota Mojokerto,2023,5.77
Kota Mojokerto,2024,5.57
Kota Padang,2018,4.7
Kota Padang,2019,4.48
Kota Padang,2020,4.4
Kota Padang,2021,4.94
Kota Padang,2022,4.26
Kota Padang,2023,4.17
Kota Padang,2024,4.06
Kota Padang Panjang,2018,5.88
Kota Padang Panjang,2019,5.6
Kota Padang Panjang,2020,5.24
Kota Padang Panjang,2021,5.92
Kota Padang Panjang,2022,5.14
Kota Padang Panjang,2023,5.24
Kota Padang Panjang,2024,5.31
Kota Padangsidimpuan,2018,7.69
Kota Padangsidimpuan,2019,7.26
Kota Padangsidimpuan,2020,7.4
Kota Padangsidimpuan,2021,7.53
Kota Padangsidimpuan,2022,6.89
Kota Padangsidimpuan,2023,6.85
Kota Padangsidimpuan,2024,6.23
Kota Pagar Alam,2018,8.77
Kota Pagar Alam,2019,8.9
Kota Pagar Alam,2020,9.07
Kota Pagar Alam,2021,9.4
Kota Pagar Alam,2022,8.47
Kota Pagar Alam,2023,8.88
Kota Pagar Alam,2024,8.18
Kota Palangka Raya,2018,3.47
Kota Palangka Raya,2019,3.35
Kota Palangka Raya,2020,3.44
Kota Palangka Raya,2021,3.75
Kota Palangka Raya,2022,3.61
Kota Palangka Raya,2023,3.44
Kota Palangka Raya,2024,3.52
Kota Palembang,2018,10.95
Kota Palembang,2019,10.9
Kota Palembang,2020,10.89
Kota Palembang,2021,11.34
Kota Palembang,2022,10.48
Kota Palembang,2023,10.22
Kota Palembang,2024,9.77
Kota Palopo,2018,7.94
Kota Palopo,2019,7.82
Kota Palopo,2020,7.85
Kota Palopo,2021,8.14
Kota Palopo,2022,7.78
Kota Palopo,2023,7.69
Kota Palopo,2024,7.35
Kota Palu,2018,6.58
Kota Palu,2019,6.83
Kota Palu,2020,6.8
Kota Palu,2021,7.17
Kota Palu,2022,6.63
Kota Palu,2023,6.56
Kota Palu,2024,5.94
Kota Pangkal Pinang,2018,4.95
Kota Pangkal Pinang,2019,4.25
Kota Pangkal Pinang,2020,4.36
Kota Pangkal Pinang,2021,4.76
Kota Pangkal Pinang,2022,4.55
Kota Pangkal Pinang,2023,4.27
Kota Pangkal Pinang,2024,4.04
Kota Parepare,2018,5.59
Kota Parepare,2019,5.26
Kota Parepare,2020,5.44
Kota Parepare,2021,5.4
Kota Parepare,2022,5.41
Kota Parepare,2023,5.34
Kota Parepare,2024,5.27
Kota Pariaman,2018,5.03
Kota Pariaman,2019,4.76
Kota Pariaman,2020,4.1
Kota Pariaman,2021,4.38
Kota Pariaman,2022,4.13
Kota Pariaman,2023,4.2
Kota Pariaman,2024,4.26
Kota Pasuruan,2018,6.77
Kota Pasuruan,2019,6.46
Kota Pasuruan,2020,6.66
Kota Pasuruan,2021,6.88
Kota Pasuruan,2022,6.37
Kota Pasuruan,2023,6.6
Kota Pasuruan,2024,6.32
Kota Payakumbuh,2018,5.77
Kota Payakumbuh,2019,5.68
Kota Payakumbuh,2020,5.65
Kota Payakumbuh,2021,6.16
Kota Payakumbuh,2022,5.66
Kota Payakumbuh,2023,5.44
Kota Payakumbuh,2024,5.19
Kota Pekalongan,2018,6.75
Kota Pekalongan,2019,6.6
Kota Pekalongan,2020,7.17
Kota Pekalongan,2021,7.59
Kota Pekalongan,2022,7.0
Kota Pekalongan,2023,6.81
Kota Pekalongan,2024,6.71
Kota Pekanbaru,2018,2.85
Kota Pekanbaru,2019,2.52
Kota Pekanbaru,2020,2.62
Kota Pekanbaru,2021,2.83
Kota Pekanbaru,2022,3.06
Kota Pekanbaru,2023,3.16
Kota Pekanbaru,2024,3.15
Kota Pematang Siantar,2018,8.7
Kota Pematang Siantar,2019,8.63
Kota Pematang Siantar,2020,8.27
Kota Pematang Siantar,2021,8.52
Kota Pematang Siantar,2022,7.88
Kota Pematang Siantar,2023,7.24
Kota Pematang Siantar,2024,7.2
Kota Pontianak,2018,5.0
Kota Pontianak,2019,4.88
Kota Pontianak,2020,4.7
Kota Pontianak,2021,4.58
Kota Pontianak,2022,4.46
Kota Pontianak,2023,4.45
Kota Pontianak,2024,4.2
Kota Prabumulih,2018,11.39
Kota Prabumulih,2019,11.61
Kota Prabumulih,2020,11.59
Kota Prabumulih,2021,12.2
Kota Prabumulih,2022,11.28
Kota Prabumulih,2023,11.23
Kota Prabumulih,2024,10.13
Kota Probolinggo,2018,7.2
Kota Probolinggo,2019,6.91
Kota Probolinggo,2020,7.43
Kota Probolinggo,2021,7.44
Kota Probolinggo,2022,6.65
Kota Probolinggo,2023,6.48
Kota Probolinggo,2024,6.18
Kota Sabang,2018,16.31
Kota Sabang,2019,15.6
Kota Sabang,2020,14.94
Kota Sabang,2021,15.32
Kota Sabang,2022,14.66
Kota Sabang,2023,14.59
Kota Sabang,2024,14.58
Kota Salatiga,2018,4.84
Kota Salatiga,2019,4.76
Kota Salatiga,2020,4.94
Kota Salatiga,2021,5.14
Kota Salatiga,2022,4.73
Kota Salatiga,2023,4.66
Kota Salatiga,2024,4.57
Kota Samarinda,2018,4.59
Kota Samarinda,2019,4.59
Kota Samarinda,2020,4.76
Kota Samarinda,2021,4.99
Kota Samarinda,2022,4.85
Kota Samarinda,2023,4.81
Kota Samarinda,2024,4.3
Kota Sawah Lunto,2018,2.39
Kota Sawah Lunto,2019,2.17
Kota Sawah Lunto,2020,2.16
Kota Sawah Lunto,2021,2.38
Kota Sawah Lunto,2022,2.28
Kota Sawah Lunto,2023,2.27
Kota Sawah Lunto,2024,2.33
Kota Semarang,2018,4.14
Kota Semarang,2019,3.98
Kota Semarang,2020,4.34
Kota Semarang,2021,4.56
Kota Semarang,2022,4.25
Kota Semarang,2023,4.23
Kota Semarang,2024,4.03
Kota Serang,2018,5.36
Kota Serang,2019,5.28
Kota Serang,2020,6.06
Kota Serang,2021,6.79
Kota Serang,2022,5.94
Kota Serang,2023,6.2
Kota Serang,2024,5.65
Kota Sibolga,2018,12.38
Kota Sibolga,2019,12.36
Kota Sibolga,2020,11.95
Kota Sibolga,2021,12.33
Kota Sibolga,2022,11.47
Kota Sibolga,2023,11.42
Kota Sibolga,2024,11.39
Kota Singkawang,2018,5.12
Kota Singkawang,2019,4.91
Kota Singkawang,2020,4.53
Kota Singkawang,2021,4.83
Kota Singkawang,2022,4.67
Kota Singkawang,2023,4.7
Kota Singkawang,2024,4.53
Kota Solok,2018,3.3
Kota Solok,2019,3.24
Kota Solok,2020,2.77
Kota Solok,2021,3.12
Kota Solok,2022,3.02
Kota Solok,2023,3.05
Kota Solok,2024,3.07
Kota Sorong,2018,15.85
Kota Sorong,2019,15.45
Kota Sorong,2020,14.99
Kota Sorong,2021,15.35
Kota Sorong,2022,14.96
Kota Sorong,2023,14.41
Kota Sorong,2024,13.67
Kota Subulussalam,2018,18.51
Kota Subulussalam,2019,17.95
Kota Subulussalam,2020,17.6
Kota Subulussalam,2021,17.65
Kota Subulussalam,2022,16.94
Kota Subulussalam,2023,16.41
Kota Subulussalam,2024,16.38
Kota Sukabumi,2018,7.12
Kota Sukabumi,2019,6.67
Kota Sukabumi,2020,7.7
Kota Sukabumi,2021,8.25
Kota Sukabumi,2022,8.02
Kota Sukabumi,2023,7.5
Kota Sukabumi,2024,7.2
Kota Sungai Penuh,2018,2.76
Kota Sungai Penuh,2019,2.81
Kota Sungai Penuh,2020,3.03
Kota Sungai Penuh,2021,3.41
Kota Sungai Penuh,2022,2.97
Kota Sungai Penuh,2023,3.0
Kota Sungai Penuh,2024,2.92
Kota Surabaya,2018,4.88
Kota Surabaya,2019,4.51
Kota Surabaya,2020,5.02
Kota Surabaya,2021,5.23
Kota Surabaya,2022,4.72
Kota Surabaya,2023,4.65
Kota Surabaya,2024,3.96
Kota Surakarta,2018,9.08
Kota Surakarta,2019,8.7
Kota Surakarta,2020,9.03
Kota Surakarta,2021,9.4
Kota Surakarta,2022,8.84
Kota Surakarta,2023,8.44
Kota Surakarta,2024,8.31
Kota Tangerang,2018,4.76
Kota Tangerang,2019,4.43
Kota Tangerang,2020,5.22
Kota Tangerang,2021,5.93
Kota Tangerang,2022,5.77
Kota Tangerang,2023,5.89
Kota Tangerang,2024,5.43
Kota Tangerang Selatan,2018,1.68
Kota Tangerang Selatan,2019,1.68
Kota Tangerang Selatan,2020,2.29
Kota Tangerang Selatan,2021,2.57
Kota Tangerang Selatan,2022,2.5
Kota Tangerang Selatan,2023,2.57
Kota Tangerang Selatan,2024,2.36
Kota Tanjung Balai,2018,14.64
Kota Tanjung Balai,2019,14.04
Kota Tanjung Balai,2020,13.33
Kota Tanjung Balai,2021,13.4
Kota Tanjung Balai,2022,12.45
Kota Tanjung Balai,2023,12.21
Kota Tanjung Balai,2024,11.97
Kota Tanjung Pinang,2018,9.24
Kota Tanjung Pinang,2019,9.03
Kota Tanjung Pinang,2020,9.37
Kota Tanjung Pinang,2021,9.57
Kota Tanjung Pinang,2022,9.85
Kota Tanjung Pinang,2023,7.95
Kota Tanjung Pinang,2024,6.86
Kota Tarakan,2018,6.15
Kota Tarakan,2019,6.0
Kota Tarakan,2020,6.24
Kota Tarakan,2021,6.71
Kota Tarakan,2022,6.3
Kota Tarakan,2023,6.1
Kota Tarakan,2024,5.56
Kota Tasikmalaya,2018,12.71
Kota Tasikmalaya,2019,11.6
Kota Tasikmalaya,2020,12.97
Kota Tasikmalaya,2021,13.13
Kota Tasikmalaya,2022,12.72
Kota Tasikmalaya,2023,11.53
Kota Tasikmalaya,2024,11.1
Kota Tebing Tinggi,2018,10.27
Kota Tebing Tinggi,2019,9.94
Kota Tebing Tinggi,2020,9.85
Kota Tebing Tinggi,2021,10.3
Kota Tebing Tinggi,2022,9.59
Kota Tebing Tinggi,2023,9.49
Kota Tebing Tinggi,2024,8.79
Kota Tegal,2018,7.81
Kota Tegal,2019,7.47
Kota Tegal,2020,7.8
Kota Tegal,2021,8.12
Kota Tegal,2022,7.91
Kota Tegal,2023,7.68
Kota Tegal,2024,7.64
Kota Ternate,2018,3.0
