Kabupaten/Kota,Tahun,Pengeluaran Perkapita Bahan Minuman
Banjarnegara,2021,5319.46
Banjarnegara,2022,4922.69
Banjarnegara,2023,5475.98
Banjarnegara,2024,5857.0
Bantaeng,2018,3345.02
Bantaeng,2019,3136.09
Bantaeng,2020,4120.73
Bantaeng,2021,4136.52
Bantaeng,2022,3932.3
Bantaeng,2023,3680.39
Bantaeng,2024,4333.0
Bantul,2018,4062.25
Bantul,2019,4466.18
Bantul,2020,4691.16
Bantul,2021,5399.91
Bantul,2022,5380.07
Bantul,2023,5503.28
Bantul,2024,5917.0
Banyu Asin,2018,4422.41
Banyu Asin,2019,4392.47
Banyu Asin,2020,4985.93
Banyu Asin,2021,5610.3
Banyu Asin,2022,5381.85
Banyu Asin,2023,5526.1
Banyu Asin,2024,5788.0
Banyumas,2018,4097.87
Banyumas,2019,3980.68
Banyumas,2020,4080.72
Banyumas,2021,4224.41
Banyumas,2022,4393.11
Banyumas,2023,4646.16
Banyumas,2024,5262.0
Banyuwangi,2018,3027.07
Banyuwangi,2019,3208.03
Banyuwangi,2020,3457.28
Banyuwangi,2021,3477.88
Banyuwangi,2022,3511.83
Banyuwangi,2023,3662.98
Banyuwangi,2024,4170.0
Barito Kuala,2018,4791.81
Barito Kuala,2019,4670.48
Barito Kuala,2020,5780.66
Barito Kuala,2021,5456.18
Barito Kuala,2022,5826.9
Barito Kuala,2023,5331.16
Barito Kuala,2024,5906.0
Barito Selatan,2018,6576.41
Barito Selatan,2019,6558.39
Barito Selatan,2020,7504.02
Barito Selatan,2021,7080.08
Barito Selatan,2022,7871.09
Barito Selatan,2023,7397.55
Barito Selatan,2024,7460.0
Barito Timur,2018,6377.51
Barito Timur,2019,5791.83
Barito Timur,2020,6955.39
Barito Timur,2021,6787.26
Barito Timur,2022,6726.41
Barito Timur,2023,6806.52
Barito Timur,2024,6130.0
Barito Utara,2018,5089.64
Barito Utara,2019,4632.53
Barito Utara,2020,6135.58
Barito Utara,2021,6354.78
Barito Utara,2022,5733.32
Barito Utara,2023,6003.4
Barito Utara,2024,5780.0
Barru,2018,3500.75
Barru,2019,3106.84
Barru,2020,4341.84
Barru,2021,5035.79
Barru,2022,4165.47
Barru,2023,4064.43
Barru,2024,4132.0
Batang,2018,3680.31
Batang,2019,3647.14
Batang,2020,4224.5
Batang,2021,4487.29
Batang,2022,4346.9
Batang,2023,4700.96
Batang,2024,5095.0
Batang Hari,2018,4028.7
Batang Hari,2019,4187.16
Batang Hari,2020,4930.84
Batang Hari,2021,4498.11
Batang Hari,2022,4522.61
Batang Hari,2023,5157.86
Batang Hari,2024,5568.0
Batu Bara,2018,4172.56
Batu Bara,2019,3519.41
Batu Bara,2020,4086.18
Batu Bara,2021,4226.87
Batu Bara,2022,4256.5
Batu Bara,2023,4177.76
Batu Bara,2024,4180.0
Bekasi,2018,3842.71
Bekasi,2019,4105.84
Bekasi,2020,4179.5
Bekasi,2021,4899.0
Bekasi,2022,4825.96
Bekasi,2023,5061.62
Bekasi,2024,4585.0
Belitung,2018,4834.18
Belitung,2019,4661.85
Belitung,2020,4643.37
Belitung,2021,4880.64
Belitung,2022,4614.0
Belitung,2023,4375.45
Belitung,2024,5333.0
Belitung Timur,2018,5415.47
Belitung Timur,2019,5477.43
Belitung Timur,2020,6107.46
Belitung Timur,2021,6145.76
Belitung Timur,2022,5731.97
Belitung Timur,2023,5661.1
Belitung Timur,2024,5672.0
Belu,2018,3644.16
Belu,2019,3742.84
Belu,2020,4159.73
Belu,2021,4535.65
Belu,2022,4683.49
Belu,2023,4235.27
Belu,2024,4364.0
Bener Meriah,2018,5651.12
Bener Meriah,2019,5195.01
Bener Meriah,2020,7090.89
Bener Meriah,2021,5536.4
Bener Meriah,2022,6697.06
Bener Meriah,2023,7489.7
Bener Meriah,2024,7074.0
Bengkalis,2018,3748.54
Bengkalis,2019,3909.33
Bengkalis,2020,4605.98
Bengkalis,2021,4896.36
Bengkalis,2022,4496.77
Bengkalis,2023,5133.13
