Kabupaten/Kota,Tahun,Prevalensi Konsumsi Pangan Tidak Cukup
Kota Makasar,2019,2.94
Kota Parepare,2019,3.64
Kota Palopo,2019,3.21
Buton,2019,11.47
Muna,2019,11.26
Konawe,2019,6.85
Kolaka,2019,5.42
Konawe Selatan,2019,8.45
Bombana,2019,10.17
Wakatobi,2019,11.96
Kolaka Utara,2019,7.23
Buton Utara,2019,8.67
Konawe Utara,2019,6.41
Kolaka Timur,2019,8.68
Konawe Kepulauan,2019,8.47
Muna Barat,2019,10.18
Buton Tengah,2019,14.63
Buton Selatan,2019,10.35
Kota Kendari,2019,5.25
Kota Baubau,2019,10.76
Boalemo,2019,10.56
Gorontalo,2019,8.16
Pohuwato,2019,7.83
Bone Bolango,2019,5.88
Gorontalo Utara,2019,11.17
Kota Gorontalo,2019,4.5
Majene,2019,5.37
Polewali Mandar,2019,6.54
Mamasa,2019,13.25
Mamuju,2019,6.96
Mamuju Utara,2019,4.53
Mamuju Tengah,2019,5.33
Maluku Tenggara Barat,2019,36.58
Maluku Tenggara,2019,30.79
Maluku Tengah,2019,42.08
Buru,2019,35.64
Kepulauan Aru,2019,35.45
Seram Bagian Barat,2019,42.7
Seram Bagian Timur,2019,41.52
Maluku Barat Daya,2019,37.44
Buru Selatan,2019,42.08
Kota Ambon,2019,21.32
Kota Tual,2019,25.26
Halmahera Barat,2019,40.82
Halmahera Tengah,2019,31.1
Kepulauan Sula,2019,46.33
Halmahera Selatan,2019,35.15
Halmahera Utara,2019,42.1
Halmahera Timur,2019,40.07
Pulau Morotai,2019,35.62
Pulau Taliabu,2019,45.3
Kota Ternate,2019,20.68
Kota Tidore Kepulauan,2019,35.89
Fakfak,2019,19.92
Kaimana,2019,22.99
Teluk Wondama,2019,15.24
Teluk Bintuni,2019,14.14
Manokwari,2019,16.85
Manokwari Selatan,2019,21.17
Pegunungan Arfak,2019,57.34
Raja Ampat,2019,16.41
Sorong,2019,21.98
Sorong Selatan,2019,20.22
Maybrat,2019,18.15
Tambrauw,2019,36.0
Kota Sorong,2019,14.83
Jayapura,2019,34.19
Kepulauan Yapen,2019,36.79
Biak Numfor,2019,38.68
Sarmi,2019,48.13
Keerom,2019,50.82
Waropen,2019,36.06
Supiori,2019,30.67
Mamberamo Raya,2019,48.64
Kota Jayapura,2019,20.7
Merauke,2019,25.89
Boven Digoel,2019,28.14
Mappi,2019,50.58
Asmat,2019,46.17
Mimika,2019,25.5
Dogiyai,2019,83.57
Deiyai,2019,76.85
Nabire,2019,31.27
Paniai,2019,48.33
Intan Jaya,2019,47.06
Puncak,2019,38.02
Puncak Jaya,2019,34.97
Nduga,2019,26.79
Jayawijaya,2019,29.79
Lanny Jaya,2019,30.9
Tolikara,2019,51.78
Mamberamo Tengah,2019,39.53
Yalimo,2019,33.6
Yahukimo,2019,52.74
Pegunungan Bintang,2019,29.75
Simeulue,2020,11.44
Aceh Singkil,2020,7.19
Aceh Selatan,2020,8.57
Aceh Tenggara,2020,9.42
Aceh Timur,2020,7.03
Aceh Tengah,2020,6.47
Aceh Barat,2020,6.4
Aceh Besar,2020,9.63
Pidie,2020,7.8
Bireuen,2020,10.04
Aceh Utara,2020,11.25
Aceh Barat Daya,2020,8.63
Gayo Lues,2020,6.97
Aceh Tamiang,2020,12.29
Nagan Raya,2020,7.64
Aceh Jaya,2020,8.97
Bener Meriah,2020,6.98
Pidie Jaya,2020,5.1
Kota Banda Aceh,2020,5.0
Kota Sabang,2020,5.15
Kota Langsa,2020,7.35
Kota Lhokseumawe,2020,7.08
Kota Subulussalam,2020,7.7
Nias,2020,7.79
Mandailing Natal,2020,7.21
Tapanuli Selatan,2020,7.28
Tapanuli Tengah,2020,7.8
Tapanuli Utara,2020,6.79
Toba Samosir,2020,4.74
Labuhan Batu,2020,6.49
Asahan,2020,6.77
Simalungun,2020,8.06
Dairi,2020,6.42
Karo,2020,4.56
Deli Serdang,2020,6.73
Langkat,2020,9.61
Nias Selatan,2020,8.55
Humbang Hasundutan,2020,6.69
Pakpak Bharat,2020,5.3
Samosir,2020,5.85
Serdang Bedagai,2020,8.19
Batu Bara,2020,7.51
Padang Lawas Utara,2020,6.01
Padang Lawas,2020,5.38
Labuhan Batu Selatan,2020,4.8
Labuhan Batu Utara,2020,6.3
Nias Utara,2020,7.85
Nias Barat,2020,9.07
Kota Sibolga,2020,4.47
Kota Tanjung Balai,2020,5.82
Kota Pematang Siantar,2020,6.25
Kota Tebing Tinggi,2020,7.42
Kota Medan,2020,4.31
Kota Binjai,2020,8.08
Kota Padangsidimpuan,2020,5.08
Kota Gunungsitoli,2020,6.73
Kepulauan Mentawai,2020,7.08
Pesisir Selatan,2020,5.2
Solok,2020,6.71
Sijunjung,2020,5.68
Tanah Datar,2020,7.02
Padang Pariaman,2020,5.55
Agam,2020,6.5
Lima Puluh Kota,2020,6.12
Pasaman,2020,8.04
Solok Selatan,2020,6.3
Dharmasraya,2020,5.67
Pasaman Barat,2020,5.9
Kota Padang,2020,4.64
Kota Solok,2020,5.02
Kota Sawah Lunto,2020,6.41
Kota Padang Panjang,2020,6.05
Kota Bukittinggi,2020,4.27
Kota Payakumbuh,2020,5.37
Kota Pariaman,2020,3.75
Kuantan Singingi,2020,10.87
Indragiri Hulu,2020,9.11
Indragiri Hilir,2020,13.91
Pelalawan,2020,7.14
Siak,2020,7.02
Kampar,2020,9.34
Rokan Hulu,2020,9.64
Bengkalis,2020,9.45
Rokan Hilir,2020,8.24
Kepulauan Meranti,2020,10.41
Kota Pekanbaru,2020,7.51
Kota Dumai,2020,8.35
Kerinci,2020,10.33
Merangin,2020,10.06
Sarolangun,2020,10.26
Batang Hari,2020,9.06
Muaro Jambi,2020,8.17
Tanjung Jabung Timur,2020,9.89
Tanjung Jabung Barat,2020,10.74
Tebo,2020,9.93
Bungo,2020,8.75
Kota Jambi,2020,6.71
Kota Sungai Penuh,2020,7.95
Ogan Komering Ulu,2020,11.44
Ogan Komering Ilir,2020,8.32
Muara Enim,2020,8.24
Lahat,2020,10.11
Musi Rawas,2020,8.9
Musi Banyuasin,2020,7.64
Banyu Asin,2020,9.45
Ogan Komering Ulu Selatan,2020,12.8
Ogan Komering Ulu Timur,2020,10.92
Ogan Ilir,2020,9.44
Empat Lawang,2020,14.55
Penukal Abab Lematang Ilir,2020,9.18
Musi Rawas Utara,2020,8.31
Kota Palembang,2020,8.99
Kota Prabumulih,2020,14.56
Kota Pagar Alam,2020,17.03
Kota Lubuklinggau,2020,11.14
Bengkulu Selatan,2020,8.09
Rejang Lebong,2020,11.62
Bengkulu Utara,2020,6.56
Kaur,2020,6.33
Seluma,2020,7.38
Mukomuko,2020,3.64
Lebong,2020,8.03
Kepahiang,2020,10.99
Bengkulu Tengah,2020,5.67
Kota Bengkulu,2020,8.2
Lampung Barat,2020,10.98
Tanggamus,2020,13.22
Lampung Selatan,2020,12.33
Lampung Timur,2020,12.3
Lampung Tengah,2020,12.46
Lampung Utara,2020,12.46
Way Kanan,2020,10.19
Tulangbawang,2020,11.17
Pesawaran,2020,11.9
Pringsewu,2020,15.23
Mesuji,2020,12.27
Tulang Bawang Barat,2020,14.32
Pesisir Barat,2020,7.23
Kota Bandar Lampung,2020,11.74
Kota Metro,2020,11.54
Bangka,2020,9.43
Belitung,2020,8.12
Bangka Barat,2020,11.7
Bangka Tengah,2020,8.04
Bangka Selatan,2020,9.32
Belitung Timur,2020,9.71
Kota Pangkal Pinang,2020,8.97
Karimun,2020,9.74
Bintan,2020,10.03
Natuna,2020,11.39
Lingga,2020,13.47
Kepulauan Anambas,2020,7.24
Kota Batam,2020,4.4
Kota Tanjung Pinang,2020,6.07
Kep. Seribu,2020,2.86
Kota Jakarta Selatan,2020,1.5
Kota Jakarta Timur,2020,2.18
Kota Jakarta Pusat,2020,1.97
Kota Jakarta Barat,2020,1.78
Kota Jakarta Utara,2020,2.18
Bogor,2020,4.06
Sukabumi,2020,4.89
Cianjur,2020,4.75
Bandung,2020,5.07
Garut,2020,4.06
Tasikmalaya,2020,5.64
Ciamis,2020,5.11
Kuningan,2020,3.51
Cirebon,2020,5.41
Majalengka,2020,4.17
Sumedang,2020,4.01
Indramayu,2020,4.28
Subang,2020,4.81
Purwakarta,2020,4.08
Karawang,2020,3.79
Bekasi,2020,2.26
Bandung Barat,2020,5.07
Pangandaran,2020,4.39
Kota Bogor,2020,2.95
Kota Sukabumi,2020,3.65
Kota Bandung,2020,2.82
Kota Cirebon,2020,4.52
Kota Bekasi,2020,1.33
Kota Depok,2020,1.26
Kota Cimahi,2020,2.66
Kota Tasikmalaya,2020,4.17
Kota Banjar,2020,3.93
Cilacap,2020,13.53
Banyumas,2020,11.36
Purbalingga,2020,11.54
Banjarnegara,2020,12.87
Kebumen,2020,12.55
Purworejo,2020,16.51
Wonosobo,2020,15.73
Magelang,2020,13.75
Boyolali,2020,12.59
Klaten,2020,14.16
Sukoharjo,2020,11.54
Wonogiri,2020,15.8
Karanganyar,2020,9.93
Sragen,2020,10.98
Grobogan,2020,16.85
Blora,2020,15.35
Rembang,2020,13.98
Pati,2020,12.96
Kudus,2020,10.06
Jepara,2020,13.64
Demak,2020,8.02
Semarang,2020,9.68
Temanggung,2020,16.16
Kendal,2020,11.72
Batang,2020,9.93
Pekalongan,2020,7.81
Pemalang,2020,10.26
Tegal,2020,9.33
Brebes,2020,11.3
Kota Magelang,2020,10.58
Kota Surakarta,2020,7.83
Kota Salatiga,2020,6.54
Kota Semarang,2020,5.69
Kota Pekalongan,2020,7.35
Kota Tegal,2020,5.82
Kulon Progo,2020,13.29
Bantul,2020,9.38
Gunung Kidul,2020,14.52
Sleman,2020,6.68
Kota Yogyakarta,2020,8.3
Pacitan,2020,11.25
Ponorogo,2020,9.95
Trenggalek,2020,12.69
Tulungagung,2020,8.4
Blitar,2020,11.39
Kediri,2020,9.03
Malang,2020,10.59
Lumajang,2020,11.29
Jember,2020,9.72
Banyuwangi,2020,10.32
Bondowoso,2020,13.64
Situbondo,2020,15.49
Probolinggo,2020,9.74
Pasuruan,2020,8.56
Sidoarjo,2020,4.09
Mojokerto,2020,5.93
Jombang,2020,8.95
Nganjuk,2020,9.74
Madiun,2020,10.71
Magetan,2020,9.05
Ngawi,2020,12.75
Bojonegoro,2020,8.74
Tuban,2020,10.26
Lamongan,2020,6.02
Gresik,2020,4.43
Bangkalan,2020,7.39
Sampang,2020,7.8
Pamekasan,2020,9.83
Sumenep,2020,8.06
Kota Kediri,2020,7.19
Kota Blitar,2020,5.44
Kota Malang,2020,5.31
Kota Probolinggo,2020,5.9
Kota Pasuruan,2020,5.55
Kota Mojokerto,2020,5.61
Kota Madiun,2020,5.89
Kota Surabaya,2020,3.82
Kota Batu,2020,5.33
Pandeglang,2020,3.6
Lebak,2020,3.14
Tangerang,2020,1.84
Serang,2020,2.44
Kota Tangerang,2020,1.42
Kota Cilegon,2020,2.02
Kota Serang,2020,1.29
Kota Tangerang Selatan,2020,1.51
Jembrana,2020,6.59
Tabanan,2020,4.12
Badung,2020,2.61
Gianyar,2020,2.03
Klungkung,2020,5.03
Bangli,2020,4.16
Karangasem,2020,6.71
Buleleng,2020,5.47
Kota Denpasar,2020,2.52
Lombok Barat,2020,2.4
Lombok Tengah,2020,3.56
Lombok Timur,2020,3.43
Sumbawa,2020,2.48
Dompu,2020,2.73
Bima,2020,4.03
Sumbawa Barat,2020,0.91
Lombok Utara,2020,3.65
Kota Mataram,2020,1.21
Kota Bima,2020,1.56
Sumba Barat,2020,8.66
Sumba Timur,2020,9.04
Kupang,2020,15.43
Timor Tengah Selatan,2020,14.0
Timor Tengah Utara,2020,13.97
Belu,2020,12.0
Alor,2020,12.87
Lembata,2020,20.04
Flores Timur,2020,15.83
Sikka,2020,16.84
Ende,2020,12.73
Ngada,2020,8.93
Manggarai,2020,11.11
Rote Ndao,2020,16.95
Manggarai Barat,2020,9.9
Sumba Tengah,2020,10.94
Sumba Barat Daya,2020,10.5
Nagekeo,2020,11.95
Manggarai Timur,2020,13.52
Sabu Raijua,2020,11.43
Malaka,2020,15.42
Kota Kupang,2020,12.58
Sambas,2020,21.27
Bengkayang,2020,21.01
Landak,2020,24.23
Mempawah,2020,20.71
Sanggau,2020,24.52
Ketapang,2020,20.4
Sintang,2020,23.36
Kapuas Hulu,2020,23.87
Sekadau,2020,22.21
Melawi,2020,26.96
Kayong Utara,2020,19.17
Kubu Raya,2020,19.33
Kota Pontianak,2020,9.47
Kota Singkawang,2020,8.69
Kotawaringin Barat,2020,9.36
Kotawaringin Timur,2020,10.62
Kapuas,2020,15.4
Barito Selatan,2020,10.98
Barito Utara,2020,11.34
Sukamara,2020,6.77
Lamandau,2020,5.52
Seruyan,2020,7.9
Katingan,2020,8.3
Pulang Pisau,2020,9.65
Gunung Mas,2020,5.6
Barito Timur,2020,12.35
Murung Raya,2020,9.59
Kota Palangka Raya,2020,8.85
Tanah Laut,2020,2.5
Kota Baru,2020,2.1
Banjar,2020,3.17
Barito Kuala,2020,4.25
Tapin,2020,2.81
Hulu Sungai Selatan,2020,3.94
Hulu Sungai Tengah,2020,4.64
Hulu Sungai Utara,2020,3.87
Tabalong,2020,2.05
Tanah Bumbu,2020,1.81
Balangan,2020,3.45
Kota Banjarmasin,2020,1.5
Kota Banjar Baru,2020,1.4
Paser,2020,11.64
Kutai Barat,2020,11.17
Kutai Kartanegara,2020,11.14
Kutai Timur,2020,9.24
Berau,2020,5.14
Penajam Paser Utara,2020,11.58
Mahakam Ulu,2020,8.2
Kota Balikpapan,2020,5.9
Kota Samarinda,2020,6.29
Kota Bontang,2020,5.21
Malinau,2020,10.73
Bulungan,2020,10.77
Tana Tidung,2020,10.92
Nunukan,2020,15.42
Kota Tarakan,2020,10.78
Bolaang Mongondow,2020,4.64
Minahasa,2020,4.77
Kepulauan Sangihe,2020,6.72
Kepulauan Talaud,2020,5.94
Minahasa Selatan,2020,6.87
Minahasa Utara,2020,3.62
Bolaang Mongondow Utara,2020,8.55
Siau Tagulandang Biaro,2020,6.59
Minahasa Tenggara,2020,6.45
Bolaang Mongondow Selatan,2020,5.91
Bolaang Mongondow Timur,2020,4.6
Kota Manado,2020,2.22
Kota Bitung,2020,3.06
Kota Tomohon,2020,2.77
Kota Kotamobagu,2020,2.44
Banggai Kepulauan,2020,13.27
Banggai,2020,8.15
Morowali,2020,4.97
Poso,2020,7.31
Donggala,2020,10.41
Toli-Toli,2020,9.58
Buol,2020,8.06
Parigi Moutong,2020,11.27
Tojo Una-Una,2020,8.7
Sigi,2020,10.66
Banggai Laut,2020,10.51
Morowali Utara,2020,7.41
Kota Palu,2020,4.36
Kepulauan Selayar,2020,11.87
Bulukumba,2020,14.73
Bantaeng,2020,9.92
Jeneponto,2020,14.34
Takalar,2020,12.13
Gowa,2020,7.81
Sinjai,2020,10.91
Maros,2020,7.83
Pangkajene dan Kepulauan,2020,9.84
Barru,2020,10.43
Bone,2020,16.37
Soppeng,2020,19.78
Wajo,2020,10.68
Sidenreng Rappang,2020,9.62
Pinrang,2020,11.04
Enrekang,2020,10.96
Luwu,2020,10.74
Tana Toraja,2020,10.1
Luwu Utara,2020,10.81
Luwu Timur,2020,8.49
Toraja Utara,2020,8.66
Kota Makasar,2020,5.46
Kota Parepare,2020,5.95
Kota Palopo,2020,4.22
Buton,2020,13.42
Muna,2020,12.04
Konawe,2020,8.97
Kolaka,2020,6.36
Konawe Selatan,2020,10.1
Bombana,2020,9.43
Wakatobi,2020,11.24
Kolaka Utara,2020,8.34
Buton Utara,2020,10.36
Konawe Utara,2020,6.07
Kolaka Timur,2020,8.49
Konawe Kepulauan,2020,13.98
Muna Barat,2020,12.64
Buton Tengah,2020,17.09
Buton Selatan,2020,11.29
Kota Kendari,2020,7.42
Kota Baubau,2020,13.07
Boalemo,2020,12.99
Gorontalo,2020,10.74
Pohuwato,2020,11.48
Bone Bolango,2020,7.98
Gorontalo Utara,2020,14.06
Kota Gorontalo,2020,6.29
Majene,2020,7.45
Polewali Mandar,2020,9.49
Mamasa,2020,17.71
Mamuju,2020,7.91
Mamuju Utara,2020,6.35
Mamuju Tengah,2020,7.32
Maluku Tenggara Barat,2020,37.05
Maluku Tenggara,2020,36.42
Maluku Tengah,2020,43.07
Buru,2020,39.15
Kepulauan Aru,2020,40.42
Seram Bagian Barat,2020,43.3
Seram Bagian Timur,2020,38.31
Maluku Barat Daya,2020,36.29
Buru Selatan,2020,47.8
Kota Ambon,2020,22.19
Kota Tual,2020,28.96
Halmahera Barat,2020,39.54
Halmahera Tengah,2020,31.64
Kepulauan Sula,2020,43.47
Halmahera Selatan,2020,39.1
Halmahera Utara,2020,38.21
Halmahera Timur,2020,39.89
Pulau Morotai,2020,38.76
Pulau Taliabu,2020,44.39
Kota Ternate,2020,21.78
Kota Tidore Kepulauan,2020,29.47
Fakfak,2020,20.7
Kaimana,2020,24.47
Teluk Wondama,2020,13.3
Teluk Bintuni,2020,20.13
Manokwari,2020,20.9
Manokwari Selatan,2020,20.77
Pegunungan Arfak,2020,58.55
Raja Ampat,2020,22.32
Sorong,2020,27.72
Sorong Selatan,2020,28.23
Maybrat,2020,25.91
Tambrauw,2020,36.38
Kota Sorong,2020,18.93
Jayapura,2020,32.14
Kepulauan Yapen,2020,33.46
Biak Numfor,2020,30.61
Sarmi,2020,38.54
Keerom,2020,51.33
Waropen,2020,17.37
Supiori,2020,21.22
Mamberamo Raya,2020,47.87
Kota Jayapura,2020,14.99
Merauke,2020,20.21
Boven Digoel,2020,34.44
Mappi,2020,45.62
Asmat,2020,39.36
Mimika,2020,23.02
Dogiyai,2020,72.2
Deiyai,2020,33.49
Nabire,2020,21.73
Paniai,2020,45.39
Intan Jaya,2020,27.86
Puncak,2020,41.01
Puncak Jaya,2020,20.86
Nduga,2020,17.51
Jayawijaya,2020,32.86
Lanny Jaya,2020,24.81
Tolikara,2020,38.37
Mamberamo Tengah,2020,35.51
Yalimo,2020,22.28
Yahukimo,2020,39.28
Pegunungan Bintang,2020,33.05
Simeulue,2021,12.43
Aceh Singkil,2021,6.37
Aceh Selatan,2021,7.81
Aceh Tenggara,2021,6.75
Aceh Timur,2021,7.2
Aceh Tengah,2021,5.46
Aceh Barat,2021,4.09
Aceh Besar,2021,5.91
Pidie,2021,6.16
Bireuen,2021,6.56
Aceh Utara,2021,11.71
Aceh Barat Daya,2021,7.99
Gayo Lues,2021,3.18
Aceh Tamiang,2021,9.29
Nagan Raya,2021,4.75
Aceh Jaya,2021,6.38
Bener Meriah,2021,7.01
Pidie Jaya,2021,4.82
Kota Banda Aceh,2021,2.75
Kota Sabang,2021,4.26
Kota Langsa,2021,4.93
Kota Lhokseumawe,2021,4.05
Kota Subulussalam,2021,6.76
Nias,2021,7.0
Mandailing Natal,2021,7.25
Tapanuli Selatan,2021,7.02
Tapanuli Tengah,2021,5.95
Tapanuli Utara,2021,5.74
Toba Samosir,2021,4.16
Labuhan Batu,2021,5.99
Asahan,2021,6.33
Simalungun,2021,7.58
Dairi,2021,6.01
Karo,2021,3.78
Deli Serdang,2021,6.54
Langkat,2021,7.96
Nias Selatan,2021,8.51
Humbang Hasundutan,2021,6.27
Pakpak Bharat,2021,4.75
Samosir,2021,5.01
Serdang Bedagai,2021,7.58
Batu Bara,2021,6.88
Padang Lawas Utara,2021,4.89
Padang Lawas,2021,3.89
Labuhan Batu Selatan,2021,4.54
Labuhan Batu Utara,2021,5.52
Nias Utara,2021,8.17
Nias Barat,2021,8.52
Kota Sibolga,2021,5.33
Kota Tanjung Balai,2021,5.15
Kota Pematang Siantar,2021,6.62
Kota Tebing Tinggi,2021,7.19
Kota Medan,2021,4.94
Kota Binjai,2021,7.62
Kota Padangsidimpuan,2021,5.35
Kota Gunungsitoli,2021,6.09
Kepulauan Mentawai,2021,8.36
Pesisir Selatan,2021,6.23
Solok,2021,6.5
Sijunjung,2021,6.01
Tanah Datar,2021,6.8
Padang Pariaman,2021,5.61
Agam,2021,6.77
Lima Puluh Kota,2021,6.36
Pasaman,2021,7.11
Solok Selatan,2021,5.17
Dharmasraya,2021,6.03
Pasaman Barat,2021,6.13
Kota Padang,2021,5.0
Kota Solok,2021,5.84
Kota Sawah Lunto,2021,6.15
Kota Padang Panjang,2021,6.4
Kota Bukittinggi,2021,3.86
Kota Payakumbuh,2021,5.09
Kota Pariaman,2021,5.29
Kuantan Singingi,2021,9.02
Indragiri Hulu,2021,10.8
Indragiri Hilir,2021,14.1
Pelalawan,2021,9.08
Siak,2021,8.75
Kampar,2021,10.52
Rokan Hulu,2021,9.78
Bengkalis,2021,12.0
Rokan Hilir,2021,10.19
Kepulauan Meranti,2021,14.51
Kota Pekanbaru,2021,10.11
Kota Dumai,2021,9.59
Kerinci,2021,10.3
Merangin,2021,11.91
Sarolangun,2021,8.82
Batang Hari,2021,9.98
Muaro Jambi,2021,8.54
Tanjung Jabung Timur,2021,8.37
Tanjung Jabung Barat,2021,9.66
Tebo,2021,10.25
Bungo,2021,8.33
Kota Jambi,2021,7.25
Kota Sungai Penuh,2021,10.4
Ogan Komering Ulu,2021,6.91
Ogan Komering Ilir,2021,5.34
Muara Enim,2021,5.73
Lahat,2021,7.62
Musi Rawas,2021,7.12
Musi Banyuasin,2021,4.95
Banyu Asin,2021,5.56
Ogan Komering Ulu Selatan,2021,9.44
Ogan Komering Ulu Timur,2021,5.74
Ogan Ilir,2021,6.48
Empat Lawang,2021,10.15
Penukal Abab Lematang Ilir,2021,7.96
Musi Rawas Utara,2021,5.55
Kota Palembang,2021,7.0
Kota Prabumulih,2021,13.36
Kota Pagar Alam,2021,11.76
Kota Lubuklinggau,2021,9.24
Bengkulu Selatan,2021,8.25
Rejang Lebong,2021,11.27
Bengkulu Utara,2021,6.68
Kaur,2021,7.01
Seluma,2021,7.97
Mukomuko,2021,5.0
Lebong,2021,9.51
Kepahiang,2021,11.3
Bengkulu Tengah,2021,6.0
Kota Bengkulu,2021,11.11
Lampung Barat,2021,8.63
Tanggamus,2021,11.76
Lampung Selatan,2021,8.79
Lampung Timur,2021,11.79
Lampung Tengah,2021,11.42
Lampung Utara,2021,11.0
Way Kanan,2021,10.33
Tulangbawang,2021,11.22
Pesawaran,2021,12.68
Pringsewu,2021,11.64
Mesuji,2021,9.76
Tulang Bawang Barat,2021,12.66
Pesisir Barat,2021,6.89
Kota Bandar Lampung,2021,5.91
Kota Metro,2021,8.27
Bangka,2021,11.36
Belitung,2021,9.7
Bangka Barat,2021,12.63
Bangka Tengah,2021,10.87
Bangka Selatan,2021,12.1
Belitung Timur,2021,10.27
Kota Pangkal Pinang,2021,9.63
Karimun,2021,11.36
Bintan,2021,12.54
Natuna,2021,11.67
Lingga,2021,14.38
Kepulauan Anambas,2021,9.6
Kota Batam,2021,5.95
Kota Tanjung Pinang,2021,8.75
Kep. Seribu,2021,2.41
Kota Jakarta Selatan,2021,1.63
Kota Jakarta Timur,2021,2.24
Kota Jakarta Pusat,2021,3.08
Kota Jakarta Barat,2021,2.0
Kota Jakarta Utara,2021,2.63
Bogor,2021,4.73
Sukabumi,2021,4.81
Cianjur,2021,6.2
Bandung,2021,5.53
Garut,2021,5.0
Tasikmalaya,2021,7.12
Ciamis,2021,5.87
Kuningan,2021,3.73
Cirebon,2021,6.19
Majalengka,2021,4.94
Sumedang,2021,5.09
Indramayu,2021,3.97
Subang,2021,4.16
Purwakarta,2021,3.45
Karawang,2021,4.8
Bekasi,2021,2.38
Bandung Barat,2021,6.04
Pangandaran,2021,4.32
Kota Bogor,2021,3.08
Kota Sukabumi,2021,4.9
Kota Bandung,2021,2.92
Kota Cirebon,2021,5.71
Kota Bekasi,2021,1.79
Kota Depok,2021,1.55
Kota Cimahi,2021,3.23
Kota Tasikmalaya,2021,5.35
Kota Banjar,2021,5.93
Cilacap,2021,15.15
Banyumas,2021,12.01
Purbalingga,2021,12.15
Banjarnegara,2021,12.41
Kebumen,2021,13.52
Purworejo,2021,15.87
Wonosobo,2021,15.37
Magelang,2021,15.23
Boyolali,2021,13.46
Klaten,2021,14.72
Sukoharjo,2021,11.92
Wonogiri,2021,13.68
Karanganyar,2021,11.92
Sragen,2021,11.8
Grobogan,2021,18.18
Blora,2021,14.02
Rembang,2021,12.89
Pati,2021,11.2
Kudus,2021,11.01
Jepara,2021,11.71
Demak,2021,8.8
Semarang,2021,10.84
Temanggung,2021,18.48
Kendal,2021,14.62
Batang,2021,11.54
Pekalongan,2021,8.22
Pemalang,2021,10.59
Tegal,2021,11.29
Brebes,2021,11.22
Kota Magelang,2021,11.07
Kota Surakarta,2021,7.74
Kota Salatiga,2021,6.89
Kota Semarang,2021,6.66
Kota Pekalongan,2021,7.72
Kota Tegal,2021,7.62
Kulon Progo,2021,14.23
Bantul,2021,9.57
Gunung Kidul,2021,13.27
Sleman,2021,6.95
Kota Yogyakarta,2021,10.59
Pacitan,2021,14.81
Ponorogo,2021,11.96
Trenggalek,2021,13.84
Tulungagung,2021,8.26
Blitar,2021,11.27
Kediri,2021,9.53
Malang,2021,11.05
Lumajang,2021,7.84
Jember,2021,11.05
Banyuwangi,2021,9.25
Bondowoso,2021,13.6
Situbondo,2021,15.67
Probolinggo,2021,11.96
Pasuruan,2021,10.28
Sidoarjo,2021,4.84
Mojokerto,2021,6.6
Jombang,2021,8.78
Nganjuk,2021,9.65
Madiun,2021,13.43
Magetan,2021,10.51
Ngawi,2021,12.23
Bojonegoro,2021,9.96
Tuban,2021,9.12
Lamongan,2021,6.41
Gresik,2021,4.59
Bangkalan,2021,10.37
Sampang,2021,10.81
Pamekasan,2021,11.88
Sumenep,2021,7.93
Kota Kediri,2021,6.37
Kota Blitar,2021,6.25
Kota Malang,2021,6.04
Kota Probolinggo,2021,5.46
Kota Pasuruan,2021,5.84
Kota Mojokerto,2021,6.13
Kota Madiun,2021,5.05
Kota Surabaya,2021,3.72
Kota Batu,2021,5.98
Pandeglang,2021,4.37
Lebak,2021,3.87
Tangerang,2021,2.65
Serang,2021,3.03
Kota Tangerang,2021,2.16
Kota Cilegon,2021,2.46
Kota Serang,2021,1.99
Kota Tangerang Selatan,2021,1.89
Jembrana,2021,9.9
Tabanan,2021,6.35
Badung,2021,4.48
Gianyar,2021,3.92
Klungkung,2021,10.9
Bangli,2021,7.25
Karangasem,2021,13.42
Buleleng,2021,10.15
Kota Denpasar,2021,5.79
Lombok Barat,2021,2.32
Lombok Tengah,2021,2.18
Lombok Timur,2021,0.98
Sumbawa,2021,1.96
Dompu,2021,1.91
Bima,2021,2.7
Sumbawa Barat,2021,1.03
Lombok Utara,2021,2.91
Kota Mataram,2021,0.96
Kota Bima,2021,0.94
Sumba Barat,2021,8.0
Sumba Timur,2021,10.04
Kupang,2021,16.21
Timor Tengah Selatan,2021,13.88
Timor Tengah Utara,2021,10.42
Belu,2021,11.47
Alor,2021,11.98
Lembata,2021,17.93
Flores Timur,2021,16.21
Sikka,2021,15.18
Ende,2021,9.56
Ngada,2021,7.49
Manggarai,2021,8.84
Rote Ndao,2021,16.2
Manggarai Barat,2021,7.78
Sumba Tengah,2021,9.72
Sumba Barat Daya,2021,9.74
Nagekeo,2021,12.03
Manggarai Timur,2021,10.5
Sabu Raijua,2021,9.23
Malaka,2021,13.77
Kota Kupang,2021,10.66
Sambas,2021,21.96
Bengkayang,2021,17.95
Landak,2021,20.44
Mempawah,2021,23.22
Sanggau,2021,22.76
Ketapang,2021,19.21
Sintang,2021,20.32
Kapuas Hulu,2021,21.19
Sekadau,2021,23.77
Melawi,2021,21.08
Kayong Utara,2021,15.79
Kubu Raya,2021,22.08
Kota Pontianak,2021,12.54
Kota Singkawang,2021,11.21
Kotawaringin Barat,2021,7.01
Kotawaringin Timur,2021,8.32
Kapuas,2021,14.48
Barito Selatan,2021,9.31
Barito Utara,2021,9.61
Sukamara,2021,6.66
