Kabupaten/Kota,Tahun,Prevalensi Konsumsi Pangan Tidak Cukup
Kota Bogor,2018,2.53
Kota Sukabumi,2018,3.78
Kota Bandung,2018,2.51
Kota Cirebon,2018,5.06
Kota Bekasi,2018,1.32
Kota Depok,2018,1.35
Kota Cimahi,2018,2.71
Kota Tasikmalaya,2018,4.56
Kota Banjar,2018,4.12
Cilacap,2018,13.07
Banyumas,2018,9.2
Purbalingga,2018,9.82
Banjarnegara,2018,12.65
Kebumen,2018,13.44
Purworejo,2018,15.75
Wonosobo,2018,12.27
Magelang,2018,14.13
Boyolali,2018,12.35
Klaten,2018,13.51
Sukoharjo,2018,11.4
Wonogiri,2018,12.76
Karanganyar,2018,9.34
Sragen,2018,11.43
Grobogan,2018,15.97
Blora,2018,17.09
Rembang,2018,11.86
Pati,2018,10.41
Kudus,2018,10.73
Jepara,2018,13.47
Demak,2018,7.94
Semarang,2018,7.93
Temanggung,2018,16.79
Kendal,2018,10.94
Batang,2018,9.6
Pekalongan,2018,7.65
Pemalang,2018,9.41
Tegal,2018,10.72
Brebes,2018,10.45
Kota Magelang,2018,10.13
Kota Surakarta,2018,8.16
Kota Salatiga,2018,5.59
Kota Semarang,2018,5.06
Kota Pekalongan,2018,7.48
Kota Tegal,2018,6.68
Kulon Progo,2018,12.83
Bantul,2018,10.08
Gunung Kidul,2018,12.02
Sleman,2018,4.98
Kota Yogyakarta,2018,5.88
Pacitan,2018,9.01
Ponorogo,2018,9.19
Trenggalek,2018,11.95
Tulungagung,2018,7.91
Blitar,2018,10.34
Kediri,2018,8.47
Malang,2018,8.52
Lumajang,2018,8.6
Jember,2018,10.43
Banyuwangi,2018,8.07
Bondowoso,2018,13.85
Situbondo,2018,13.45
Probolinggo,2018,9.86
Pasuruan,2018,7.14
Sidoarjo,2018,3.98
Mojokerto,2018,5.66
Jombang,2018,7.56
Nganjuk,2018,9.94
Madiun,2018,7.71
Magetan,2018,8.74
Ngawi,2018,11.07
Bojonegoro,2018,7.37
Tuban,2018,7.37
Lamongan,2018,4.59
Gresik,2018,2.85
Bangkalan,2018,6.45
Sampang,2018,4.95
Pamekasan,2018,9.32
Sumenep,2018,5.61
Kota Kediri,2018,6.8
Kota Blitar,2018,5.14
Kota Malang,2018,5.0
Kota Probolinggo,2018,4.5
Kota Pasuruan,2018,6.28
Kota Mojokerto,2018,5.31
Kota Madiun,2018,5.05
Kota Surabaya,2018,2.7
Kota Batu,2018,4.19
Pandeglang,2018,4.25
Lebak,2018,3.84
Tangerang,2018,3.34
Serang,2018,2.56
Kota Tangerang,2018,2.3
Kota Cilegon,2018,2.35
Kota Serang,2018,2.41
Kota Tangerang Selatan,2018,1.57
Jembrana,2018,4.27
Tabanan,2018,2.2
Badung,2018,1.23
Gianyar,2018,1.56
Klungkung,2018,3.74
