Kabupaten/Kota,Tahun,Pengeluaran Perkapita Rokok dan Tembakau
Banjarnegara,2021,17462.68
Banjarnegara,2022,18808.68
Banjarnegara,2023,19154.38
Banjarnegara,2024,17631.0
Bantaeng,2018,16145.37
Bantaeng,2019,16123.23
Bantaeng,2020,15217.22
Bantaeng,2021,18713.86
Bantaeng,2022,20498.67
Bantaeng,2023,21531.41
Bantaeng,2024,22413.0
Bantul,2018,7794.15
Bantul,2019,9424.81
Bantul,2020,10563.85
Bantul,2021,12223.41
Bantul,2022,13162.25
Bantul,2023,15414.91
Bantul,2024,16145.0
Banyu Asin,2018,16577.48
Banyu Asin,2019,17116.38
Banyu Asin,2020,17256.79
Banyu Asin,2021,20444.5
Banyu Asin,2022,20946.01
Banyu Asin,2023,23996.87
Banyu Asin,2024,23179.0
Banyumas,2018,13755.58
Banyumas,2019,13009.2
Banyumas,2020,13862.41
Banyumas,2021,14813.08
Banyumas,2022,16959.28
Banyumas,2023,19000.43
Banyumas,2024,19337.0
Banyuwangi,2018,15818.6
Banyuwangi,2019,14095.67
Banyuwangi,2020,15719.76
Banyuwangi,2021,16853.96
Banyuwangi,2022,18516.71
Banyuwangi,2023,19931.95
Banyuwangi,2024,22973.0
Barito Kuala,2018,11749.89
Barito Kuala,2019,13468.06
Barito Kuala,2020,14751.17
Barito Kuala,2021,16382.36
Barito Kuala,2022,16160.55
Barito Kuala,2023,20008.37
Barito Kuala,2024,18844.0
Barito Selatan,2018,15748.67
Barito Selatan,2019,17687.62
Barito Selatan,2020,19139.95
Barito Selatan,2021,16860.37
Barito Selatan,2022,20147.5
Barito Selatan,2023,20552.29
Barito Selatan,2024,21593.0
Barito Timur,2018,17933.81
Barito Timur,2019,15429.34
Barito Timur,2020,16204.06
Barito Timur,2021,16081.71
Barito Timur,2022,21473.69
Barito Timur,2023,19853.24
Barito Timur,2024,21928.0
Barito Utara,2018,15988.4
Barito Utara,2019,17682.85
Barito Utara,2020,20961.43
Barito Utara,2021,21136.57
Barito Utara,2022,26914.87
Barito Utara,2023,24721.08
Barito Utara,2024,28537.0
Barru,2018,11523.75
Barru,2019,12305.78
Barru,2020,11884.98
Barru,2021,16402.37
Barru,2022,17118.92
Barru,2023,20054.38
Barru,2024,17556.0
Batang,2018,14308.0
Batang,2019,15543.34
Batang,2020,17948.08
Batang,2021,16365.34
Batang,2022,17465.3
Batang,2023,20603.05
Batang,2024,21742.0
Batang Hari,2018,16260.23
Batang Hari,2019,19495.12
Batang Hari,2020,18835.85
Batang Hari,2021,18862.48
Batang Hari,2022,20412.72
Batang Hari,2023,27725.99
Batang Hari,2024,24910.0
Batu Bara,2018,19026.16
Batu Bara,2019,20029.71
Batu Bara,2020,19165.05
Batu Bara,2021,23756.26
Batu Bara,2022,23228.71
Batu Bara,2023,22422.19
Batu Bara,2024,25557.0
Bekasi,2018,17642.27
Bekasi,2019,17616.62
Bekasi,2020,20589.14
Bekasi,2021,19202.59
Bekasi,2022,19668.34
Bekasi,2023,23390.35
Bekasi,2024,23984.0
Belitung,2018,22381.81
Belitung,2019,24669.32
Belitung,2020,27194.23
Belitung,2021,25625.26
Belitung,2022,26508.97
Belitung,2023,28613.04
Belitung,2024,28685.0
Belitung Timur,2018,25640.43
Belitung Timur,2019,29913.36
Belitung Timur,2020,32580.77
Belitung Timur,2021,34603.57
Belitung Timur,2022,37826.99
Belitung Timur,2023,38685.71
Belitung Timur,2024,41665.0
Belu,2018,7233.33
Belu,2019,10182.85
Belu,2020,9783.02
Belu,2021,9770.9
Belu,2022,12087.73
Belu,2023,11129.69
Belu,2024,10836.0
Bener Meriah,2018,20644.48
Bener Meriah,2019,23417.27
Bener Meriah,2020,25006.76
Bener Meriah,2021,22571.68
Bener Meriah,2022,21471.99
Bener Meriah,2023,30720.54
Bener Meriah,2024,34668.0
Bengkalis,2018,19804.05
Bengkalis,2019,19328.88
Bengkalis,2020,22112.57
Bengkalis,2021,21924.39
Bengkalis,2022,21249.14
Bengkalis,2023,28191.27
Bengkalis,2024,30291.0
Bengkayang,2018,14357.59
Bengkayang,2019,18096.5
Bengkayang,2020,14942.3
Bengkayang,2021,18915.6
Bengkayang,2022,19625.02
Bengkayang,2023,22121.92
Bengkayang,2024,21827.0
Bengkulu Selatan,2018,16783.94
Bengkulu Selatan,2019,17880.46
Bengkulu Selatan,2020,17607.49
Bengkulu Selatan,2021,18554.97
Bengkulu Selatan,2022,21193.7
Bengkulu Selatan,2023,21650.61
Bengkulu Selatan,2024,24842.0
Bengkulu Tengah,2018,22104.49
Bengkulu Tengah,2019,18802.77
Bengkulu Tengah,2020,19775.93
Bengkulu Tengah,2021,22031.88
Bengkulu Tengah,2022,21705.62
Bengkulu Tengah,2023,24965.34
Bengkulu Tengah,2024,24260.0
Bengkulu Utara,2018,20494.55
Bengkulu Utara,2019,18483.85
Bengkulu Utara,2020,18743.45
Bengkulu Utara,2021,22221.97
Bengkulu Utara,2022,22161.43
Bengkulu Utara,2023,28421.71
Bengkulu Utara,2024,25574.0
Berau,2018,21094.86
Berau,2019,23526.71
Berau,2020,23177.53
Berau,2021,23165.74
Berau,2022,23770.52
Berau,2023,25958.51
Berau,2024,30398.0
Biak Numfor,2018,13460.28
Biak Numfor,2019,13997.75
Biak Numfor,2020,14105.43
Biak Numfor,2021,16433.02
Biak Numfor,2022,10620.89
Biak Numfor,2023,14457.24
Biak Numfor,2024,20206.0
Bima,2018,11127.5
Bima,2019,15107.7
Bima,2020,16568.2
Bima,2021,18194.04
Bima,2022,20746.52
Bima,2023,22242.55
Bima,2024,21367.0
Bintan,2018,14151.01
Bintan,2019,13250.1
Bintan,2020,16553.26
Bintan,2021,16865.85
Bintan,2022,16641.89
Bintan,2023,16784.42
Bintan,2024,19541.0
Bireuen,2018,16344.04
Bireuen,2019,17866.06
Bireuen,2020,16852.88
Bireuen,2021,18997.42
Bireuen,2022,19287.21
Bireuen,2023,18788.21
Bireuen,2024,18276.0
Blitar,2018,8109.14
Blitar,2019,10072.78
Blitar,2020,10527.66
Blitar,2021,12787.99
Blitar,2022,13073.33
Blitar,2023,13282.22
Blitar,2024,14627.0
Blora,2018,8656.26
Blora,2019,13077.1
Blora,2020,14687.07
Blora,2021,15536.42
Blora,2022,18636.59
Blora,2023,18169.76
Blora,2024,22782.0
Boalemo,2018,13253.66
Boalemo,2019,13075.34
Boalemo,2020,15030.87
Boalemo,2021,13979.12
Boalemo,2022,17449.71
Boalemo,2023,20518.04
Boalemo,2024,21426.0
Bogor,2018,20156.44
Bogor,2019,17581.79
Bogor,2020,18311.81
Bogor,2021,18847.29
Bogor,2022,23353.36
Bogor,2023,23997.04
Bogor,2024,23651.0
Bojonegoro,2018,12504.3
Bojonegoro,2019,14614.4
Bojonegoro,2020,13246.29
Bojonegoro,2021,16499.98
Bojonegoro,2022,18145.86
Bojonegoro,2023,20875.36
Bojonegoro,2024,20807.0
Bolaang Mongondow,2018,18456.34
Bolaang Mongondow,2019,21088.05
Bolaang Mongondow,2020,18963.35
Bolaang Mongondow,2021,19291.59
Bolaang Mongondow,2022,22490.56
Bolaang Mongondow,2023,22874.92
Bolaang Mongondow,2024,29488.0
Bolaang Mongondow Selatan,2018,16388.24
Bolaang Mongondow Selatan,2019,18054.34
Bolaang Mongondow Selatan,2020,18287.5
Bolaang Mongondow Selatan,2021,17090.27
Bolaang Mongondow Selatan,2022,20254.58
Bolaang Mongondow Selatan,2023,22688.58
Bolaang Mongondow Selatan,2024,24825.0
Bolaang Mongondow Timur,2018,22610.82
Bolaang Mongondow Timur,2019,20735.29
Bolaang Mongondow Timur,2020,27252.98
Bolaang Mongondow Timur,2021,24892.11
Bolaang Mongondow Timur,2022,26273.71
Bolaang Mongondow Timur,2023,35693.42
Bolaang Mongondow Timur,2024,33267.0
Bolaang Mongondow Utara,2018,19144.66
Bolaang Mongondow Utara,2019,18159.33
Bolaang Mongondow Utara,2020,17216.48
Bolaang Mongondow Utara,2021,24254.79
Bolaang Mongondow Utara,2022,18667.6
Bolaang Mongondow Utara,2023,21277.0
Bolaang Mongondow Utara,2024,21988.0
Bombana,2018,20926.64
Bombana,2019,20238.03
Bombana,2020,19199.86
Bombana,2021,22584.99
Bombana,2022,22218.41
Bombana,2023,24394.64
Bombana,2024,24754.0
Bondowoso,2018,10094.46
Bondowoso,2019,12592.16
Bondowoso,2020,12906.4
Bondowoso,2021,14750.99
Bondowoso,2022,15195.67
Bondowoso,2023,19347.75
Bondowoso,2024,21429.0
Bone,2018,12980.27
Bone,2019,14687.65
Bone,2020,14111.0
Bone,2021,15711.32
Bone,2022,16845.77
Bone,2023,16331.61
