Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
riau - kampar,4,4.11,7.38,18.77,0.00,28.27,9.15,6.57,70.76,0.00,61.78,337,
riau - indragiri hulu,4,3.84,5.96,9.68,1.30,23.34,8.60,5.68,70.25,0.00,64.66,332,
riau - bengkalis,4,4.26,6.40,16.73,0.31,32.31,9.81,4.21,71.20,0.00,61.15,341,
riau - indragiri hilir,5,1.38,5.93,28.31,5.21,69.56,7.57,6.49,67.85,0.00,69.15,299,
riau - pelalawan,4,3.53,9.16,21.19,1.17,14.22,8.43,10.13,71.16,0.00,66.16,325,
riau - rokan hulu,3,4.94,10.31,23.19,0.59,25.19,8.47,6.56,70.06,0.00,54.92,361,
riau - rokan hilir,4,2.72,6.72,28.47,1.68,36.27,8.51,4.83,70.30,0.00,67.48,312,
riau - siak,6,2.18,5.09,21.75,0.64,16.89,9.85,6.72,71.11,0.00,76.84,198,
riau - kuantan singingi,5,2.06,8.91,21.51,1.01,26.51,8.61,6.73,68.55,0.00,72.64,263,
riau - kepulauan meranti,1,5.00,25.28,19.24,3.45,87.94,8.05,6.07,67.68,0.00,38.12,393,
riau - kota pekanbaru,6,0.00,2.62,6.22,0.00,5.84,12.02,0.11,72.34,0.00,90.56,2,
riau - kota dumai,6,0.00,3.16,11.46,0.00,9.30,10.14,1.27,70.93,0.00,78.64,50,
jambi - kerinci,6,0.35,7.30,22.35,3.10,28.30,8.76,2.59,69.93,0.00,83.31,61,
jambi - merangin,6,1.06,8.63,28.02,2.59,43.23,8.01,3.85,71.26,0.00,77.23,193,
jambi - sarolangun,5,2.04,8.42,27.73,0.20,43.90,8.08,5.68,69.17,0.00,70.82,287,
jambi - batanghari,5,1.57,9.65,37.47,0.52,38.83,8.60,4.77,70.56,0.00,73.52,253,
jambi - muaro jambi,5,2.52,3.83,27.72,1.12,31.68,8.97,4.22,71.27,0.00,72.79,261,
jambi - tanjung jabung barat,5,1.59,10.29,38.87,3.62,56.03,7.99,4.01,68.12,0.00,68.54,307,
jambi - tanjung jabung timur,5,0.66,10.95,30.80,1.44,65.54,7.23,6.17,66.23,0.00,72.21,270,
jambi - bungo,5,2.27,5.80,21.43,0.32,42.05,8.30,2.63,67.74,0.00,70.69,289,
jambi - tebo,5,1.72,6.26,33.19,0.82,43.97,7.76,5.69,69.99,0.00,72.73,262,
jambi - kota jambi,6,0.00,8.27,15.62,0.00,6.66,10.93,0.05,72.65,0.00,79.73,44,
jambi - kota sungai penuh,6,0.00,3.03,22.32,0.52,9.71,10.38,0.51,72.11,0.00,74.45,59,
sumatera selatan - ogan komering ulu,5,1.21,12.75,30.42,1.34,24.80,8.61,2.38,68.20,0.00,74.93,230,
sumatera selatan - ogan komering ilir,6,0.26,14.73,35.39,0.97,34.72,7.24,7.50,68.61,0.00,76.81,199,
sumatera selatan - muara enim,5,1.60,12.32,15.91,0.35,36.74,7.96,3.56,68.90,0.00,71.54,280,
sumatera selatan - lahat,5,1.04,15.95,35.45,0.05,56.54,8.75,4.04,66.04,0.00,68.85,301,
sumatera selatan - musi rawas,5,0.41,13.50,32.37,1.84,46.45,7.66,4.32,68.14,0.00,75.33,226,
sumatera selatan - musi banyuasin,6,0.59,16.13,16.38,1.45,32.07,7.76,7.12,68.75,0.00,77.27,189,
sumatera selatan - banyuasin,6,0.15,11.17,32.05,0.53,48.05,7.45,5.77,68.97,0.00,78.30,172,
sumatera selatan - ogan komering ulu timur,6,0.17,10.43,22.21,0.18,43.97,7.67,1.26,69.10,0.00,80.50,122,
sumatera selatan - ogan komering ulu selatan,5,0.32,10.85,57.76,5.77,49.80,8.02,4.72,67.04,0.00,74.30,240,
sumatera selatan - ogan ilir,5,0.84,13.36,40.65,1.15,42.84,8.31,1.87,65.48,0.00,71.74,278,
sumatera selatan - empat lawang,4,0.79,12.63,40.86,4.23,80.20,7.94,2.89,65.08,0.00,66.07,326,
sumatera selatan - penukal abab lematang ilir,5,1.36,12.62,17.01,0.31,43.33,7.19,2.11,68.27,0.00,71.31,282,
sumatera selatan - musi rawas utara,4,2.15,19.47,36.42,3.55,49.37,7.46,6.77,65.68,0.00,60.33,345,
sumatera selatan - kota palembang,6,0.00,10.89,15.77,0.00,2.87,10.43,0.05,70.79,0.00,73.83,61,
sumatera selatan - kota pagar alam,3,0.00,9.07,34.99,0.05,43.19,9.63,1.03,66.71,0.00,47.09,95,
sumatera selatan - kota lubuklinggau,4,0.00,12.71,16.95,0.64,31.91,10.00,0.33,69.25,0.00,53.91,94,
sumatera selatan - kota prabumulih,4,0.00,11.59,16.91,0.15,34.21,10.07,0.15,70.32,0.00,60.17,91,
bengkulu - bengkulu selatan,5,0.38,17.82,41.00,0.26,62.62,9.16,1.14,67.90,0.00,72.30,269,
bengkulu - rejang lebong,4,1.37,15.85,25.95,1.84,65.67,8.35,1.46,68.57,0.00,67.54,310,
bengkulu - bengkulu utara,5,1.63,11.67,29.41,2.17,54.46,7.93,3.35,68.19,0.00,68.21,308,
bengkulu - kaur,5,0.63,18.47,32.19,0.56,47.55,8.61,4.20,66.63,0.00,72.12,272,
bengkulu - seluma,4,0.76,18.56,29.86,0.76,72.23,8.21,2.63,67.75,0.00,67.29,314,
bengkulu - mukomuko,6,0.81,11.72,27.76,0.75,32.26,8.61,3.72,66.64,0.00,76.17,209,
bengkulu - lebong,5,0.42,11.85,43.61,0.84,42.80,8.07,3.94,63.29,0.00,74.38,237,
bengkulu - kepahiang,5,1.27,14.69,35.23,2.22,54.02,8.71,0.84,67.95,0.00,68.68,302,
bengkulu - bengkulu tengah,5,1.65,9.30,30.93,0.63,60.48,7.93,1.89,68.19,0.00,68.63,304,
bengkulu - kota bengkulu,5,0.00,17.65,10.70,0.00,15.34,11.66,0.06,70.13,0.00,67.82,81,
lampung - lampung selatan,6,0.26,14.08,30.69,0.19,30.98,7.75,1.24,69.33,0.00,79.66,142,
lampung - lampung tengah,6,0.13,11.82,25.11,0.00,47.25,7.65,1.55,69.84,0.00,80.16,129,
lampung - lampung utara,5,0.16,19.30,31.29,0.07,63.26,8.47,1.30,69.21,0.00,73.00,258,
lampung - lampung barat,5,0.86,12.52,33.28,2.47,60.63,8.32,2.29,67.58,0.00,70.80,288,
lampung - tulang bawang,6,0.14,9.33,18.89,0.51,21.77,8.09,2.56,69.97,0.00,84.58,44,
lampung - tanggamus,5,0.69,11.68,31.91,0.05,45.55,7.56,2.23,68.56,0.00,75.34,225,
lampung - lampung timur,6,0.14,14.62,23.43,0.21,34.61,7.88,2.35,70.73,0.00,81.20,104,
lampung - way kanan,5,0.25,12.90,35.59,0.65,57.98,7.70,2.83,69.40,0.00,74.96,229,
lampung - pesawaran,6,0.29,14.76,35.36,0.47,32.21,7.97,1.25,69.04,0.00,78.96,158,
lampung - pringsewu,6,0.44,9.97,30.13,0.22,15.35,8.51,0.41,70.08,0.00,84.05,50,
lampung - mesuji,6,0.12,7.33,12.38,1.23,18.12,7.20,3.39,68.19,0.00,85.60,23,
lampung - tulang bawang barat,6,0.15,7.39,25.44,0.00,64.69,7.71,1.70,70.00,0.00,78.58,167,
lampung - pesisir barat,5,0.39,14.29,44.86,2.32,56.27,8.53,4.84,63.50,0.00,71.60,279,
lampung - kota bandar lampung,6,0.00,8.81,14.60,0.00,11.33,10.63,0.04,71.37,0.00,74.17,60,
lampung - kota metro,6,0.00,8.47,10.68,0.12,17.27,11.22,0.06,71.63,0.00,76.74,54,
kepulauan bangka belitung - bangka,6,1.46,4.51,14.56,0.00,16.97,8.25,1.86,71.06,0.00,81.15,105,
kepulauan bangka belitung - belitung,4,5.00,6.27,9.55,0.62,8.88,8.50,2.82,71.05,0.00,60.93,343,
kepulauan bangka belitung - bangka selatan,6,0.60,3.52,32.03,0.97,25.05,7.09,5.60,68.16,0.00,81.93,89,
kepulauan bangka belitung - bangka tengah,3,5.00,4.85,17.82,0.15,16.76,7.57,3.37,71.36,0.00,58.87,349,
kepulauan bangka belitung - bangka barat,6,1.65,2.70,13.78,0.30,23.11,7.40,3.68,70.06,0.00,78.58,166,
kepulauan bangka belitung - belitung timur,4,4.05,6.52,13.62,0.89,12.12,8.58,4.28,72.03,0.00,66.52,318,
kepulauan bangka belitung - kota pangkalpinang,6,0.00,4.36,5.08,0.00,12.81,10.15,0.08,73.30,0.00,84.59,18,
kepulauan riau - bintan,3,5.00,6.36,9.31,0.38,26.00,9.24,1.48,70.38,0.00,58.82,350,
kepulauan riau - karimun,3,5.00,6.83,18.01,0.82,23.31,8.47,0.95,70.91,0.00,58.12,351,
kepulauan riau - natuna,3,5.00,4.43,17.72,0.93,14.51,8.71,2.96,65.06,0.00,57.64,355,
kepulauan riau - lingga,2,5.00,13.85,31.57,3.25,41.47,6.79,3.64,62.06,0.00,46.35,382,
kepulauan riau - kepulauan anambas,3,5.00,6.56,15.39,1.54,41.24,7.85,1.26,67.21,0.00,53.51,365,
kepulauan riau - kota batam,6,0.00,4.75,5.06,0.00,0.90,10.92,0.30,73.33,0.00,88.60,5,
kepulauan riau - kota tanjungpinang,6,0.00,9.37,5.33,0.06,8.87,10.63,0.11,72.10,0.00,79.80,42,
dki jakarta - kepulauan seribu,2,5.00,14.87,72.09,0.00,3.30,8.81,0.05,68.76,0.00,51.39,372,
dki jakarta - jakarta pusat,6,0.00,4.51,15.52,0.00,1.13,11.18,0.00,74.11,0.00,84.73,17,
dki jakarta - jakarta utara,6,0.00,6.78,23.37,0.00,0.53,10.56,0.02,73.28,0.00,79.54,46,
dki jakarta - jakarta barat,6,0.00,4.25,18.22,0.00,2.82,10.46,0.01,73.62,0.00,84.01,23,
dki jakarta - jakarta selatan,6,0.00,3.43,12.68,0.00,14.98,11.37,0.01,74.12,0.00,84.41,19,
dki jakarta - jakarta timur,6,0.00,4.16,13.61,0.00,11.35,11.18,0.01,74.47,0.00,83.97,25,
jawa barat - bogor,5,2.53,7.69,27.27,0.00,33.39,8.12,0.39,71.17,0.00,68.90,300,
jawa barat - sukabumi,6,0.68,7.09,45.16,0.00,54.25,7.42,1.03,70.97,0.00,76.31,204,
jawa barat - cianjur,6,0.63,10.36,37.64,0.45,40.56,7.32,0.95,70.13,0.00,77.21,194,
jawa barat - bandung,6,1.63,6.91,29.01,0.00,15.69,9.17,0.47,73.53,0.00,79.41,149,
jawa barat - garut,6,0.47,9.98,57.71,0.05,47.28,7.68,0.75,71.41,0.00,76.52,203,
jawa barat - tasikmalaya,5,0.63,10.34,57.46,0.09,43.27,7.73,1.05,69.47,0.00,74.51,233,
jawa barat - ciamis,6,0.66,7.62,39.72,0.00,35.06,7.78,0.63,71.83,0.00,80.01,132,
jawa barat - kuningan,6,0.56,12.82,48.11,0.00,25.14,7.93,0.42,73.59,0.00,80.86,111,
jawa barat - cirebon,6,0.82,11.24,40.29,0.26,25.94,7.43,0.20,71.99,0.00,78.84,162,
jawa barat - majalengka,6,0.36,11.43,49.01,0.00,20.33,7.62,0.45,70.27,0.00,80.79,113,
jawa barat - sumedang,6,0.44,10.26,33.68,0.04,21.41,8.83,0.75,72.43,0.00,83.73,54,
jawa barat - indramayu,6,0.24,12.70,45.37,0.12,7.99,6.31,0.75,71.63,0.00,83.07,69,
jawa barat - subang,6,0.29,9.31,30.01,0.09,30.95,7.10,0.69,72.35,0.00,82.81,75,
jawa barat - purwakarta,6,1.00,8.27,25.46,0.00,32.40,8.14,0.34,70.99,0.00,79.14,154,
jawa barat - karawang,6,0.41,8.26,24.06,0.06,16.44,7.80,0.28,72.15,0.00,85.63,22,
jawa barat - bekasi,6,1.13,4.82,21.57,0.00,5.04,9.52,0.21,73.68,0.00,86.29,15,
jawa barat - bandung barat,5,1.48,10.49,45.16,0.28,29.70,8.34,0.60,72.34,0.00,74.18,241,
jawa barat - pangandaran,6,0.47,8.99,37.59,0.00,34.34,7.83,1.08,71.40,0.00,80.64,119,
jawa barat - kota bogor,6,0.00,6.68,17.90,0.00,12.78,9.93,0.03,73.61,0.00,74.53,58,
jawa barat - kota sukabumi,5,0.00,7.70,26.44,0.27,23.15,9.65,0.03,72.42,0.00,64.05,85,
jawa barat - kota bandung,6,0.00,3.99,12.65,0.00,9.77,10.67,0.01,74.28,0.00,82.15,33,
jawa barat - kota cirebon,6,0.00,9.52,16.98,0.00,1.73,9.65,0.01,72.26,0.00,73.01,63,
jawa barat - kota bekasi,6,0.00,4.38,12.79,0.00,9.30,11.08,0.03,75.01,0.00,85.20,15,
jawa barat - kota depok,6,0.00,2.45,7.20,0.00,19.47,11.21,0.03,74.44,0.00,86.04,11,
jawa barat - kota cimahi,6,0.00,5.11,13.00,0.00,8.08,10.75,0.02,74.03,0.00,82.75,31,
jawa barat - kota tasikmalaya,5,0.00,12.97,19.28,0.12,19.99,9.56,0.08,72.15,0.00,63.12,87,
jawa barat - kota banjar,4,0.00,6.09,41.36,0.00,19.04,8.60,0.18,70.99,0.00,60.63,90,
jawa tengah - cilacap,6,0.40,11.46,19.67,0.00,22.62,7.10,0.61,73.73,0.00,84.23,48,
jawa tengah - banyumas,6,0.99,13.26,19.85,0.00,23.33,7.85,0.24,73.72,0.00,79.97,133,
jawa tengah - purbalingga,6,0.81,15.90,22.47,0.07,25.24,7.64,0.34,73.14,0.00,79.33,150,
jawa tengah - banjarnegara,6,0.92,15.64,22.57,0.12,26.79,7.16,0.55,74.18,0.00,78.99,157,
jawa tengah - kebumen,6,0.60,17.59,25.63,0.34,35.50,7.41,0.36,73.40,0.00,78.56,168,
jawa tengah - purworejo,6,0.46,11.78,31.85,0.00,28.11,8.47,0.57,74.72,0.00,83.28,62,
jawa tengah - wonosobo,6,0.72,17.36,27.26,0.00,6.30,7.12,0.67,71.82,0.00,79.83,139,
jawa tengah - magelang,6,1.05,11.27,25.11,0.19,20.65,7.80,0.65,73.72,0.00,79.92,135,
jawa tengah - boyolali,6,0.52,10.18,14.61,0.00,25.74,7.87,0.44,75.95,0.00,85.14,35,
jawa tengah - klaten,6,0.58,12.89,29.68,0.00,35.60,8.63,0.19,76.78,0.00,81.60,98,
jawa tengah - sukoharjo,6,0.49,7.68,14.03,0.00,18.71,9.37,0.14,77.65,0.00,88.70,4,
jawa tengah - wonogiri,6,0.18,10.86,23.19,0.00,12.67,7.28,0.79,76.16,0.00,88.04,8,
jawa tengah - karanganyar,6,0.54,10.28,19.44,0.00,12.63,8.56,0.37,77.47,0.00,87.63,9,
jawa tengah - sragen,6,0.22,13.38,14.36,0.00,8.99,7.59,0.32,75.71,0.00,87.55,10,
jawa tengah - grobogan,6,0.22,12.46,38.63,0.00,9.66,7.16,0.64,74.75,0.00,85.39,28,
jawa tengah - blora,6,0.21,11.96,31.09,0.03,9.25,6.96,0.88,74.41,0.00,85.87,18,
jawa tengah - rembang,6,0.45,15.60,33.44,0.00,14.34,7.51,0.55,74.55,0.00,83.07,68,
jawa tengah - pati,6,0.21,10.08,19.52,0.00,17.40,7.53,0.44,76.22,0.00,88.38,5,
jawa tengah - kudus,6,0.76,7.31,14.87,0.00,17.50,8.80,0.14,76.60,0.00,86.69,13,
jawa tengah - jepara,6,0.58,7.17,19.64,0.00,26.11,7.90,0.44,75.84,0.00,84.98,36,
jawa tengah - demak,6,0.30,12.54,24.78,0.00,12.39,8.07,0.44,75.40,0.00,85.82,19,
jawa tengah - semarang,6,0.76,7.51,17.62,0.00,13.99,8.23,0.46,75.73,0.00,86.55,14,
jawa tengah - temanggung,6,1.18,9.96,14.89,0.00,19.09,7.48,0.48,75.58,0.00,81.69,94,
jawa tengah - kendal,6,0.63,9.99,22.77,0.00,14.09,7.86,0.46,74.43,0.00,85.18,31,
jawa tengah - batang,6,0.72,9.13,24.54,0.55,24.53,7.22,0.46,74.69,0.00,82.98,71,
jawa tengah - pekalongan,6,0.88,10.19,32.35,0.00,26.81,7.36,0.47,73.69,0.00,79.33,151,
jawa tengah - pemalang,6,0.61,16.02,36.01,0.00,25.46,6.75,0.44,73.40,0.00,78.35,171,
jawa tengah - tegal,6,0.68,8.14,23.38,0.00,25.13,7.02,0.28,71.60,0.00,81.80,92,
jawa tengah - brebes,6,0.62,17.03,24.48,0.15,24.15,6.37,0.55,69.33,0.00,76.91,197,
jawa tengah - kota magelang,6,0.00,7.58,13.01,0.00,6.67,10.65,0.01,76.85,0.00,82.59,32,
jawa tengah - kota surakarta,6,0.00,9.03,10.18,0.00,13.85,10.85,0.01,77.22,0.00,77.92,53,
jawa tengah - kota salatiga,6,0.00,4.94,5.28,0.00,8.04,10.43,0.05,77.40,0.00,85.55,13,
jawa tengah - kota semarang,6,0.00,4.34,9.33,0.00,4.91,10.32,0.04,77.34,0.00,86.67,10,
jawa tengah - kota pekalongan,5,0.00,7.17,20.63,0.17,22.70,9.24,0.03,74.38,0.00,68.85,78,
jawa tengah - kota tegal,6,0.00,7.80,15.95,0.14,0.16,8.90,0.02,74.46,0.00,78.39,51,
di yogyakarta - kulon progo,6,0.67,18.01,27.11,0.39,18.32,9.10,0.41,75.24,0.00,81.46,101,
di yogyakarta - bantul,6,1.29,13.50,21.28,0.21,18.64,9.36,0.17,73.86,0.00,80.06,130,
di yogyakarta - gunungkidul,6,0.19,17.07,43.31,0.00,30.54,7.18,0.94,74.12,0.00,80.36,124,
di yogyakarta - sleman,6,1.52,8.12,13.55,0.00,16.70,11.12,0.09,74.81,0.00,83.39,59,
di yogyakarta - kota yogyakarta,6,0.00,7.27,7.57,0.00,18.53,11.44,0.01,74.65,0.00,81.88,35,
jawa timur - pacitan,6,0.49,14.54,30.03,0.16,35.03,7.60,1.16,71.94,0.00,79.49,147,
jawa timur - ponorogo,6,0.25,9.95,20.64,0.00,24.54,7.74,0.56,72.77,0.00,85.26,30,
jawa timur - trenggalek,6,0.51,11.62,28.79,0.05,36.63,7.86,0.74,73.75,0.00,80.84,112,
jawa timur - tulungagung,6,0.50,7.33,22.46,0.00,29.64,8.62,0.39,74.08,0.00,85.15,34,
jawa timur - blitar,6,0.52,9.33,18.20,0.11,29.03,7.61,0.72,73.52,0.00,83.83,52,
jawa timur - kediri,6,0.75,11.40,23.67,0.08,30.36,8.13,0.51,72.61,0.00,80.64,118,
jawa timur - malang,6,1.00,10.15,23.07,0.00,26.64,7.68,0.73,72.55,0.00,79.85,138,
jawa timur - lumajang,6,0.52,9.83,37.32,0.00,35.96,6.79,0.79,70.10,0.00,78.70,165,
jawa timur - jember,6,0.56,10.09,40.44,0.00,36.47,6.79,0.74,69.15,0.00,76.70,201,
jawa timur - banyuwangi,6,0.52,8.06,21.51,0.09,24.79,7.14,1.62,70.65,0.00,82.80,78,
jawa timur - bondowoso,5,0.40,14.17,48.67,0.00,30.82,5.99,0.77,66.74,0.00,74.89,231,
