Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
aceh - aceh selatan,5,0.57,12.87,44.16,0.13,32.74,9.18,2.60,64.35,0.00,75.55,220,
aceh - aceh tenggara,6,0.22,13.21,46.15,0.53,43.56,9.38,3.01,68.14,0.00,76.22,207,
aceh - aceh timur,6,0.47,14.08,41.57,0.42,43.11,8.51,2.17,68.72,0.00,76.08,213,
aceh - aceh tengah,4,2.30,15.08,25.81,0.83,35.64,10.03,2.63,68.85,0.00,66.31,322,
aceh - aceh barat,6,0.56,18.34,29.72,0.43,24.74,9.63,2.38,67.98,0.00,77.98,173,
aceh - aceh besar,6,0.39,13.84,35.14,0.19,11.28,10.13,1.78,69.78,0.00,83.09,67,
aceh - pidie,5,0.32,19.23,50.78,0.76,33.30,9.47,0.76,66.94,0.00,75.39,223,
aceh - aceh utara,6,0.28,17.02,43.61,0.00,38.30,9.33,0.71,68.80,0.00,77.38,188,
aceh - simeulue,5,1.00,18.49,37.11,0.43,16.83,9.66,2.46,65.26,0.00,74.30,239,
aceh - aceh singkil,3,4.18,20.20,35.53,0.19,39.69,8.64,3.22,67.39,0.00,51.97,370,
aceh - bireuen,6,0.33,13.06,38.37,0.53,32.60,9.57,0.52,71.22,0.00,80.29,125,
aceh - aceh barat daya,6,0.36,15.93,44.38,0.70,30.23,9.06,1.52,65.00,0.00,76.31,205,
aceh - gayo lues,5,0.44,19.32,41.56,1.53,31.78,8.52,9.14,65.47,0.00,73.79,248,
aceh - aceh jaya,6,0.26,12.87,38.86,0.00,26.81,9.00,4.89,67.16,0.00,79.95,134,
aceh - nagan raya,6,0.72,17.70,29.75,0.38,26.80,9.79,2.54,69.22,0.00,77.41,187,
aceh - aceh tamiang,6,0.71,13.08,32.82,0.09,27.19,8.85,1.31,69.58,0.00,78.81,163,
aceh - bener meriah,2,5.00,18.89,31.67,0.37,31.21,9.92,1.07,69.22,0.00,49.97,376,
aceh - pidie jaya,6,0.27,19.19,54.22,0.00,31.10,9.59,0.72,70.14,0.00,77.24,190,
aceh - kota banda aceh,6,0.00,6.90,5.31,0.00,0.44,12.08,0.02,71.45,0.00,85.82,12,
aceh - kota sabang,5,0.00,14.94,23.01,0.30,1.07,11.07,0.45,70.51,0.00,67.15,83,
aceh - kota lhokseumawe,5,0.00,10.80,23.08,0.47,6.05,10.71,0.09,71.60,0.00,67.45,82,
aceh - kota langsa,6,0.00,10.44,15.87,0.00,9.57,10.94,0.31,69.42,0.00,71.08,72,
aceh - kota subulussalam,1,0.00,17.60,28.69,0.20,46.08,9.01,2.39,64.02,0.00,27.85,98,
sumatera utara - tapanuli tengah,5,1.47,12.38,40.64,2.83,36.61,9.03,1.43,67.15,0.00,70.19,292,
sumatera utara - tapanuli utara,6,0.29,9.37,49.83,0.92,44.63,9.79,2.57,68.63,0.00,77.70,180,
sumatera utara - tapanuli selatan,5,0.51,8.47,43.52,2.30,55.08,9.37,6.51,64.91,0.00,74.16,242,
sumatera utara - nias,4,0.67,16.60,30.02,20.91,73.71,6.36,1.83,69.75,0.00,65.29,330,
sumatera utara - langkat,6,0.95,9.73,29.23,0.00,28.46,8.71,1.97,68.80,0.00,78.80,164,
sumatera utara - karo,6,0.18,8.70,50.37,0.19,28.96,10.16,1.53,71.40,0.00,83.22,64,
sumatera utara - deli serdang,6,0.76,3.88,22.57,0.23,15.71,10.07,0.65,71.73,0.00,85.66,21,
sumatera utara - simalungun,6,0.44,8.46,31.95,0.39,34.05,9.84,2.17,71.22,0.00,81.77,93,
sumatera utara - asahan,5,1.92,9.04,22.84,0.20,22.77,9.27,2.06,68.26,0.00,74.10,243,
sumatera utara - labuhanbatu,5,1.35,8.44,26.56,0.55,41.81,9.30,1.21,69.93,0.00,74.48,235,
sumatera utara - dairi,6,0.30,8.04,40.84,1.38,31.91,9.79,2.26,69.00,0.00,80.71,116,
sumatera utara - toba samosir,6,0.27,8.71,45.79,0.70,36.54,10.38,2.31,70.08,0.00,81.27,103,
sumatera utara - mandailing natal,4,0.95,9.18,50.80,4.52,56.34,8.88,3.12,62.60,0.00,67.31,313,
sumatera utara - nias selatan,4,0.89,16.74,46.50,16.04,70.06,7.27,0.95,68.74,0.00,63.54,334,
sumatera utara - pakpak bharat,5,0.84,9.28,39.83,2.01,60.00,9.51,3.25,65.74,0.00,71.12,283,
sumatera utara - humbang hasundutan,5,0.37,9.36,52.36,2.40,53.17,9.66,3.49,69.27,0.00,75.51,222,
sumatera utara - samosir,6,0.40,12.48,41.87,1.29,51.27,9.66,3.76,71.27,0.00,77.60,183,
sumatera utara - serdang bedagai,6,0.18,7.97,33.36,0.13,23.54,8.71,1.48,68.68,0.00,83.23,63,
sumatera utara - batu bara,6,0.90,11.88,29.67,0.71,33.72,8.52,1.07,66.96,0.00,76.15,212,
sumatera utara - padang lawas utara,5,1.24,9.70,45.08,2.88,55.27,9.69,3.50,67.17,0.00,68.56,306,
sumatera utara - padang lawas,5,1.39,8.37,41.09,2.57,48.30,9.37,3.43,67.09,0.00,69.99,294,
sumatera utara - labuhanbatu selatan,3,5.00,8.34,21.04,0.66,27.81,9.11,3.53,68.71,0.00,54.15,364,
sumatera utara - labuhanbatu utara,5,1.23,9.53,26.35,0.35,42.98,8.74,2.36,69.46,0.00,74.49,234,
sumatera utara - nias utara,4,0.70,25.07,31.21,17.34,61.84,7.11,1.54,69.43,0.00,66.60,317,
sumatera utara - nias barat,4,0.68,25.69,40.95,11.02,83.44,6.92,0.89,68.96,0.00,61.29,340,
sumatera utara - kota medan,6,0.00,8.01,9.77,0.00,2.07,11.11,0.02,73.14,0.00,85.02,16,
sumatera utara - kota pematangsiantar,6,0.00,8.27,21.72,0.00,8.82,11.13,0.03,73.55,0.00,79.63,45,
sumatera utara - kota sibolga,6,0.00,11.95,22.24,0.00,5.38,10.58,0.05,69.01,0.00,71.27,71,
sumatera utara - kota tanjung balai,4,0.00,13.33,44.53,0.31,0.66,9.77,0.12,63.27,0.00,54.30,93,
sumatera utara - kota binjai,6,0.00,5.71,15.90,0.00,8.55,10.95,0.04,72.38,0.00,81.49,38,
sumatera utara - kota tebing tinggi,5,0.00,9.85,22.47,0.00,20.66,10.42,0.03,70.87,0.00,69.41,76,
sumatera utara - kota padang sidimpuan,4,0.00,7.40,18.16,0.81,38.23,11.23,0.10,69.41,0.00,60.72,89,
sumatera utara - kota gunungsitoli,3,0.00,16.41,22.13,1.37,26.42,8.76,0.44,71.19,0.00,45.67,96,
sumatera barat - pesisir selatan,6,0.37,7.61,24.85,1.43,17.70,8.60,3.68,70.86,0.00,85.48,25,
sumatera barat - solok,6,0.38,7.81,38.45,1.53,30.43,7.51,3.53,68.58,0.00,79.59,144,
sumatera barat - sijunjung,6,0.64,6.78,30.46,0.74,30.61,8.24,4.03,66.21,0.00,78.88,160,
sumatera barat - tanah datar,6,0.30,4.40,39.74,0.43,25.68,9.01,1.39,69.94,0.00,84.68,42,
sumatera barat - padang pariaman,6,0.45,6.95,32.48,1.32,24.79,8.11,1.42,68.79,0.00,82.50,80,
sumatera barat - agam,6,0.40,6.75,35.05,0.86,26.07,9.43,2.01,72.37,0.00,84.48,45,
sumatera barat - lima puluh kota,6,0.38,6.86,38.13,0.21,35.56,8.16,4.69,69.79,0.00,80.66,117,
sumatera barat - pasaman,6,0.28,7.16,41.34,1.06,34.82,8.54,3.81,67.40,0.00,79.57,145,
sumatera barat - kepulauan mentawai,1,5.00,14.35,58.61,17.99,72.75,6.70,8.99,64.73,0.00,37.67,394,
sumatera barat - dharmasraya,6,1.02,6.23,21.74,0.36,29.86,8.96,3.74,71.33,0.00,80.62,120,
sumatera barat - solok selatan,6,0.30,7.15,31.95,0.43,27.39,9.13,4.59,67.81,0.00,82.87,74,
sumatera barat - pasaman barat,6,0.38,7.04,40.09,0.66,32.91,8.64,3.03,67.82,0.00,80.02,131,
sumatera barat - kota padang,6,0.00,4.40,10.05,0.05,2.08,11.86,0.12,73.65,0.00,87.73,6,
sumatera barat - kota solok,6,0.00,2.77,9.59,0.00,3.99,11.09,0.07,73.61,0.00,87.45,7,
sumatera barat - kota sawahlunto,5,0.00,2.16,20.43,1.38,8.24,10.50,0.52,70.00,0.00,69.82,75,
sumatera barat - kota padang panjang,6,0.00,5.24,11.50,0.00,6.38,11.79,0.05,72.82,0.00,83.65,29,
sumatera barat - kota bukittinggi,6,0.00,4.54,8.56,0.00,4.67,11.50,0.02,74.38,0.00,88.90,3,
sumatera barat - kota payakumbuh,6,0.00,5.65,14.32,0.00,2.35,10.74,0.12,73.74,0.00,84.00,24,
sumatera barat - kota pariaman,6,0.00,4.10,25.92,0.37,17.20,11.10,0.11,70.28,0.00,72.93,65,
