Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
sumatera utara - tapanuli selatan,5,0.52,9.16,59.05,5.61,44.80,8.77,8.33,64.55,28.76,73.81,233,
sumatera utara - nias,4,0.85,16.37,57.98,33.47,78.73,4.91,2.23,69.43,61.32,59.70,344,
sumatera utara - langkat,6,1.15,10.20,35.37,0.17,26.15,8.61,3.67,68.22,31.64,76.29,195,
sumatera utara - karo,6,0.39,8.67,53.54,1.39,28.52,9.53,2.04,70.97,29.59,81.49,76,
sumatera utara - deli serdang,6,1.18,4.13,23.72,0.11,18.31,9.98,0.61,71.31,25.68,83.17,41,
sumatera utara - simalungun,6,0.38,9.31,39.27,0.44,40.42,9.31,1.64,70.75,28.43,80.60,98,
sumatera utara - asahan,5,2.13,10.25,31.48,0.29,18.22,8.71,2.65,67.79,24.87,72.29,252,
sumatera utara - labuhanbatu,4,2.58,8.61,34.95,3.79,36.88,9.06,2.41,69.60,36.38,66.75,316,
sumatera utara - dairi,6,0.45,8.20,62.36,1.16,37.03,9.16,1.40,68.41,40.17,77.18,171,
sumatera utara - toba samosir,6,0.23,8.67,45.85,3.33,28.61,10.14,2.33,69.59,29.74,82.61,52,
sumatera utara - mandailing natal,4,0.91,9.58,55.17,8.48,59.78,8.38,17.02,62.24,48.30,65.83,321,
sumatera utara - nias selatan,4,1.29,16.65,42.59,26.38,65.40,5.69,1.47,68.24,45.06,62.01,333,
sumatera utara - pakpak bharat,4,1.06,9.74,49.05,2.67,65.32,8.24,4.74,65.27,45.58,67.04,311,
sumatera utara - humbang hasundutan,5,0.41,9.00,47.79,1.37,59.03,9.12,5.94,68.69,41.33,74.70,224,
sumatera utara - samosir,5,0.54,13.38,61.97,0.68,59.01,9.07,4.24,70.87,24.37,73.65,237,
sumatera utara - serdang bedagai,6,0.26,8.22,40.16,0.51,31.46,8.71,1.43,68.08,35.99,80.95,91,
sumatera utara - batu bara,5,1.08,12.57,42.72,0.41,25.83,8.04,1.51,66.38,23.72,74.94,216,
sumatera utara - padang lawas utara,4,2.24,10.06,47.21,7.37,51.90,9.01,5.12,66.77,47.53,62.47,329,
sumatera utara - padang lawas,4,1.68,8.41,46.74,7.45,51.21,8.95,4.44,66.69,42.89,66.93,312,
sumatera utara - labuhanbatu selatan,2,5.00,10.00,37.93,1.46,36.14,8.96,4.22,68.39,34.88,51.02,373,
sumatera utara - labuhanbatu utara,6,0.84,10.12,41.39,3.97,32.87,8.46,2.42,69.09,31.23,76.80,180,
sumatera utara - nias utara,3,1.53,26.56,51.92,27.92,65.80,5.92,2.91,68.98,45.46,56.38,359,
sumatera utara - nias barat,2,2.56,26.72,47.44,18.07,83.03,6.19,0.73,68.50,45.86,48.50,379,
sumatera utara - kota medan,6,50.00,8.25,16.41,0.00,3.94,11.35,0.03,72.64,27.02,80.91,33,
sumatera utara - kota pematangsiantar,6,2.98,8.70,31.75,0.00,6.08,10.80,0.06,72.93,20.52,76.45,48,
sumatera utara - kota sibolga,5,50.00,12.38,34.27,0.00,9.88,10.11,0.07,68.36,23.36,65.23,82,
sumatera utara - kota tanjung balai,4,46.26,14.64,48.72,0.00,1.40,9.41,0.16,62.60,35.90,52.19,93,
sumatera utara - kota binjai,6,5.63,5.88,20.72,0.00,8.99,10.71,0.04,71.95,28.28,78.33,43,
sumatera utara - kota tebing tinggi,5,3.96,10.27,20.26,0.58,20.97,10.24,0.05,70.47,25.92,66.16,77,
sumatera utara - kota padang sidimpuan,4,1.47,7.69,28.36,0.29,34.70,10.87,0.11,68.73,39.83,59.75,90,
sumatera utara - kota gunungsitoli,2,3.93,18.44,19.80,2.59,24.71,8.36,0.53,70.67,40.37,37.46,97,
sumatera barat - pesisir selatan,6,0.36,7.59,33.64,1.69,28.71,8.41,6.68,70.45,26.54,82.77,49,
sumatera barat - solok,6,0.40,8.88,46.20,2.70,30.14,8.39,3.95,67.95,41.46,78.60,143,
sumatera barat - sijunjung,6,0.72,7.11,35.67,3.54,29.80,8.11,6.48,65.69,35.00,77.35,167,
sumatera barat - tanah datar,6,0.29,5.32,36.62,1.04,19.86,8.76,1.74,69.38,26.27,85.22,14,
sumatera barat - padang pariaman,6,0.45,8.04,39.54,1.73,39.31,7.94,1.36,68.23,26.09,79.06,128,
sumatera barat - agam,6,0.38,6.76,36.56,1.25,36.07,8.97,2.86,71.83,30.04,82.49,56,
sumatera barat - lima puluh kota,6,0.31,6.99,41.72,0.99,39.94,8.17,4.98,69.47,40.13,79.40,121,
sumatera barat - pasaman,6,0.28,7.31,47.53,2.21,29.48,8.00,4.88,66.82,40.56,79.28,123,
sumatera barat - kepulauan mentawai,1,5.00,14.44,65.01,23.65,59.79,7.38,19.25,64.49,32.40,38.86,396,
sumatera barat - dharmasraya,6,1.13,6.42,25.13,0.79,38.51,8.35,5.54,70.73,30.34,77.61,163,
sumatera barat - solok selatan,6,0.37,7.07,30.87,1.64,39.64,8.57,5.49,67.21,27.72,80.13,108,
sumatera barat - pasaman barat,6,0.52,7.34,40.67,1.35,42.63,8.14,3.97,67.37,35.10,77.17,172,
sumatera barat - kota padang,6,3.38,4.70,11.94,0.22,9.31,11.40,0.16,73.35,22.44,83.33,25,
sumatera barat - kota solok,6,1.11,3.30,14.34,0.48,0.87,11.38,0.09,73.14,23.58,85.40,12,
sumatera barat - kota sawahlunto,5,1.25,2.39,26.40,0.89,10.61,9.47,0.87,69.59,20.63,65.89,78,
sumatera barat - kota padang panjang,6,2.47,5.88,12.59,0.39,9.15,11.22,0.06,72.58,27.24,80.01,39,
sumatera barat - kota bukittinggi,6,3.88,4.92,11.65,0.00,4.19,11.11,0.02,73.91,17.16,88.02,4,
sumatera barat - kota payakumbuh,6,0.97,5.77,19.60,0.44,2.27,10.48,0.14,73.33,19.24,80.66,35,
sumatera barat - kota pariaman,6,1.03,5.03,30.86,0.25,21.58,10.57,0.13,69.87,17.77,71.04,67,
riau - kampar,4,3.37,8.18,30.94,0.67,30.34,8.62,4.95,70.35,32.05,63.97,326,
riau - indragiri hulu,4,4.41,6.30,18.30,1.51,22.39,8.41,5.76,69.97,32.21,60.14,343,
riau - bengkalis,4,4.13,6.22,17.71,1.66,38.30,9.24,5.03,70.85,32.27,60.36,342,
riau - indragiri hilir,4,1.12,7.05,38.86,9.76,80.00,7.39,7.51,67.32,32.20,67.08,310,
riau - pelalawan,5,3.01,9.73,15.51,2.20,21.52,8.67,9.23,70.74,25.51,68.62,299,
riau - rokan hulu,3,5.00,10.95,25.82,1.58,23.61,8.36,6.56,69.55,27.25,54.25,364,
riau - rokan hilir,5,1.73,7.06,31.11,3.18,42.79,8.35,4.95,69.87,38.08,71.42,263,
riau - siak,6,2.26,5.44,14.86,1.55,16.05,9.56,7.70,70.79,20.96,76.60,183,
riau - kuantan singingi,6,1.24,9.92,24.87,1.75,29.46,8.59,5.14,68.17,24.61,76.48,189,
riau - kepulauan meranti,3,2.32,27.79,26.99,10.03,90.23,7.73,4.28,67.21,29.87,52.07,369,
riau - kota pekanbaru,6,42.68,2.85,12.15,0.19,6.44,10.96,0.15,71.94,16.00,85.38,13,
riau - kota dumai,5,16.43,3.71,15.81,0.46,13.26,9.91,1.00,70.55,17.26,69.95,69,
jambi - kerinci,6,0.34,7.07,30.35,2.51,27.86,8.09,5.10,69.65,42.36,81.70,72,
jambi - merangin,5,1.16,8.88,26.66,2.63,51.54,7.77,5.24,71.04,34.97,73.74,235,
jambi - sarolangun,5,2.09,8.73,28.08,4.61,49.63,7.74,5.89,68.94,18.83,68.48,301,
jambi - batanghari,5,0.93,10.23,35.11,1.93,46.89,8.06,4.92,70.26,32.76,74.77,223,
jambi - muaro jambi,5,1.72,4.05,36.01,2.25,36.24,8.40,5.27,71.02,20.68,75.21,210,
jambi - tanjung jabung barat,5,0.90,11.10,41.64,6.81,61.18,7.87,4.07,67.87,43.99,69.54,288,
jambi - tanjung jabung timur,5,0.51,12.38,33.88,2.59,74.25,6.68,6.41,65.86,40.89,68.96,294,
jambi - bungo,5,1.93,5.78,32.84,2.46,36.27,8.13,2.87,67.42,20.74,71.91,257,
jambi - tebo,5,1.53,6.58,31.69,3.48,38.09,7.58,10.06,69.77,33.03,73.19,241,
jambi - kota jambi,6,11.82,8.49,20.60,0.00,11.61,10.61,0.05,72.43,26.22,75.74,50,
jambi - kota sungai penuh,5,0.43,2.76,27.72,0.00,10.95,10.18,1.00,71.84,35.75,68.37,73,
sumatera selatan - ogan komering ulu,4,2.35,12.61,28.88,0.84,38.48,8.80,1.83,67.83,33.19,66.54,319,
sumatera selatan - ogan komering ilir,6,0.38,15.28,27.15,1.18,40.46,7.11,7.56,68.22,30.62,76.59,184,
sumatera selatan - muara enim,5,1.32,12.56,31.62,0.54,34.37,7.87,3.71,68.38,34.37,72.84,248,
sumatera selatan - lahat,5,0.81,16.15,34.73,0.72,56.30,8.60,5.47,65.50,48.12,68.94,296,
sumatera selatan - musi rawas,6,0.43,13.76,17.99,0.21,40.48,7.43,4.43,67.59,34.56,77.34,168,
sumatera selatan - musi banyuasin,6,0.67,16.52,20.46,1.71,34.53,7.46,7.97,68.33,31.07,75.94,200,
sumatera selatan - banyuasin,6,0.16,11.32,23.73,1.97,55.51,7.37,7.21,68.55,29.30,77.71,159,
sumatera selatan - ogan komering ulu timur,6,0.18,10.57,27.97,0.43,40.94,7.68,1.50,68.65,27.16,80.49,100,
sumatera selatan - ogan komering ulu selatan,5,0.70,10.64,46.44,6.49,58.40,8.09,4.69,66.49,26.39,71.88,258,
sumatera selatan - ogan ilir,5,0.39,13.19,31.68,1.63,41.71,7.85,1.73,64.96,43.92,74.88,220,
sumatera selatan - empat lawang,4,0.80,12.25,42.90,4.15,73.97,7.32,3.81,64.56,36.02,66.75,315,
sumatera selatan - penukal abab lematang ilir,5,1.26,13.81,19.75,0.42,38.54,6.40,2.27,67.88,39.50,71.72,260,
sumatera selatan - musi rawas utara,4,1.98,19.12,37.59,5.52,46.55,6.59,8.63,65.21,33.24,61.49,335,
sumatera selatan - kota palembang,6,12.51,10.95,14.92,0.00,4.97,10.25,0.06,70.32,25.89,74.36,54,
sumatera selatan - kota pagar alam,3,1.17,8.77,25.17,0.88,50.43,9.44,0.98,66.14,31.87,41.64,96,
sumatera selatan - kota lubuklinggau,3,5.49,13.02,32.46,0.00,38.16,9.61,0.43,68.83,31.99,51.06,94,
sumatera selatan - kota prabumulih,5,9.41,11.39,14.53,0.00,30.36,9.79,0.27,69.88,26.23,63.21,86,
bengkulu - bengkulu selatan,5,0.45,18.65,32.67,1.33,59.92,9.36,1.17,67.45,33.74,72.44,249,
bengkulu - rejang lebong,5,0.89,16.23,28.96,5.13,59.64,8.26,1.79,67.95,26.01,70.93,271,
bengkulu - bengkulu utara,4,1.62,11.81,34.89,1.64,63.03,7.81,3.27,67.67,26.81,66.85,314,
bengkulu - kaur,5,0.67,19.40,35.16,1.24,56.11,8.65,4.39,66.15,34.26,70.06,281,
bengkulu - seluma,4,0.81,19.60,32.95,3.67,66.46,7.97,2.92,67.14,35.90,67.55,308,
bengkulu - mukomuko,5,1.46,11.40,30.32,0.58,39.46,7.95,4.47,66.16,33.15,70.84,273,
bengkulu - lebong,5,0.73,11.59,48.95,2.69,42.68,7.99,4.52,62.73,26.06,72.19,254,
bengkulu - kepahiang,5,1.10,14.42,22.52,1.98,43.70,8.16,1.03,67.39,36.67,72.36,251,
bengkulu - bengkulu tengah,5,1.18,8.20,33.86,1.39,50.74,7.47,2.21,67.82,23.27,73.03,245,
bengkulu - kota bengkulu,5,5.84,18.82,9.50,0.17,18.62,11.23,0.06,69.72,17.99,66.48,76,
lampung - lampung selatan,6,0.39,14.86,35.46,0.00,28.47,7.61,0.49,68.87,29.09,78.99,130,
lampung - lampung tengah,6,0.16,12.62,31.42,0.35,48.59,7.60,1.96,69.46,25.32,78.88,137,
lampung - lampung utara,5,0.12,20.85,38.86,0.66,76.69,8.50,0.93,68.71,26.64,71.35,265,
lampung - lampung barat,5,0.77,13.54,29.30,2.20,40.38,7.89,2.46,67.09,32.96,74.62,225,
lampung - tulang bawang,6,0.21,9.70,24.94,2.52,30.15,7.66,2.27,69.59,32.49,82.29,62,
lampung - tanggamus,6,0.77,12.48,28.17,0.43,34.33,7.32,1.44,68.04,29.87,76.55,188,
lampung - lampung timur,6,0.14,15.76,25.02,0.00,57.76,7.62,3.30,70.31,24.71,77.38,166,
lampung - way kanan,5,0.27,13.52,37.29,0.56,72.76,7.18,1.80,68.95,36.07,72.37,250,
lampung - pesawaran,6,0.44,15.97,38.49,0.31,36.71,7.73,1.88,68.53,27.50,76.74,182,
lampung - pringsewu,6,0.52,10.50,26.81,0.15,19.70,8.28,0.35,69.44,20.19,83.13,45,
lampung - mesuji,6,0.48,7.55,23.52,0.00,23.97,6.88,3.14,67.71,28.16,81.78,70,
lampung - tulang bawang barat,6,0.10,8.10,20.80,0.00,62.24,7.02,1.08,69.56,27.20,79.28,122,
lampung - pesisir barat,5,0.48,14.98,45.89,1.75,49.89,8.12,3.50,62.85,24.43,71.98,256,
lampung - kota bandar lampung,6,49.25,9.04,16.70,0.20,13.38,10.51,0.05,71.01,25.15,73.49,58,
lampung - kota metro,6,0.93,9.14,13.54,0.00,19.08,10.48,0.05,71.29,14.75,75.85,49,
kepulauan bangka belitung - bangka,5,3.12,5.47,14.79,0.30,20.15,8.38,0.26,70.73,23.91,70.29,280,
kepulauan bangka belitung - belitung,3,5.00,7.56,10.70,0.37,16.30,8.24,0.39,70.64,19.90,59.22,347,
kepulauan bangka belitung - bangka selatan,4,3.15,3.70,26.21,0.00,25.46,6.81,0.84,67.47,26.92,66.52,320,
kepulauan bangka belitung - bangka tengah,3,5.00,5.81,18.93,0.35,20.47,7.28,0.45,70.78,26.09,57.60,353,
kepulauan bangka belitung - bangka barat,4,4.24,3.05,14.53,1.22,23.93,7.58,0.50,69.73,33.27,62.07,332,
kepulauan bangka belitung - belitung timur,4,5.00,7.06,14.44,1.43,17.75,8.30,0.60,71.59,14.72,59.66,345,
kepulauan bangka belitung - kota pangkalpinang,6,50.00,4.95,8.64,0.00,6.96,9.81,0.01,72.86,13.32,85.37,14,
kepulauan riau - bintan,3,5.00,6.61,13.46,2.72,38.45,8.22,2.03,70.21,21.48,55.35,361,
kepulauan riau - karimun,3,5.00,6.90,17.97,1.15,18.22,7.84,1.46,70.52,31.59,57.25,356,
kepulauan riau - natuna,3,5.00,4.68,19.75,1.42,13.09,8.82,3.31,64.57,22.17,57.26,355,
kepulauan riau - lingga,2,5.00,13.55,23.34,1.79,22.47,6.62,4.23,61.44,22.03,49.71,378,
kepulauan riau - kepulauan anambas,2,5.00,6.93,18.35,3.02,51.18,6.92,1.19,66.91,26.09,50.39,375,
kepulauan riau - kota batam,6,50.00,5.11,8.62,0.38,2.44,10.84,0.37,73.24,22.92,82.14,30,
kepulauan riau - kota tanjungpinang,6,50.00,9.24,6.45,0.00,18.00,9.86,0.12,71.93,23.35,74.81,52,
dki jakarta - kepulauan seribu,3,5.00,11.98,67.92,0.00,9.49,9.67,0.05,68.27,27.12,53.29,365,
dki jakarta - jakarta pusat,6,50.00,3.59,18.60,0.00,1.13,11.06,0.00,73.92,23.50,87.10,6,
dki jakarta - jakarta utara,6,50.00,5.35,19.71,0.00,0.33,10.33,0.02,73.08,18.95,84.19,21,
dki jakarta - jakarta barat,6,50.00,3.39,19.02,0.00,2.38,10.11,0.01,73.45,14.84,86.42,9,
dki jakarta - jakarta selatan,6,50.00,2.83,8.49,0.00,13.67,11.34,0.01,73.93,16.23,88.56,3,
dki jakarta - jakarta timur,6,50.00,3.14,13.19,0.00,10.38,11.02,0.01,74.27,18.36,87.31,5,
jawa barat - bogor,5,2.39,7.14,35.48,0.00,36.61,7.94,0.53,70.86,32.86,69.11,291,
jawa barat - sukabumi,5,0.75,6.76,52.99,0.35,49.30,7.05,1.18,70.49,41.35,74.50,228,
jawa barat - cianjur,6,0.56,9.81,46.85,0.09,46.04,7.14,1.37,69.70,33.51,75.86,201,
jawa barat - bandung,6,1.83,6.65,30.64,0.00,18.54,8.60,0.61,73.26,35.21,77.05,175,
jawa barat - garut,6,0.47,9.27,58.77,0.11,42.71,7.68,0.87,71.03,34.64,76.96,176,
jawa barat - tasikmalaya,5,0.52,9.85,58.30,0.07,51.69,7.31,1.19,68.96,33.80,74.11,231,
jawa barat - ciamis,6,0.63,7.22,29.46,0.07,39.12,7.70,0.81,71.32,33.39,79.91,113,
jawa barat - kuningan,6,0.46,12.22,54.11,0.00,23.95,7.60,0.47,73.11,28.68,80.61,97,
jawa barat - cirebon,6,0.70,10.70,47.64,0.15,22.98,6.77,0.30,71.66,33.70,78.88,136,
jawa barat - majalengka,6,0.37,10.79,49.86,0.00,23.85,6.95,0.54,69.68,36.62,79.52,119,
jawa barat - sumedang,6,0.48,9.76,31.62,0.15,31.34,8.37,0.89,72.14,32.22,81.73,71,
jawa barat - indramayu,6,0.23,11.89,51.16,0.00,13.12,5.54,1.06,71.11,33.98,81.59,74,
jawa barat - subang,6,0.29,8.67,39.22,0.00,32.90,6.84,0.88,71.92,28.64,81.81,69,
jawa barat - purwakarta,6,0.84,7.99,28.81,0.00,37.84,7.96,0.56,70.61,41.01,77.82,155,
jawa barat - karawang,6,0.39,8.06,35.17,0.16,20.61,7.54,0.39,71.81,33.11,83.61,36,
jawa barat - bekasi,6,1.17,4.37,21.07,0.15,9.73,9.01,0.36,73.43,26.37,85.01,17,
jawa barat - bandung barat,5,1.41,10.06,33.78,0.00,31.47,8.03,0.81,72.03,36.69,75.14,212,
jawa barat - pangandaran,6,0.35,8.12,27.75,0.00,30.73,7.77,1.32,70.84,32.71,82.56,54,
jawa barat - kota bogor,6,45.92,5.93,19.76,0.00,19.84,9.47,0.04,73.21,27.79,74.07,56,
jawa barat - kota sukabumi,5,4.12,7.12,39.98,0.00,21.57,9.23,0.03,72.11,28.99,65.78,80,
jawa barat - kota bandung,6,50.00,3.57,10.24,0.00,6.70,10.56,0.02,74.00,21.74,86.87,7,
jawa barat - kota cirebon,6,50.00,8.88,29.62,0.00,2.90,9.45,0.03,71.99,31.18,72.32,61,
jawa barat - kota bekasi,6,50.00,4.11,10.33,0.00,12.56,10.91,0.04,74.76,16.75,86.85,8,
jawa barat - kota depok,6,50.00,2.14,8.22,0.00,20.56,10.44,0.07,74.17,23.21,83.67,23,
jawa barat - kota cimahi,6,50.00,4.94,24.00,0.00,11.94,10.65,0.02,73.75,21.06,80.68,34,
jawa barat - kota tasikmalaya,4,2.55,12.71,44.25,0.00,23.33,9.09,0.15,71.70,25.74,58.14,91,
jawa barat - kota banjar,5,1.05,5.70,50.40,0.00,19.49,8.49,0.15,70.59,27.89,61.66,87,
jawa tengah - cilacap,6,0.38,11.25,26.59,0.20,27.72,6.74,0.77,73.39,32.10,82.45,59,
jawa tengah - banyumas,6,0.89,13.50,25.41,0.00,26.71,7.54,0.29,73.45,32.02,79.27,124,
jawa tengah - purbalingga,6,0.77,15.62,30.12,0.17,23.05,7.14,0.40,72.98,28.88,79.20,126,
jawa tengah - banjarnegara,6,0.88,15.46,31.95,0.15,38.97,6.46,0.65,73.91,24.08,76.43,191,
jawa tengah - kebumen,6,0.43,17.47,34.86,0.00,39.12,7.30,0.46,73.11,33.89,77.51,164,
jawa tengah - purworejo,6,0.42,11.67,31.48,0.56,31.26,7.46,0.57,74.40,23.33,82.60,53,
jawa tengah - wonosobo,6,0.80,17.58,29.85,0.12,12.68,7.00,0.78,71.46,31.49,78.94,134,
jawa tengah - magelang,6,0.85,11.23,27.21,0.32,30.15,7.63,0.81,73.47,33.95,79.51,120,
jawa tengah - boyolali,6,0.55,10.04,16.76,0.00,32.01,7.32,0.54,75.79,28.51,83.62,35,
jawa tengah - klaten,6,0.52,12.96,38.54,0.00,31.21,8.17,0.21,76.67,29.62,81.93,68,
jawa tengah - sukoharjo,6,0.45,7.41,23.00,0.19,20.26,8.91,0.15,77.54,31.32,87.89,4,
jawa tengah - wonogiri,6,0.15,10.75,31.30,0.10,19.29,6.95,0.99,76.05,27.90,86.55,5,
jawa tengah - karanganyar,6,0.51,10.01,27.71,0.00,19.93,8.37,0.49,77.36,28.02,86.16,10,
jawa tengah - sragen,6,0.27,13.12,27.80,0.24,21.13,7.22,0.37,75.60,33.16,84.52,21,
jawa tengah - grobogan,6,0.27,12.31,47.37,0.22,14.31,6.55,0.67,74.55,39.16,82.98,46,
jawa tengah - blora,6,0.23,11.90,32.52,0.00,18.43,6.37,0.99,74.12,32.86,84.10,28,
jawa tengah - rembang,6,0.38,15.41,26.13,0.00,17.16,7.02,0.72,74.39,25.73,83.70,34,
jawa tengah - pati,6,0.28,9.90,25.74,0.00,17.96,7.25,0.48,75.93,37.90,86.05,11,
jawa tengah - kudus,6,0.74,6.98,11.88,0.00,21.92,8.63,0.15,76.47,29.38,86.49,7,
jawa tengah - jepara,6,0.65,7.00,38.91,0.00,20.62,7.65,0.46,75.71,33.57,83.85,31,
jawa tengah - demak,6,0.29,12.54,27.41,0.00,16.46,7.44,0.56,75.29,26.11,85.91,13,
jawa tengah - semarang,6,0.85,7.29,15.77,0.00,15.70,7.90,0.60,75.62,24.86,85.94,12,
jawa tengah - temanggung,6,1.12,9.87,22.25,0.12,23.19,7.16,0.57,75.47,30.26,80.76,93,
jawa tengah - kendal,6,0.69,9.84,24.59,0.08,13.54,7.17,0.58,74.30,25.48,84.55,20,
jawa tengah - batang,6,0.71,8.69,34.45,0.00,19.38,6.86,0.61,74.56,25.28,83.16,44,
jawa tengah - pekalongan,5,2.24,10.06,33.47,0.00,28.04,7.07,0.51,73.53,35.12,70.92,272,
jawa tengah - pemalang,6,0.63,16.04,50.67,0.16,27.24,6.35,0.45,73.11,33.68,76.87,178,
jawa tengah - tegal,6,1.26,7.94,33.93,0.00,24.50,6.82,0.26,71.28,30.59,77.46,165,
jawa tengah - brebes,5,0.64,17.17,35.33,0.00,28.19,6.08,0.55,68.84,38.53,75.09,214,
jawa tengah - kota magelang,6,25.75,7.87,17.24,0.22,9.87,9.98,0.01,76.72,27.55,79.28,41,
jawa tengah - kota surakarta,6,50.00,9.08,12.49,0.00,16.90,10.35,0.01,77.11,39.51,76.66,47,
jawa tengah - kota salatiga,6,5.97,4.84,10.20,0.00,7.68,10.32,0.04,77.11,34.24,84.79,20,
jawa tengah - kota semarang,6,12.09,4.14,9.98,0.00,4.41,9.69,0.04,77.23,29.68,86.40,10,
jawa tengah - kota pekalongan,5,6.51,6.75,31.80,0.15,32.05,8.56,0.03,74.25,29.73,64.69,84,
jawa tengah - kota tegal,6,16.35,7.81,12.36,0.00,0.73,8.16,0.02,74.30,20.72,80.18,38,
di yogyakarta - kulon progo,6,0.68,18.30,30.33,0.00,22.07,8.44,0.41,75.12,22.65,81.08,88,
di yogyakarta - bantul,6,1.44,13.43,15.53,0.17,23.56,9.36,0.20,73.66,22.89,79.00,129,
di yogyakarta - gunungkidul,6,0.21,17.12,34.22,0.16,29.92,6.89,1.03,73.92,32.51,80.65,95,
di yogyakarta - sleman,6,1.47,7.65,12.94,0.00,20.68,10.53,0.09,74.69,14.69,83.34,40,
di yogyakarta - kota yogyakarta,6,50.00,6.98,8.64,0.00,20.88,11.32,0.01,74.45,16.93,82.80,26,
jawa timur - pacitan,6,0.39,14.19,36.40,0.44,30.64,7.32,1.07,71.52,26.34,80.01,111,
jawa timur - ponorogo,6,0.24,10.36,32.24,0.23,19.03,7.28,0.68,72.43,30.50,84.49,23,
jawa timur - trenggalek,6,0.53,12.02,36.13,0.00,48.88,7.60,0.72,73.35,39.89,77.08,174,
jawa timur - tulungagung,6,0.56,7.27,24.61,0.11,31.13,8.33,0.47,73.74,26.17,83.94,30,
jawa timur - blitar,6,0.62,9.72,24.21,0.00,33.56,7.43,0.71,73.16,27.36,81.46,78,
jawa timur - kediri,6,0.78,11.31,32.73,0.00,35.64,7.80,0.57,72.37,29.36,78.64,142,
jawa timur - malang,6,0.89,10.37,29.25,0.00,24.73,7.38,0.98,72.26,31.74,79.77,116,
jawa timur - lumajang,6,0.50,9.98,39.89,0.00,33.70,6.20,1.03,69.70,34.01,78.09,151,
jawa timur - jember,5,0.52,9.98,44.62,0.56,47.42,5.87,0.80,68.74,38.31,74.55,227,
jawa timur - banyuwangi,6,0.49,7.80,30.25,0.13,26.76,6.75,1.91,70.34,32.01,81.46,79,
jawa timur - bondowoso,5,0.42,14.39,52.12,0.00,39.98,5.90,0.78,66.27,37.98,73.07,244,
