Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
aceh - aceh selatan,5,0.69,14.01,55.21,0.75,50.19,8.50,5.64,64.02,35.93,70.06,282,
aceh - aceh tenggara,5,0.41,14.29,50.21,0.86,37.51,9.18,4.84,67.77,45.30,75.28,208,
aceh - aceh timur,5,0.42,14.49,43.55,0.68,41.64,8.18,3.20,68.44,42.80,75.08,215,
aceh - aceh tengah,5,0.88,15.58,35.06,0.16,39.50,9.77,3.82,68.62,39.80,74.05,232,
aceh - aceh barat,5,0.68,19.31,40.58,1.45,29.88,9.32,2.75,67.72,32.63,74.90,219,
aceh - aceh besar,6,0.48,14.47,36.78,1.03,11.35,9.82,1.72,69.59,38.72,81.67,73,
aceh - pidie,5,0.32,20.47,49.49,0.68,40.67,8.96,1.20,66.68,36.16,73.47,240,
aceh - aceh utara,5,0.31,18.27,57.97,0.00,45.94,8.39,1.54,68.61,32.53,73.77,234,
aceh - simeulue,5,0.82,19.78,50.05,1.43,29.35,8.90,2.28,65.00,47.31,70.59,275,
aceh - aceh singkil,2,5.00,21.25,31.52,0.29,46.02,8.33,2.93,67.16,26.94,45.88,385,
aceh - bireuen,6,0.51,14.31,50.14,0.54,39.74,9.32,0.71,70.92,40.97,76.35,194,
aceh - aceh barat daya,5,0.35,17.10,57.39,1.96,55.03,8.59,2.55,64.65,35.41,70.53,276,
aceh - gayo lues,5,0.44,20.70,26.80,0.62,27.56,7.65,6.57,65.12,44.40,74.18,230,
aceh - aceh jaya,6,0.49,14.16,50.78,1.36,24.51,8.60,8.45,66.88,34.00,76.79,181,
aceh - nagan raya,5,0.64,18.97,37.73,0.72,35.98,8.15,4.85,68.89,40.56,73.73,236,
aceh - aceh tamiang,6,1.01,14.21,29.25,0.33,22.92,8.92,2.51,69.28,33.42,77.20,170,
aceh - bener meriah,3,3.47,20.13,29.41,0.53,39.69,9.65,1.72,68.99,45.95,56.73,358,
aceh - pidie jaya,6,0.30,20.17,49.76,0.99,28.96,9.03,1.37,69.81,36.80,76.81,179,
aceh - kota banda aceh,6,50.00,7.25,8.95,0.00,0.35,11.98,0.02,71.10,26.58,84.79,19,
aceh - kota sabang,5,50.00,16.31,17.45,0.00,3.12,11.21,0.40,70.21,23.48,68.85,71,
aceh - kota lhokseumawe,6,3.83,11.81,23.88,0.00,4.85,10.92,0.07,71.27,35.41,71.33,65,
aceh - kota langsa,6,5.57,10.79,10.81,0.00,13.42,11.23,0.24,69.16,27.52,71.95,64,
aceh - kota subulussalam,1,7.24,18.51,53.38,0.31,57.11,7.99,1.00,63.69,49.62,17.40,98,
sumatera utara - tapanuli tengah,4,1.56,13.17,56.09,6.31,53.43,8.24,2.04,66.82,43.69,64.71,324,
sumatera utara - tapanuli utara,6,0.43,9.75,58.82,1.20,44.61,9.53,2.62,68.11,38.26,75.99,199,
