Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
aceh - kota banda aceh,6,50.00,7.22,5.45,0.00,0.00,12.39,0.03,71.36,0.00,85.32,4,
aceh - kota sabang,5,36.23,15.60,19.15,0.57,1.63,11.01,0.40,70.45,0.00,65.87,82,
aceh - kota lhokseumawe,5,3.12,11.18,20.92,0.21,1.93,10.49,1.00,71.52,0.00,63.26,84,
aceh - kota langsa,6,5.13,10.57,13.92,0.00,8.72,11.24,0.29,69.37,0.00,70.89,67,
aceh - kota subulussalam,1,2.08,17.95,32.13,0.00,54.91,8.85,1.00,63.94,41.81,24.53,98,
sumatera utara - tapanuli tengah,5,1.31,12.53,44.66,3.69,42.18,8.63,1.66,67.08,36.32,70.13,288,
sumatera utara - tapanuli utara,6,0.34,9.48,60.34,1.45,37.19,9.59,2.80,68.46,0.00,77.84,183,
sumatera utara - tapanuli selatan,5,0.47,8.60,56.65,2.85,46.51,9.22,6.97,64.82,0.00,74.81,224,
sumatera utara - nias,4,0.77,15.94,43.17,22.39,81.81,5.57,2.38,69.68,56.21,62.84,339,
sumatera utara - langkat,6,1.03,9.91,39.18,0.12,23.33,8.51,1.97,68.59,18.21,78.40,170,
sumatera utara - karo,6,0.18,8.23,58.59,2.15,24.41,9.89,1.86,71.27,0.00,83.37,64,
sumatera utara - deli serdang,6,1.03,3.89,29.06,0.06,12.34,10.11,0.69,71.61,30.97,84.30,41,
sumatera utara - simalungun,6,0.43,8.81,40.79,0.88,39.75,9.64,2.33,71.07,32.38,80.34,121,
sumatera utara - asahan,5,1.93,9.68,30.07,0.42,24.34,8.77,2.01,68.11,0.00,73.11,256,
sumatera utara - labuhanbatu,6,1.17,8.44,28.11,0.11,28.72,9.09,1.93,69.86,0.00,77.75,186,
sumatera utara - dairi,6,0.33,7.70,55.91,2.22,42.81,9.45,2.20,68.79,39.27,77.86,181,
sumatera utara - toba samosir,6,0.22,8.60,50.46,1.48,40.70,10.23,2.39,69.93,0.00,80.80,113,
sumatera utara - mandailing natal,5,0.81,9.11,59.87,5.56,52.43,8.85,3.06,62.51,49.91,68.37,301,
sumatera utara - nias selatan,4,0.69,16.45,36.87,24.78,66.15,6.05,1.49,68.58,57.00,65.62,328,
sumatera utara - pakpak bharat,5,0.80,9.27,42.69,2.09,56.28,8.76,4.15,65.59,39.04,71.65,273,
sumatera utara - humbang hasundutan,6,0.31,8.75,56.03,0.65,46.21,9.49,3.45,69.06,0.00,77.29,197,
sumatera utara - samosir,6,0.30,12.52,54.42,1.07,58.74,8.60,3.73,71.16,0.00,75.92,213,
sumatera utara - serdang bedagai,6,0.17,7.90,30.32,0.28,28.25,8.53,1.46,68.46,0.00,83.03,70,
sumatera utara - batu bara,6,0.95,12.14,33.92,0.16,28.38,8.42,1.67,66.75,0.00,76.57,206,
sumatera utara - padang lawas utara,5,1.51,9.60,48.71,1.54,47.76,9.12,5.89,67.06,49.28,67.99,307,
sumatera utara - padang lawas,5,1.32,8.28,44.48,2.61,51.81,8.98,3.62,66.98,41.95,69.83,290,
sumatera utara - labuhanbatu selatan,3,5.00,8.94,23.26,0.29,24.46,9.00,3.53,68.64,0.00,54.78,364,
sumatera utara - labuhanbatu utara,5,1.35,9.57,42.80,0.80,39.13,8.36,4.50,69.37,0.00,73.09,257,
sumatera utara - nias utara,5,0.46,24.99,37.14,17.44,61.04,6.32,1.80,69.29,26.57,68.10,306,
sumatera utara - nias barat,3,1.43,25.51,54.56,11.25,81.37,6.42,1.09,68.82,43.95,56.49,358,
sumatera utara - kota medan,6,50.00,8.08,17.05,0.11,2.00,11.50,0.04,72.98,11.69,83.12,20,
sumatera utara - kota pematangsiantar,6,3.04,8.63,20.57,0.34,7.64,10.99,0.04,73.33,0.00,78.70,43,
sumatera utara - kota sibolga,5,50.00,12.36,34.41,0.00,4.90,10.41,0.06,68.77,0.00,67.84,76,
sumatera utara - kota tanjung balai,4,44.10,14.04,51.74,0.00,3.42,9.70,0.17,63.02,0.00,53.21,94,
sumatera utara - kota binjai,6,4.33,5.66,23.53,0.00,10.36,10.55,0.03,72.25,0.00,78.16,45,
sumatera utara - kota tebing tinggi,5,4.36,9.94,20.39,0.00,26.68,10.27,0.02,70.76,0.00,68.12,75,
sumatera utara - kota padang sidimpuan,5,1.72,7.26,24.99,0.37,38.88,10.94,0.10,69.15,0.00,61.64,86,
sumatera utara - kota gunungsitoli,3,2.03,16.23,18.41,1.86,19.09,8.47,0.45,71.02,25.91,49.53,95,
sumatera barat - pesisir selatan,6,0.35,7.88,30.48,0.70,22.69,8.82,5.38,70.73,0.00,84.65,37,
sumatera barat - solok,6,0.37,7.98,43.96,1.11,31.94,8.05,3.55,68.34,35.45,79.57,145,
sumatera barat - sijunjung,6,0.83,7.04,29.45,0.87,32.30,8.51,5.44,66.02,0.00,77.85,182,
sumatera barat - tanah datar,6,0.27,4.66,38.34,1.65,26.26,8.99,1.48,69.73,0.00,84.88,35,
sumatera barat - padang pariaman,6,0.43,7.10,36.57,0.69,35.29,8.15,1.18,68.58,0.00,80.99,111,
sumatera barat - agam,6,0.38,6.75,31.96,0.95,32.28,9.26,2.10,72.17,0.00,84.10,45,
sumatera barat - lima puluh kota,6,0.39,6.97,41.28,1.11,36.68,8.14,4.90,69.70,28.94,80.42,117,
sumatera barat - pasaman,6,0.26,7.21,44.98,1.50,34.13,8.61,4.69,67.18,35.67,79.73,141,
sumatera barat - kepulauan mentawai,2,3.72,14.43,54.99,25.81,68.08,7.18,13.48,64.68,0.00,46.67,382,
sumatera barat - dharmasraya,6,1.25,6.29,19.20,0.66,39.42,8.86,4.64,71.10,0.00,78.13,178,
sumatera barat - solok selatan,6,0.29,7.33,32.25,2.15,37.51,8.42,5.56,67.58,0.00,81.00,110,
sumatera barat - pasaman barat,6,0.45,7.14,45.51,0.90,40.76,8.89,3.53,67.67,31.66,78.35,171,
sumatera barat - kota padang,6,2.77,4.48,11.93,0.00,9.87,11.09,0.16,73.57,0.00,82.12,26,
sumatera barat - kota solok,6,0.90,3.24,23.94,0.00,1.71,10.54,0.10,73.45,0.00,82.02,28,
sumatera barat - kota sawahlunto,5,1.17,2.17,21.24,1.27,15.22,10.13,0.67,69.87,0.00,67.36,77,
sumatera barat - kota padang panjang,6,2.19,5.60,8.38,0.03,5.23,11.08,0.05,72.77,0.00,82.32,25,
sumatera barat - kota bukittinggi,6,4.13,4.60,6.45,0.00,2.88,11.30,0.02,74.22,0.00,89.01,2,
sumatera barat - kota payakumbuh,6,1.08,5.68,19.87,0.00,2.61,10.91,0.13,73.61,0.00,82.06,27,
sumatera barat - kota pariaman,6,1.04,4.76,23.86,0.28,17.51,10.59,0.12,70.15,0.00,72.87,59,
riau - kampar,3,5.00,7.71,25.70,0.14,32.49,9.24,5.84,70.64,23.07,55.51,362,
riau - indragiri hulu,4,3.51,6.06,16.03,2.84,21.61,8.54,5.76,70.20,0.00,66.58,319,
riau - bengkalis,4,3.27,6.27,20.92,0.58,38.65,9.26,4.78,71.11,0.00,65.95,324,
riau - indragiri hilir,4,1.42,6.54,33.23,8.70,74.85,7.66,6.95,67.66,0.00,67.48,312,
riau - pelalawan,4,4.39,9.62,28.85,3.17,13.37,8.65,11.63,71.03,22.97,60.51,346,
riau - rokan hulu,3,5.00,10.53,28.41,2.00,33.41,8.74,7.02,69.89,24.37,53.24,370,
riau - rokan hilir,4,2.87,7.01,25.80,2.09,38.90,8.60,5.24,70.17,28.87,66.63,318,
riau - siak,6,2.36,5.03,12.28,0.81,14.05,9.54,6.82,71.03,0.00,77.12,199,
riau - kuantan singingi,5,2.78,9.56,24.86,1.69,28.66,8.82,6.34,68.44,0.00,67.85,308,
riau - kepulauan meranti,1,5.00,26.93,15.87,5.25,92.21,7.58,6.26,67.53,25.10,37.58,394,
riau - kota pekanbaru,6,10.53,2.52,12.68,1.20,3.52,11.25,0.15,72.22,0.00,82.85,22,
riau - kota dumai,5,16.65,3.56,17.61,0.87,12.10,9.96,1.00,70.82,0.00,68.15,74,
jambi - kerinci,6,0.36,7.13,31.70,0.00,33.76,8.08,5.38,69.82,33.85,81.46,98,
jambi - merangin,5,1.50,8.48,33.30,0.45,53.94,7.90,4.94,71.18,15.38,72.79,261,
jambi - sarolangun,5,2.31,8.45,34.82,1.44,46.17,7.94,5.66,69.09,0.00,68.33,302,
jambi - batanghari,4,2.79,9.75,37.32,1.05,42.03,8.30,6.69,70.44,0.00,65.53,330,
jambi - muaro jambi,4,4.46,3.83,37.01,0.58,29.70,8.63,5.43,71.18,0.00,60.53,345,
jambi - tanjung jabung barat,4,1.69,10.56,45.34,3.95,59.33,7.79,4.13,68.03,21.81,66.92,315,
jambi - tanjung jabung timur,5,0.89,11.54,34.63,2.68,67.22,6.76,7.23,66.08,20.05,69.79,292,
jambi - bungo,5,2.84,5.60,24.98,1.80,28.81,8.20,3.15,67.61,0.00,69.06,296,
jambi - tebo,5,2.46,6.47,31.85,1.26,42.67,7.74,9.50,69.91,0.00,68.33,303,
jambi - kota jambi,6,22.47,8.12,21.41,0.00,8.57,10.89,0.05,72.57,0.00,76.90,49,
jambi - kota sungai penuh,5,0.44,2.81,26.79,0.21,10.56,10.24,0.73,72.01,0.00,70.38,68,
sumatera selatan - ogan komering ulu,5,1.33,12.77,27.74,0.38,30.65,8.90,2.59,68.01,0.00,74.23,235,
sumatera selatan - ogan komering ilir,6,0.31,15.01,30.95,0.37,42.24,7.16,7.53,68.41,38.06,76.12,210,
sumatera selatan - muara enim,5,1.22,12.41,30.39,0.00,39.74,8.00,3.56,68.63,38.62,72.70,262,
sumatera selatan - lahat,5,0.98,15.92,32.18,0.00,51.16,8.52,6.38,65.76,29.53,70.55,285,
sumatera selatan - musi rawas,6,0.57,13.37,24.93,1.57,33.12,7.71,4.39,67.86,0.00,77.53,193,
sumatera selatan - musi banyuasin,5,0.74,16.41,21.83,1.10,40.09,7.66,7.47,68.54,0.00,75.03,220,
sumatera selatan - banyuasin,6,0.16,11.33,31.45,2.76,51.19,7.51,6.97,68.76,28.28,77.90,179,
sumatera selatan - ogan komering ulu timur,6,0.18,10.43,15.36,0.21,44.69,7.68,1.40,68.87,0.00,81.22,104,
sumatera selatan - ogan komering ulu selatan,5,0.30,10.53,53.68,1.78,59.57,7.72,5.19,66.76,0.00,73.86,244,
sumatera selatan - ogan ilir,5,1.04,13.31,27.90,1.05,30.70,8.21,1.78,65.21,35.56,73.83,245,
sumatera selatan - empat lawang,4,0.72,12.30,52.37,5.10,80.42,7.48,2.80,64.81,0.00,65.75,327,
sumatera selatan - penukal abab lematang ilir,5,1.63,13.47,26.74,0.00,35.08,7.00,2.05,68.07,0.00,70.18,287,
sumatera selatan - musi rawas utara,2,3.91,19.12,38.96,2.90,49.80,6.68,7.23,65.43,0.00,49.70,375,
sumatera selatan - kota palembang,6,22.75,10.90,16.56,0.15,3.44,10.37,0.06,70.54,22.91,72.57,60,
sumatera selatan - kota pagar alam,3,1.73,8.90,32.17,0.00,49.78,9.40,1.00,66.41,0.00,41.62,96,
sumatera selatan - kota lubuklinggau,4,4.17,12.95,15.84,0.13,38.30,10.14,0.44,69.04,0.00,53.37,93,
sumatera selatan - kota prabumulih,5,14.09,11.61,16.68,0.00,29.88,9.62,0.15,70.09,0.00,61.23,87,
bengkulu - bengkulu selatan,5,0.30,18.54,42.35,0.38,51.84,9.03,1.10,67.79,25.22,74.54,230,
bengkulu - rejang lebong,5,1.05,15.95,28.07,1.58,62.78,9.04,1.62,68.37,0.00,70.64,284,
bengkulu - bengkulu utara,5,1.49,11.65,27.66,0.78,64.65,7.82,4.59,68.04,27.62,68.15,305,
bengkulu - kaur,5,0.72,18.89,32.49,2.01,54.20,8.31,4.25,66.50,30.53,70.68,282,
bengkulu - seluma,4,0.67,19.10,31.27,2.62,72.40,7.77,2.83,67.56,40.13,67.72,310,
bengkulu - mukomuko,5,1.16,11.70,21.64,0.67,53.68,8.11,4.46,66.51,0.00,71.46,275,
bengkulu - lebong,6,0.35,11.77,49.37,0.81,33.83,8.01,4.07,63.12,0.00,76.09,211,
bengkulu - kepahiang,5,1.03,14.74,28.24,2.38,67.08,8.16,0.94,67.78,0.00,68.99,297,
bengkulu - bengkulu tengah,4,2.05,8.80,30.81,2.31,54.75,7.32,2.15,68.12,0.00,67.24,314,
bengkulu - kota bengkulu,5,10.23,18.09,6.82,0.34,14.39,11.64,0.07,70.04,0.00,67.24,78,
lampung - lampung selatan,6,0.29,14.31,34.32,0.08,32.59,7.60,0.43,69.20,30.39,79.23,153,
lampung - lampung tengah,6,0.16,12.03,31.46,0.22,47.76,7.83,1.41,69.75,21.41,79.83,140,
lampung - lampung utara,5,0.16,19.90,42.37,0.89,67.45,8.09,1.62,69.05,38.56,71.51,274,
lampung - lampung barat,5,0.86,12.92,25.98,1.07,44.70,7.94,2.90,67.43,0.00,74.02,240,
lampung - tulang bawang,6,0.17,9.35,20.26,0.96,31.44,7.52,3.71,69.88,0.00,82.83,77,
lampung - tanggamus,5,0.84,12.05,38.40,0.30,41.89,7.46,2.35,68.40,27.39,74.67,227,
lampung - lampung timur,6,0.13,15.24,22.70,0.15,46.53,7.59,3.78,70.61,26.12,79.50,148,
lampung - way kanan,5,0.35,13.07,35.47,0.12,65.47,7.15,2.93,69.27,0.00,73.34,252,
lampung - pesawaran,6,0.29,15.19,28.01,0.17,29.15,7.75,2.60,68.88,25.84,80.15,128,
lampung - pringsewu,6,0.50,10.15,29.00,0.00,16.14,8.23,0.43,69.85,0.00,83.79,53,
lampung - mesuji,6,0.14,7.47,18.16,1.05,26.81,6.64,3.38,68.04,0.00,83.66,57,
lampung - tulang bawang barat,6,0.15,7.75,22.95,0.00,72.18,7.24,1.57,69.88,0.00,77.58,190,
lampung - pesisir barat,5,0.41,14.48,44.77,4.02,47.01,8.11,4.83,63.27,0.00,72.93,258,
lampung - kota bandar lampung,6,50.00,8.71,16.62,0.09,15.57,10.58,0.06,71.28,0.00,71.62,63,
lampung - kota metro,6,1.94,8.68,9.24,0.00,15.81,10.68,0.06,71.55,0.00,76.76,51,
kepulauan bangka belitung - bangka,6,1.76,4.92,20.61,0.37,15.20,8.34,1.84,70.99,20.86,79.30,152,
kepulauan bangka belitung - belitung,4,5.00,6.29,6.63,0.46,12.42,8.59,2.88,70.94,0.00,61.15,341,
kepulauan bangka belitung - bangka selatan,6,0.92,3.36,26.86,0.18,22.61,6.79,5.75,67.90,21.59,80.89,112,
kepulauan bangka belitung - bangka tengah,4,5.00,5.02,17.62,0.00,13.65,7.77,3.51,71.16,0.00,59.80,349,
kepulauan bangka belitung - bangka barat,5,2.60,2.67,17.69,0.36,24.75,7.31,3.85,69.99,23.30,72.53,264,
kepulauan bangka belitung - belitung timur,4,5.00,6.60,11.37,0.75,13.26,8.14,4.36,71.90,0.00,60.94,342,
kepulauan bangka belitung - kota pangkalpinang,6,50.00,4.25,7.54,0.00,9.14,9.81,0.10,73.17,0.00,83.84,15,
kepulauan riau - bintan,3,5.00,6.37,7.67,1.35,33.85,8.04,1.67,70.30,0.00,57.31,356,
kepulauan riau - karimun,3,5.00,6.61,16.50,0.31,22.74,7.78,1.04,70.71,15.08,58.29,352,
kepulauan riau - natuna,3,5.00,4.42,22.53,0.52,24.30,8.39,3.49,64.81,17.36,55.70,360,
kepulauan riau - lingga,2,5.00,12.88,26.77,0.78,23.34,7.11,3.97,61.75,16.49,50.47,373,
kepulauan riau - kepulauan anambas,3,5.00,6.44,17.62,0.42,40.74,7.07,1.51,67.06,0.00,53.31,369,
kepulauan riau - kota batam,6,50.00,4.85,3.72,0.28,0.83,11.03,0.35,73.29,0.00,85.09,6,
kepulauan riau - kota tanjungpinang,6,50.00,9.03,5.57,0.00,6.24,10.16,0.12,72.02,0.00,78.77,42,
dki jakarta - kepulauan seribu,3,5.00,12.09,74.94,0.00,9.43,8.52,0.05,68.51,29.16,51.88,372,
dki jakarta - jakarta pusat,6,50.00,3.68,21.08,0.00,1.67,10.92,0.00,74.02,0.00,83.81,16,
dki jakarta - jakarta utara,6,50.00,5.04,24.86,0.00,0.35,10.45,0.02,73.18,0.00,81.43,31,
dki jakarta - jakarta barat,6,50.00,3.25,16.16,0.00,4.54,10.25,0.01,73.54,0.00,85.06,7,
dki jakarta - jakarta selatan,6,50.00,2.73,8.84,0.00,22.82,11.37,0.01,74.03,0.00,83.62,17,
dki jakarta - jakarta timur,6,50.00,3.12,15.98,0.00,19.73,11.25,0.01,74.37,18.43,81.99,29,
jawa barat - bogor,4,2.84,6.66,30.35,0.00,39.88,8.49,0.68,71.01,34.96,66.64,317,
jawa barat - sukabumi,6,0.73,6.22,52.42,0.09,45.70,7.30,1.17,70.73,21.93,77.18,198,
jawa barat - cianjur,6,0.59,9.15,48.22,0.12,46.98,7.06,1.04,69.91,27.52,76.19,209,
jawa barat - bandung,6,1.58,5.94,38.11,0.00,17.59,8.83,0.59,73.40,27.87,79.08,158,
jawa barat - garut,6,0.48,8.98,59.66,0.00,49.33,7.74,0.81,71.22,27.03,76.62,204,
jawa barat - tasikmalaya,5,0.64,9.12,63.34,0.00,51.75,7.60,1.08,69.21,34.97,73.28,253,
jawa barat - ciamis,6,0.66,6.65,44.41,0.00,41.88,7.95,0.67,71.57,24.21,79.21,154,
jawa barat - kuningan,6,0.61,11.41,46.37,0.00,33.64,7.54,0.46,73.35,18.06,80.01,134,
jawa barat - cirebon,6,0.80,9.94,41.99,0.00,24.78,7.22,0.30,71.82,25.06,79.68,143,
jawa barat - majalengka,6,0.35,10.06,48.77,0.09,22.84,7.22,0.44,69.97,28.53,81.02,109,
jawa barat - sumedang,6,0.42,9.05,45.12,0.00,34.68,8.51,0.81,72.29,24.43,81.46,97,
jawa barat - indramayu,6,0.23,11.11,55.09,0.08,13.41,6.02,0.89,71.37,29.19,82.17,88,
jawa barat - subang,6,0.31,8.12,39.44,0.13,29.48,6.83,0.69,72.13,25.73,82.66,80,
jawa barat - purwakarta,6,1.09,7.48,30.66,0.00,31.88,7.87,0.75,70.80,23.42,78.67,163,
jawa barat - karawang,6,0.39,7.39,34.87,0.00,22.03,7.75,0.35,71.98,24.01,84.51,39,
jawa barat - bekasi,6,1.27,4.01,29.51,0.25,11.06,8.66,0.48,73.56,20.93,83.86,51,
jawa barat - bandung barat,6,1.42,9.38,45.41,0.00,26.57,8.38,0.66,72.18,32.12,75.76,215,
jawa barat - pangandaran,6,0.42,7.71,42.88,0.20,28.65,7.74,1.17,71.12,0.00,81.99,91,
jawa barat - kota bogor,6,34.15,5.77,24.53,0.00,17.12,10.21,0.03,73.41,0.00,72.40,61,
jawa barat - kota sukabumi,5,3.91,6.67,31.02,0.40,18.60,9.63,0.02,72.26,0.00,65.73,83,
jawa barat - kota bandung,6,50.00,3.38,19.89,0.00,5.11,10.77,0.03,74.14,28.12,81.72,30,
jawa barat - kota cirebon,6,50.00,8.41,22.72,0.00,2.84,9.30,0.01,72.13,0.00,71.28,64,
jawa barat - kota bekasi,6,50.00,3.81,11.04,0.00,15.01,10.82,0.05,74.89,20.03,83.04,21,
jawa barat - kota depok,6,50.00,2.07,8.85,0.00,21.53,10.57,0.05,74.31,16.09,83.23,18,
jawa barat - kota cimahi,6,50.00,4.39,21.79,0.00,9.32,10.19,0.03,73.89,0.00,79.14,41,
jawa barat - kota tasikmalaya,4,3.03,11.60,33.95,0.00,24.60,9.32,0.13,71.93,0.00,58.82,89,
jawa barat - kota banjar,4,1.02,5.50,48.84,0.00,20.37,8.48,0.30,70.79,0.00,57.72,90,
jawa tengah - cilacap,6,0.41,10.73,25.17,0.22,23.96,7.03,0.69,73.52,23.18,84.04,46,
jawa tengah - banyumas,6,1.05,12.53,18.66,0.26,21.91,7.69,0.27,73.55,26.40,80.48,114,
jawa tengah - purbalingga,6,0.87,15.03,23.00,0.10,20.88,7.30,0.34,73.02,24.99,80.15,127,
jawa tengah - banjarnegara,6,0.86,14.76,25.41,0.09,35.11,6.87,0.58,74.01,0.00,78.45,168,
jawa tengah - kebumen,6,0.48,16.82,30.71,0.13,30.67,7.58,0.39,73.22,19.65,80.41,118,
jawa tengah - purworejo,6,0.43,11.45,23.59,0.00,36.89,7.75,0.58,74.52,0.00,82.85,76,
jawa tengah - wonosobo,6,0.81,16.63,29.24,0.16,14.05,6.95,0.73,71.60,38.57,78.58,166,
jawa tengah - magelang,6,0.92,10.67,19.38,0.00,23.57,7.71,0.76,73.56,31.01,81.27,103,
jawa tengah - boyolali,6,0.46,9.53,18.76,0.10,26.37,7.40,0.48,75.83,0.00,85.35,26,
jawa tengah - klaten,6,0.54,12.28,25.35,0.00,26.29,8.24,0.20,76.68,27.64,84.03,47,
jawa tengah - sukoharjo,6,0.45,7.14,23.04,0.10,17.65,9.17,0.15,77.55,0.00,88.76,4,
jawa tengah - wonogiri,6,0.19,10.25,28.51,0.00,22.50,7.15,1.02,76.07,0.00,86.55,16,
jawa tengah - karanganyar,6,0.52,9.55,24.63,0.00,16.80,8.39,0.40,77.38,0.00,87.22,8,
jawa tengah - sragen,6,0.20,12.79,24.84,0.00,15.32,7.06,0.35,75.62,32.40,86.21,18,
jawa tengah - grobogan,6,0.23,11.77,47.98,0.00,18.93,7.03,0.85,74.61,29.13,83.68,56,
jawa tengah - blora,6,0.22,11.32,32.01,0.10,13.46,6.63,0.91,74.23,31.57,85.47,24,
jawa tengah - rembang,6,0.46,14.95,28.95,0.04,15.94,7.35,0.66,74.43,0.00,83.75,54,
jawa tengah - pati,6,0.22,9.46,20.85,0.00,19.56,7.29,0.49,76.04,19.38,88.25,5,
jawa tengah - kudus,6,0.68,6.68,8.69,0.00,25.53,8.62,0.14,76.50,0.00,86.91,10,
jawa tengah - jepara,6,0.72,6.66,35.07,0.13,21.24,7.56,0.25,75.74,30.90,83.90,50,
jawa tengah - demak,6,0.30,11.86,37.46,0.00,13.84,7.73,0.46,75.31,35.76,85.04,32,
jawa tengah - semarang,6,0.90,7.04,14.27,0.16,12.33,8.24,0.45,75.63,0.00,86.69,13,
jawa tengah - temanggung,6,1.00,9.42,18.74,0.00,24.03,7.26,0.53,75.48,0.00,82.16,89,
jawa tengah - kendal,6,0.57,9.41,25.33,0.24,16.19,7.34,0.61,74.33,0.00,85.24,30,
jawa tengah - batang,6,0.71,8.35,36.68,0.00,32.42,6.86,0.53,74.59,0.00,81.28,102,
jawa tengah - pekalongan,6,0.77,9.71,35.50,0.14,35.33,7.21,0.57,73.57,34.74,78.86,161,
jawa tengah - pemalang,6,0.56,15.41,39.99,0.00,23.32,6.54,0.48,73.22,33.06,79.19,155,
jawa tengah - tegal,6,0.75,7.64,34.99,0.00,21.31,7.01,0.27,71.40,0.00,81.41,99,
jawa tengah - brebes,6,0.69,16.22,36.08,0.00,26.91,6.19,0.58,69.04,34.65,75.73,216,
jawa tengah - kota magelang,6,22.53,7.46,14.63,0.00,5.54,9.80,0.01,76.75,0.00,80.76,34,
jawa tengah - kota surakarta,6,50.00,8.70,12.09,0.11,10.40,10.39,0.01,77.12,0.00,76.98,48,
jawa tengah - kota salatiga,6,7.32,4.76,11.73,0.00,7.43,10.13,0.05,77.22,0.00,82.64,24,
jawa tengah - kota semarang,6,13.69,3.98,10.47,0.02,7.21,10.07,0.05,77.25,0.00,84.66,10,
jawa tengah - kota pekalongan,5,6.38,6.60,22.57,0.00,30.16,8.85,0.03,74.28,0.00,66.98,79,
jawa tengah - kota tegal,6,12.94,7.47,23.01,0.00,0.61,8.30,0.02,74.34,0.00,76.74,52,
di yogyakarta - kulon progo,6,0.62,17.39,27.09,0.00,30.99,8.32,0.43,75.20,27.13,80.31,123,
di yogyakarta - bantul,6,1.39,12.92,13.50,0.42,26.78,9.63,0.19,73.77,18.32,79.73,142,
di yogyakarta - gunungkidul,6,0.20,16.61,43.99,0.00,33.55,6.91,1.04,74.03,23.84,80.32,122,
di yogyakarta - sleman,6,1.73,7.41,12.95,0.22,18.38,10.69,0.10,74.77,0.00,82.30,86,
di yogyakarta - kota yogyakarta,6,50.00,6.84,9.06,0.00,19.98,11.19,0.01,74.56,0.00,80.68,36,
jawa timur - pacitan,6,0.44,13.67,37.14,0.11,31.39,7.35,1.20,71.77,0.00,80.23,126,
jawa timur - ponorogo,6,0.26,9.64,24.00,0.05,27.01,7.36,0.61,72.65,0.00,84.70,36,
jawa timur - trenggalek,6,0.52,10.98,28.89,0.00,40.39,7.35,0.75,73.59,26.78,80.39,120,
jawa timur - tulungagung,6,0.49,6.74,23.22,0.00,33.82,7.92,0.47,73.95,0.00,84.56,38,
jawa timur - blitar,6,0.49,8.94,20.38,0.08,31.35,7.53,0.89,73.39,0.00,83.81,52,
jawa timur - kediri,6,0.78,10.42,32.35,0.00,38.57,8.20,0.64,72.54,24.49,79.19,156,
jawa timur - malang,6,0.95,9.47,27.91,0.00,17.41,7.52,0.95,72.45,25.56,81.60,95,
jawa timur - lumajang,6,0.50,9.49,41.52,0.00,42.10,6.33,0.87,69.94,0.00,77.57,191,
jawa timur - jember,6,0.57,9.25,40.99,0.04,44.49,6.46,0.79,68.99,37.94,75.72,217,
jawa timur - banyuwangi,6,0.57,7.52,17.91,0.46,30.08,7.12,1.81,70.54,0.00,82.40,83,
jawa timur - bondowoso,5,0.43,13.33,53.37,0.00,38.04,5.80,0.79,66.55,37.22,73.68,247,
