Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
aceh - aceh selatan,5,0.80,13.09,54.14,0.77,42.92,9.01,5.08,64.27,0.00,71.92,271,
aceh - aceh tenggara,5,0.26,13.43,58.42,0.40,49.34,8.71,6.14,68.04,42.83,73.95,242,
aceh - aceh timur,5,0.55,14.47,58.23,0.87,44.30,8.16,3.09,68.67,25.50,74.10,238,
aceh - aceh tengah,5,1.54,15.50,27.05,0.08,36.60,9.79,3.35,68.82,42.87,71.07,276,
aceh - aceh barat,6,0.71,18.79,20.21,0.48,20.25,8.92,2.73,67.93,0.00,78.61,165,
aceh - aceh besar,6,0.40,13.92,37.93,0.84,7.72,10.55,1.96,69.77,0.00,83.99,48,
aceh - pidie,5,0.33,19.46,55.08,0.32,35.15,8.28,1.54,66.89,0.00,74.57,229,
aceh - aceh utara,6,0.28,17.39,54.59,0.00,41.08,8.93,1.07,68.79,0.00,76.20,208,
aceh - simeulue,5,1.19,18.99,36.31,0.21,22.18,8.84,2.75,65.22,28.21,72.43,267,
aceh - aceh singkil,3,3.97,20.78,39.47,0.00,42.40,8.76,2.79,67.36,0.00,53.14,371,
aceh - bireuen,6,0.48,13.56,43.11,0.84,32.40,9.85,0.81,71.16,32.88,79.43,149,
aceh - aceh barat daya,6,0.37,16.26,42.51,0.41,31.27,8.96,2.23,64.91,0.00,76.60,205,
aceh - gayo lues,5,0.52,19.87,36.15,0.70,28.07,8.25,8.25,65.38,29.16,74.68,226,
aceh - aceh jaya,6,0.30,13.36,41.55,0.94,28.09,9.06,7.09,67.11,0.00,79.42,150,
aceh - nagan raya,5,0.78,17.97,36.74,0.00,36.54,9.13,4.93,69.14,26.46,75.00,221,
aceh - aceh tamiang,6,0.74,13.38,43.40,0.57,22.02,9.26,2.52,69.52,0.00,78.99,159,
aceh - bener meriah,2,5.00,19.30,37.74,1.89,33.82,10.05,1.69,69.19,28.15,49.60,376,
aceh - pidie jaya,6,0.30,19.31,49.05,0.18,32.44,9.36,1.32,70.06,27.87,77.66,187,
