Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
sumatera utara - humbang hasundutan,5,0.44,9.85,54.47,1.45,53.10,9.25,6.95,68.41,41.50,74.27,183,
sumatera utara - samosir,5,0.70,14.72,59.10,1.15,51.00,8.62,4.22,70.68,33.10,72.58,221,
sumatera utara - serdang bedagai,6,0.20,9.30,62.95,0.32,37.86,8.44,1.45,67.79,31.60,78.30,88,
sumatera utara - batu bara,6,0.62,12.48,42.11,0.27,31.36,8.17,1.46,66.10,20.10,77.77,98,
sumatera utara - padang lawas utara,5,0.41,10.70,57.94,6.71,54.77,8.77,5.65,66.58,32.20,73.26,208,
sumatera utara - padang lawas,4,1.07,9.10,70.20,7.05,66.89,8.57,4.86,66.50,40.50,65.77,308,
sumatera utara - labuhanbatu selatan,2,5.00,11.63,46.97,1.57,34.60,8.73,4.41,68.14,25.90,50.64,374,
sumatera utara - labuhanbatu utara,6,0.51,11.28,51.25,1.43,44.07,8.46,3.43,68.91,23.60,76.98,120,
sumatera utara - nias utara,3,1.48,29.06,51.90,30.30,54.14,6.09,3.20,68.77,41.60,57.34,345,
sumatera utara - nias barat,3,1.39,27.23,57.04,20.23,58.66,5.77,1.34,68.28,45.50,57.43,344,
sumatera utara - kota medan,6,50.00,9.11,47.68,0.00,4.44,11.06,0.04,72.40,8.40,81.42,21,
sumatera utara - kota pematangsiantar,6,50.00,10.10,51.81,0.00,10.69,11.45,0.04,72.63,22.70,74.56,40,
sumatera utara - kota sibolga,5,50.00,13.69,55.17,0.65,9.96,9.91,0.07,68.05,20.90,61.81,80,
sumatera utara - kota tanjung balai,3,50.00,14.46,63.26,0.39,7.34,9.28,0.16,62.28,29.80,49.87,93,
sumatera utara - kota binjai,5,50.00,6.75,53.42,0.23,24.92,10.73,0.04,71.75,29.70,68.46,63,
sumatera utara - kota tebing tinggi,4,50.00,11.90,56.44,0.49,22.02,10.10,0.04,70.28,27.00,60.73,83,
sumatera utara - kota padang sidimpuan,4,0.93,8.25,54.50,0.30,38.08,10.94,0.18,68.41,35.70,57.48,88,
sumatera utara - kota gunungsitoli,2,50.00,21.66,55.17,1.73,34.08,8.19,0.57,70.42,35.80,36.77,95,
sumatera barat - pesisir selatan,6,0.40,7.79,45.39,1.47,35.45,8.35,6.61,70.25,27.50,80.66,46,
sumatera barat - solok,5,0.29,9.06,54.54,4.69,48.05,8.16,3.98,67.65,39.90,75.34,160,
sumatera barat - sijunjung,5,0.72,7.35,58.36,2.15,41.46,8.20,5.69,65.44,38.70,73.36,205,
sumatera barat - tanah datar,6,0.33,5.56,47.33,1.50,40.16,8.61,2.04,69.11,33.00,80.23,50,
sumatera barat - padang pariaman,6,0.40,8.46,43.37,1.66,48.73,7.65,1.48,67.96,33.60,76.69,125,
sumatera barat - agam,6,0.30,7.59,43.73,2.08,42.24,8.94,2.93,71.57,31.30,81.00,40,
sumatera barat - lima puluh kota,6,0.36,7.15,63.56,3.58,42.59,8.14,4.53,69.31,27.00,77.98,94,
sumatera barat - pasaman,5,0.37,7.41,60.99,3.49,47.77,7.68,6.69,66.54,40.60,74.12,187,
sumatera barat - kepulauan mentawai,2,3.30,14.67,68.40,27.40,58.00,7.33,9.43,64.37,25.70,49.92,376,
sumatera barat - dharmasraya,6,1.03,6.68,59.65,0.00,37.66,8.16,5.64,70.44,27.00,75.82,148,
sumatera barat - solok selatan,6,0.32,7.21,49.82,2.31,46.14,8.37,4.28,66.92,36.20,76.91,122,
sumatera barat - pasaman barat,5,0.55,7.26,53.13,1.47,49.45,8.04,4.07,67.15,32.10,75.20,163,
sumatera barat - kota padang,6,50.00,4.74,47.54,0.32,12.41,11.29,0.17,73.20,22.60,79.41,27,
sumatera barat - kota solok,6,50.00,3.66,51.97,0.74,2.46,11.17,0.10,72.92,31.90,78.54,29,
sumatera barat - kota sawahlunto,5,0.96,2.01,54.25,1.08,19.17,10.22,0.75,69.39,26.30,64.17,76,
sumatera barat - kota padang panjang,6,50.00,6.17,51.22,0.28,8.83,11.21,0.06,72.46,29.60,76.19,38,
sumatera barat - kota bukittinggi,6,50.00,5.35,46.61,0.00,7.33,11.65,0.02,73.69,24.50,83.45,10,
sumatera barat - kota payakumbuh,6,0.92,5.88,50.81,1.10,8.17,10.55,0.15,73.13,28.00,74.05,45,
sumatera barat - kota pariaman,5,0.79,5.20,55.47,1.15,24.21,10.47,0.13,69.67,25.90,64.77,73,
riau - kampar,3,5.00,8.02,40.53,0.27,38.37,8.88,6.43,70.16,27.00,52.74,367,
riau - indragiri hulu,3,5.00,6.94,29.07,3.44,30.32,8.16,5.87,69.83,33.70,53.79,364,
riau - bengkalis,3,4.72,6.85,27.20,2.29,25.82,9.04,6.00,70.69,26.50,58.18,338,
riau - indragiri hilir,4,1.91,7.70,46.91,14.73,43.89,7.44,8.12,67.07,34.30,66.21,305,
riau - pelalawan,4,2.99,10.25,34.55,5.35,22.18,7.98,9.95,70.54,22.30,66.87,298,
riau - rokan hulu,3,3.65,10.91,34.61,2.52,44.13,8.67,6.53,69.31,37.20,57.76,342,
riau - rokan hilir,4,3.73,7.88,40.99,1.06,33.31,8.29,5.85,69.66,35.90,59.73,335,
riau - siak,5,2.79,5.80,53.97,0.79,12.70,9.50,8.84,70.64,23.00,70.78,255,
riau - kuantan singingi,5,1.68,9.97,56.72,0.54,35.41,8.07,4.30,67.99,27.50,70.08,265,
riau - kepulauan meranti,2,3.70,28.99,39.54,15.68,46.42,7.58,7.07,66.99,24.60,48.94,379,
riau - kota pekanbaru,6,50.00,3.05,46.20,0.00,7.37,10.94,0.14,71.75,27.70,81.15,22,
riau - kota dumai,5,50.00,4.57,50.64,0.16,16.65,9.75,1.00,70.37,30.10,63.67,77,
jambi - kerinci,6,0.29,7.45,46.97,2.89,29.36,8.18,3.94,69.52,35.00,81.00,39,
jambi - merangin,6,0.64,9.43,42.26,2.83,48.16,7.78,7.74,70.94,25.40,76.97,121,
jambi - sarolangun,5,1.18,8.87,41.72,1.00,42.37,7.91,7.31,68.83,37.30,72.70,218,
jambi - batanghari,4,1.84,10.33,62.80,2.39,51.04,7.87,6.76,70.12,28.10,66.56,302,
jambi - muaro jambi,4,3.59,4.37,64.54,0.42,45.43,8.43,5.34,70.90,16.10,60.98,332,
jambi - tanjung jabung barat,5,1.52,11.32,38.40,4.38,35.54,7.64,9.25,67.75,29.20,71.04,251,
jambi - tanjung jabung timur,5,0.57,12.58,51.13,3.21,41.98,6.74,4.78,65.69,21.50,74.18,185,
jambi - bungo,5,1.54,5.82,38.19,1.98,37.81,7.99,3.05,67.27,21.90,73.89,195,
jambi - tebo,6,0.17,6.79,44.92,3.81,51.63,7.33,9.95,69.67,24.10,79.19,68,
jambi - kota jambi,6,50.00,8.84,46.95,0.06,14.34,10.14,0.05,72.33,21.90,74.26,43,
jambi - kota sungai penuh,5,0.36,2.78,54.75,0.04,11.22,10.16,1.00,71.71,27.60,67.60,64,
sumatera selatan - ogan komering ulu,5,1.09,12.95,38.58,2.28,42.33,8.92,2.92,67.66,24.30,73.74,198,
sumatera selatan - ogan komering ilir,5,0.29,15.75,40.87,2.92,49.17,7.18,8.34,68.04,22.60,75.49,156,
sumatera selatan - muara enim,5,0.97,13.19,58.42,0.85,50.07,7.57,5.32,68.14,14.90,72.12,233,
sumatera selatan - lahat,5,0.60,16.81,41.91,0.19,60.12,8.71,4.45,65.25,28.20,70.82,254,
sumatera selatan - musi rawas,6,0.29,14.24,24.80,0.94,52.93,7.48,4.79,67.34,25.90,76.58,127,
sumatera selatan - musi banyuasin,5,0.60,16.75,42.14,4.22,38.93,7.87,8.63,68.14,21.40,75.13,167,
sumatera selatan - banyuasin,6,0.16,11.47,65.40,0.96,34.29,7.36,8.77,68.36,32.80,77.25,114,
sumatera selatan - ogan komering ulu timur,6,0.17,11.00,28.44,0.41,55.22,7.49,0.97,68.44,26.70,78.49,83,
sumatera selatan - ogan komering ulu selatan,5,0.38,10.98,38.62,5.95,65.46,7.87,4.77,66.24,22.50,73.87,196,
sumatera selatan - ogan ilir,5,0.52,13.58,50.08,4.99,38.55,7.75,1.80,64.72,29.50,73.96,193,
sumatera selatan - empat lawang,5,0.47,12.44,49.36,3.90,60.75,7.76,6.34,64.32,27.70,71.18,248,
sumatera selatan - penukal abab lematang ilir,5,1.59,14.53,48.55,0.39,48.92,6.89,2.42,67.70,18.60,67.97,287,
sumatera selatan - musi rawas utara,4,1.57,19.49,39.88,0.33,60.29,6.62,7.55,64.99,32.80,62.03,326,
sumatera selatan - kota palembang,6,50.00,11.40,48.51,0.00,4.22,9.79,0.06,70.10,14.50,73.26,47,
sumatera selatan - kota pagar alam,2,0.74,8.89,54.93,2.27,59.74,9.58,1.00,65.87,26.50,36.41,96,
sumatera selatan - kota lubuklinggau,3,50.00,13.12,51.75,0.13,54.29,9.46,0.42,68.64,18.90,48.90,94,
sumatera selatan - kota prabumulih,4,50.00,11.42,52.20,1.11,47.76,9.41,0.28,69.67,19.30,51.88,91,
bengkulu - bengkulu selatan,5,0.51,21.06,36.87,0.28,56.52,8.72,1.12,67.24,30.90,71.55,240,
bengkulu - rejang lebong,5,0.51,16.97,39.91,4.70,64.71,8.44,2.16,67.65,29.00,71.35,243,
bengkulu - bengkulu utara,5,0.70,13.11,41.67,1.11,48.42,7.83,3.73,67.42,35.80,72.92,212,
bengkulu - kaur,4,0.60,21.54,50.92,3.50,64.62,7.98,7.44,65.92,23.70,67.68,289,
bengkulu - seluma,5,0.56,20.73,41.19,3.35,64.00,7.85,2.78,66.85,23.30,69.74,272,
bengkulu - mukomuko,5,0.54,12.20,44.75,1.30,42.13,8.03,4.51,65.93,33.40,74.60,176,
bengkulu - lebong,5,0.60,11.83,54.62,2.76,57.91,7.66,4.51,62.46,34.40,69.17,274,
bengkulu - kepahiang,5,0.66,15.95,30.04,1.16,52.07,8.12,1.34,67.12,29.30,73.44,203,
bengkulu - bengkulu tengah,5,0.78,8.41,50.31,2.59,52.32,7.25,2.37,67.64,34.80,72.63,219,
bengkulu - kota bengkulu,5,50.00,19.18,40.89,0.00,24.92,11.63,0.07,69.52,23.50,64.58,74,
lampung - lampung selatan,6,0.32,15.16,43.00,0.12,44.15,7.87,0.48,68.65,30.30,76.48,132,
lampung - lampung tengah,5,0.13,12.90,41.64,0.38,58.98,7.40,1.82,69.28,37.00,75.43,158,
lampung - lampung utara,5,0.10,21.55,38.14,0.20,65.90,8.43,1.58,68.48,34.90,72.18,232,
lampung - lampung barat,5,0.58,14.32,40.15,3.56,60.06,7.53,3.80,66.86,37.30,70.76,256,
lampung - tulang bawang,6,0.17,10.09,58.83,3.90,44.96,7.69,3.41,69.41,24.40,78.24,90,
lampung - tanggamus,5,0.55,13.25,31.30,2.87,62.39,7.09,2.78,67.80,37.30,71.96,236,
lampung - lampung timur,6,0.15,16.35,40.76,0.30,50.04,7.57,3.72,70.11,23.50,77.43,110,
lampung - way kanan,5,0.21,14.06,32.38,1.00,71.08,7.15,3.45,68.74,30.70,73.63,199,
lampung - pesawaran,5,0.38,16.48,40.61,1.38,59.06,7.71,2.46,68.29,35.10,72.54,225,
lampung - pringsewu,6,0.62,11.30,31.24,0.77,39.36,7.96,0.53,69.14,25.80,78.48,84,
lampung - mesuji,6,0.18,7.66,27.36,0.00,38.45,7.00,4.79,67.49,31.70,80.82,44,
lampung - tulang bawang barat,6,0.10,8.11,20.68,0.14,55.77,7.34,2.08,69.35,27.20,80.70,45,
lampung - pesisir barat,5,0.41,15.61,54.87,6.00,65.98,7.82,7.05,62.54,29.80,67.99,285,
lampung - kota bandar lampung,5,50.00,9.94,48.04,0.00,14.77,10.22,0.09,70.84,33.40,68.93,59,
lampung - kota metro,5,50.00,9.89,44.17,0.25,37.29,10.63,0.06,71.13,26.60,65.98,71,
kepulauan bangka belitung - bangka,3,4.91,5.10,22.78,1.40,29.52,8.26,2.49,70.56,27.70,57.03,348,
kepulauan bangka belitung - belitung,3,5.00,7.77,20.02,0.88,16.02,8.12,4.15,70.44,27.60,57.67,343,
kepulauan bangka belitung - bangka selatan,4,2.77,3.92,31.81,0.57,34.44,6.57,7.29,67.13,30.10,66.21,306,
kepulauan bangka belitung - bangka tengah,3,5.00,6.07,26.02,0.85,26.46,6.97,3.98,70.49,25.60,55.81,352,
kepulauan bangka belitung - bangka barat,4,3.73,2.98,26.21,0.27,31.03,7.43,3.90,69.56,25.00,63.99,315,
kepulauan bangka belitung - belitung timur,3,5.00,6.81,22.78,1.73,20.75,8.39,4.94,71.37,29.30,57.32,346,
kepulauan bangka belitung - kota pangkalpinang,6,50.00,4.80,43.92,0.00,10.42,9.44,0.11,72.64,26.70,78.18,31,
kepulauan riau - bintan,3,5.00,6.01,19.35,0.54,35.31,8.58,1.98,70.12,19.50,56.60,350,
kepulauan riau - karimun,3,5.00,7.41,12.61,2.16,38.60,7.92,1.30,70.32,19.80,55.75,354,
kepulauan riau - natuna,3,5.00,4.64,23.64,4.30,29.09,8.55,3.60,64.33,19.70,54.75,358,
kepulauan riau - lingga,2,5.00,13.84,22.86,5.12,42.81,6.35,5.18,61.14,33.20,45.06,386,
kepulauan riau - kepulauan anambas,2,5.00,6.87,27.08,2.61,43.82,6.77,1.50,66.76,24.60,51.14,370,
kepulauan riau - kota batam,6,50.00,4.81,47.46,0.30,2.39,10.79,0.44,73.19,20.70,79.79,25,
kepulauan riau - kota tanjungpinang,5,50.00,9.29,50.44,0.36,20.44,10.07,0.15,71.84,20.80,68.53,62,
dki jakarta - kepulauan seribu,3,5.00,12.98,69.22,0.00,2.24,8.04,0.05,68.04,23.90,53.41,365,
dki jakarta - jakarta pusat,6,50.00,3.78,41.71,0.00,7.14,10.60,0.00,73.83,29.20,84.66,6,
dki jakarta - jakarta utara,6,50.00,5.59,38.22,0.00,2.24,10.19,0.02,72.99,23.70,85.71,5,
dki jakarta - jakarta barat,6,50.00,3.45,37.41,0.00,7.83,9.99,0.02,73.37,20.40,87.03,3,
dki jakarta - jakarta selatan,6,50.00,3.14,38.28,0.00,15.48,11.20,0.01,73.84,17.80,87.72,2,
dki jakarta - jakarta timur,6,50.00,3.31,44.70,0.00,10.74,11.09,0.02,74.18,25.70,84.33,8,
jawa barat - bogor,4,2.42,8.57,27.20,0.00,48.48,7.57,0.56,70.70,28.50,67.56,291,
jawa barat - sukabumi,5,0.64,8.04,43.68,0.70,56.96,7.04,1.20,70.26,37.60,74.32,181,
jawa barat - cianjur,5,0.64,11.41,50.00,0.18,64.24,7.09,0.86,69.49,35.70,71.47,241,
jawa barat - bandung,5,1.72,7.36,38.94,0.00,30.52,8.32,0.63,73.13,38.70,74.37,179,
jawa barat - garut,5,0.45,11.27,55.51,0.11,57.97,7.38,0.96,70.84,43.10,73.09,210,
jawa barat - tasikmalaya,5,0.51,10.84,60.89,0.40,59.45,7.29,1.25,68.71,33.40,72.28,227,
jawa barat - ciamis,5,0.70,8.20,56.06,0.22,55.57,7.66,1.21,71.07,29.00,74.86,172,
jawa barat - kuningan,5,0.63,13.27,56.52,0.00,49.19,7.45,0.55,72.88,28.50,75.17,164,
jawa barat - cirebon,5,1.31,12.97,46.35,0.00,36.29,6.95,0.28,71.49,25.60,73.38,204,
jawa barat - majalengka,6,0.52,12.60,52.54,0.00,39.41,7.02,0.57,69.39,30.20,75.92,144,
jawa barat - sumedang,6,0.60,10.53,32.80,0.00,44.02,8.17,0.93,72.00,28.10,79.18,70,
jawa barat - indramayu,6,0.40,13.67,55.49,0.26,15.70,6.03,0.98,70.86,29.90,79.79,58,
jawa barat - subang,6,0.48,10.77,35.27,0.00,46.80,7.26,1.22,71.71,25.50,78.85,74,
jawa barat - purwakarta,5,0.92,9.06,40.66,0.00,47.14,8.02,0.55,70.42,30.80,75.55,154,
jawa barat - karawang,6,0.67,10.25,25.24,0.00,20.63,7.37,0.36,71.64,26.10,82.69,15,
jawa barat - bekasi,6,1.92,4.73,23.07,0.00,9.17,8.52,0.36,73.30,23.70,80.65,47,
jawa barat - bandung barat,5,1.43,11.49,40.35,0.00,53.40,8.06,0.81,71.87,34.30,70.84,253,
jawa barat - pangandaran,6,0.66,10.00,48.31,0.36,40.40,7.52,1.44,70.56,28.10,77.18,115,
jawa barat - kota bogor,6,50.00,7.11,44.68,0.00,19.78,9.59,0.04,73.01,25.00,74.37,42,
jawa barat - kota sukabumi,5,50.00,8.48,48.76,0.34,27.51,9.42,0.03,71.95,23.10,67.32,66,
jawa barat - kota bandung,6,50.00,4.17,41.48,0.00,14.86,10.15,0.02,73.86,25.80,81.86,18,
jawa barat - kota cirebon,6,50.00,9.66,47.92,0.00,5.48,9.58,0.02,71.86,26.50,73.75,46,
jawa barat - kota bekasi,6,50.00,4.79,44.24,0.00,17.60,10.49,0.04,74.63,15.00,82.50,16,
jawa barat - kota depok,6,50.00,2.34,41.68,0.00,23.66,10.46,0.05,74.04,14.90,83.39,11,
jawa barat - kota cimahi,6,50.00,5.76,47.92,0.00,20.92,10.86,0.03,73.61,25.60,76.48,37,
jawa barat - kota tasikmalaya,4,50.00,14.80,48.94,0.00,33.77,9.28,0.10,71.48,38.20,56.09,90,
jawa barat - kota banjar,5,50.00,7.06,50.16,0.00,26.18,8.65,0.15,70.39,28.00,64.33,75,
jawa tengah - cilacap,6,0.50,13.94,31.45,0.43,38.97,6.67,0.77,73.24,27.20,79.19,69,
jawa tengah - banyumas,5,1.15,17.05,29.48,0.00,47.17,7.68,0.31,73.33,24.50,73.99,192,
jawa tengah - purbalingga,5,0.81,18.80,32.41,0.20,48.67,7.11,0.49,72.91,28.20,74.00,191,
jawa tengah - banjarnegara,5,0.79,17.21,37.99,0.16,59.95,6.60,0.78,73.79,30.10,72.35,226,
jawa tengah - kebumen,5,0.59,19.60,36.06,0.23,56.95,7.37,0.50,72.98,31.30,73.32,206,
jawa tengah - purworejo,6,0.51,13.81,29.85,0.09,51.99,7.79,0.55,74.26,25.80,78.63,79,
jawa tengah - wonosobo,6,0.56,20.32,25.37,0.11,38.02,6.84,0.80,71.30,32.50,75.87,147,
jawa tengah - magelang,6,0.75,12.42,28.32,0.17,47.73,7.18,0.91,73.39,37.60,76.32,137,
jawa tengah - boyolali,6,0.64,11.96,20.77,0.16,47.03,7.33,0.63,75.72,25.90,80.36,48,
jawa tengah - klaten,6,0.69,14.15,35.66,0.00,47.06,7.99,0.28,76.62,27.20,78.64,77,
jawa tengah - sukoharjo,6,0.61,8.75,23.04,0.00,35.16,8.78,0.20,77.49,23.80,85.21,4,
jawa tengah - wonogiri,6,0.20,12.90,35.78,0.00,44.42,6.63,1.02,76.00,23.90,81.83,26,
jawa tengah - karanganyar,6,0.52,12.28,24.41,0.00,44.48,7.79,0.56,77.31,22.60,82.40,19,
jawa tengah - sragen,6,0.37,14.02,30.73,0.00,34.30,6.95,0.47,75.55,25.20,82.22,22,
jawa tengah - grobogan,6,0.35,13.27,46.12,0.24,21.78,6.82,0.78,74.46,37.60,81.19,34,
jawa tengah - blora,6,0.36,13.04,36.43,0.12,24.86,6.62,1.09,73.99,37.00,81.30,32,
jawa tengah - rembang,6,0.60,18.35,44.27,0.00,27.10,6.81,0.91,74.32,32.30,77.71,104,
jawa tengah - pati,6,0.27,11.38,30.65,0.00,29.49,7.34,0.63,75.80,31.80,84.04,10,
jawa tengah - kudus,6,1.15,7.59,16.48,0.00,34.88,8.37,0.19,76.44,23.00,82.31,21,
jawa tengah - jepara,6,0.63,8.12,43.34,0.00,39.99,7.31,0.53,75.68,26.20,80.95,41,
jawa tengah - demak,6,0.48,13.41,35.45,0.00,16.78,7.47,0.68,75.27,25.90,84.11,7,
jawa tengah - semarang,6,0.90,7.78,19.68,0.16,38.33,8.15,0.70,75.57,21.10,82.66,16,
jawa tengah - temanggung,6,0.77,11.46,24.45,0.12,43.67,7.14,0.57,75.42,30.00,79.27,67,
jawa tengah - kendal,6,0.76,11.10,32.83,0.06,28.57,7.05,0.59,74.24,26.70,80.84,43,
jawa tengah - batang,6,0.76,10.80,36.64,0.00,48.55,6.80,0.69,74.50,30.90,77.10,119,
jawa tengah - pekalongan,5,1.26,12.61,38.38,0.00,55.74,6.91,0.48,73.46,35.60,71.17,249,
jawa tengah - pemalang,5,0.82,17.37,46.79,0.00,33.47,6.48,0.51,72.98,30.80,74.96,168,
jawa tengah - tegal,5,0.93,9.90,36.89,0.14,46.17,6.61,0.43,71.14,34.40,74.70,174,
jawa tengah - brebes,5,0.74,19.14,39.76,0.00,39.94,6.06,0.62,68.61,28.50,72.55,223,
jawa tengah - kota magelang,6,50.00,8.75,44.54,0.11,11.60,9.80,0.01,76.66,27.90,78.43,30,
jawa tengah - kota surakarta,6,50.00,10.65,41.70,0.00,18.89,9.78,0.01,77.06,22.10,77.65,32,
