Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
jawa timur - banyuwangi,6,0.53,8.64,25.96,0.00,47.89,6.98,2.10,70.19,26.20,78.93,73,
jawa timur - bondowoso,5,0.42,14.54,61.90,0.00,51.15,5.48,0.91,66.04,38.30,70.03,266,
jawa timur - situbondo,5,0.44,13.05,50.78,0.00,53.86,6.23,1.09,68.53,30.50,73.32,207,
jawa timur - probolinggo,5,0.69,20.52,42.89,0.18,45.49,5.83,1.29,66.47,32.00,69.75,271,
jawa timur - pasuruan,6,0.52,10.34,51.63,0.06,50.14,6.84,0.84,69.90,24.20,75.97,143,
jawa timur - sidoarjo,5,2.84,6.23,16.50,0.00,27.61,9.67,0.17,73.71,19.00,73.55,200,
jawa timur - mojokerto,6,0.66,10.19,32.62,0.00,36.49,8.25,0.33,72.10,29.00,80.09,54,
jawa timur - jombang,6,0.63,10.48,44.54,0.00,31.17,8.10,0.34,71.87,26.20,80.13,53,
jawa timur - nganjuk,6,0.40,11.98,45.53,0.00,32.79,7.57,0.90,71.11,25.90,80.07,55,
jawa timur - madiun,6,0.33,12.28,34.45,0.15,31.28,7.50,0.78,70.77,20.70,81.94,24,
jawa timur - magetan,6,0.35,10.48,26.30,0.00,27.15,7.81,0.43,72.16,24.80,84.10,8,
jawa timur - ngawi,6,0.24,14.91,40.89,0.10,37.66,6.82,0.84,71.74,26.90,79.37,65,
jawa timur - bojonegoro,6,0.35,14.34,44.22,0.00,22.80,6.84,1.04,70.83,19.20,81.40,30,
jawa timur - tuban,6,0.39,16.87,55.61,0.49,21.63,6.69,1.24,70.80,25.30,78.61,80,
jawa timur - lamongan,6,0.31,14.42,27.56,0.00,15.41,7.63,0.97,71.87,23.00,84.60,6,
jawa timur - gresik,6,0.77,12.80,26.52,0.00,8.60,8.75,0.45,72.36,19.80,84.70,5,
jawa timur - bangkalan,4,0.64,21.32,64.21,0.06,47.25,5.38,0.50,69.82,43.00,67.65,290,
jawa timur - sampang,5,0.70,23.56,59.09,0.09,40.19,4.95,1.62,67.67,26.40,68.69,280,
jawa timur - pamekasan,4,1.08,16.00,67.74,0.00,44.48,6.25,0.45,67.05,42.50,66.35,304,
jawa timur - sumenep,5,0.80,19.62,72.14,0.26,44.61,5.36,1.30,70.71,32.30,68.64,281,
jawa timur - kota kediri,5,50.00,8.49,44.53,0.00,34.28,9.52,0.04,73.69,25.60,69.15,57,
jawa timur - kota blitar,5,50.00,8.03,45.74,0.00,46.05,9.46,0.05,73.17,15.50,66.84,68,
jawa timur - kota malang,6,50.00,4.17,37.85,0.00,14.58,9.77,0.04,72.77,27.40,81.59,19,
jawa timur - kota probolinggo,5,0.84,7.84,40.79,0.00,20.60,8.13,0.06,69.86,30.40,68.69,61,
jawa timur - kota pasuruan,5,50.00,7.53,52.46,0.00,20.84,8.84,0.06,71.02,33.40,64.91,72,
jawa timur - kota mojokerto,6,50.00,5.73,44.15,0.00,18.65,9.77,0.04,72.86,10.30,79.45,26,
jawa timur - kota madiun,6,50.00,4.94,42.74,0.00,7.71,9.90,0.02,72.48,18.30,82.59,14,
jawa timur - kota surabaya,6,50.00,5.39,39.88,0.00,2.70,9.45,0.04,73.88,22.80,84.44,7,
jawa timur - kota batu,5,50.00,4.31,49.82,0.00,41.39,8.68,0.32,72.25,35.10,61.21,82,
banten - pandeglang,5,0.46,9.74,48.81,0.16,63.79,6.73,2.26,64.04,37.80,70.42,261,
banten - lebak,5,0.59,8.64,41.79,0.25,63.64,6.33,1.88,66.59,37.30,71.63,238,
banten - tangerang,5,2.55,5.39,21.60,0.00,28.58,7.97,0.27,69.47,28.80,71.10,250,
banten - serang,5,0.78,4.63,44.41,0.00,37.32,7.36,1.57,64.02,34.30,75.58,152,
banten - kota tangerang,6,50.00,4.95,46.28,0.00,13.82,9.86,0.04,71.38,23.30,76.84,35,
banten - kota cilegon,5,50.00,3.52,49.99,0.00,18.44,9.07,0.15,66.32,20.80,68.72,60,
banten - kota serang,4,50.00,5.57,52.85,0.18,28.75,8.32,0.16,67.38,31.70,59.16,85,
banten - kota tangerang selatan,6,50.00,1.76,38.78,0.00,23.91,11.24,0.03,72.16,23.90,83.33,12,
bali - jembrana,6,1.31,5.38,22.17,0.00,36.91,7.37,1.09,71.70,25.20,78.39,86,
bali - tabanan,6,0.59,4.92,8.91,0.00,23.15,8.19,0.44,73.03,16.20,88.30,1,
bali - badung,6,1.48,2.06,7.04,0.00,18.01,9.64,0.23,74.53,14.90,86.45,3,
bali - gianyar,6,0.81,4.46,1.38,0.00,23.05,8.41,0.19,73.06,22.50,87.16,2,
bali - klungkung,6,1.38,6.29,31.57,0.17,16.34,7.08,0.41,70.45,16.60,80.32,49,
bali - bangli,6,1.30,5.23,20.15,0.18,35.45,6.62,0.64,69.83,28.40,77.33,113,
bali - karangasem,6,0.84,6.55,53.92,0.68,34.10,5.39,0.40,69.85,23.60,76.89,124,
bali - buleleng,6,1.26,5.74,23.21,0.41,33.73,6.93,0.89,71.14,29.00,78.03,92,
bali - kota denpasar,6,50.00,2.27,38.33,0.00,3.12,10.47,0.03,74.17,9.50,92.81,1,
nusa tenggara barat - lombok barat,5,0.93,16.46,34.82,0.18,43.05,6.49,0.95,65.78,36.10,70.39,262,
nusa tenggara barat - lombok tengah,5,0.66,15.31,46.92,0.26,48.66,6.36,0.68,65.28,39.30,69.89,267,
nusa tenggara barat - lombok timur,4,0.83,18.28,48.40,0.11,54.66,6.76,0.63,65.01,35.10,67.40,293,
nusa tenggara barat - sumbawa,6,0.22,15.31,32.05,2.55,36.22,7.56,5.56,66.58,41.90,76.25,139,
nusa tenggara barat - dompu,6,0.26,13.43,38.50,1.10,31.90,8.24,5.54,65.89,38.30,77.43,109,
nusa tenggara barat - bima,5,0.33,15.10,42.39,1.76,35.98,7.72,4.81,65.40,36.60,75.15,166,
nusa tenggara barat - sumbawa barat,6,0.34,15.96,41.83,0.23,27.66,8.19,2.80,66.98,32.60,77.73,102,
nusa tenggara barat - lombok utara,4,0.78,32.06,39.90,0.23,53.39,6.06,1.88,66.17,37.60,63.34,321,
nusa tenggara barat - kota mataram,5,50.00,9.55,44.44,0.22,12.45,8.28,0.03,70.98,37.80,67.41,65,
nusa tenggara barat - kota bima,4,0.88,9.27,50.33,0.21,21.40,9.94,0.56,69.58,36.30,59.96,84,
nusa tenggara timur - kupang,4,0.99,22.91,50.17,22.68,51.60,7.64,5.37,63.49,47.20,61.50,328,
nusa tenggara timur - timor tengah selatan,3,0.92,29.44,70.29,43.07,60.50,6.43,17.60,65.65,53.50,53.86,363,
nusa tenggara timur - timor tengah utara,4,0.59,23.52,67.96,26.71,62.02,7.37,4.73,66.19,40.80,62.09,325,
nusa tenggara timur - belu,4,0.69,15.95,48.48,13.14,57.78,7.27,2.22,63.42,39.30,66.58,301,
nusa tenggara timur - alor,3,1.37,21.67,68.73,17.59,61.68,7.80,8.90,60.47,40.20,56.32,351,
nusa tenggara timur - flores timur,5,1.23,10.75,54.88,2.36,46.27,7.32,2.60,64.45,29.90,68.75,279,
nusa tenggara timur - sikka,5,0.89,14.20,54.11,24.88,44.63,6.68,2.03,66.30,29.10,68.76,278,
nusa tenggara timur - ende,4,1.61,23.95,58.60,5.23,43.24,7.82,2.42,64.48,34.10,61.44,329,
nusa tenggara timur - ngada,5,0.38,12.77,42.90,14.10,48.24,8.18,2.02,67.36,35.90,74.11,188,
nusa tenggara timur - manggarai,4,0.96,21.91,56.96,15.78,46.52,7.23,1.62,65.84,50.30,63.38,320,
nusa tenggara timur - sumba timur,4,0.67,31.03,58.15,18.34,47.82,7.31,12.94,64.12,40.10,61.28,331,
nusa tenggara timur - sumba barat,3,0.63,29.28,67.05,42.40,68.52,6.99,2.24,66.20,38.00,57.92,340,
nusa tenggara timur - lembata,4,0.65,26.48,58.30,19.86,46.25,7.55,2.98,66.19,40.80,64.65,312,
nusa tenggara timur - rote ndao,4,0.57,28.81,61.76,10.08,49.09,7.56,2.80,63.41,46.70,62.43,323,
nusa tenggara timur - manggarai barat,5,0.46,18.86,52.14,23.05,53.51,7.15,3.90,66.19,35.00,68.07,284,
nusa tenggara timur - nagekeo,5,0.78,13.48,59.98,13.31,49.09,7.98,2.80,66.36,39.80,68.90,276,
nusa tenggara timur - sumba tengah,3,0.69,36.01,75.14,37.44,69.16,6.58,5.47,67.74,43.50,54.35,361,
nusa tenggara timur - sumba barat daya,3,0.72,30.13,82.23,51.16,68.49,5.77,5.13,67.76,38.70,54.86,357,
nusa tenggara timur - manggarai timur,3,0.77,26.80,73.13,46.70,73.04,6.64,8.04,67.40,24.40,58.06,339,
nusa tenggara timur - sabu raijua,1,3.35,31.07,77.18,36.99,50.03,7.19,1.38,59.00,50.00,38.58,393,
nusa tenggara timur - malaka,3,2.07,16.52,51.93,23.81,70.22,6.80,1.96,64.29,44.60,54.45,360,
nusa tenggara timur - kota kupang,5,50.00,9.81,44.13,0.63,32.08,10.82,0.18,68.58,36.40,62.01,79,
kalimantan barat - sambas,6,0.53,8.59,32.90,0.66,48.85,6.71,4.90,68.17,37.10,75.77,149,
kalimantan barat - mempawah,5,0.84,5.94,51.30,0.74,42.37,6.55,3.36,70.32,35.10,75.43,159,
kalimantan barat - sanggau,6,0.65,4.52,34.05,12.54,42.09,6.75,15.35,70.75,43.00,76.44,135,
kalimantan barat - ketapang,5,1.22,11.02,42.36,6.64,48.32,7.23,21.42,70.52,33.00,70.42,260,
kalimantan barat - sintang,5,1.18,10.20,33.99,25.02,46.29,6.65,26.91,71.11,44.10,68.92,275,
kalimantan barat - kapuas hulu,5,1.15,9.45,46.71,5.02,33.56,6.91,31.24,71.95,40.30,72.59,220,
kalimantan barat - bengkayang,6,0.46,7.51,40.89,8.69,52.80,6.31,6.55,73.04,39.60,76.22,140,
kalimantan barat - landak,4,2.19,12.23,57.56,27.96,57.58,6.84,13.39,72.12,33.30,60.58,333,
kalimantan barat - sekadau,5,1.48,6.46,40.19,14.61,43.37,6.38,11.78,70.98,44.10,69.76,270,
kalimantan barat - melawi,4,1.84,12.54,63.43,20.24,45.64,6.29,20.36,72.39,37.90,63.47,318,
kalimantan barat - kayong utara,5,0.52,9.89,37.20,3.47,52.84,5.75,15.80,67.46,33.80,73.16,209,
kalimantan barat - kubu raya,5,0.98,5.26,35.86,0.75,45.18,7.23,8.55,69.80,34.80,75.56,153,
kalimantan barat - kota pontianak,5,50.00,5.31,46.70,0.00,30.96,9.64,0.04,72.17,28.40,70.31,52,
kalimantan barat - kota singkawang,4,50.00,5.42,49.05,0.74,33.15,7.47,0.46,71.13,31.10,57.97,87,
kalimantan  tengah - kotawaringin barat,5,3.23,4.52,24.88,1.09,16.04,8.32,11.31,70.34,36.90,67.91,288,
kalimantan  tengah - kotawaringin timur,5,1.42,6.24,26.76,2.84,23.35,7.88,18.15,69.70,41.80,75.50,155,
kalimantan  tengah - kapuas,6,0.35,5.32,58.53,7.30,35.01,7.85,12.46,68.59,44.10,77.14,117,
kalimantan  tengah - barito selatan,5,1.54,4.44,48.38,3.46,27.00,8.78,17.31,66.78,42.00,72.28,228,
kalimantan  tengah - barito utara,6,1.19,5.21,29.54,4.56,27.61,7.96,13.79,71.27,37.20,77.78,97,
kalimantan  tengah - katingan,6,0.71,5.78,48.98,3.10,26.67,8.30,27.56,65.53,34.40,76.45,134,
kalimantan  tengah - seruyan,5,1.76,7.46,28.76,2.08,36.19,7.77,26.18,69.23,33.50,71.23,247,
kalimantan  tengah - sukamara,6,1.95,3.36,19.72,3.17,20.87,7.54,15.54,71.41,27.90,76.54,128,
kalimantan  tengah - lamandau,6,0.52,3.52,33.70,4.94,39.94,7.86,13.18,69.28,37.60,79.27,66,
kalimantan  tengah - gunung mas,3,4.20,5.83,49.75,18.84,27.53,8.97,26.36,70.15,48.10,54.48,359,
kalimantan  tengah - pulang pisau,6,0.22,5.19,42.26,0.78,30.33,7.75,18.00,67.86,35.40,80.91,42,
kalimantan  tengah - murung raya,4,1.80,5.88,45.35,13.88,41.09,7.33,33.81,69.39,46.70,66.40,303,
kalimantan  tengah - barito timur,5,1.29,7.17,29.93,1.25,40.30,8.69,8.01,67.97,35.70,74.14,186,
kalimantan  tengah - kota palangkaraya,6,50.00,3.62,44.80,0.00,10.11,10.24,1.00,73.13,33.80,72.24,48,
kalimantan selatan - tanah laut,6,0.36,4.60,29.71,0.15,43.16,7.44,3.78,68.89,40.60,79.76,59,
kalimantan selatan - kotabaru,6,0.77,4.38,29.59,3.53,25.62,7.28,11.23,68.72,46.70,78.57,81,
kalimantan selatan - banjar,6,0.57,2.96,26.84,0.98,30.90,7.31,2.33,66.38,26.10,81.73,27,
kalimantan selatan - barito kuala,6,0.25,5.13,50.42,1.39,37.51,6.95,3.22,65.33,36.30,77.99,93,
kalimantan selatan - tapin,6,0.16,3.77,37.11,1.28,26.60,7.47,3.26,69.77,45.70,83.00,13,
kalimantan selatan - hulu sungai selatan,6,0.25,5.80,45.62,1.59,27.32,7.67,1.95,65.39,39.90,79.79,57,
kalimantan selatan - hulu sungai tengah,6,0.26,6.09,40.14,0.13,38.34,7.96,2.04,65.30,39.10,78.69,76,
kalimantan selatan - hulu sungai utara,6,0.50,6.65,29.64,0.38,26.73,7.57,1.29,62.94,39.40,78.42,85,
kalimantan selatan - tabalong,6,0.62,6.09,39.07,0.00,26.09,8.59,3.10,69.95,36.50,81.11,35,
kalimantan selatan - tanah bumbu,6,0.94,4.99,20.89,0.00,16.45,7.69,2.24,69.44,17.90,84.06,9,
kalimantan selatan - balangan,6,0.20,5.68,41.11,2.23,20.58,7.15,2.83,67.19,35.30,82.46,17,
kalimantan selatan - kota banjarmasin,6,50.00,4.19,47.88,0.34,4.45,9.46,0.02,70.55,31.50,75.82,39,
kalimantan selatan - kota banjarbaru,5,50.00,4.68,47.61,0.00,20.78,10.23,0.50,71.50,29.10,70.21,53,
kalimantan timur - paser,5,1.80,9.28,57.46,1.50,19.93,8.05,11.32,72.05,31.70,72.76,216,
kalimantan timur - kutai kartanegara,6,1.23,7.57,52.25,0.41,7.78,8.88,14.45,71.68,30.90,79.50,61,
kalimantan timur - berau,6,1.53,5.41,20.61,2.15,14.93,9.10,24.14,71.44,30.40,79.47,62,
kalimantan timur - kutai barat,5,2.16,8.72,27.62,6.53,32.71,8.05,20.91,72.37,31.50,70.64,257,
kalimantan timur - kutai timur,5,2.87,9.29,18.22,1.85,9.85,8.95,18.87,72.51,32.40,71.27,246,
kalimantan timur - penajam paser utara,6,1.41,7.63,10.51,0.34,15.75,7.96,5.07,70.82,31.80,80.18,51,
kalimantan timur - mahakam ulu,5,1.61,11.29,53.94,6.16,21.45,7.85,85.49,71.25,30.50,68.88,277,
kalimantan timur - kota balikpapan,6,50.00,2.82,41.81,0.00,3.78,9.80,0.17,73.97,30.20,83.62,9,
kalimantan timur - kota samarinda,6,50.00,4.77,41.71,0.00,2.00,10.07,0.23,73.71,28.80,82.56,15,
kalimantan timur - kota bontang,6,50.00,5.16,42.54,0.09,3.49,10.43,0.18,73.72,32.40,81.42,20,
kalimantan utara - bulungan,6,0.91,9.93,20.28,1.15,17.57,8.74,15.84,72.51,27.00,82.44,18,
kalimantan utara - malinau,6,1.09,8.06,11.59,5.33,17.67,8.83,56.15,71.39,31.60,79.40,64,
kalimantan utara - nunukan,6,1.14,6.22,29.92,5.02,18.52,7.54,19.95,71.25,39.30,78.26,89,
kalimantan utara - tana tidung,5,2.40,6.63,20.53,0.89,26.02,7.61,24.36,71.33,42.30,69.82,268,
kalimantan utara - kota tarakan,6,50.00,6.32,49.05,0.25,5.12,9.84,0.31,73.85,32.20,74.44,41,
sulawesi utara - bolaang mongondow,6,0.16,8.02,48.24,0.00,45.53,7.71,5.73,68.61,35.80,78.36,87,
sulawesi utara - minahasa,6,1.02,7.90,35.72,0.57,35.77,9.76,1.74,70.46,37.60,77.55,106,
sulawesi utara - kepulauan sangihe,2,4.32,11.80,62.98,6.49,55.11,8.57,0.86,69.35,22.20,50.96,371,
sulawesi utara - kepulauan talaud,4,2.52,9.77,43.69,2.46,50.87,8.84,2.37,69.48,37.50,63.62,317,
sulawesi utara - minahasa selatan,5,0.78,9.78,55.58,0.00,49.36,9.30,2.45,69.24,35.90,74.06,189,
sulawesi utara - minahasa utara,6,0.97,7.46,37.29,0.44,34.04,9.96,1.75,70.86,29.70,79.41,63,
sulawesi utara - minahasa tenggara,5,0.70,14.08,53.58,0.00,47.10,9.21,2.48,69.58,24.60,74.89,171,
sulawesi utara - bolaang mongondow utara,5,0.30,8.89,54.21,1.43,52.90,8.82,7.52,66.98,36.80,75.16,165,
sulawesi utara - kep. siau tagulandang biaro,2,5.00,10.33,60.46,3.06,45.79,9.29,0.55,69.85,30.40,48.88,380,
sulawesi utara - bolaang mongondow timur,6,0.83,6.20,35.97,0.22,40.06,7.65,4.63,67.32,22.30,77.77,99,
sulawesi utara - bolaang mongondow selatan,4,1.31,14.16,53.11,0.29,43.85,7.68,9.67,64.03,51.30,64.90,310,
sulawesi utara - kota manado,6,50.00,5.46,49.24,0.00,7.83,10.68,0.06,71.34,27.30,77.25,34,
sulawesi utara - kota bitung,5,50.00,6.62,53.31,0.00,14.75,9.97,0.41,70.54,29.90,66.75,69,
sulawesi utara - kota tomohon,6,0.93,6.47,47.97,0.00,28.89,10.51,0.20,71.18,13.40,71.76,50,
sulawesi utara - kota kotamobagu,5,50.00,5.90,48.67,0.00,17.30,9.55,0.15,69.72,30.70,69.36,55,
sulawesi tengah - banggai,6,0.46,9.20,33.31,2.18,47.27,8.17,12.35,70.02,31.50,77.96,95,
sulawesi tengah - poso,6,0.37,17.16,24.60,1.25,38.27,9.01,7.13,70.16,35.40,78.12,91,
sulawesi tengah - donggala,5,0.81,18.17,39.24,8.42,50.43,7.74,7.30,65.89,39.50,68.36,282,
sulawesi tengah - tolitoli,5,0.83,13.30,38.13,6.59,33.97,8.23,3.20,64.12,36.90,72.76,217,
sulawesi tengah - buol,4,1.52,16.65,43.08,6.35,40.02,8.69,6.97,67.00,41.30,66.85,299,
sulawesi tengah - morowali,6,0.60,14.55,29.62,2.69,37.88,8.84,5.05,68.07,34.00,76.49,130,
sulawesi tengah - banggai kepulauan,2,5.00,15.92,38.60,12.70,39.04,7.93,5.72,64.53,37.30,44.84,387,
sulawesi tengah - parigi moutong,5,0.41,17.55,34.88,8.05,41.97,7.27,3.51,63.19,34.40,72.07,235,
sulawesi tengah - tojo una-una,4,1.60,18.15,41.55,9.37,44.83,8.10,6.64,64.07,38.40,63.73,316,
sulawesi tengah - sigi,5,0.48,12.66,37.10,5.62,49.98,8.28,5.81,68.72,36.40,74.82,173,
sulawesi tengah - banggai laut,2,5.00,16.17,37.57,1.52,43.32,8.11,1.37,63.62,33.40,45.42,385,
sulawesi tengah - morowali utara,5,0.61,15.73,28.42,6.07,44.29,8.53,15.71,68.34,36.50,73.96,194,
sulawesi tengah - kota palu,6,50.00,6.74,40.71,0.16,13.77,10.62,0.14,69.93,36.80,74.12,44,
sulawesi selatan - kepulauan selayar,5,1.17,13.28,60.67,2.03,40.28,7.41,2.36,67.82,30.20,70.18,263,
sulawesi selatan - bulukumba,6,0.46,7.97,35.31,0.51,43.38,7.70,1.39,66.96,31.80,77.88,96,
sulawesi selatan - bantaeng,6,0.33,9.66,17.87,0.81,28.71,7.34,1.20,69.90,38.10,82.10,23,
sulawesi selatan - jeneponto,5,0.34,15.40,56.93,0.00,28.36,6.91,1.81,65.65,35.90,74.94,169,
sulawesi selatan - takalar,6,0.52,9.24,22.92,0.14,26.28,7.42,0.90,66.38,33.30,80.15,52,
sulawesi selatan - gowa,6,0.34,8.42,33.30,0.40,30.64,8.18,2.50,69.95,36.80,81.54,29,
sulawesi selatan - sinjai,6,0.55,9.24,22.51,1.96,45.53,7.68,1.36,66.61,43.70,75.92,145,
sulawesi selatan - bone,6,0.21,10.28,26.57,3.62,44.90,7.13,1.89,66.22,40.10,77.17,116,
sulawesi selatan - maros,6,0.28,11.14,18.12,0.49,27.65,7.82,2.44,68.60,41.20,81.32,31,
sulawesi selatan - pangkajene dan kepulauan,5,0.62,16.22,57.23,0.59,31.42,7.47,1.82,65.86,41.90,72.11,234,
sulawesi selatan - barru,6,0.42,9.71,15.48,1.98,33.17,8.18,1.11,68.30,31.00,81.59,28,
sulawesi selatan - soppeng,6,0.22,8.29,35.95,3.05,42.57,7.88,2.90,68.72,38.70,79.09,72,
sulawesi selatan - wajo,6,0.14,7.38,25.18,0.88,32.95,7.06,3.02,66.52,36.80,81.24,33,
sulawesi selatan - sidenreng rappang,6,0.14,5.32,29.30,0.45,35.09,7.86,3.44,68.82,31.30,83.44,12,
sulawesi selatan - pinrang,6,0.16,8.46,31.06,0.34,36.22,7.87,2.83,68.68,38.10,81.01,38,
sulawesi selatan - enrekang,5,0.79,13.16,32.23,0.00,56.15,8.52,2.88,70.38,45.90,72.57,222,
sulawesi selatan - luwu,6,0.32,14.01,32.69,6.76,47.59,8.28,5.26,69.60,39.10,76.10,141,
sulawesi selatan - tana toraja,5,0.55,12.62,36.24,7.68,55.64,8.20,3.18,72.56,43.00,74.48,177,
sulawesi selatan - luwu utara,6,0.48,14.33,19.87,2.14,43.61,7.73,12.49,67.61,30.80,76.45,133,
sulawesi selatan - luwu timur,6,0.38,7.66,19.82,5.11,34.64,8.34,10.44,69.79,22.10,83.00,14,
sulawesi selatan - toraja utara,5,0.48,14.41,40.52,0.65,51.71,7.95,1.62,72.94,42.40,75.21,162,
sulawesi selatan - kota makassar,6,50.00,4.59,39.93,0.11,6.72,10.08,0.02,71.51,25.20,82.38,17,
sulawesi selatan - kota pare pare,6,50.00,5.70,47.70,0.33,12.66,10.19,0.12,70.69,35.70,71.91,49,
sulawesi selatan - kota palopo,5,50.00,8.78,48.13,0.00,11.84,10.79,0.34,70.30,32.80,69.51,54,
sulawesi  tenggara - kolaka,6,0.52,13.78,22.41,3.35,30.75,8.63,3.50,70.05,31.90,79.96,56,
sulawesi  tenggara - konawe,6,0.29,15.65,54.03,1.52,36.04,9.05,6.28,69.52,29.60,77.51,107,
sulawesi  tenggara - muna,4,2.24,14.85,16.55,0.38,53.31,8.28,3.24,69.77,31.80,66.00,307,
sulawesi  tenggara - buton,4,1.54,13.46,18.77,2.87,60.79,8.11,3.00,67.30,38.30,67.35,295,
sulawesi  tenggara - konawe selatan,6,0.55,11.14,20.55,1.65,42.38,7.60,7.96,69.98,37.40,77.75,101,
sulawesi  tenggara - bombana,6,0.58,12.36,28.18,4.23,34.55,7.19,7.20,67.82,40.10,76.03,142,
sulawesi  tenggara - wakatobi,5,1.52,16.19,22.73,1.23,37.08,7.85,0.93,69.59,26.40,72.23,231,
sulawesi  tenggara - kolaka utara,4,2.30,16.24,30.08,13.48,39.03,7.77,3.19,69.74,36.50,64.33,313,
sulawesi  tenggara - konawe utara,6,0.46,13.93,24.34,2.03,54.59,8.81,13.55,68.69,29.90,75.76,150,
sulawesi  tenggara - buton utara,5,0.58,15.58,26.16,15.17,42.79,8.08,3.38,70.38,44.50,74.25,184,
sulawesi  tenggara - kolaka timur,6,0.44,15.64,11.94,1.66,28.42,8.61,6.10,71.66,37.30,81.09,37,
sulawesi  tenggara - konawe kepulauan,4,2.01,18.10,17.16,11.02,45.04,9.08,5.50,67.88,43.60,64.77,311,
sulawesi  tenggara - muna barat,3,5.00,16.24,13.31,7.78,20.97,7.58,1.66,69.79,31.70,52.95,366,
sulawesi  tenggara - buton tengah,2,5.00,18.35,23.64,2.88,5.94,4.43,1.69,67.17,48.80,49.11,378,
sulawesi  tenggara - buton selatan,2,5.00,15.99,22.56,24.05,21.97,7.04,0.97,67.17,43.50,48.07,382,
sulawesi  tenggara - kota kendari,6,50.00,5.01,41.71,0.24,13.88,11.47,0.16,73.02,37.10,79.03,28,
sulawesi  tenggara - kota bau bau,5,50.00,8.39,41.41,0.09,16.79,9.95,0.44,70.50,33.70,68.98,58,
gorontalo - gorontalo,5,0.69,17.65,21.77,4.15,48.37,7.66,1.99,66.69,32.40,72.79,215,
gorontalo - boalemo,5,0.89,21.85,28.53,7.52,48.25,6.78,3.44,67.86,32.40,69.24,273,
gorontalo - bone bolango,5,2.01,17.81,24.05,1.64,35.42,8.44,3.31,67.71,25.60,68.24,283,
gorontalo - pahuwato,5,1.14,21.27,31.45,1.58,13.98,7.54,7.61,62.86,33.20,71.29,245,
gorontalo - gorontalo utara,5,0.44,19.23,36.66,3.84,39.20,7.29,4.22,65.12,27.40,73.53,201,
gorontalo - kota gorontalo,6,50.00,5.70,40.14,0.00,12.18,10.20,0.08,71.79,36.20,77.58,33,
sulawesi barat - mamuju utara,5,0.88,4.84,25.57,7.51,38.90,7.46,8.00,65.33,39.90,75.28,161,
sulawesi barat - mamuju,6,0.45,6.88,27.97,5.25,44.77,7.70,3.79,66.65,38.20,77.37,111,
sulawesi barat - mamasa,4,0.60,13.51,53.96,5.67,80.88,8.06,7.24,70.48,44.10,67.32,296,
sulawesi barat - polewali mandar,5,0.39,16.05,45.51,0.54,45.28,7.33,2.88,61.76,38.70,70.87,252,
sulawesi barat - majene,4,1.73,13.94,41.94,6.17,39.63,8.85,2.33,60.79,43.90,64.02,314,
sulawesi barat - mamuju tengah,6,0.56,6.95,27.30,9.83,44.55,7.39,3.19,67.52,39.10,76.52,129,
maluku - maluku tengah,4,1.24,21.20,41.44,1.59,50.88,9.46,10.15,66.06,32.00,66.68,300,
maluku - maluku tenggara,4,2.08,23.87,9.15,16.53,53.25,9.38,8.03,64.61,26.60,61.85,327,
maluku - maluku tenggara barat,1,5.00,27.47,58.08,15.95,54.01,9.17,18.29,63.06,31.70,36.57,395,
maluku - buru,5,0.68,17.40,27.15,5.51,47.68,8.66,13.93,66.03,31.80,72.24,230,
maluku - seram bagian timur,3,2.09,23.59,50.45,16.03,62.95,7.87,6.33,58.56,41.10,51.89,368,
maluku - seram bagian barat,3,1.51,25.49,38.68,12.62,65.58,8.77,7.19,60.96,29.10,58.51,336,
maluku - kepulauan aru,1,5.00,27.13,34.62,42.03,53.89,8.39,15.46,62.34,34.20,35.76,396,
maluku - maluku barat daya,2,2.76,30.18,45.79,23.88,72.53,8.32,15.19,61.62,34.80,45.55,383,
maluku - buru selatan,3,2.38,16.83,44.97,12.99,63.71,7.48,12.85,65.74,31.00,56.90,349,
maluku - kota ambon,5,50.00,4.46,46.48,0.68,30.40,11.35,0.26,69.92,22.10,70.46,51,
maluku - kota tual,1,50.00,24.00,49.60,5.66,43.49,10.11,0.69,64.61,30.30,24.44,97,
maluku utara - halmahera barat,4,2.67,8.74,28.73,1.70,61.06,7.89,3.90,65.55,23.60,62.13,324,
maluku utara - halmahera tengah,4,1.11,14.15,23.58,11.82,58.61,8.42,10.35,62.80,32.70,67.48,292,
maluku utara - halmahera utara,6,1.15,4.22,27.77,0.87,48.04,8.34,6.45,68.94,16.90,77.61,105,
maluku utara - halmahera selatan,5,1.23,4.10,19.86,8.69,52.02,7.48,10.07,65.20,28.40,72.93,211,
maluku utara - kepulauan sula,3,2.74,8.59,50.39,15.56,48.78,8.74,8.20,62.60,39.40,57.87,341,
maluku utara - halmahera timur,5,0.56,15.25,28.41,3.08,54.35,7.84,17.34,67.85,24.20,73.86,197,
maluku utara - pulau morotai,5,0.65,7.07,42.75,8.00,57.90,6.68,7.09,66.28,29.00,72.79,214,
maluku utara - pulau taliabu,2,3.61,7.17,35.57,35.02,68.36,7.48,13.35,61.32,16.60,50.90,372,
maluku utara - kota ternate,6,50.00,2.73,42.20,0.00,14.89,11.08,0.12,70.27,24.40,80.87,24,
