Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
sumatera utara - kota binjai,6,0.00,5.10,18.08,0.00,7.09,8.93,6.71,72.79,31.70,87.25,32,
sumatera utara - kota tebing tinggi,6,0.00,9.59,20.26,0.00,24.69,8.92,2.33,71.29,24.60,75.82,81,
sumatera utara - kota padang sidimpuan,5,0.00,6.89,28.27,0.35,38.21,9.61,2.22,69.84,35.50,69.90,90,
sumatera utara - kota gunungsitoli,5,0.00,14.81,17.94,0.29,25.20,9.02,4.42,71.71,17.80,65.13,95,
sumatera barat - pesisir selatan,6,0.40,7.11,24.11,0.20,19.50,8.44,5.13,71.25,16.70,85.95,40,
sumatera barat - solok,6,0.36,7.12,44.18,0.00,33.02,7.62,6.05,69.19,28.50,81.78,124,
sumatera barat - sijunjung,6,0.79,6.00,27.67,0.48,29.44,8.96,8.43,66.70,11.20,79.93,160,
sumatera barat - tanah datar,6,0.33,4.26,36.16,0.39,20.38,10.00,5.25,70.49,22.00,87.55,18,
sumatera barat - padang pariaman,6,0.51,6.25,28.13,0.46,30.84,9.52,4.52,69.34,14.50,83.13,96,
sumatera barat - agam,6,0.51,6.22,38.72,0.69,16.68,8.86,4.29,72.89,22.00,86.40,34,
sumatera barat - lima puluh kota,6,0.44,6.59,46.81,0.28,40.57,9.47,4.55,70.08,8.40,80.68,146,
sumatera barat - pasaman,6,0.30,6.85,42.69,0.61,37.17,8.62,3.81,67.96,14.70,80.59,149,
sumatera barat - kepulauan mentawai,2,3.17,13.97,54.54,11.19,73.70,8.46,5.31,64.93,17.50,50.91,379,
sumatera barat - dharmasraya,6,0.89,5.56,11.73,0.18,26.04,8.13,3.25,71.90,24.20,84.38,72,
sumatera barat - solok selatan,6,0.35,6.51,27.76,0.25,34.45,8.01,3.50,68.38,14.50,82.16,114,
sumatera barat - pasaman barat,6,0.55,6.93,44.76,0.15,26.54,8.38,4.60,68.25,16.80,80.67,147,
sumatera barat - kota padang,6,0.00,4.26,11.51,0.17,10.07,8.55,4.29,73.93,26.30,88.33,26,
sumatera barat - kota solok,6,0.00,3.02,11.75,0.00,1.43,8.99,3.56,74.06,18.60,92.87,4,
sumatera barat - kota sawahlunto,6,0.00,2.28,14.59,0.03,7.24,8.22,4.74,70.40,22.50,84.38,46,
sumatera barat - kota padang panjang,6,0.00,5.14,6.63,0.00,6.18,8.54,4.27,73.02,9.90,89.58,17,
sumatera barat - kota bukittinggi,6,0.00,4.46,10.39,0.00,7.04,8.34,4.91,74.82,25.00,91.78,7,
sumatera barat - kota payakumbuh,6,0.00,5.66,15.84,0.00,3.42,8.34,2.70,74.14,15.40,88.56,24,
sumatera barat - kota pariaman,6,0.00,4.13,28.81,0.21,20.69,9.09,1.67,70.67,19.90,81.57,58,
riau - kampar,3,5.00,7.12,29.57,0.16,30.10,7.44,6.29,71.12,15.10,57.59,361,
riau - indragiri hulu,3,5.00,6.14,14.99,1.54,20.61,8.14,2.65,70.48,22.80,59.35,352,
riau - bengkalis,4,4.19,6.32,24.11,0.64,44.43,8.74,1.99,71.50,19.00,61.68,340,
riau - indragiri hilir,5,1.48,5.98,28.26,4.57,69.59,7.77,3.82,68.31,25.40,69.29,306,
riau - pelalawan,5,3.35,8.97,21.26,1.00,18.55,7.96,6.61,71.53,17.70,69.49,302,
riau - rokan hulu,3,5.00,9.95,28.46,0.28,19.70,7.55,5.32,70.51,24.80,56.76,362,
riau - rokan hilir,4,3.21,6.73,25.23,0.13,36.14,8.25,2.47,70.69,19.40,67.45,314,
riau - siak,5,2.82,5.07,14.76,0.31,14.71,8.33,1.46,71.37,19.10,74.74,244,
riau - kuantan singingi,5,2.83,8.24,25.51,0.16,31.90,8.22,1.34,68.87,24.90,68.94,310,
riau - kepulauan meranti,5,0.09,23.84,15.14,1.63,94.46,7.70,2.35,68.09,18.50,70.47,293,
riau - kota pekanbaru,6,0.00,3.06,5.89,0.00,10.01,7.48,1.94,72.70,14.60,89.81,16,
riau - kota dumai,6,0.00,3.20,16.48,0.72,5.95,7.42,6.65,71.25,20.20,78.61,73,
jambi - kerinci,6,0.45,7.57,31.22,3.10,32.14,9.53,1.00,70.28,23.20,82.42,109,
jambi - merangin,5,1.93,8.70,33.83,0.00,51.24,9.01,1.21,71.53,20.20,71.66,281,
jambi - sarolangun,4,3.32,8.48,17.15,0.94,47.95,8.18,3.21,69.46,22.80,64.01,332,
jambi - batanghari,5,2.34,9.63,28.22,0.50,32.03,8.16,3.69,70.93,12.40,70.79,290,
jambi - muaro jambi,4,3.61,4.47,35.47,0.09,31.07,8.33,2.16,71.58,22.10,65.90,323,
jambi - tanjung jabung barat,4,3.11,10.00,29.35,0.78,51.22,8.52,3.77,68.43,22.30,63.59,334,
jambi - tanjung jabung timur,5,1.57,10.91,31.29,0.72,44.77,8.56,3.02,66.66,20.20,71.22,286,
jambi - bungo,4,3.69,5.38,23.03,0.58,24.82,8.27,0.94,68.13,24.90,65.60,326,
jambi - tebo,5,2.53,6.34,30.61,0.39,28.45,7.36,1.49,70.26,21.20,70.89,289,
jambi - kota jambi,6,0.00,8.33,15.43,0.00,10.54,8.40,1.92,72.99,16.60,84.66,45,
jambi - kota sungai penuh,6,0.00,2.97,15.08,0.00,7.94,7.24,2.06,72.53,20.40,83.14,53,
sumatera selatan - ogan komering ulu,5,1.80,11.61,26.09,0.00,28.16,8.04,0.99,68.55,9.90,74.36,247,
sumatera selatan - ogan komering ilir,6,0.26,13.23,42.81,0.58,43.08,8.25,1.97,69.01,18.10,79.04,177,
sumatera selatan - muara enim,5,1.72,11.12,25.08,0.38,36.49,7.87,1.46,69.38,8.70,73.22,265,
sumatera selatan - lahat,5,1.07,15.61,35.45,0.00,45.68,8.50,1.25,66.52,24.70,72.87,270,
sumatera selatan - musi rawas,6,0.47,13.34,36.72,0.29,27.52,7.59,2.44,68.62,18.40,79.56,166,
sumatera selatan - musi banyuasin,6,0.63,15.19,23.93,1.45,33.62,7.54,2.25,69.19,10.20,79.09,174,
sumatera selatan - banyuasin,6,0.17,10.00,33.73,0.05,54.97,8.01,1.08,69.43,25.10,78.91,179,
sumatera selatan - ogan komering ulu timur,6,0.16,10.05,17.01,0.00,36.25,8.57,0.36,69.48,16.20,84.52,68,
sumatera selatan - ogan komering ulu selatan,6,0.41,10.56,46.10,4.12,54.84,7.32,3.03,67.36,22.50,76.15,228,
sumatera selatan - ogan ilir,6,0.72,12.33,48.70,0.20,30.26,8.03,1.31,65.98,16.40,76.32,225,
sumatera selatan - empat lawang,5,1.30,12.03,23.04,0.25,68.72,8.86,4.52,65.45,16.70,69.27,307,
sumatera selatan - penukal abab lematang ilir,5,1.53,11.76,31.58,0.08,38.04,8.62,1.68,68.65,16.20,73.71,256,
sumatera selatan - musi rawas utara,4,2.76,18.45,38.22,0.49,43.42,9.15,2.44,66.08,19.60,60.31,346,
sumatera selatan - kota palembang,6,0.00,10.48,15.41,0.00,3.68,7.58,3.29,71.49,20.50,83.29,51,
sumatera selatan - kota pagar alam,4,0.00,8.47,34.92,0.31,45.77,7.38,2.67,67.29,21.20,59.17,96,
sumatera selatan - kota lubuklinggau,5,0.00,12.68,25.84,0.00,34.39,7.36,5.12,69.82,23.00,66.26,93,
sumatera selatan - kota prabumulih,5,0.00,11.28,14.11,0.11,37.52,8.91,3.87,70.87,16.00,68.83,91,
bengkulu - bengkulu selatan,5,0.44,17.86,36.72,0.16,58.04,9.35,0.83,68.15,13.30,74.63,245,
bengkulu - rejang lebong,5,1.13,15.65,23.55,1.10,58.18,9.67,1.27,69.00,17.80,72.67,271,
bengkulu - bengkulu utara,5,1.87,11.48,19.30,0.15,46.59,9.16,2.58,68.53,18.00,70.74,291,
bengkulu - kaur,5,0.80,18.10,43.80,0.24,43.08,8.07,3.34,67.01,18.90,73.90,255,
bengkulu - seluma,5,0.82,18.36,33.45,0.94,58.55,8.45,1.18,68.13,14.00,71.64,282,
bengkulu - mukomuko,6,1.09,11.44,23.08,0.00,34.55,9.32,0.05,67.00,20.50,76.63,221,
bengkulu - lebong,6,0.36,12.03,41.82,0.56,49.38,8.59,0.30,63.68,24.90,75.84,231,
bengkulu - kepahiang,5,1.51,14.53,29.80,0.56,55.28,7.44,0.90,68.28,27.50,69.41,305,
bengkulu - bengkulu tengah,4,3.07,9.76,24.35,0.00,58.50,7.34,0.87,68.37,13.60,61.54,342,
bengkulu - kota bengkulu,6,0.00,15.73,7.71,0.06,15.36,9.27,0.32,70.46,25.00,75.68,82,
lampung - lampung selatan,6,0.32,13.14,17.56,0.00,22.64,8.14,0.61,69.69,23.60,85.46,49,
lampung - lampung tengah,6,0.12,10.96,27.34,1.04,35.95,8.08,1.03,70.08,27.20,84.55,66,
lampung - lampung utara,5,0.18,18.41,37.32,0.00,64.11,8.37,0.65,69.57,18.60,74.94,242,
lampung - lampung barat,5,0.83,11.71,26.01,0.87,57.42,8.19,0.39,67.90,19.40,75.39,240,
lampung - tulang bawang,6,0.14,8.42,21.94,0.00,24.54,7.91,0.18,70.22,18.60,87.51,21,
lampung - tanggamus,5,0.91,10.98,34.77,0.36,55.07,7.82,0.42,68.95,24.30,74.19,250,
lampung - lampung timur,6,0.14,13.98,29.58,0.05,32.03,8.90,0.42,71.01,27.60,83.55,88,
lampung - way kanan,6,0.24,11.76,35.06,0.00,51.39,7.35,0.57,69.69,21.10,79.31,171,
lampung - pesawaran,6,0.44,13.85,34.50,0.00,44.37,7.52,0.66,69.44,15.70,77.89,192,
lampung - pringsewu,6,0.49,9.34,26.25,0.00,7.93,8.10,0.30,70.65,21.80,87.38,23,
lampung - mesuji,6,0.14,6.84,13.77,0.15,26.15,8.03,0.27,68.51,14.00,86.21,38,
lampung - tulang bawang barat,6,0.12,7.44,15.27,0.00,54.36,9.69,0.13,70.23,17.80,83.59,85,
lampung - pesisir barat,6,0.45,13.84,22.84,0.41,53.10,8.30,0.47,63.99,27.30,76.32,224,
lampung - kota bandar lampung,6,0.00,8.21,11.53,0.00,11.34,8.20,0.94,71.66,20.00,83.37,50,
lampung - kota metro,6,0.00,7.87,8.09,0.00,12.28,7.41,0.56,71.88,17.60,83.66,49,
kepulauan bangka belitung - bangka,6,1.74,4.26,20.61,0.09,14.61,8.08,0.22,71.37,16.60,81.31,137,
kepulauan bangka belitung - belitung,4,5.00,6.45,11.78,0.14,9.76,7.73,0.31,71.31,26.80,61.83,339,
kepulauan bangka belitung - bangka selatan,6,0.65,3.22,28.70,0.00,26.78,7.17,0.51,68.68,22.20,82.94,103,
kepulauan bangka belitung - bangka tengah,3,5.00,4.86,30.63,0.00,17.96,8.04,0.34,71.82,22.10,58.62,357,
kepulauan bangka belitung - bangka barat,4,4.25,2.46,20.23,0.28,22.34,8.25,0.48,70.25,21.30,63.76,333,
kepulauan bangka belitung - belitung timur,4,5.00,6.49,15.60,0.72,9.89,7.14,0.61,72.33,22.70,62.09,338,
kepulauan bangka belitung - kota pangkalpinang,6,0.00,4.55,6.99,0.00,9.10,7.84,0.51,73.68,28.20,87.42,31,
kepulauan riau - bintan,3,5.00,6.44,12.14,0.00,26.43,8.05,0.39,70.76,20.00,59.58,350,
kepulauan riau - karimun,4,5.00,6.87,9.99,0.00,9.06,9.20,0.17,71.53,18.20,62.97,335,
kepulauan riau - natuna,3,5.00,5.32,13.75,0.07,14.22,9.74,0.12,65.76,19.80,59.15,354,
kepulauan riau - lingga,3,5.00,14.05,21.06,1.47,20.03,7.60,0.70,62.92,18.00,52.41,375,
kepulauan riau - kepulauan anambas,3,5.00,7.51,12.14,0.37,38.69,8.87,0.36,67.73,22.30,55.72,366,
kepulauan riau - kota batam,6,0.00,5.19,5.23,0.26,1.68,7.81,0.29,73.62,24.30,88.10,27,
kepulauan riau - kota tanjungpinang,6,0.00,9.85,9.70,0.00,22.29,7.41,0.54,72.49,19.30,77.75,75,
dki jakarta - kepulauan seribu,3,5.00,14.11,44.82,0.28,1.54,7.22,0.85,69.20,25.80,56.63,363,
dki jakarta - jakarta pusat,6,0.00,4.90,8.22,0.35,4.13,7.64,0.54,74.48,24.30,91.00,11,
dki jakarta - jakarta utara,6,0.00,7.24,14.41,0.00,4.88,8.04,0.39,73.47,23.00,85.46,41,
dki jakarta - jakarta barat,6,0.00,4.22,5.30,0.16,1.90,9.16,0.13,73.81,19.00,90.84,12,
dki jakarta - jakarta selatan,6,0.00,3.52,5.19,0.06,19.11,8.38,0.36,74.49,18.20,88.64,23,
dki jakarta - jakarta timur,6,0.00,4.30,9.85,0.00,12.95,8.31,0.40,74.83,16.20,90.21,14,
jawa barat - bogor,5,2.66,7.73,25.63,0.05,31.34,8.21,0.40,71.65,18.70,70.57,292,
jawa barat - sukabumi,6,0.71,7.34,44.37,0.09,46.91,7.79,0.42,71.54,28.90,77.65,199,
jawa barat - cianjur,6,0.71,10.55,40.06,0.11,40.47,8.01,0.35,70.58,17.50,78.99,178,
jawa barat - bandung,6,1.39,6.80,17.03,0.00,20.49,7.21,0.47,74.01,23.50,82.48,108,
jawa barat - garut,6,0.50,10.42,51.21,0.00,48.49,7.77,0.41,71.85,23.50,78.04,190,
jawa barat - tasikmalaya,6,0.78,10.73,53.09,0.00,42.37,6.74,0.41,69.95,19.80,75.68,235,
jawa barat - ciamis,6,0.69,7.72,39.79,0.05,31.39,7.56,0.28,72.30,22.30,82.36,110,
jawa barat - kuningan,6,0.60,12.76,45.02,0.00,33.02,6.61,0.45,74.03,29.10,80.95,141,
jawa barat - cirebon,6,0.87,12.01,34.26,0.00,18.07,9.32,0.34,72.47,15.80,82.03,117,
jawa barat - majalengka,6,0.41,11.94,37.66,0.00,29.36,9.78,0.14,70.76,14.90,81.39,132,
jawa barat - sumedang,6,0.54,10.14,33.44,0.00,15.55,7.51,0.80,72.91,23.50,84.88,62,
jawa barat - indramayu,6,0.24,12.77,50.71,0.00,11.42,10.91,0.06,72.15,15.00,84.52,67,
jawa barat - subang,6,0.29,9.75,25.56,0.00,31.99,8.00,1.01,72.92,20.60,85.31,55,
jawa barat - purwakarta,6,0.95,8.70,34.45,0.00,28.42,7.99,0.50,71.47,14.20,80.42,152,
jawa barat - karawang,6,0.38,8.44,20.63,0.00,15.62,8.03,0.70,72.62,19.50,88.48,10,
jawa barat - bekasi,6,1.09,5.01,14.27,0.00,9.06,8.82,0.30,74.04,17.30,88.05,13,
jawa barat - bandung barat,5,1.68,10.82,40.51,0.00,31.91,8.30,0.74,72.79,14.30,74.19,251,
jawa barat - pangandaran,6,0.54,9.32,38.57,0.35,23.15,8.39,0.44,71.89,21.60,83.57,86,
jawa barat - kota bogor,6,0.00,7.10,8.64,0.00,13.70,8.02,0.53,74.13,23.00,83.78,47,
jawa barat - kota sukabumi,6,0.00,8.02,19.97,0.15,20.09,7.24,0.64,72.85,23.80,79.08,71,
jawa barat - kota bandung,6,0.00,4.25,9.36,0.00,4.17,6.74,0.58,74.75,34.90,90.46,13,
jawa barat - kota cirebon,6,0.00,9.82,19.77,0.00,2.43,7.83,0.93,72.74,18.10,83.77,48,
jawa barat - kota bekasi,6,0.00,4.43,9.25,0.00,7.69,6.38,0.70,75.48,32.00,93.55,3,
jawa barat - kota depok,6,0.00,2.53,5.08,0.00,20.08,6.64,0.79,74.92,30.90,89.47,19,
jawa barat - kota cimahi,6,0.00,5.11,11.12,0.09,13.73,6.32,0.72,74.50,17.30,87.17,34,
jawa barat - kota tasikmalaya,6,0.00,12.72,33.01,0.00,20.62,7.18,0.43,72.63,20.50,72.71,86,
jawa barat - kota banjar,6,0.00,6.73,35.18,0.00,9.79,10.79,0.10,71.49,16.10,79.55,69,
jawa tengah - cilacap,6,0.47,11.02,28.87,0.07,29.06,8.99,0.31,74.07,11.60,84.13,76,
jawa tengah - banyumas,6,1.13,12.84,27.45,0.00,30.20,8.74,0.28,73.88,22.10,79.81,164,
jawa tengah - purbalingga,6,1.04,15.30,25.35,0.00,29.90,8.29,0.51,73.28,20.00,78.05,189,
jawa tengah - banjarnegara,6,0.98,15.20,25.84,0.00,21.95,8.02,0.65,74.37,17.60,80.28,155,
jawa tengah - kebumen,6,0.58,16.41,25.33,0.04,36.29,8.85,0.39,73.70,14.90,80.34,153,
jawa tengah - purworejo,6,0.51,11.53,24.16,0.03,27.94,7.83,0.55,75.03,28.50,84.74,64,
jawa tengah - wonosobo,6,1.15,16.17,25.78,0.00,21.89,7.59,0.73,72.05,24.30,77.82,195,
jawa tengah - magelang,6,1.21,11.09,20.99,0.00,24.33,7.52,0.83,74.03,24.90,79.91,161,
jawa tengah - boyolali,6,0.51,9.82,20.85,0.00,20.46,8.42,0.40,76.12,27.50,87.31,24,
jawa tengah - klaten,6,0.63,12.33,22.50,0.00,28.58,9.90,0.27,76.95,10.70,85.50,48,
jawa tengah - sukoharjo,6,0.54,7.61,13.57,0.00,14.31,6.03,0.48,77.82,26.20,91.02,3,
jawa tengah - wonogiri,6,0.20,10.99,30.13,0.00,22.15,5.58,0.56,76.41,6.90,87.79,16,
jawa tengah - karanganyar,6,0.57,9.85,17.65,0.00,17.11,7.05,0.32,77.64,8.10,88.48,9,
jawa tengah - sragen,6,0.28,12.94,25.75,0.00,9.05,5.54,0.67,75.87,21.60,88.17,11,
jawa tengah - grobogan,6,0.25,11.80,40.92,0.00,10.64,7.33,1.16,74.93,29.40,87.18,27,
jawa tengah - blora,6,0.25,11.53,34.87,0.16,9.42,6.92,1.00,74.60,26.20,86.94,28,
jawa tengah - rembang,6,0.42,14.65,37.79,0.00,13.18,9.21,0.11,74.68,21.10,84.45,69,
jawa tengah - pati,6,0.22,9.33,23.13,0.04,17.10,8.12,0.51,76.32,26.40,89.27,6,
jawa tengah - kudus,6,0.74,7.41,16.31,0.00,15.35,8.60,0.77,76.76,14.20,88.91,8,
jawa tengah - jepara,6,0.60,6.88,23.81,0.00,26.70,9.00,0.34,75.97,8.20,86.91,29,
jawa tengah - demak,6,0.35,12.09,30.09,0.00,7.13,10.49,0.09,75.52,6.60,89.03,7,
jawa tengah - semarang,6,1.04,7.27,20.37,0.00,19.01,9.35,0.13,75.86,6.30,85.35,52,
jawa tengah - temanggung,6,1.99,9.33,14.26,0.00,18.70,8.43,0.20,75.70,7.70,77.84,193,
jawa tengah - kendal,6,0.74,9.48,22.41,0.14,19.44,7.63,0.35,74.53,9.10,85.58,44,
jawa tengah - batang,6,0.86,8.98,21.30,0.00,25.44,6.85,0.58,74.79,9.20,83.15,95,
jawa tengah - pekalongan,6,1.07,9.67,25.90,0.00,21.06,7.80,0.57,73.80,11.00,81.81,123,
jawa tengah - pemalang,6,0.67,15.06,41.13,0.00,21.21,6.99,0.60,73.65,34.00,80.84,144,
jawa tengah - tegal,6,0.76,7.90,24.63,0.00,26.12,6.74,0.37,71.85,37.00,82.84,105,
jawa tengah - brebes,6,0.73,16.05,30.08,0.04,27.43,7.52,0.37,69.74,35.60,77.21,205,
jawa tengah - kota magelang,6,0.00,7.10,11.66,0.00,3.96,8.90,2.41,77.02,29.70,91.18,10,
jawa tengah - kota surakarta,6,0.00,8.84,11.42,0.00,14.38,8.81,1.24,77.43,34.50,85.80,39,
jawa tengah - kota salatiga,6,0.00,4.73,2.96,0.00,3.54,8.94,1.56,77.72,29.50,94.20,2,
jawa tengah - kota semarang,6,0.00,4.25,7.56,0.00,11.87,9.02,1.92,77.69,13.90,91.31,9,
jawa tengah - kota pekalongan,6,0.00,7.00,22.35,0.00,20.97,6.55,0.88,74.51,35.90,78.94,72,
jawa tengah - kota tegal,6,0.00,7.91,15.61,0.00,0.88,7.16,0.90,74.64,35.30,86.00,38,
di yogyakarta - kulon progo,6,0.61,16.39,15.81,0.00,20.47,8.03,4.89,75.28,35.30,85.54,46,
di yogyakarta - bantul,6,1.42,12.27,16.44,0.14,18.52,7.98,3.36,73.90,35.30,82.07,116,
di yogyakarta - gunungkidul,6,0.19,15.86,31.39,0.00,37.55,7.16,2.56,74.23,35.30,81.98,119,
di yogyakarta - sleman,6,1.74,7.74,12.12,0.00,16.83,8.30,1.67,75.00,35.30,83.16,94,
di yogyakarta - kota yogyakarta,6,0.00,6.62,6.96,0.00,31.04,7.87,0.94,74.83,35.30,83.11,54,
jawa timur - pacitan,6,0.55,13.80,34.65,0.06,32.98,8.04,1.80,72.48,35.30,80.78,145,
jawa timur - ponorogo,6,0.32,9.32,27.52,0.22,17.37,7.55,1.47,73.20,35.30,87.91,14,
jawa timur - trenggalek,6,0.58,10.96,32.08,0.00,38.88,7.87,1.05,74.26,35.30,81.90,121,
jawa timur - tulungagung,6,0.58,6.71,31.97,0.05,32.44,7.36,0.86,74.54,35.30,85.23,59,
jawa timur - blitar,6,0.67,8.71,21.04,0.00,22.39,8.50,1.09,73.98,35.30,86.27,37,
jawa timur - kediri,6,1.11,10.65,35.75,0.00,36.34,8.73,1.49,72.97,35.30,78.22,186,
jawa timur - malang,6,1.08,9.55,28.37,0.00,30.38,7.96,0.60,72.95,35.30,79.97,158,
jawa timur - lumajang,6,0.58,9.06,41.27,0.05,38.11,8.09,1.79,70.61,35.30,79.42,169,
jawa timur - jember,6,0.66,9.39,48.11,0.00,30.40,8.35,2.00,69.68,35.30,77.43,201,
jawa timur - banyuwangi,6,0.59,7.51,22.08,0.00,23.49,7.61,3.52,71.06,35.30,84.91,61,
jawa timur - bondowoso,5,0.45,13.47,42.75,0.00,38.83,7.18,1.20,67.29,35.30,75.50,237,
